Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"0901004210 P1 General Ad-
ministration Planning and
Support Services","0901014210 SP1 General Admin-
istration Planning and Support
Services","26,520,592","11,196,304","15,324,288",42.2,317,0
,Sub total,"26,520,592","11,196,304","15,324,288",42.2,317,0
"0902004210 P2 Culture and
social Services development","0902014210 SP1 Conservation of
Heritage","978,000","189,350","788,650",19.4,317,0
,"0902024210 SP2 Development and
Promotion of Culture","6,279,932","2,371,300","33,908,632",6.5,317,0
,"0902034210 SP3 Social Welfare
and Gender","27,438,000","3,218,581","24,219,419",11.7,317,0
,"0902044210 SP4 Community Mo-
bilization and Development","6,106,692","2,784,600","3,322,092",45.6,317,0
,Sub total,"70,802,624","8,563,831","62,238,793",12.1,317,0
"0903004210 P3 Promotion
of other sports activities","0903014210 SP1 Development and
Management of Sports Facilities","35,612,581","247,600","35,364,981",0.7,317,0
,Sub total,"35,612,581","247,600","35,364,981",0.7,317,0
"0503004210 P3 Sports De-
velopment","0503034210 SP3 Sports Develop-
ment, Training and Competition","27,873,600","10,879,300","16,994,300",39.0,317,0
,Sub total,"27,873,600","10,879,300","16,994,300",39.0,317,0
"0904014210 P1 General Ad-
ministration Planning and
Support Services","0904004210 SP1 General Admin-
istration Planning and Support
Services","15,546,383","6,551,780","8,994,603",42.1,317,0
,Sub total,"15,546,383","6,551,780","8,994,603",42.1,317,0
COUNTY ASSEMBLY,,,,,,317,0
"0707004210 P1 County As-
sembly Administration","0707014210 SP1 Legislative and
Oversight","52,497,492","20,665,202","31,832,290",39.4,318,0
,"0707024210 SP2 County Assembly
Administration","341,308,595","91,806,283","249,502,312",26.9,318,0
,0707034210 SP3 Representation,"236,490,947","106,126,393","130,364,554",44.9,318,0
,Sub total,"630,297,034","218,597,878","411,699,156",34.7,318,0
Grand Total,,"6,880,657,924","1,529,520,862","5,351,137,062",22.2,318,0
