Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and
support services","73,149,946.00","17,450,179.60","55,699,766.40",23.9,295,0
,Policy and planning,"8,109,590.00","2,093,540.00","6,016,050.00",25.8,295,0
"Energy and Mineral
Resources Services","Other energy sources promo-
tion","2,715,460.00","1,255,680.00","1,459,780.00",46.2,295,0
"Water Supply and
Management Services",Major towns water services,"15,635,520.00","7,960,360.00","7,675,160.00",50.9,295,0
,Rural water services,"16,520,089.00","4,742,697.25","11,777,391.75",28.7,295,0
,Subtotal,"116,130,605.00","33,502,456.85","82,628,148.15",28.8,295,0
Department Education & Vocational Training,,,,,,295,0
"General Administra-
tion, Policy Planning
and Support Services",General administration,"34,876,832.00","5,944,730.00","28,932,102.00",17.0,295,0
,Planning policy,"6,762,500.00","4,067,300.00","2,695,200.00",60.1,295,0
"ECDE and CCC De-
velopment Services","ECDE and CCC management
services","174,340,650.00","90,999,596.20","83,341,053.80",52.2,295,0
"Vocational Develop-
ment and Training
Services","Vocational management ser-
vices","62,754,281.00","25,753,912.30","37,000,368.70",41.0,295,0
,Subtotal,"278,734,263.00","126,765,538.50","151,968,724.50",45.5,295,0
Department Health,,,,,,295,0
"Preventive and Pro-
motive Health Ser-
vices",Health Promotion,"532,504,808.00","265,882,841.25","266,621,966.75",49.9,295,0
,"Communicable Disease Con-
trol","7,720,514.00","2,143,540.00","5,576,974.00",27.8,295,0
"General Administra-
tion, Planning and
Support Services","Administration support ser-
vices","141,936,735.00","33,283,680.65","108,653,054.35",23.4,295,0
"Curative Health Ser-
vices",Medical services,"1,075,832,648.00","427,266,275.65","648,566,372.35",39.7,295,0
,Subtotal,"1,757,994,705.00","728,576,337.55","1,029,418,367.45",41.4,295,0
Department Lands Physical Planning & Urban Development,,,,,,295,0
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and
support services","78,872,158.00","44,677,163.30","34,194,994.70",56.6,295,0
,Policy and planning,"1,679,441.00","958,200.00","721,241.00",57.1,295,0
"Physical Planning and
Surveying Services",Physical Planning,"4,610,898.00","2,305,400.00","2,305,498.00",50.0,295,0
,Surveying services,"617,082.00","308,540.00","308,542.00",50.0,295,0
,Subtotal,"85,779,579.00","48,249,303.30","37,530,275.70",56.2,295,0
"Department Transport, Roads & Public Works",,,,,,295,0
"General Administra-
tion, Planning and
Support Services","Administration and support
services","87,987,002.00","22,828,004.25","65,158,997.75",25.9,295,0
,Policy and planning,"4,763,653.00","1,344,300.00","3,419,353.00",28.2,295,0
"Roads Development
and Management","Construction of roads and
bridges","25,565,342.00","7,913,017.00","17,652,325.00",31.0,295,0
,"Infrastructural development
and fire safety","19,882,634.00","6,742,380.00","13,140,254.00",33.9,295,0
,Subtotal,"138,198,631.00","38,827,701.25","99,370,929.75",28.1,295,0
"Department Trade, Tourism, Industrialization & Cooperative Development",,,,,,295,0
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and
support services","15,736,185.00","4,859,588.25","10,876,596.75",30.9,295,0
,Policy and planning services,"1,729,652.00","612,800.00","1,116,852.00",35.4,295,0
