Program,Sub Program,Description,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Absorption
(%)",page_number,table_index
208003000,,,"3,100,000",-,0.0,359,0
,208014110,Electrical Services,"3,100,000",-,0.0,359,0
209003000,,,"1,700,000",-,0.0,359,0
,209014110,Building Inspectorate,"1,700,000",-,0.0,359,0
210003000,,,"2,640,000","253,000",9.6,359,0
,210014110,Architectural Services,"2,640,000","253,000",9.6,359,0
302003000,,,"145,639,014","23,502,775",16.1,359,0
,302014110,Cooperatives Development Fund,"4,679,800","217,805",4.7,359,0
,302024110,Value Addition Initiatives,"3,256,000","676,750",20.8,359,0
,302034110,"Business Development and Training Ser-
vices","1,098,000",-,0.0,359,0
,302044110,Liquor control Programme,"1,134,000","432,600",38.1,359,0
,302054110,"Cooperative societies development and re-
vival programmes","3,067,000","928,000",30.3,359,0
,302064110,Legal Metrology Services,"1,467,000",-,0.0,359,0
,302074110,Verification of traders equipment,"1,107,000",-,0.0,359,0
,302084110,Consumer rights education,"567,000",-,0.0,359,0
,302104110,Standards and Anti-Counterfeit Services,"378,000",-,0.0,359,0
,302114110,Market Infrastructure Development,"17,000,000",-,0.0,359,0
,302124110,Industrial Development and Investments,"3,028,500",-,0.0,359,0
,302134110,Biashara Fund,"30,487,980","20,325,320",66.7,359,0
,302144110,Completion of Biashara Centre,"70,000,000",-,0.0,359,0
,302154110,North Rift Economic & FCDC Blocs,"3,118,734","922,300",29.6,359,0
,302164110,Standardization and Metrology,"3,000,000",-,0.0,359,0
,302174110,Mgt of Kakuma Biashara Centre,"2,250,000",-,0.0,359,0
303003000,,,"48,269,233","23,794,845",49.3,359,0
,303014110,"Construction & Development of Modern
Physical Market","3,850,755",-,0.0,359,0
,303024110,"Co-operative Marketing, Value Addition,
Surveys & Research","3,433,200","990,000",28.8,359,0
,303034110,"Co-operative Education, Training, Ex-
change and Ushirika Day Celeb","3,575,710","1,875,600",52.5,359,0
,303044110,"Strengthening of Key Dormant Co-opera-
tive Societies","3,811,500",-,0.0,359,0
,303054110,"Formulation of Cooperative Policy and Le-
gal Frame Work","2,204,200",-,0.0,359,0
,303064110,Cooperative Development Fund,"31,393,868","20,929,245",66.7,359,0
307003000,,,"109,377,501","4,573,189",4.2,359,0
,307014110,General Administration,"109,377,501","4,573,189",4.2,359,0
308003000,,,"10,665,500","1,756,800",16.5,359,0
,308014110,Gender Empowerment and advocacy,"4,983,000","1,756,800",35.3,359,0
,308024110,Gender Mainstreaming and Coordination,"2,093,500",-,0.0,359,0
,308034110,Legal Compliance and Redress,"1,549,000",-,0.0,359,0
,308044110,"Promotion of Gender Equality and Em-
powerment","2,040,000",-,0.0,359,0
309003000,,,"48,560,000","22,080,500",45.5,359,0
,309014110,Youth Coordination and Representation,"8,930,000",-,0.0,359,0
,309024110,Youth Employment Scheme,"10,210,000",-,0.0,359,0
,309034110,Youth Rare skills,"7,420,000","80,500",1.1,360,0
,309044110,Youth and Women Fund,"22,000,000","22,000,000",100.0,360,0
401003000,,,"748,622,804","220,260,506",29.4,360,0
,401014110,"General Administration, Planning and
support services","464,607,836","220,260,506",47.4,360,0
,401074110,Health Facilities,"284,014,968",-,0.0,360,0
402003000,,,"332,280,000","29,444,825",8.9,360,0
,402114110,Health promotion,"300,000,000","18,129,085",6.0,360,0
,402134110,"Emergency preparedness & disaster re-
sponse","30,480,000","11,315,740",37.1,360,0
,402164110,mainstreaming,"1,800,000",-,0.0,360,0
409003000,,,-,-,0.0,360,0
,409014110,Curative Health Services,-,-,0.0,360,0
410003000,,,"95,920,000","1,524,520",1.6,360,0
,410024110,Blood Transfusion Services,"1,800,000",-,0.0,360,0
,410044110,Referrals & Emergency Services,"3,600,000",-,0.0,360,0
,410094110,Rural Health Facility Support,"45,000,000",-,0.0,360,0
,410104110,Sub county Health Facilities Support,"45,520,000","1,524,520",3.3,360,0
411003000,,,"16,200,000","200,000",1.2,360,0
,411014110,,"7,200,000","200,000",2.8,360,0
,411024110,LCRH Development,"9,000,000",-,0.0,360,0
412003000,,,"244,440,000","5,505,360",2.3,360,0
,412014110,Medical Supplies,"243,000,000","5,505,360",2.3,360,0
,412024110,Health management,"1,440,000",-,0.0,360,0
413003000,,,"31,410,000",-,0.0,360,0
,413014110,Health Information & Mgt,"1,440,000",-,0.0,360,0
,413034110,Universal Health Care,"29,970,000",-,0.0,360,0
414003000,,,"5,458,000","246,960",4.5,360,0
,414014110,Rehabilitation & Treatment,"4,000,000","136,200",3.4,360,0
,414034110,Liquor Licensing,"1,458,000","110,760",7.6,360,0
503003000,,,"60,402,535","6,935,100",11.5,360,0
,503024110,"Construction of PWDs multi-purpose re-
source center","22,900,000","118,500",0.5,360,0
,503074110,Marginalized and Minority groups support,"3,160,000",-,0.0,360,0
,503084110,Child Rescue Centres,"12,000,000",-,0.0,360,0
,503094110,Child Care & Protection,"22,342,535","6,816,600",30.5,360,0
504003000,,,"20,281,224","198,250",1.0,360,0
,504014110,Construction of sport Stadia,"14,282,668","198,250",1.4,360,0
,504044110,Stadia,"5,998,556",-,0.0,360,0
506003000,,,"691,720,440","285,395,347",41.3,360,0
,506014110,ral Administration,"362,720,440","145,895,347",40.2,360,0
,506024110,"Turkana Education and Skill Development
Fund","279,000,000","139,500,000",50.0,360,0
,506044110,Turkana Higher Education Loans,"50,000,000",-,0.0,360,0
508003000,,,"43,376,413","2,071,600",4.8,360,0
,508014110,Youth Polytechnic Infrastructure,"17,903,732",-,0.0,360,0
,508024110,Training and Development,"9,467,999","2,071,600",21.9,360,0
,508034110,Co-Cirricular Activities,"3,294,788",-,0.0,360,0
,508044110,Youth Polytechnics- Conditional,"12,709,894",-,0.0,360,0
509003000,,,"3,528,000",-,0.0,360,0
,509014110,Publicity,"1,620,000",-,0.0,360,0
,509024110,Research and Sensitization,"1,908,000",-,0.0,360,0
510003000,,,"429,362,417","3,769,994",0.9,360,0
,510014110,School Feeding,"116,620,000","2,770,000",2.4,361,0
,510024110,Quality Improvement,"7,008,595","999,994",14.3,361,0
,510034110,Infrastructure Development,"297,803,822",-,0.0,361,0
,510044110,Support to Pre-Primary Training,"7,930,000",-,0.0,361,0
701003000,,,"5,091,870,147","1,914,479,764",37.6,361,0
,701014110,General Administration Services,"329,252,292","65,019,703",19.7,361,0
,701094110,"General Administration - Economic plan-
ning","103,990,268","5,917,522",5.7,361,0
,701154110,General Admin Planning & Support,"38,826,119","3,007,721",7.7,361,0
,701164110,"General Administration, Planning and
Support Services-Public Ser","4,067,891,791","1,750,133,104",43.0,361,0
,701174110,"General Administration, Planning and
Support Services-Administar","108,543,628","35,178,688",32.4,361,0
,701194110,"General Administration, Planning and
Support Services- Office of","301,356,963","44,307,648",14.7,361,0
,701204110,"General Administration, Planning and
Support Services- Liaison O","10,170,000","5,333,911",52.4,361,0
,701214110,General Admin Planning & Support,"13,497,000","5,581,467",41.4,361,0
,701224110,Covid-19 Emergency Response Fund,"118,342,087",-,0.0,361,0
702003000,,,"5,890,940","1,130,210",19.2,361,0
,702014110,Construction of Governor’s residence,"1,134,296","540,310",47.6,361,0
,702024110,"Documentation, communication policy
and strategy","1,512,395","411,875",27.2,361,0
,702034110,Civic Education and Public Sensitization,"2,331,591","178,025",7.6,361,0
,702044110,"Production of County Newspaper and
Newsletter","912,659",-,0.0,361,0
703003000,,,"7,200,000","4,765,265",66.2,361,0
,703014110,"Public-Private Partnership Initiatives
(PPPs)","720,000","540,000",75.0,361,0
,703024110,"Political and Intergovernmental Advisory
Services","720,000","45,675",6.3,361,0
,703034110,Legal Advisory Services,"720,000","540,000",75.0,361,0
,703044110,"Security and cross border Advisory Ser-
vices","720,000","591,980",82.2,361,0
,703054110,Oil And Gas Advisory Service,"720,000","720,000",100.0,361,0
,703064110,Gender and Partnership Advisory Services,"720,000","720,000",100.0,361,0
,703074110,Special Interest groups,"720,000","190,650",26.5,361,0
,703084110,Climate Change advisory services,"720,000","360,000",50.0,361,0
,703094110,Education and youth Advisory services,"720,000","691,500",96.0,361,0
,703104110,"Culture, Arts and Heritage advisory ser-
vices","720,000","365,460",50.8,361,0
704003000,,,"74,987,637","19,790,324",26.4,361,0
,704014110,Community Cohesion and Resettlement,"5,144,400","3,917,240",76.1,361,0
,704024110,"Operationalization of peace building struc-
tures and institutions","12,330,493","6,466,970",52.4,361,0
,704034110,Resettlement Infrastructural Programme,"44,000,000",-,0.0,361,0
,704044110,Cross Border peace dividends programme,"13,512,744","9,406,114",69.6,361,0
705003000,,,"13,721,197","9,493,346",69.2,361,0
,705014110,"Acquiring & development of communica-
tion systems/equipment","1,467,697",-,0.0,361,0
,705024110,Bills,"3,000,000",-,0.0,361,0
,705034110,Policies,"6,185,120","8,735,346",141.2,361,0
,705044110,"Development and Implementation of ICT
Policy and Regulations","1,068,380",-,0.0,361,0
,705054110,"Acquisition of Information Systems and
Equipment","2,000,000","758,000",37.9,361,0
706003000,,,"18,372,862","4,163,165",22.7,361,0
,706014110,Automated Revenue Collection,"2,202,197","832,700",37.8,361,0
,706024110,Feasibility Study on Revenue Base,"1,096,417","815,250",74.4,361,0
,706034110,Awareness and Campaigns on Revenue.,"1,624,547",-,0.0,362,0
,706044110,Motorbikes for Revenue Officers 30 No.,"2,807,553",-,0.0,362,0
,706054110,Strengthening Revenue Systems,"10,087,750","2,190,415",21.7,362,0
,706064110,"Revenue Forecast and Revenue Budget
Preparation","554,400","324,800",58.6,362,0
707003000,,,"72,921,385","9,962,429",13.7,362,0
,707014110,Internal Audit,"3,227,670","2,333,004",72.3,362,0
,707024110,Procurement systems,"3,058,847","180,000",5.9,362,0
,707044110,IFMIS training,"3,496,841","1,806,500",51.7,362,0
,707054110,Consultancy Services,"4,896,808",-,0.0,362,0
,707064110,"Financial Reporting/Research and Devel-
opment","8,241,219","5,642,925",68.5,362,0
,707074110,"Modern Fencing, Gate and Parking Yards
for County Treasury Office","50,000,000",-,0.0,362,0
708003000,,,"7,839,591","2,381,105",30.4,362,0
,708014110,Assurance and Insurance of Govt. Assets,"1,530,591","684,090",44.7,362,0
,708024110,Liability and Debt Management,"1,989,000","225,000",11.3,362,0
,708034110,Turkana SACCO Seed Capital,"4,320,000","1,472,015",34.1,362,0
709003000,,,"91,801,840","7,343,640",8.0,362,0
,709014110,"Economic Policy formulation and Dissem-
ination","5,782,092","1,444,670",25.0,362,0
,709024110,CIDP review and Dissemination,"1,822,123","561,000",30.8,362,0
,709034110,Budget preparation and Dissemination,"22,500,000",-,0.0,362,0
,709054110,County Budget and Economic Forums,"54,000,000","2,325,600",4.3,362,0
,709064110,"Public Participation and Access to Infor-
mation","4,098,296","1,176,450",28.7,362,0
,709074110,Waste Management,"1,784,750","853,840",47.8,362,0
,709104110,Sector Plans Devt,"1,814,580","982,080",54.1,362,0
710003000,,,"2,319,170",-,0.0,362,0
,710014110,Donor scan/Mapping,"887,744",-,0.0,362,0
,710024110,Establishment of development committees,"570,511",-,0.0,362,0
,710034110,Training of the development committees,"427,055",-,0.0,362,0
,710044110,"Formulation and Development of TCPSB
Boardroom ICT Infrastructure","433,861",-,0.0,362,0
711003000,,,"4,251,791","877,000",20.6,362,0
,711014110,"Soft wares( E-ProMIS, GIS e.t.c)","1,061,534","468,000",44.1,362,0
,711024110,"Field visits, data collection and Reporting","1,201,300","255,000",21.2,362,0
,711034110,Training and Knowledge management,"1,221,032","154,000",12.6,362,0
,711044110,"Devolved Monitoring and Evaluation
Committees","767,926",-,0.0,362,0
712003000,,,"18,168,263","9,242,785",50.9,362,0
,712014110,Construction of Citizen Resource Centre,"2,800,000","937,350",33.5,362,0
,712024110,Web site Development,"5,327,722","3,782,040",71.0,362,0
,712034110,"Social Budgeting and Generation of SIR
Reports","1,512,000","245,000",16.2,362,0
,712044110,Intergovernmental Relation,"7,435,183","3,189,045",42.9,362,0
,712054110,"Strategy Development, Review, Support
and Operationalization","1,093,359","1,089,350",99.6,362,0
713003000,,,"18,577,374","3,826,300",20.6,362,0
,713014110,"Soft wares, databases and tools","12,260,897","1,832,370",14.9,362,0
,713024110,Capacity Development,"3,355,477","1,079,050",32.2,362,0
,713044110,Project Mgt Information System,"2,961,000","914,880",30.9,362,0
714003000,,,"5,831,326","3,594,230",61.6,362,0
,714014110,Service Charter,"1,116,000","205,120",18.4,362,0
,714024110,Development of County Filing Systems,"3,326,979","2,292,205",68.9,362,0
,714034110,Procedure Manual and Training,"1,388,347","1,096,905",79.0,362,0
715003000,,,"18,448,623","1,266,428",6.9,363,0
,715014110,County Internship Programme,"18,448,623","1,266,428",6.9,363,0
717003000,,,"88,659,324","10,093,283",11.4,363,0
,717014110,Operationalization of Decentralized Units,"10,890,000","2,520,477",23.1,363,0
,717024110,Decentralized County Policy,"33,912,000","5,914,006",17.4,363,0
,717034110,Coordinated development,"13,320,000","898,800",6.7,363,0
,717044110,Policy sensitization and dissemination,"8,190,000","760,000",9.3,363,0
,717084110,Completion of Kibish Sub County Office,"22,347,324",-,0.0,363,0
718003000,,,"2,886,164","80,000",2.8,363,0
,718014110,"Mainstream Public Sector Integrity pro-
gramme & Accountability","679,413",-,0.0,363,0
,718024110,"Public Evaluation on County Public Ser-
vice Board Performance","781,820",-,0.0,363,0
,718034110,"Human Resource Conference & Sympo-
sium","712,355","80,000",11.2,363,0
,718044110,Exit Meetings Per Department,"712,577",-,0.0,363,0
719003000,,,"1,479,789","244,530",16.5,363,0
,719034110,"Assessment and stake holder capacity map-
ping","710,030","244,530",34.4,363,0
,719044110,"Regular Assessments of Food, Flood and
Conflict Security","769,759",-,0.0,363,0
720003000,,,"6,457,034",-,0.0,363,0
,720014110,Scheme of service,"698,613",-,0.0,363,0
,720024110,Performance Appraisal,"1,536,234",-,0.0,363,0
,720034110,"Enhancing Leadership In County Public
Service","642,704",-,0.0,363,0
,720044110,Review and Development of HR Policies,"781,586",-,0.0,363,0
,720054110,"Human Resource Development/Career
Progression","675,603",-,0.0,363,0
,720064110,Performance Management Monitoring,"435,048",-,0.0,363,0
,720074110,Development of Database Filing System,"573,211",-,0.0,363,0
,720084110,"County Public Service Pre-Retirement
Sensitization","579,388",-,0.0,363,0
,720094110,"Evaluation of Different Cadres of Employ-
ees (Promotion, Re-Designation)","534,650",-,0.0,363,0
723003000,,,"1,639,198",-,0.0,363,0
,723014110,"Quality Management Systems Develop-
ment & Establishment","455,500",-,0.0,363,0
,723024110,QMS Audit /Routine Inspection,"531,141",-,0.0,363,0
,723034110,"Documentation/Record Management For
QMS","652,558",-,0.0,363,0
724003000,,,"45,853,826","22,732,490",49.6,363,0
,724014110,"Budget Formulation, Co-ordination and
Management","31,300,000","12,803,240",40.9,363,0
,724024110,Public Participation in Budgeting,"8,550,000","5,162,675",60.4,363,0
,724034110,County Budget and Economic Forum,"6,003,826","4,766,575",79.4,363,0
725003000,,,"3,094,027",-,0.0,363,0
,725014110,Resource Mobilization,"3,094,027",-,0.0,363,0
727003000,,,"3,429,641","2,022,100",59.0,363,0
,727014110,Governors Press support,"3,429,641","2,022,100",59.0,363,0
728003000,,,"12,150,000","1,772,000",14.6,363,0
,728014110,Civic education Programme,"1,440,000",-,0.0,363,0
,728024110,"Public Participation and access to infor-
mation","2,970,000",-,0.0,363,0
,728034110,County Dialogue Forum,"1,440,000","533,000",37.0,363,0
,728044110,National & County Holidays,"5,130,000","1,239,000",24.2,363,0
,728054110,Policies Design,"1,170,000",-,0.0,363,0
729003000,,,"279,489,180","27,256,572",9.8,363,0
,729014110,Disaster Preparedness Programmes,"2,160,000",-,0.0,364,0
,729024110,Disaster Mitigation Programmes,"2,160,000","180,000",8.3,364,0
,729034110,"Stakeholders coordination and Support
Programme","2,160,000",-,0.0,364,0
,729044110,Humanitarian Relief Food Programme,"272,289,180","27,076,572",9.9,364,0
,729064110,Disaster Risk Mgt,"720,000",-,0.0,364,0
730003000,,,"10,620,000","1,462,000",13.8,364,0
,730054110,Dispute Resolution,"720,000",-,0.0,364,0
,730074110,Capacity Building,"3,600,000","1,462,000",40.6,364,0
,730084110,Inspectorate Services,"2,880,000",-,0.0,364,0
,730094110,Inspectorate Services Equip,"3,420,000",-,0.0,364,0
731003000,,,"20,862,000","1,449,400",6.9,364,0
,731014110,Payroll and record management,"1,440,000",-,0.0,364,0
,731024110,Human Resource Development,"4,410,000","90,000",2.0,364,0
,731034110,"GHRIS Leave & Performance Module Im-
plementation","2,160,000",-,0.0,364,0
,731044110,"Digitization and Automation of Human
Resource Registry","3,960,000","1,295,000",32.7,364,0
,731054110,"Mainstreaming Public Sector Integrity
Programme","3,600,000","64,400",1.8,364,0
,731074110,Public Service Week,"1,692,000",-,0.0,364,0
,731094110,Records Mgt,"1,440,000",-,0.0,364,0
,731104110,HRM,"2,160,000",-,0.0,364,0
735003000,,,"5,262,371","3,436,900",65.3,364,0
,735014110,Govt Programming,"2,360,279","1,763,800",74.7,364,0
,735024110,Community Engagement,"900,000","281,300",31.3,364,0
,735034110,Govt Stakeholder Engagement,"972,000","605,500",62.3,364,0
,735044110,Govt Transformation,"1,030,092","786,300",76.3,364,0
901003000,,,"80,319,842","32,132,685",40.0,364,0
,901014110,"General Administration, Planning and
Support Services","80,319,842","32,132,685",40.0,364,0
902003000,,,"13,083,772","984,065",7.5,364,0
,902014110,"Tourism expos,incentives,conferences and
exhibition program","4,724,203","274,050",5.8,364,0
,902024110,Community Based Tourism products,"1,953,284","273,840",14.0,364,0
,902054110,"Media Campaign and Promotion of Tour-
ism Products and Programmes","6,406,285","436,175",6.8,364,0
903003000,,,"58,509,221","73,800",0.1,364,0
,903014110,Completion and Furnishing of Eco-Lodges,"52,035,000",-,0.0,364,0
,903024110,"Phase II of Renovation of Tourism Infra-
structure","4,184,000",-,0.0,364,0
,903034110,Tourism Products,"2,290,221","73,800",3.2,364,0
904003000,,,"133,321,943","968,504",0.7,364,0
,904014110,Ushanga Initiative,"20,100,000",-,0.0,364,0
,904024110,Culture Promotion and Preservation,"83,186,000","112,200",0.1,364,0
,904034110,Arts and Creativity Development,"1,872,000",-,0.0,364,0
,904044110,Heritage Promotion,"3,863,943","351,304",9.1,364,0
,904054110,Annual tourism and cultural festival,"24,300,000","505,000",2.1,364,0
905003000,,,"10,400,000",-,0.0,364,0
,905014110,"Equipment and Infrastructure Develop-
ment at Ekalees Centre","10,400,000",-,0.0,364,0
906003000,,,"27,442,352","1,530,450",5.6,364,0
,906014110,Forestry Management and Conservation,"3,773,952","1,299,450",34.4,364,0
,906024110,Community Wildlife Conservation,"3,956,400",-,0.0,364,0
,906054110,Forestry Development Infrastructure,"15,032,000","231,000",1.5,364,0
,906084110,Forestry Protection,"2,250,000",-,0.0,364,0
,906094110,Prosopis Mgt,"2,430,000",-,0.0,365,0
1001003000,,,"314,572,183","9,671,524",3.1,365,0
,1001014110,"General Administration, Planning and
support services","45,000,000",-,0.0,365,0
,1001024110,"Construction and Desilting of Water Pans/
Rock Catchment","41,555,050",-,0.0,365,0
,1001034110,Rehabilitation of Water Infrastructure,"103,824,212","2,446,300",2.4,365,0
,1001044110,Drilling and Equipping of Boreholes,"108,919,736","5,147,924",4.7,365,0
,1001084110,Equipment of Quality Analysis Laboratory,"13,000,000",-,0.0,365,0
,1001094110,Project Coordination and Management,"2,273,185","2,077,300",91.4,365,0
1002003000,,,"1,800,000","538,200",29.9,365,0
,1002014110,Technical planning and design,"1,800,000","538,200",29.9,365,0
1003003000,,,"7,720,000","851,100",11.0,365,0
,1003014110,"Feasibility studies for irrigation systems
development","5,220,000","851,100",16.3,365,0
,1003024110,Construction of 2 new irrigation schemes,"2,500,000",-,0.0,365,0
1004003000,,,"14,354,000","1,870,480",13.0,365,0
,1004014110,Farmers training,"2,925,000","1,870,480",63.9,365,0
,1004024110,"Establishment of farm demonstrations and
trials","1,584,000",-,0.0,365,0
,1004034110,Organising field days show and exhibitions,"8,000,000",-,0.0,365,0
,1004124110,Climate Change & Adaptation,"1,845,000",-,0.0,365,0
1005003000,,,"10,150,004","200,000",2.0,365,0
,1005014110,"Construction of trapezoidal bunds, con-
tours & micro catchment","1,359,000",-,0.0,365,0
,1005024110,"Construction of rock catchments and sand
dams","864,000",-,0.0,365,0
,1005034110,Sinking of shallow wells,"3,528,004","200,000",5.7,365,0
,1005064110,Artisanal Mining Equipment,"2,500,000",-,0.0,365,0
,1005074110,Extractive Bills & Policies,"1,899,000",-,0.0,365,0
1012003000,,,"373,248,730","150,195,450",40.2,365,0
,1012014110,General Administration and Support,"373,248,730","150,195,450",40.2,365,0
1013003000,,,"5,760,000","1,706,520",29.6,365,0
,1013014110,Oil & gas,"3,870,000","358,820",9.3,365,0
,1013024110,Extractive Regulations & Strategies,"1,890,000","1,347,700",71.3,365,0
701004110,,"General Administration, Planning and
Support Services","220,965,012","3,000,000",1.4,365,0
,701044110,Infrust. Devt & Support Services,"208,807,608",-,0.0,365,0
,701064110,Office of the Speaker,"7,807,404","3,000,000",38.4,365,0
,701074110,County Assembly service Board,"4,350,000",-,0.0,365,0
721004110,,"CONSTRUCTION OF NEW ASSEMBLY
BUILDING","3,950,000",-,0.0,365,0
,721014110,Construction of New Assembly Building,"3,950,000",-,0.0,365,0
722004110,,SPEAKER'S RESIDENCE,"17,750,000","14,306,012",80.6,365,0
,722014110,Construction of Speaker's Residence,"17,500,000","14,306,012",81.7,365,0
,722024110,"Purchase of land for construction of speak-
er's residence","250,000",-,0.0,365,0
726004110,,General administration Assembly,"544,501,605","352,757,440",64.8,365,0
,726014110,Finance and Shared Services,"541,101,605","352,757,440",65.2,365,0
,726024110,"Hansard Research and information ser-
vices","3,400,000",-,0.0,365,0
Grand Total,,,"13,604,080,067","3,770,074,920",27.7,365,0
