Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"SP. Marking of internation-
al/national events","SP. Marking of internation-
al/national events","4,800,000","4,266,695","533,305",88.9,58,0
"SP. Annual devolution
conference","SP. Annual devolution
conference","3,000,000",-,"3,000,000",0.0,58,0
Programme 2: Water and Sewerage Services Management,,,,,,58,0
"SP. Rig operation and main-
tenance","SP. Rig operation and
maintenance","1,850,705",-,"1,850,705",0.0,59,0
"SP. Stakeholders engage-
ment (water users associ-
ation)","SP. Stakeholders engage-
ment (water users associ-
ation)","4,800,000",-,"4,800,000",0.0,59,0
"SP. KOICA counterpart
funding","SP. KOICA counterpart
funding","16,553,051",-,"16,553,051",0.0,59,0
SP. Sub- County operations,SP. Sub- County operations,"3,200,000",-,"3,200,000",0.0,59,0
"SP. Routine Maintenance of
water supplies","SP. Routine Maintenance of
water supplies","2,400,000",-,"2,400,000",0.0,59,0
"SP. Office operation and
maintenance","SP. Office operation and
maintenance","140,459,380","69,459,862","70,999,518",49.5,59,0
Programme 3: Integrated Solid Waste Management,,,,,,59,0
SP. Dumpsite Management,SP. Dumpsite Management,-,-,-,0.0,59,0
"SP. Garbage collection and
transportation","SP. Garbage collection and
transportation","227,942,024","157,046,998","70,895,026",68.9,59,0
TOTAL Expenditure,TOTAL Expenditure,"617,187,294","293,597,482","323,589,812",47.6,59,0
,,,,-,,59,0
EDUCATION AND VOCATIONAL TRAINING,,,,,,59,0
"Programme 1: General Administration, Planning and Support Services",,,,,,59,0
"SP 1: Salaries and allow-
ances","SP 1: Salaries and allow-
ances","1,011,120,892","625,669,772","385,451,120",61.9,59,0
"SP3: Administration and
support services","SP3: Administration and
support services","34,383,957","30,406,400","3,977,557",88.4,59,0
Programme 2: Early Childhood Education Development,,,,,,59,0
"Sp1: Quality Assurance and
Standards","Sp1: Quality Assurance and
Standards","800,000",-,"800,000",0.0,59,0
"Sp2: Curriculum implemen-
tation","Sp2: Curriculum imple-
mentation","1,000,000",-,"1,000,000",0.0,59,0
Sp3: learning materials,Sp3: learning materials,"1,600,000",-,"1,600,000",0.0,59,0
"SP4:Annual conference for
Education stakeholders","SP4:Annual conference for
Education stakeholders","1,520,043",-,"1,520,043",0.0,59,0
"SP4:Annual conference for
ECDE teachers","SP4:Annual conference for
ECDE teachers","1,800,000",-,"1,800,000",0.0,59,0
"SP5:Monitoring and eval-
uation","SP5:Monitoring and eval-
uation","800,000",-,"800,000",0.0,59,0
"SP6:Commisioning of
ECDE classrooms","SP6:Commisioning of
ECDE classrooms","1,400,000",-,"1,400,000",0.0,59,0
"SP6 : Infrastructure devel-
opment","SP6 : Infrastructure devel-
opment","115,730,000","27,312,801","88,417,199",23.6,59,0
SP9:Pending bills,SP9:Pending bills,"32,737,719",-,"32,737,719",0.0,59,0
PROGRAMME 3: VOCATIONAL TRAINING CENTRES,,,,,,59,0
Sp1: Tuition support grant,Sp1: Tuition support grant,"92,566,263","33,990,000","58,576,263",36.7,59,0
"Sp2:Tools and equipment
for VTC","Sp2:Tools and equipment
for VTC",-,-,-,-,59,0
"Sp3:Construction of Centre
of Excellence","Sp3:Construction of Centre
of Excellence",-,-,-,-,59,0
"Sp4: Quality assurance and
standards","Sp4: Quality assurance and
standards","1,000,000",-,"1,000,000",0.0,59,0
"SP5: Joint Vocational Train-
ing Graduation","SP5: Joint Vocational Train-
ing Graduation","1,600,000",-,"1,600,000",0.0,59,0
"SP6: VTC instructor annual
conference","SP6: VTC instructor annual
conference","2,000,000",-,"2,000,000",0.0,59,0
"SP7:Community sensiti-
zation","SP7:Community sensiti-
zation","1,000,000",-,"1,000,000",0.0,59,0
"SP8:Monitoring and Eval-
uation","SP8:Monitoring and Eval-
uation","1,000,000",-,"1,000,000",0.0,60,0
PROGRAMME 4: EDUCATIONAL SUPPORT SCHEME,,,,,,60,0
"Sp1: Education support and
bursary scheme","Sp1: Education support and
bursary scheme","410,000,000","350,000,000","60,000,000",85.4,60,0
TOTAL Education,,"1,712,058,874","1,067,378,973","644,679,901",62.3,60,0
,,,,-,,60,0
"Trade, Energy & Industrialisation.",,,,,,60,0
"Trade and Enterprise Devel-
opment","Trade and Enterprise De-
velopment","1,900,000",-,"1,900,000",0.0,60,0
"Market Infrastructure De-
velopment","Market Infrastructure
Development",-,-,-,0.0,60,0
"Energy Development and
Management","Energy Development and
Management","4,000,000",-,"4,000,000",0.0,60,0
Salaries and emoluments,Salaries and emoluments,"25,063,211","16,294,934","8,768,277",65.0,60,0
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services","46,523,605","33,843,213","12,680,392",72.7,60,0
CEF,CEF,"30,846,000",-,"30,846,000",0.0,60,0
Supplier’s Credit,Supplier’s Credit,"3,235,741",-,"3,235,741",0.0,60,0
Total Expenditure Trade,,"111,568,557","50,138,147","61,430,410",44.9,60,0
,,,-,-,,60,0
LANDS AND URBAN PLANNING,,,,,,60,0
"Programme 1: General Administration, Planning and Support services",,,,,,60,0
"SP 1: Institutional account-
ability, efficiency and effec-
tiveness in service delivery","SP 1: Institutional account-
ability, efficiency and effec-
tiveness in service delivery","57,911,470","40,744,615","17,166,855",70.4,60,0
"SP 2: Human resource
development and manage-
ment","SP 2: Human resource
development and manage-
ment","5,745,622",-,"5,745,622",0.0,60,0
Programme 2: Land Resource Survey/Mapping and Management,,,,,,60,0
SP 1: Land acquisition,SP 1: Land acquisition,"9,700,000",-,"9,700,000",0.0,60,0
"SP 2: Survey of government
land quality control of
survey activities","SP 2: Survey of government
land quality control of
survey activities",-,-,-,0.0,60,0
Total Land,,"73,357,092","40,744,615","32,612,477",55.5,60,0
,,,,,,60,0
HOUSING DEPARTMENT,,,,,,60,0
"Programme 1 General Administration, Planning and Support services",,,,,,60,0
"SP 1: salaries and emolu-
ments","SP 1: salaries and emolu-
ments","8,054,246","5,660,531","2,393,715",70.3,60,0
"SP 2: Administrative
Services","SP 2: Administrative
Services","10,698,820","6,560,803","4,138,017",61.3,60,0
"SP 3: Research and Devel-
opment","SP 3: Research and Devel-
opment","6,260,298","5,820,880","439,418",93.0,60,0
"SP 4: Human resource
development and manage-
ment","SP 4: Human resource
development and manage-
ment","939,045",-,"939,045",0.0,60,0
Programme 2 Housing development and Human Settlement,,,,,,60,0
SP 1: Estate Management,SP 1: Estate Management,-,"934,558","(934,558)",0.0,60,0
SP 2: Housing Development,"SP 2: Housing Develop-
ment",-,-,-,0.0,60,0
sp3: Housing Grant,sp3: Housing Grant,"50,000,000",,"50,000,000",0.0,60,0
Total Housing,,"75,952,409","18,976,773","56,975,636",25.0,60,0
,,,,,,61,0
BUNGOMA MUNICIPALITY,,,,,,61,0
"Programme I: Urban Economy, General Administration, Planning and Support services",,,,,,61,0
"SP 1.1: Human Resource
Capacity Development and
Management","SP 1.1: Human Resource
Capacity Development and
Management","3,898,202",-,"3,898,202",0.0,61,0
"SP 1.2: General Administra-
tion and Support Services","SP 1.2: General Admin-
istration and Support
Services","14,191,933","8,511,626","5,680,307",60.0,61,0
"SP 1.3: Planning and Finan-
cial Management","SP 1.3: Planning and Finan-
cial Management","2,178,239",-,"2,178,239",0.0,61,0
"SP 1.4: Institutional Ac-
countability, Leadership,
Efficiency and Effectiveness","SP 1.4: Institutional Ac-
countability, Leadership,
Efficiency and Effectiveness","2,430,000",-,"2,430,000",0.0,61,0
"SP 1.5: Public Participation
and Outreach Services","SP 1.5: Public Participation
and Outreach Services","2,940,000",-,"2,940,000",0.0,61,0
Programme II: Urban Infrastructure Development and Management,,,,,,61,0
"SP 3.1: Urban Transport
and Infrastructure","SP 3.1: Urban Transport
and Infrastructure","198,876,358",-,"198,876,358",0.0,61,0
Total Expenditure,,"224,514,732","8,511,626","216,003,106",3.8,61,0
,,,,,,61,0
Kimilili Municipality,,,,,,61,0
"Programme 1: General Administration, Planning and Support services",,,,,,61,0
"SP1:General Adm. planning
and support services","SP1:General Adm. plan-
ning and support services","22,083,705","5,393,063","16,690,642",24.4,61,0
"SP2:Administration and HR
Services","SP2:Administration and
HR Services","1,745,987",-,"1,745,987",0.0,61,0
"Programme 2:Urban Infra-
structure Development and
management","Programme 2:Urban Infra-
structure Development and
management","364,952,055",-,"364,952,055",0.0,61,0
"Infrastructure. Housing and
public works","Infrastructure. Housing
and public works","364,952,055",-,"364,952,055",0.0,61,0
Total Expenditure,,"753,733,802","5,393,063","748,340,739",0.7,61,0
"Grand Total Lands, Housing & municipality",,"1,127,558,035","73,626,077","1,053,931,958",6.5,61,0
,,,-,-,,61,0
FINANCE AND ECONOMIC PLANNING,,,,,,61,0
"Economic development
planning and coordination
services","Economic development
planning and coordination
services","76,478,230","73,383,367","3,094,863",96.0,61,0
"Monitoring and evaluation
services","Monitoring and evaluation
services","37,337,494","23,252,255","14,085,239",62.3,61,0
Public finance management,Public finance management,"156,243,550",-,"156,243,550",0.0,61,0
"Human Resources Manage-
ment","Human Resources Man-
agement","701,815,431","456,752,759","245,062,672",65.1,61,0
"General administration,
planning, policy coordina-
tion and support services","General administration,
planning, policy coordina-
tion and support services","357,381,974","280,279,798","77,102,176",78.4,61,0
Total Expenditure,,"1,329,256,679","833,668,179","495,588,500",62.7,61,0
,,,,-,,61,0
PUBLIC ADMINISTRATION,,,,,,61,0
Public service Management and Administration,,,,,,61,0
"General administration,
planning and support
services","General administration,
planning and support
services","290,495,281","263,312,134","27,183,147",90.6,62,0
"Public Participation, Civic
Education and outreach
services","Public Participation, Civic
Education and outreach
services","7,400,000",-,"7,400,000",0.0,62,0
"Service Delivery and Orga-
nizational Transformation","Service Delivery and Orga-
nizational Transformation","17,000,000",-,"17,000,000",0.0,62,0
"Office of the County Secretary, ICT and County Attorney",,,,,,62,0
"General administration,
planning and support
services","General administration,
planning and support
services","262,541,621","74,060,411","188,481,210",28.2,62,0
"Kenya Devolution Support
Programme","Kenya Devolution Support
Programme","344,173,420","46,674,105","297,499,315",13.6,62,0
"ICT and information man-
agement services","ICT and information man-
agement services","8,914,028",-,"8,914,028",0.0,62,0
Total Expenditure,Total Expenditure,"930,524,350","384,046,650","546,477,700",41.3,62,0
,,,,,,62,0
GENDER AND YOUTHS,,,,,,62,0
"Programme 1: General Administration, Planning and Support services",,,,,,62,0
"Sp 1.2 Administrative
services","Sp 1.2 Administrative
services","57,899,981","54,035,135","3,864,846",93.3,62,0
"SP 1. 2.Compansation to
employees","SP 1. 2.Compansation to
employees","48,275,943","29,580,487","18,695,457",61.3,62,0
1.3 Staff training,1.3 Staff training,"2,000,000",-,"2,000,000",0.0,62,0
Sp1.4 DHRC Meeting,Sp1.4 DHRC Meeting,"1,000,000",-,"1,000,000",0.0,62,0
Sp1.5staff bonding,Sp1.5staff bonding,"1,200,000",-,"1,200,000",0.0,62,0
1.7 Planning and Budgeting,1.7 Planning and Budgeting,"2,500,000",-,"2,500,000",0.0,62,0
Programme:3.0 Gender Equality And Empowerment Of Vulnerable Groups,,,,,,62,0
"Sp3.1 Gender equality
framework","Sp3.1 Gender equality
framework","5,500,000",-,"5,500,000",0.0,62,0
"Sp3.2 Gender empower-
ment","Sp3.2 Gender empower-
ment","4,000,000",-,"4,000,000",0.0,62,0
"Sp3.3 Gender mainstream-
ing","Sp3.3 Gender mainstream-
ing","2,000,000",-,"2,000,000",0.0,62,0
"Sp3.4 Disability main-
streaming","Sp3.4 Disability main-
streaming","2,000,000",-,"2,000,000",0.0,62,0
Programme4.0 Sports Facility Development and Management,,,,,,62,0
"Sp 4.1Development of
sports facility","Sp 4.1Development of
sports facility","273,573,021","139,936,716","133,636,305",51.2,62,0
"Programme5.0 Sports
talent development and
management","Programme5.0 Sports
talent development and
management",,,,,62,0
"5.1Sports and talent devel-
opment established","5.1Sports and talent devel-
opment established","4,171,000",-,"4,171,000",0.0,62,0
Total Expenditure,Total Expenditure,"404,119,945","223,552,337","180,567,608",55.3,62,0
,,,,-,,62,0
PUBLIC SERVICE,,,,,,62,0
"Programme 1: General Administration, Planning and Support services",,,,,,62,0
"SP 1. 1 Administrative
service","SP 1. 1 Administrative
service","43,316,431","37,027,058","6,289,373",85.5,62,0
Programme 2: (Human Resource Management and Development),,,,,,62,0
