Programme,"Sub- Pro-
gramme","Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Medical Services Headquarters,403023710,"133,042,972","124,900,466","8,142,506",93.9,201,0
promotion and disease control,404013710,"3,677,301","697,350","2,979,951",19.0,201,0
promotion and disease control,404043710,"1,296,995",-,"1,296,995",-,201,0
Public Health Headquarters,403013710,"16,675,686","11,545,754","5,129,932",69.2,201,0
Public Health Headquarters,403023710,"1,700,000","814,795","885,205",47.9,201,0
Public Health Headquarters,403033710,"2,150,000","1,721,800","428,200",80.1,201,0
Rural Health Services,402033710,"382,746,480","357,952,475","24,794,005",93.5,201,0
Rural Health Services,404023710,"13,901,500","12,196,174","1,705,326",87.7,201,0
Rural Health Services,404033710,"63,184,279","21,897,502","41,286,777",34.7,201,0
Sub-total Health and Sanitation,,"3,523,135,357","3,134,206,700","388,928,657",89.0,201,0
"3717 Trade, Cooperatives and Investments",,,,,,201,0
cooperatives Headquarters,304013710,"11,626,609","7,671,231","3,955,378",66.0,201,0
cooperatives Headquarters,304023710,"44,670,200","27,711,542","16,958,658",62.0,201,0
"General Administration And Plan-
ning Headquarters",301013710,"329,008,397","229,817,681","99,190,716",69.9,201,0
Trade And Markets Headquarters,110013710,-,"440,200","(440,200)",#DIV/0!,201,0
Trade And Markets Headquarters,301013710,"112,948,895","99,545,397","13,403,498",88.1,201,0
Trade And Markets Headquarters,303023710,"4,441,675","2,212,260","2,229,415",49.8,201,0
"Sub-total Trade, Cooperatives and
Investments",,"502,695,776","367,398,311","135,297,465",73.1,201,0
3719 Environment and Natural Resources,,,,,,201,0
Energy Headquarters,1005013710,"5,401,195","1,636,465","3,764,730",30.3,201,0
Energy Headquarters,1006013710,"95,762,948","16,496,176","79,266,772",17.2,201,0
Environment Headquarters,1002013710,"13,446,282","2,977,039","10,469,243",22.1,201,0
Environment Headquarters,1003013710,"1,294,036","693,200","600,836",53.6,201,0
Environment Headquarters,1004013710,"2,163,023","1,831,300","331,723",84.7,201,0
"General Administration And Plan-
ning Headquarters",1001013710,"63,322,786","23,575,763","39,747,023",37.2,202,0
Headquarters,305013710,"4,209,922","726,700","3,483,222",17.3,202,0
Headquarters,305033710,"8,614,044","3,121,050","5,492,994",36.2,202,0
Headquarters,1003023710,"22,957,893","1,087,050","21,870,843",4.7,202,0
Mineral Resources Headquarters,1003013710,"7,863,316","3,077,080","4,786,236",39.1,202,0
Mineral Resources Headquarters,1003023710,"10,341,849","4,769,574","5,572,275",46.1,202,0
Mineral Resources Headquarters,1003043710,"10,178,577","5,415,450","4,763,127",53.2,202,0
Mineral Resources Headquarters,1007013710,"1,750,548","1,137,600","612,948",65.0,202,0
Mineral Resources Headquarters,1008013710,"2,117,236","1,213,700","903,536",57.3,202,0
"Sub-total Environment and Natural
Resources",,"249,423,655","67,758,147","181,665,508",27.2,202,0
"3720 Tourism, Sports and Culture",,,,,,202,0
Culture,307013710,"34,136,871","6,599,780","27,537,091",19.3,202,0
Culture,307023710,"12,928,447","5,607,620","7,320,827",43.4,202,0
Gender,308013710,"9,485,704","715,900","8,769,804",7.5,202,0
Gender,308023710,"2,411,550","683,800","1,727,750",28.4,202,0
"General Administration And Plan-
ning Headquarters",301013710,"36,916,890","9,970,435","26,946,455",27.0,202,0
sports,306013710,"22,487,347","12,197,749","10,289,598",54.2,202,0
sports,306023710,"65,523,009","20,892,667","44,630,342",31.9,202,0
"Sub-total Tourism, Sports and
Culture",,"183,889,818","56,667,951","127,221,867",30.8,202,0
3721 County Treasury,,,,,,202,0
Accounts Headquarters,704013710,"56,777,755","34,246,089","22,531,666",60.3,202,0
Accounts Headquarters,712053710,"17,423,824","11,871,279","5,552,545",68.1,202,0
Budgetary Supplies Headquarters,712013710,"155,361,803","89,878,527","65,483,276",57.9,202,0
Economic Affairs Headquarters,710013710,"88,555,135","55,597,970","32,957,165",62.8,202,0
Economic Affairs Headquarters,710023710,"12,741,471","10,263,468","2,478,003",80.6,202,0
Economic Affairs Headquarters,712023710,"12,126,930","9,712,585","2,414,345",80.1,202,0
"General Administration And Plan-
ning Headquarters",701013710,"411,812,807","127,210,848","284,601,959",30.9,202,0
Internal Audit Headquarters,712033710,"8,774,100","5,392,547","3,381,553",61.5,202,0
Sub-total County Treasury,,"763,573,825","344,173,313","419,400,512",45.1,202,0
"3722-Kitui - County Public Service
Board",,,,,,202,0
Board,713013710,"11,259,284","1,429,713","9,829,571",12.7,202,0
Board,713023710,"6,605,268","1,859,789","4,745,479",28.2,202,0
Board,714013710,"5,033,615","1,083,796","3,949,819",21.5,202,0
"General Administration And Plan-
ning Headquarters",701013710,"32,416,599","10,616,474","21,800,125",32.8,202,0
"Sub-total County Public Service
Board",,"55,314,766","14,989,772","40,324,994",27.1,202,0
3723 County Assembly,,,,,,202,0
"General Administration And Plan-
ning Headquarters",701013710,"395,712,894","193,653,414","202,059,480",48.9,202,0
Legislative Department Headquarters,715013710,"665,644,537","484,178,791","181,465,746",72.7,202,0
Sub-total County Assembly,,"1,061,357,431","677,832,205","383,525,226",63.9,202,0
3724 Kitui Municipality,,,,,,202,0
"General Administration and Plan-
ning- Headquarters",201013710,"49,757,428","25,191,214","24,566,214",50.6,202,0
"Environment, Culture, Recreation
and Community Development -
Headquarters",207013710,"35,394,963","10,648,079","24,746,884",30.1,203,0
finance headquarter,207023710,"34,065,000","11,299,466","22,765,534",33.2,203,0
"Trade, commerce & industrialisation",207033710,"13,385,097","5,555,746","7,829,351",41.5,203,0
"Planning, Development Control,
Transport and Infrastructure - Head-
quarters",207013710,"170,226,108","130,878,440","39,347,668",76.9,203,0
Sub-total Kitui Municipality,,"302,828,596","183,572,945","119,255,651",60.6,203,0
3725 Mwingi Town Administration,,,,,,203,0
"General Administration And Plan-
ning- Headquarters",109013710,"13,775,916","1,853,220","11,922,696",13.5,203,0
"General Administration And Plan-
ning- Headquarters",201013710,"67,060,500","18,940,265","48,120,235",28.2,203,0
"Planning, Development Control,
Transport and Infrastructure - Head-
quarters",207013710,"15,001,455","3,974,728","11,026,727",26.5,203,0
"Planning, Development Control,
Transport and Infrastructure - Head-
quarters",207023710,"1,090,400","582,550","507,850",53.4,203,0
"Planning, Development Control,
Transport and Infrastructure - Head-
quarters",207033710,"7,565,280","4,103,498","3,461,782",54.2,203,0
"General Administration And Plan-
ning- Headquarters",706013710,"2,316,250","2,607,274","(291,024)",112.6,203,0
"Environment, Culture, Recreation
and Community Development -
Headquarters",1001013710,"9,224,325","3,960,579","5,263,746",42.9,203,0
"Sub-total Mwingi Town Adminis-
tration",,"116,034,126","36,022,114","80,012,012",31.0,203,0
3726 Livestock apiculture and Fisheries Development,,,,,,203,0
Headquarters,101013710,"64,383,055","5,987,758","58,395,297",9.3,203,0
Headquarters,105013710,"1,852,271","365,931","1,486,340",19.8,203,0
Headquarters,106013710,"27,808,966","9,207,638","18,601,328",33.1,203,0
Headquarters,106023710,"33,808,540","9,810,776","23,997,764",29.0,203,0
"Sub-total Livestock apiculture and
Fisheries Development",,"127,852,832","25,372,103","102,480,729",19.8,203,0
3727 Lands and physical planning,,,,,,203,0
Headquarters,101013710,"50,371,843","21,606,381","28,765,462",42.9,203,0
Headquarters,108013710,"51,896,711","6,596,454","45,300,257",12.7,203,0
Headquarters,108023710,"42,178,096","18,397,742","23,780,354",43.6,203,0
"Sub-total lands and physical plan-
ning",,"144,446,650","46,600,577","97,846,073",32.3,203,0
Grand Total,,"12,468,742,561","8,221,079,809","4,247,662,752",65.9,203,0
