Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
,Accounting Services,"219,598,214","198,411,066","21,187,148",90,279,0
,Procurement Services,"18,207,570",0,"18,207,570",0,279,0
,Audit Services,"17,140,000","809,066","16,330,934",5,279,0
"Economic policy and county
planning","Budget Coordination and
Management","9,275,000",0,"9,275,000",0,279,0
,"Policy and Plans Develop-
ments","71,455,604","12,852,689","58,602,915",18,279,0
,Community Development,"2,936,705",0,"2,936,705",0,279,0
General Administration,"General Administra-
tion(Accounts)","467,710,563","197,546,766","270,163,797",42,279,0
,"General Administra-
tion(Planning)","23,215,449","5,129,307","18,086,142",22,279,0
,"General Administra-
tion(Planning)","7,000,000",0,"7,000,000",0,279,0
,Total,"906,792,253","438,566,023","468,226,230",48,279,0
Health-Medical services,,,,,,279,0
General administration,General administration,"22,313,762",0,"22,313,762",0,280,0
,"Infrastructure and Health
facility management","134,790,610","14,528,000","120,262,610",11,280,0
,"Purchase of Non-pharma-
ceuticals","209,192,500","39,366,427","169,826,073",19,280,0
,General administration,"1,535,588,719","1,271,740,246","263,848,473",83,280,0
,"Health standards, quality
assurance and standards","2,592,000","56,000","2,536,000",2,280,0
,"Policy Formulation, Plan-
ning, Implementation,
Monitoring","6,888,000",0,"6,888,000",0,280,0
Maternal Health Services,Maternal Health Services,"2,900,000",0,"2,900,000",0,280,0
"Preventive, promotive
Health services and Disease
Control","Human Nutrition and Di-
etetics","2,200,000",0,"2,200,000",0,280,0
,Malaria,"1,390,000",0,"1,390,000",0,280,0
,"Disease surveillance /
Emergency preparedness&
response","6,276,000",0,"6,276,000",0,280,0
,"Health promotion & edu-
cation","5,300,000",0,"5,300,000",0,280,0
,"Non Communicable Dis-
eases, Violence and Injuries","3,040,000",0,"3,040,000",0,280,0
,Total,"1,932,471,591","1,325,690,673","606,780,918",69,280,0
Health - Public health,,,,,,280,0
"Planning and administrative
support services","Administrative and sup-
port services","531,940,039","123,673,817","408,266,222",23,280,0
"Preventive and promotive
health services",Community health services,"70,960,000","1,584,900","69,375,100",2,280,0
"Curative, rehabilitative and
referral services","Pharmaceutical and
non-pharmaceutical com-
modities","115,840,164",0,"115,840,164",0,280,0
External funding,Donor funds,"59,698,750",,"59,698,750",0,280,0
,Total,"778,438,953","125,258,717","653,180,236",16,280,0
"Lands, Housing and Physical Planning",,,,,,280,0
Land development services,Survey Services,"68,623,600","30,940,000","37,683,600",45,280,0
General administration,General administration,"299,024,836","207,598,016","91,426,820",69,280,0
,General administration,"119,421,416","80,481,741","38,939,675",67,280,0
Physical planning services,General administration,"79,000,000",0,"79,000,000",0,280,0
,Total,"566,069,852","319,019,757","247,050,095",56,280,0
Public Service Management,,,,,,280,0
"Enhanced Management, Co-
ordination & Supervision.","Enhanced Management,
Coordination & Supervi-
sion.","43,450,000","3,245,810","40,204,190",7,281,0
General administration,"General administra-
tion(PSM)","87,790,791","9,793,300","77,997,491",11,281,0
,"General administra-
tion(PSB)","10,000,000",0,"10,000,000",0,281,0
,"General Administra-
tion(ICT)","40,558,596","1,240,000","39,318,596",3,281,0
,"General administra-
tion(PSM)","779,070,026","661,534,863","117,535,163",85,281,0
,"General administra-
tion(PSB)","59,840,094","2,398,000","57,442,094",4,281,0
"Human resources manage-
ment and Development",Personnel Services,"23,296,967","1,600,000","21,696,967",7,281,0
ICT Infrastructure,ICT Infrastructure,"27,160,000","11,487,540","15,672,460",42,281,0
,Technical Support,"6,500,000","2,210,000","4,290,000",34,281,0
,"Co-ordination of policy
formulation implementing
of vision 2030 and CIDP","1,300,000","999,000","301,000",77,281,0
Personnel management,"Human Resource Manage-
ment","12,100,000","1,595,875","10,504,125",13,281,0
,"Budget Formulation coor-
dination and Management","17,706,706","4,498,980","13,207,726",25,281,0
"Sub County Administration
Services","Devolved Units Develop-
ment Services","12,150,000","410,350","11,739,650",3,281,0
,Total,"1,120,923,180","701,013,718","419,909,462",63,281,0
"Roads, Transport and Public Works",,,,,,281,0
General administration,General administration,"110,365,434","31,312,192","79,053,242",28,281,0
Road management services,Road management services,"140,170,000","5,968,350","134,201,651",4,281,0
,Road management services,"1,035,271,341","163,924,995","871,346,347",16,281,0
,Total,"1,285,806,775","201,205,536","1,084,601,239",16,281,0
Trade Tourism and Cooperative Development,,,,,,281,0
General administration,General administration,"86,200,926","61,643,879","24,557,047",72,281,0
,General administration,"66,998,476","20,659,039","46,339,437",31,281,0
,Verification,"1,800,000",0,"1,800,000",0,281,0
,"Trade Development and
Promotion SME","72,767,000","28,345,407","44,421,593",39,281,0
,"Trade Infrastructure Devel-
opment Services","32,689,402","2,099,440","30,589,962",6,281,0
,Total,"260,455,804","112,747,764","147,708,040",43,281,0
Water And Energy,,,,,,281,0
