Programme,Description,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
,General Administration Support Services,"242,657,578","147,712,764","94,944,814",60.9,118,0
723003510,County Public Service,"59,706,625","54,917,633","4,788,992",92.0,118,0
,Administration Support Services,"59,706,625","54,917,633","4,788,992",92.0,118,0
725003510,Special programmes,"254,303,285","197,981,402","56,321,883",77.9,118,0
,Disaster management,"254,303,285","197,981,402","56,321,883",77.9,118,0
726003510,"KDSP (Kenya Devolution Support Pro-
gramme) Conditional Grant",-,"- 156,000","156,000",-,118,0
,Kenya Devolution Support,-,"- 156,000","156,000",-,118,0
1001003510,"Provision & Management of domestic & live-
stock rural water supply","101,570,612","31,893,250","69,677,362",31.4,118,0
,Administration and Planning Support Services,"101,570,612","31,893,250","69,677,362",31.4,118,0
1003003510,"Conservation of Environment & Natural Re-
sources","39,829,941","9,425,000","30,404,941",23.7,118,0
,Administration and Support Services,"39,829,941","9,425,000","30,404,941",23.7,118,0
,Sub Total,"3,721,278,400","2,506,224,480","1,215,053,920",67.3,118,0
101003510,"Livestock resource management and develop-
ment","38,131,151","26,475,000","11,656,151",69.4,118,0
,Livestock Production,"38,131,151","26,475,000","11,656,151",69.4,118,0
102003510,Fisheries development,"32,000,000","10,300,000","21,700,000",32.2,118,0
,Capacity building,"32,000,000","10,300,000","21,700,000",32.2,118,0
104003510,Crop Productivity Improvement,"587,716,962","77,110,983","510,605,979",13.1,118,0
,Increase food productivity & output by 30%.,-,-,-,-,118,0
,Establishment of Demo Farms,"43,498,333",-,"43,498,333",-,118,0
,Administration Climate Change Mitigation,"544,218,629","77,110,983","467,107,646",14.2,118,0
107003510,"Planning and Survey of Urban Areas (Modo-
gashe and Ol ndonyiro)",-,-,-,-,118,0
,Administration and Planning Services,-,-,-,-,118,0
109003510,Land Survey and land use planning,"22,753,823","9,607,930","13,145,893",42.2,118,0
,County Land Survey and Mapping,"22,753,823","9,607,930","13,145,893",42.2,118,0
204003510,Public Works.,"118,784,675","51,505,178","67,279,497",43.4,118,0
,Estate Flood lighting facilities.,"118,784,675","51,505,178","67,279,497",43.4,118,0
206003510,KUSP,-,-,-,-,118,0
,Urban Development,-,-,-,-,119,0
207003510,Municipal Administration,"177,121,082","48,074,868","129,046,214",27.1,119,0
,Infrastructural Development,"177,121,082","48,074,868","129,046,214",27.1,119,0
301003510,Trade development and promotion,"2,500,000",-,"2,500,000",-,119,0
,"Entrepreneurship and business management
training","2,500,000",-,"2,500,000",-,119,0
304003510,Tourism Promotion,"10,000,000","4,000,000","6,000,000",40.0,119,0
,Protection of endangered wildlife animals.,"10,000,000","4,000,000","6,000,000",40.0,119,0
401003510,Health Preventive and Promotive Services,"136,729,585","88,516,423","48,213,162",64.7,119,0
,Preventive and Promotive Health Services,"136,729,585","88,516,423","48,213,162",64.7,119,0
502003510,Provision of education and training services,"21,363,760","8,266,178","13,097,582",38.7,119,0
,ECDE Classroom Infrastructure,"21,363,760","8,266,178","13,097,582",38.7,119,0
,Promotion of Quality Youth empowerment,-,-,-,-,119,0
503003510,Cultural and Arts Empowerment,"4,892,403","4,882,403","10,000",99.8,119,0
,,"4,892,403","4,882,403","10,000",99.8,119,0
504003510,"Management and development of Sports and
sports facilities","134,975,000","62,298,856","72,676,144",46.2,119,0
,Sports Academy Centre,"134,975,000","62,298,856","72,676,144",46.2,119,0
709003510,Administration and support services,"351,234,519","220,869,022","130,365,497",62.9,119,0
,Administrative Infrastructure support,"80,234,519","2,441,871","77,792,648",3.0,119,0
,Public Financial Management Services,"271,000,000","218,427,151","52,572,849",80.6,119,0
712003510,Cohesion and Peace Building,-,-,-,-,119,0
,Administrative and Civic Education Services,-,-,-,-,119,0
725003510,Special programmes,"110,000,000","6,270,000","103,730,000",5.7,119,0
,Disaster management,"110,000,000","6,270,000","103,730,000",5.7,119,0
726003510,"KDSP (Kenya Devolution Support Pro-
gramme) Conditional Grant","120,374,189",-,"120,374,189",-,119,0
,Kenya Devolution Support,"120,374,189",-,"120,374,189",-,119,0
902003510,,"31,700,000","1,903,000","29,797,000",6.0,119,0
,"Marginalized Group Empowerment support
services","19,700,000","1,903,000","17,797,000",9.7,119,0
,Empowerment Support Services,"12,000,000",-,"12,000,000",-,119,0
1002003510,Water Supply and Storage Services,"152,225,167","106,328,780","45,896,387",69.8,119,0
