Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
"Programme 4: Disaster
Management and Hu-
manitarian Assistance","Sub-programme 4.1 Disaster
Management and Humanitar-
ian Assistance","5,500,000","1,315,573","4,184,427",23.9,316,0
Sub Total,,"5,500,000","1,315,573","4,184,427",23.9,316,0
"Department of Agriculture, Livestock and Fisheries",,,,,,316,0
"Programme 1: Admin-
istration, Planning and
Support Services","SP 1.1: Human Resources Ser-
vices","336,085,782",-,"336,085,782",0.0,316,0
Sub Total,,"714,161,735","110,241,738","603,919,997",15.4,317,0
"Programme 2: Live-
stock Resource Man-
agement and Develop-
ment","SP 2.1: Livestock Production
and Management","151,346,882","6,050,400","145,296,482",4.0,317,0
,"SP 2.2: Promotion of Value Ad-
dition of Livestock and Live-
stock Products","29,203,118","75,150","29,127,968",0.3,317,0
,"SP 2.3: Livestock Extension
Service Delivery","29,230,295","59,150","29,171,145",0.2,317,0
,"SP 2.4: Food Safety and Live-
stock Products Development","9,050,000","41,000","9,009,000",0.5,317,0
,"SP 2.5: Livestock Disease Man-
agement and Control","50,383,413","73,751,674","(23,368,261)",146.4,317,0
Sub Total,,"269,213,708","79,977,374","189,236,334",29.7,317,0
"Programme 3: Fisheries
Development","SP 3.1: Aquaculture develop-
ment","10,500,000","2,405,340","8,094,660",22.9,317,0
,"SP 3.2: Development of capture
fisheries resources","3,871,070","320,550","3,550,520",8.3,317,0
,"SP 3.3: Fish quality assurance,
value addition and marketing","2,562,140","145,290","2,416,850",5.7,317,0
Sub Total,,"16,933,210","2,871,180","14,062,030",17.0,317,0
"Programme 4: Crop
Development and
Management","SP 4.1: Extension, Research
and Training","6,308,006","247,875","6,060,131",3.9,317,0
,"SP 4.2: Crop Production and
Food Security","383,601,617","5,856,892","377,744,725",1.5,317,0
,"SP 4.3: Farm land utilization,
Conservation and Mechaniza-
tion","5,775,287","1,021,750","4,753,537",17.7,317,0
,"SP 4.4: Agribusiness Develop-
ment and Marketing","4,020,230","175,260","3,844,970",4.4,317,0
,SP 4.5: Agri-nutrition,"755,057","63,750","691,307",8.4,317,0
Sub Total,,"400,460,197","7,365,527","393,094,670",1.8,317,0
"Department of Lands, Physical Planning and Housing",,,,,,317,0
"Programme 1: Admin-
istration, Planning,
Management and Sup-
port Services","SP 1.1 Administration and fi-
nancial service","120,086,278","76,100,265","43,986,013",63.4,317,0
Sub Total,,"120,086,278","76,100,265","43,986,013",63.4,317,0
"Programme 2: Land
Use Planning and Sur-
vey","SP 2.1 Nakuru County Land
use plan","95,780,964","65,293,888","30,487,076",68.2,317,0
,"SP 2.2 Land Information Man-
agement System (LIM)","500,000","150,000","350,000",30.0,317,0
,"SP 2.3 Surveying and Mapping
of county","33,735,888","4,398,264","29,337,624",13.0,317,0
,"SP 2.4 Urban Plan and Devel-
opment","1,301,615","650,000","651,615",49.9,317,0
,"SP 2.5 Surveying of Urban
Centres","1,000,000","430,000","570,000",43.0,317,0
,"SP 2.6 Surveying of County
Estate and facilitation of Lease
processing","1,500,000","720,000","780,000",48.0,318,0
,"SP 2.7 Establishment of a sur-
vey Centre and Mapping Cen-
tre","1,058,385","375,000","683,385",35.4,318,0
Sub Total,,"134,876,852","72,017,152","62,859,700",53.4,318,0
"Programme 3: Hous-
ing Development and
Management","SP 3.1 Maintenance of County
Houses","3,500,000","1,825,701","1,674,299",52.2,318,0
,"SP 3.2 Housing Technology
Establishment of five Constit-
uency Building Technology
Centres","13,097,454","300,000","12,797,454",2.3,318,0
,"SP 3.3 Development of Hous-
ing Infrastructure","39,478,226","6,431,346","33,046,880",16.3,318,0
Sub Total,,"56,075,680","8,557,047","47,518,633",15.3,318,0
Office of the Governor and Deputy Governor -,,,,,,318,0
"Administration, Plan-
ning and Support",Administration and Planning,"259,804,704","21,857,923","237,946,781",8.4,318,0
,Personnel Services,"94,514,968","5,887,373","88,627,595",6.2,318,0
Sub Total,,"354,319,672","27,745,296","326,574,376",7.8,318,0
"Management of County
Affairs",County Executive Services,"14,352,112","5,666,827","8,685,285",39.5,318,0
,"Policy Direction and Coordi-
nation","82,176,056","50,434,493","31,741,563",61.4,318,0
,County Policing Services,"4,305,633","2,123,000","2,182,633",49.3,318,0
,Leadership and Governance,"2,870,422","1,200,300","1,670,122",41.8,318,0
Sub Total,,"103,704,223","59,424,620","44,279,603",57.3,318,0
"Coordination and Su-
pervisory Services","The organisation of County
Business","21,528,167","10,820,000","10,708,167",50.3,318,0
,Special Programmes,"7,176,056","5,400,200","1,775,856",75.3,318,0
Sub Total,,"28,704,223","16,220,200","12,484,023",56.5,318,0
"Department of Education, ICT and E-Government",,,,,,318,0
"Programme 1: Admin-
istration, Planning and
Support Services",S.P. 1:1 Personnel services,"374,561,593","141,573,486","232,988,107",37.8,318,0
,"S.P. 1:2 Administration and
Support Services","599,242,852","91,012,887","508,229,965",15.2,318,0
,S.P. 1.3: Financial services,-,-,-,,318,0
Sub Total,,"973,804,445","232,586,373","741,218,072",23.9,318,0
"Programme 2: Promo-
tion of Early Child-
hood Education and
Development","S.P. 2.1: Promotion of early
childhood","36,639,846","3,345,730","33,294,116",9.1,318,0
,S.P. 2.2: Bursaries,"254,763,210","240,720,488","14,042,722",94.5,318,0
,"S.P. 2.3: Education develop-
ment","19,311,176",-,"19,311,176",0.0,318,0
Sub Total,,"310,714,232","244,066,218","66,648,014",78.6,318,0
"Programme 3: Voca-
tional Training",S.P. 3.1: Vocational training,"81,437,259","31,761,289","49,675,970",39.0,318,0
,"S.P. 3.2: Revitalisation of youth
programme","77,049,914",-,"77,049,914",0.0,319,0
Sub Total,,"158,487,173","31,761,289","126,725,884",20.0,319,0
"Programme 4: Infor-
mation and Communi-
cation Service","S.P. 4.1: Public Communica-
tion and Media Services","18,491,437","6,452,453","12,038,984",34.9,319,0
Sub Total,,"18,491,437","6,452,453","12,038,984",34.9,319,0
"Programme 5: ICT
Infrastructure Devel-
opment and e-Govern-
ment Services","S.P. 5.1: Network Infrastruc-
ture","6,800,000",-,"6,800,000",0.0,319,0
,"S.P. 5.2: Hardware and Soft-
ware platforms","5,000,000",-,"5,000,000",0.0,319,0
,"S.P. 5.3: e-Government Ser-
vices","18,352,000","5,192,554","13,159,446",28.3,319,0
Sub Total,,"30,152,000","5,192,554","24,959,446",17.2,319,0
"Department of Trade, Industry Marketing and Tourism",,,,,,319,0
"Programme 1: Admin-
istration, Planning and
Support Services","SP 1.1: Administration, Plan-
ning and Support Services","43,252,574","23,257,320","19,995,254",53.8,319,0
,SP 1.2: Personnel Services,"49,117,214","30,204,638","18,912,576",61.5,319,0
,SP 1.3: Financial Services,-,-,-,,319,0
Sub Total,,"92,369,788","53,461,959","38,907,830",57.9,319,0
"Programme 2: Cooper-
ative Development and
Management","SP 2.1: Enhance Marketing
Cooperatives","24,700,000",,"24,700,000",0.0,319,0
,"SP 2.2: Sacco Member Empow-
erment","5,646,036","4,603,839","1,042,197",81.5,319,0
,"SP 2.3: Enforcement of Com-
pliance in Cooperatives","1,863,964",-,"1,863,964",0.0,319,0
,SP 2.4: Extension Services,"2,600,000",-,"2,600,000",0.0,319,0
Sub Total,,"34,810,000","4,603,839","30,206,161",13.2,319,0
"Programme 3: Com-
merce and Enterprise","SP.3:1 Business Development
Services for SMEs","12,000,000","3,195,923","8,804,077",26.6,319,0
,"SP 3.2: Facilitating Producer
Business Groups (PBGs)","3,840,000",-,"3,840,000",0.0,319,0
,SP 3.3: SME Funding,"52,000,000",-,"52,000,000",0.0,319,0
,SP 3.4: Trade Licensing,"2,800,000",-,"2,800,000",0.0,319,0
,SP 3.5: Consumer Protection,"4,455,000","1,733,400","2,721,600",38.9,319,0
Sub Total,,"75,095,000","4,929,323","70,165,677",6.6,319,0
"Programme 4: Market
Rehabilitation and De-
velopment","SP 4.1: Rehabilitation and Ren-
ovation of Existing Markets","280,434,558","70,592,353","209,842,205",25.2,319,0
,"SP 4.2: Development of Retail
and Wholesale Markets in Na-
kuru","10,500,000",,"10,500,000",0.0,319,0
,"SP 4.3: Market Users Delivery
Services","28,950,000","21,532,194","7,417,806",74.4,319,0
Sub Total,,"319,884,558","92,124,548","227,760,010",28.8,319,0
"Programme 5: Promo-
tion of Tourism and
Markets","SP 5.1: Promotion of Local
Tourism","4,750,000","2,700,800","2,049,200",56.9,319,0
,"SP 5.2: Establishment and
Management of County Tour-
ism Information Centre","12,000,000",,"12,000,000",0.0,320,0
Sub Total,,"16,750,000","2,700,800","14,049,200",16.1,320,0
"Department of Youth, Culture, Sports and Social Services",,,,,,320,0
"Programme 1: Admin-
istration, Planning and
Support Services",SP 1.2 Administration,"141,734,295","57,976,749","83,757,546",40.9,320,0
,SP 1.3 Personnel services,"114,639,196","1,926,468","112,712,728",1.7,320,0
,SP 1.4 Financial services,"2,100,000","736,754","1,363,246",35.1,320,0
Sub Total,,"258,473,491","60,639,971","197,833,520",23.5,320,0
"Programme 2: Devel-
opment of Socio-Cul-
tural Diversity, Eco-
nomic Empowerment
and Responsible Gam-
ing","SP 2.2 Cultural development
activities","17,900,000","2,089,218","15,810,782",11.7,320,0
,"SP 2.3 Gender development
activities","6,500,000","2,757,218","3,742,782",42.4,320,0
,"SP 2.4 Promotion of responsi-
ble gaming.","1,800,000","1,350,000","450,000",75.0,320,0
,"SP 2.5 Social Development ac-
tivities","13,557,866","3,599,202","9,958,664",26.5,320,0
,"SP 2.6 Social-Cultural Devel-
opment","14,640,737",-,"14,640,737",0.0,320,0
Sub Total,,"54,398,603","9,795,638","44,602,965",18.0,320,0
"Programme 3: Manage-
ment and Development
of Sports, Recreation
and Sports Facilities","SP 3.2 Development of Sports
Infrastructure","93,000,000","24,637,786","68,362,214",26.5,320,0
,SP 3.3 Sporting Tournament,"11,485,866","4,483,207","7,002,659",39.0,320,0
,SP 3.4 Sports Funding.,"53,034,886","26,531,325","26,503,561",50.0,320,0
Sub Total,,"157,520,752","55,652,318","101,868,434",35.3,320,0
"Programme 4: Youth
Empowerment and
Participation","SP 4.2 Youth empowerment
and participation","177,868,962","5,199,600","172,669,362",2.9,320,0
,SP 4.3 Youth development,-,-,-,,320,0
Sub Total,,"177,868,962","5,199,600","172,669,362",2.9,320,0
"Department of Infrastructure, Roads, Public Works and Transport",,,,,,320,0
"Programme 1: Admin-
istration, Planning and
Support Services","SP 1.1. Administrative ser-
vices.","50,976,207","17,269,194","33,707,014",33.9,320,0
,SP 1.2: Personnel services.,"159,342,630","92,990,967","66,351,663",58.4,320,0
,SP 1.3: Financial Services.,-,-,-,,320,0
Sub Total,,"210,318,837","110,260,161","100,058,677",52.4,320,0
