Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"SP 3-(Youth Vocational
training)","24,184,886.00","647,800.00","23,537,086.00",2.68%,473,0
,SP 4-(Bursary Fund),"553,000,000.00","400,000,000.00","153,000,000.00",72.33%,473,0
,SP 5 - (Ward specific),"163,786,174.00","14,159,803.20","149,626,370.80",8.65%,473,0
,TOTAL,"1,138,610,097.00","669,139,276.66","469,470,820.34",58.77%,473,0
"AGRICULTURE AND
IRRIGATION",,,,,,473,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","75,008,315.00","57,249,202.60","17,759,112.40",76.32%,473,0
,"SP 2-(Crop Development
and Management)","454,124,020.00","8,180,240.00","445,943,780.00",1.80%,473,0
,"SP 3-(Cash Crop Produc-
tion(Special Programs)","19,542,000.00","1,666,250.00","17,875,750.00",8.53%,473,0
,SP 4 -(Ward specific),"18,400,000.00","1,598,772.50","16,801,227.50",8.69%,474,0
,TOTAL,"567,074,335.00","68,694,465.10","498,379,869.90",12.11%,474,0
PASTORAL ECONOMY,,,,,,474,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","68,672,569.00","130,303,397.00","- 61,630,828.00",189.75%,474,0
,"SP 2 - (Livestock production
and Range Management)","132,466,492.00","46,842,836.00","85,623,656.00",35.36%,474,0
,"SP 3-(Livestock Disease
management)","5,718,400.00","1,498,450.00","4,219,950.00",26.20%,474,0
,"SP 4-(Fisheries Develop-
ment)","434,400.00",-,"434,400.00",0.00%,474,0
,"SP 5-(Nasukuta Livestock
Improvement Center)","743,500.00",-,"743,500.00",0.00%,474,0
,SP 6 -(Ward specific),"67,305,140.00",-,"67,305,140.00",0.00%,474,0
,"SP 7 -(Dairy Develop-
ment(Special Programmes)","3,142,000.00",-,"3,142,000.00",0.00%,474,0
,TOTAL,"278,482,501.00","178,644,683.00","99,837,818.00",64.15%,474,0
"TRADE, INDUSTRIALI-
SATION, INVESTMENT
& COOPERATIVES DE-
VELOPMENT",,,,,,474,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","84,389,786.00","57,345,273.00","27,044,513.00",67.95%,474,0
,"SP 2-(Cooperative Develop-
ment)","116,861,155.00","28,091,618.00","88,769,537.00",24.04%,474,0
,"SP 3 - (Trade,License and
Market Development)","6,860,000.00","1,928,000.00","4,932,000.00",28.10%,474,0
,SP 4-(Ward specific),"21,873,887.00","997,362.00","20,876,525.00",4.56%,474,0
,TOTAL,"229,984,828.00","88,362,253.00","141,622,575.00",38.42%,474,0
"LANDS, HOUSING,
PHYSICAL PLANNING
AND URBAN DEVEL-
OPMENT",,,,,,474,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","63,412,857.00","53,141,357.00","10,271,500.00",83.80%,474,0
,"SP 2 -(Land Policy and Phys-
ical Planning)","3,753,800.00","2,416,600.00","1,337,200.00",64.38%,474,0
,"SP 3-(Housing Develop-
ment)","912,000.00","764,450.00","147,550.00",83.82%,474,0
,SP 4-(Urban Development),"16,092,650.00","7,292,365.90","8,800,284.10",45.31%,474,0
,"SP 5-(Kapenguria Munici-
pality)","74,408,048.00","10,256,688.80","64,151,359.20",13.78%,474,0
,SP 6-(Ward specific),"3,801,728.00",-,"3,801,728.00",0.00%,474,0
,TOTAL,"162,381,083.00","73,871,461.70","88,509,621.30",45.49%,474,0
"WATER, ENVIRON-
MENT AND NATURAL
RESOURCES",,,,,,474,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","71,803,452.00","47,110,228.10","24,693,223.90",65.61%,474,0
,"SP 2 -(Water Supply Ser-
vices)","165,163,597.00","28,048,238.05","137,115,358.95",16.98%,474,0
,"SP 3 -(Environment & Nat-
ural Resource Development)","12,081,280.00",-,"12,081,280.00",0.00%,474,0
,SP 4 -(Ward Specific),"179,249,599.00","25,391,182.00","153,858,417.00",14.17%,474,0
,TOTAL,"428,297,928.00","100,549,648.15","327,748,279.85",23.48%,474,0
"YOUTH, SPORTS,
TOURISM, GENDER
AND SOCIAL SER-
VICES.",,,,,,475,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","88,644,206.00","50,546,139.40","38,098,066.60",57.02%,475,0
,"SP 2-(Tourism Develop-
ment)","3,978,413.00","2,821,650.00","1,156,763.00",70.92%,475,0
,"SP 3-(Gender, Youths and
sports Development)","30,066,426.00","5,293,750.00","24,772,676.00",17.61%,475,0
,"SP 4(Culture and Social De-
velopment)","1,939,718.00","527,500.00","1,412,218.00",27.19%,475,0
,SP 5-(Ward Specific),"18,652,289.00","999,920.00","17,652,369.00",5.36%,475,0
,TOTAL,"143,281,052.00","60,188,959.40","83,092,092.60",42.01%,475,0
"COUNTY PUBLIC SER-
VICE, ICT AND DECEN-
TRALISED UNITS",,,,,,475,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","167,297,374.00","110,812,508.40","56,484,865.60",66.24%,475,0
,SP 2-(Human Resource),"2,344,000.00","870,300.00","1,473,700.00",37.13%,475,0
,SP 3-(Legal Services),"26,286,089.00","11,352,300.00","14,933,789.00",43.19%,475,0
,"SP 4 - (Records Manage-
ment)","2,144,000.00","451,250.00","1,692,750.00",21.05%,475,0
,"SP 5- (Communication Ser-
vices)","840,000.00","626,600.00","213,400.00",74.60%,475,0
,"SP 6 - (ICT Infrastructure
Connectivity)","2,116,422.00","605,600.00","1,510,822.00",28.61%,475,0
,SP 7 - (Field Administration),"18,751,680.00","5,831,714.47","12,919,965.53",31.10%,475,0
,TOTAL,"219,779,565.00","130,550,272.87","76,309,326.60",59.40%,475,0
"SPECIAL PRO-
GRAMMES AND DI-
RECTORATES",,,,,,475,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","17,844,444.00","12,362,337.40","5,482,106.60",69.28%,475,0
,SP 2 -(Dairy Development),-,-,-,0.00%,475,0
,SP 3-(Cash crop production),-,-,-,0.00%,475,0
,"SP 4-(Investment and Coop-
erative development)","575,900.00","490,700.00","85,200.00",85.21%,475,0
,"SP 5 - (Emergency and disas-
ter response)","41,250,000.00","1,174,300.00","40,075,700.00",2.85%,475,0
,"SP 6 -(Peace building and
reconciliation)","5,826,000.00","4,939,400.00","886,600.00",84.78%,475,0
,"SP 7- (Resource mobilization
and Coordination)","1,350,000.00","1,152,600.00","197,400.00",85.38%,475,0
,"SP 8(Gender and special
needs)","10,640,000.00","3,088,750.00","7,551,250.00",29.03%,475,0
,TOTAL,"77,486,344.00","23,208,087.40","54,278,256.60",29.95%,475,0
COUNTY ASSEMBLY,,,,,,475,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","381,953,923.00","167,554,111.00","214,399,812.00",43.87%,475,0
,"SP 2 -(Legislation and Rep-
resentation)","242,853,618.00","128,452,688.00","114,400,930.00",52.89%,475,0
,"SP 3-(Staff Affairs and devel-
opment)","47,365,967.00","19,672,936.00","27,693,031.00",41.53%,475,0
,TOTAL,"672,173,508.00","315,679,735.00","356,493,773.00",46.96%,475,0
