Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"cooperative audit extension ser-
vices","5,240,458","4,024,735","1,215,723",76.8,356,0
Urban development,Urban development,"42,759,912","6,968,513","35,791,399",16.3,356,0
Ol'kalou municipality,Ol'kalou municipality,"65,956,600","5,460,351","60,496,249",8.3,356,0
Sub Total,,"312,141,970","49,213,084","262,928,886",15.8,356,0
Sports,Sports Development,"92,725,000","19,342,456","73,382,544",20.9,356,0
Youth Affairs,Youth Affairs,"30,950,000","14,063,884","16,886,116",45.4,356,0
"Gender Affairs and Social
Services & youth empow-
erment",Social Services,"125,360,000","43,753,848","81,606,152",34.9,356,0
,Gender Affairs and Social Services,"3,950,000","2,591,938","1,358,062",65.6,356,0
"General administration,
planning and support
sevices","Alcohol Drinks Control and Civic
Education","6,750,000","6,750,000",-,100.0,356,0
Sub Total,,"259,735,000","86,502,126","173,232,874",33.3,356,0
"Water Resource Develop-
ment.","water resource conservation and
protection, infrastructure and flood
control","224,521,789","20,047,983","204,473,806",8.9,356,0
Environment,"environmental support and man-
agement","26,850,000","8,029,069","18,820,931",29.9,356,0
,climate change resilience,"24,600,000","6,918,572","17,681,428",28.1,356,0
,natural resource,"1,800,000","999,380","800,620",55.5,356,0
"Tourism development and
promotion","tourism infrastructure develop-
ment","77,226,469","25,819,339","51,407,130",33.4,356,0
"Irrigation and Drainage
infrastructure","promotion of irrigation and drain-
age development and management","8,400,000","1,330,975","7,069,025",15.8,356,0
Sub Total,,"363,398,258","63,145,318","300,252,940",17.4,356,0
Road transport,"Transport (Including fuel level,
General Administration & Support
Services)","636,046,261","173,187,381","462,858,880",27.2,356,0
,Public Works,"233,363,199","68,605,974","164,757,225",29.4,356,0
"Alternative energy technol-
ogies",alternative energy technologies,"75,210,000","27,414,406","47,795,594",36.5,356,0
"General administration,
planning and support
services","Emergency Response & Prepared-
ness","4,100,000","2,599,305","1,500,695",63.4,356,0
Sub Total,,"948,719,460","271,807,066","676,912,394",28.6,356,0
Land policy and planning,Physical Planning,"9,510,455","4,408,465","5,101,990",46.4,356,0
,Survey and Mapping,"8,988,000","3,870,715","5,117,285",43.1,356,0
,"Land Administration and Manage-
ment","49,851,545","5,631,707","44,219,838",11.3,356,0
Housing,Housing,"8,170,000","1,300,675","6,869,325",15.9,356,0
Sub Total,,"76,520,000","15,211,562","61,308,438",19.9,356,0
