Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
,Subtotal,"544,914,914","371,066,202","173,848,712",68.1,107,0
"ECDE and Vocational
Training Services",EYE Services,"65,000,000","49,453,077","15,546,923",76.1,107,0
,Vocational Training Services,"39,100,000",-,"39,100,000",-,107,0
,Subtotal,"104,100,000","49,453,077","54,646,923",76,107,0
,ICT Infrastructure Development,"26,000,000",-,"26,000,000",-,107,0
,Subtotal,"26,000,000",-,"26,000,000",-,107,0
Department of Health Services,,,,,,107,0
"Policy planning and
administrative support
service","Policy, Planning and Monitoring
Services","3,771,000",-,"3,771,000",-,108,0
,Administrative Support Services,"1,923,223,195","1,786,171,233","137,051,962",92.9,108,0
,Subtotal,"1,926,994,195","1,786,171,233","140,822,962",92.7,108,0
"Preventive and promo-
tive health services",Community health services,"63,650,000","6,434,379","57,215,621",10.1,108,0
,Disease control services,"47,250,000",-,"47,250,000",-,108,0
,"Facility infrastructure improve-
ment services","117,000,000","58,435,899","58,564,101",,108,0
,Subtotal,"227,900,000","64,870,278","163,029,722",28.5,108,0
"Curative and rehabilita-
tive health services",Routine medical health services,"224,173,731","91,120,278","133,053,453",40.6,108,0
,"Medical emergency response ser-
vices","18,000,000",-,"18,000,000",-,108,0
,"Facility infrastructure improve-
ment services","283,300,000","129,747,097","153,552,903",45.8,108,0
,Subtotal,"525,473,731","220,867,375","304,606,356",86,108,0
"Research and develop-
ment service","Research and surveillance ser-
vices","2,000,000",-,"2,000,000",-,108,0
,Capacity development services,"3,000,000",-,"3,000,000",-,108,0
,Subtotal,"5,000,000",-,"5,000,000",-,108,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,108,0
"General Administration
Services","General administrative support
services","36,675,033","21,400,000","15,275,033",58.4,108,0
,Subtotal,"36,675,033","21,400,000","15,275,033",58.4,108,0
"Lands and Physical
planning",Spatial planning Services,"35,000,000","14,881,138","20,118,862",42.5,108,0
,Survey and Valuation Services,"17,999,978","4,632,011","13,367,967",25.7,108,0
,Subtotal,"52,999,978","19,513,149","33,486,829",68,108,0
"Housing and Urban De-
velopment",Housing improvement services,"5,857,914",-,"5,857,914",-,108,0
,Urban Development Services,"75,809,978","38,922,750","36,887,228",51.3,108,0
,Subtotal,"81,667,892","38,922,750","5,857,914",0,108,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,108,0
"Planning and Adminis-
trative services","Administrative and Support Ser-
vices","126,008,571","118,692,428","7,316,143",94.2,108,0
,"Policy Development and Imple-
mentation Services","6,519,327",-,"6,519,327",-,108,0
,Subtotal,"132,527,898","118,692,428","13,835,470",89.6,108,0
,"Enterprise Development and Pro-
motion Services","12,700,000","12,700,000",-,100.0,108,0
,"Trade Infrastructure Develop-
ment Services","40,000,000","34,402,535","5,597,465",86.0,108,0
,Subtotal,"52,700,000","47,102,535","5,597,465",186,108,0
"Industrial Development
and Investment Services","Value Chain Development Ser-
vices","31,200,000","31,200,000",-,100.0,108,0
,Subtotal,"31,200,000","31,200,000",-,100.0,108,0
"Department of Water, Environment and Natural Resources",,,,,,108,0
"General Administrative
services",Administrative Support Services,"58,420,102","45,088,872","13,331,230",77.2,108,0
,Policy and Planning Services,"55,680,308","35,000,000","20,680,308",62.9,108,0
,Subtotal,"114,100,410","80,088,872","34,011,538",70.2,108,0
"Water Supply and Man-
agement Services",Urban Water Supply Services,"19,980,000",-,"19,980,000",-,108,0
,Rural Water Supply Services,"251,320,000","219,484,162","31,835,838",87.3,108,0
,"Maintenance of Water Supply Ser-
vices","6,000,000",-,"6,000,000",-,108,0
,Subtotal,"277,300,000","219,484,162","51,815,838",87,108,0
"Environmental Protec-
tion and Management
Services","Pollution and Waste Management
services","21,000,000","11,000,000","10,000,000",52.4,108,0
,Forestry Development Services,"13,500,000",-,"13,500,000",-,108,0
,Climate Change Services,"10,500,000",-,"10,500,000",-,108,0
,Subtotal,"45,000,000","11,000,000","34,000,000",24.4,108,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,108,0
"General administration
and support services","Staff Remuneration and Welfare
Support Services","224,042,613","160,491,715","63,550,898",71.6,109,0
,"General Logistics, Coordination
and Asset Management Services","16,177,300","10,177,100","6,000,200",62.9,109,0
,"Devolution and Service Delivery
Support Services","15,975,642","6,930,275","9,045,367",43.4,109,0
,Subtotal,"256,195,555","177,599,090","78,596,465",69.3,109,0
"Planning, budgeting
and development coor-
dination services","Economic planning and develop-
ment services","14,914,518",-,"14,914,518",-,109,0
,Resource Allocation Services,"11,989,000",-,"11,989,000",-,109,0
,"Public Participation Facilitation
Services","33,934,700",-,"33,934,700",-,109,0
,Subtotal,"60,838,218",-,"60,838,218",-,109,0
"Strategy and service
delivery management
services","Monitoring and evaluation ser-
vices","4,687,200",-,"4,687,200",-,109,0
,"Strategy and service delivery im-
provement services","14,711,911",-,"14,711,911",-,109,0
,Subtotal,"19,399,111",-,"19,399,111",-,109,0
"Resource mobilisation
services","External Resources Mobilisation
Services","18,232,248",-,"18,232,248",-,109,0
,"Internal Revenue Generation
Services","53,221,280",-,"53,221,280",-,109,0
,Subtotal,"71,453,528",-,"71,453,528",-,109,0
,"Accounting and Financial Report-
ing Services","20,524,530",-,"20,524,530",-,109,0
,Audit and Advisory Services,"8,956,997",-,"8,956,997",-,109,0
"Financial management
services",Emergency Management Services,"100,000,000",-,"100,000,000",-,109,0
,Subtotal,"129,481,527",-,"129,481,527",-,109,0
Executive Services(Office of the Governor),,,,,,109,0
"Public service adminis-
tration support services","Human resource management
and development services","495,883,030","396,297,759","99,585,271",79.9,109,0
,Legal Services,"5,150,000",,"5,150,000",-,109,0
,Subtotal,"501,033,030","396,297,759","104,735,271",79.1,109,0
"Governance and coordi-
nation services","Executive management and liai-
son services","89,820,108.00","60,384,865","29,435,243",67.2,109,0
,"Field coordination and adminis-
tration services","77,285,900.00","46,312,000","30,973,900",59.9,109,0
,Subtotal,"167,106,008","106,696,865","60,409,143",63.8,109,0
"Strategy and service
delivery improvement
services",Strategy and advisory services,"1,283,730",-,"1,283,730",-,109,0
,Efficiency monitoring services,"15,600,550","9,000,000","6,600,550",57.7,109,0
,"Information and communication
services","9,185,000",-,"9,185,000",-,109,0
,Disaster management services,"10,090,100","6,780,138","3,309,962",67.2,109,0
,Subtotal,"36,159,380","15,780,138","20,379,242",125,109,0
County Public Service Board,,,,,,109,0
"Policy, Planning and
Administration Services",Policy and Planning Services,"2,533,400",-,"2,533,400",-,109,0
,Administrative Support Services,"50,022,100","22,955,285","27,066,815",45.9,109,0
,"Facility Improvement & Capacity
Strengthening Services","5,000,000",-,"5,000,000",-,109,0
,Subtotal,"57,555,500","22,955,285","34,600,215",39.9,109,0
"Personnel Sourcing and
Management Services","Recruitment, Selection and De-
ployment Services","12,906,736",-,"12,906,736",-,109,0
,"Human Resource Advisory Ser-
vices","8,275,000",-,"8,275,000",-,109,0
,Capacity Development Services,"4,182,500","250,000","3,932,500",6.0,109,0
,Subtotal,"25,364,236","250,000","25,114,236",1.0,109,0
