Name of the Programme,"Approved Estimates
FY 2021/22 (Kshs.)","Expenditure 1/7/21-
31/03/22 (Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
Roads maintenance levy fund(RMLF),"130,659,048","14,787,000","115,872,048",11.3,425,0
Roads,"6,060,800","870,000","5,190,800",14.4,425,0
"Develop and maintain staff housing and public
offices",-,-,-,-,425,0
Protection and gabion works of Lokichar river,-,-,-,-,425,0
Develop and maintain other public works,"2,201,160","1,431,600","769,560",65.0,425,0
Capacity Building,"954,720","900,000","54,720",94.3,425,0
Professional Capacity Building,"1,246,440","531,600","714,840",42.6,425,0
General Administration,"443,168,477","238,828,536","204,339,941",53.9,425,0
General Administration,"419,676,364","238,555,536","181,120,828",56.8,425,0
General Administration- Public works,"23,492,113","273,000","23,219,113",1.2,425,0
,"954,720",-,"954,720",-,425,0
Mechanical Services,"954,720",-,"954,720",-,425,0
,"954,720",-,"954,720",-,425,0
Structural Services,"954,720",-,"954,720",-,425,0
,"903,440",-,"903,440",-,425,0
Electrical Services,"903,440",-,"903,440",-,425,0
,"4,776,928","1,180,500","3,596,428",24.7,425,0
Building Inspectorate,"4,776,928","1,180,500","3,596,428",24.7,425,0
,"407,200","309,300","97,900",76.0,425,0
Architectural Services,"407,200","309,300","97,900",76.0,425,0
,A,B,C=A-B,D=B/A*100,426,0
"Cooperative Societies Development & Perfor-
mance Improvement","194,043,339","157,777,511","36,265,828",81.3,426,0
Cooperatives Development Fund,"1,625,950","1,625,950",-,100.0,426,0
Value Addition Initiatives,"6,457,169","5,858,825","598,344",90.7,426,0
Business Development and Training Services,"1,556,400","717,500","838,900",46.1,426,0
Liquor control Programme,"926,000","614,000","312,000",66.3,426,0
"Cooperative societies development and revival
programmes","1,326,000","1,326,000",-,100.0,426,0
Legal Metrology Services,"1,072,960","894,746","178,214",83.4,426,0
Verification of trader’s equipment,"2,629,360","2,629,360",-,100.0,426,0
Consumer rights education,"1,204,008","1,083,200","120,808",90.0,426,0
Standards and Anti-Counterfeit Services,"1,060,800","350,000","710,800",33.0,426,0
Market Infrastructure Development,"30,380,692",-,"30,380,692",-,426,0
Industrial Development and Investments,"5,804,000","2,677,930","3,126,070",46.1,426,0
Biashara Fund,"140,000,000","140,000,000",-,100.0,426,0
Modern Physical Markets Infrastructure,"50,491,743","34,527,296","15,964,448",68.4,426,0
"Construction & Development of Modern Physical
Market","2,820,912","1,559,996","1,260,917",55.3,426,0
"Co-operative Marketing, Value Addition, Surveys
& Research","4,721,404",-,"4,721,404",-,426,0
"Co-operative Education, Training, Exchange and
Ushirika Day Celeb","4,781,267","967,300","3,813,967",20.2,426,0
"Strengthening of Key Dormant Co-operative So-
cieties","4,614,480","2,000,000","2,614,480",43.3,426,0
"Formulation of Cooperative Policy and Legal
Framework","3,553,680",-,"3,553,680",-,426,0
Cooperative Development Fund,"30,000,000","30,000,000",-,100.0,426,0
General Administration,"145,278,614","46,595,717","98,682,897",32.1,426,0
General Administration,"145,278,614","46,595,717","98,682,897",32.1,426,0
Gender Promotion,"16,290,094","3,019,916","13,270,178",18.5,426,0
Gender Empowerment and advocacy,"9,076,654","339,948","8,736,706",3.7,426,0
Gender Mainstreaming and Coordination,"1,796,465","840,000","956,465",46.8,426,0
Legal Compliance and Redress,"3,825,775","1,839,968","1,985,807",48.1,426,0
Promotion of Gender Equality and Empowerment,"1,591,200",-,"1,591,200",-,426,0
Youth Affairs Development,"107,483,331","100,999,670","6,483,661",94.0,426,0
Youth Coordination and Representation,"2,970,240","599,886","2,370,354",20.2,426,0
Youth Employment Scheme,"2,121,600","105,000","2,016,600",4.9,426,0
Youth Rare skills,"2,391,491","294,784","2,096,707",12.3,426,0
Youth and Women Fund,"100,000,000","100,000,000",-,100.0,426,0
"General Administration, Planning and support
services","753,964,420","152,321,962","601,642,458",20.2,426,0
"General Administration, Planning and support
services","211,705,314","66,657,332","145,047,982",31.5,426,0
Health Facilities,"542,259,106","85,664,630","456,594,476",15.8,426,0
Support to Health Programs,"211,775,789","57,894,690","153,881,099",27.3,426,0
"HIV & AIDS including community-based HIV
interventions","227,200",-,"227,200",-,426,0
TB & Leprosy,"265,200",-,"265,200",-,426,0
,A,B,C=A-B,D=B/A*100,427,0
NTDs(neglected tropical diseases),"265,200",-,"265,200",-,427,0
Nutrition,"2,458,090","1,240,400","1,217,690",50.5,427,0
Reproductive health,"4,015,393",-,"4,015,393",-,427,0
Disease surveillance,"583,440",-,"583,440",-,427,0
EPI/outreaches,"742,560",-,"742,560",-,427,0
Health promotion,"163,044,066","31,741,900","131,302,166",19.5,427,0
Environmental health services,"795,600",-,"795,600",-,427,0
Emergency preparedness & disaster response,"795,600",-,"795,600",-,427,0
mainstreaming,"265,200",-,"265,200",-,427,0
Community Health Services,"38,000,000","24,912,390","13,087,610",65.6,427,0
,"85,824,481","45,000,000","40,824,481",52.4,427,0
Laboratory Services,"689,520",-,"689,520",-,427,0
Blood Transfusion Services,"2,222,510",-,"2,222,510",-,427,0
Rehabilitative Services,"530,400",-,"530,400",-,427,0
Referrals & Emergency Services,"742,560",-,"742,560",-,427,0
Radiology Services,"503,880",-,"503,880",-,427,0
Dental Services,"318,240",-,"318,240",-,427,0
Clinical Services,"530,400",-,"530,400",-,427,0
Nursing Services,"530,400",-,"530,400",-,427,0
Rural Health Facility Support,"48,510,386","45,000,000","3,510,386",92.8,427,0
Subcounty Health Facilities Support,"6,621,600",-,"6,621,600",-,427,0
Universal Health Care Turkana,"24,624,585",-,"24,624,585",-,427,0
,"44,114",-,"44,114",-,427,0
Rural Health Facility Support,"44,114",-,"44,114",-,427,0
,"264,591,200","110,630,687","153,960,513",41.8,427,0
Medical Supplies,"263,000,000","110,035,907","152,964,093",41.8,427,0
Health Mgt,"1,591,200","594,780","996,420",37.4,427,0
,"3,712,800",-,"3,712,800",-,427,0
Health Information & Mgt,"1,326,000",-,"1,326,000",-,427,0
Quality Assurance,"530,400",-,"530,400",-,427,0
Electronic Medical Records,"265,200",-,"265,200",-,427,0
Monitoring & Evaluation Health,"795,600",-,"795,600",-,427,0
Research & Development,"530,400",-,"530,400",-,427,0
Policy & Planning Services,"265,200",-,"265,200",-,427,0
,"10,277,959","756,200","9,521,759",7.4,427,0
Rehabilitation & Treatment,"2,386,800","297,000","2,089,800",12.4,427,0
Public Education & Awareness,"3,076,320","459,200","2,617,120",14.9,427,0
Liquor Licensing,"4,019,239",-,"4,019,239",-,427,0
Training & Capacity Building,"795,600",-,"795,600",-,427,0
Social protection programs/ Affirmative Action,"74,114,242","22,865,154","51,249,088",30.9,427,0
"Construction of PWDs multi-purpose resource
canter","23,590,272","7,124,514","16,465,758",30.2,427,0
Marginalized and Minority groups support,"4,127,414","3,066,670","1,060,744",74.3,427,0
Child Rescue Centres,"21,000,000",-,"21,000,000",-,427,0
Child Care & Protection,"25,396,556","12,673,970","12,722,586",49.9,427,0
Sports and arts programme,"24,608,030","599,450","24,008,580",2.4,427,0
Construction of sport Stadia,"15,609,474","599,450","15,010,024",3.8,427,0
Stadia,"8,998,556",-,"8,998,556",-,427,0
,A,B,C=A-B,D=B/A*100,428,0
General Administration,"921,877,653","513,493,714","408,383,939",55.7,428,0
General Administration,"547,877,653","139,493,714","408,383,939",25.5,428,0
Turkana Education and Skill Development Fund,"374,000,000","374,000,000",-,100.0,428,0
Vocational Training,"42,685,266","20,066,839","22,618,427",47.0,428,0
Youth Polytechnic Infrastructure,"15,000,000","5,740,585","9,259,415",38.3,428,0
Training and Development,"6,619,759","1,068,560","5,551,199",16.1,428,0
Co-Curricular Activities,"8,355,613","547,800","7,807,813",6.6,428,0
Youth Polytechnics- Conditional,"12,709,894","12,709,894",-,100.0,428,0
Public Relations,"2,546,731","617,000","1,929,731",24.2,428,0
Publicity,"1,094,360","617,000","477,360",56.4,428,0
Research and Sensitization,"1,452,371",-,"1,452,371",-,428,0
Early Childhood Education,"358,924,647","107,955,254","250,969,393",30.1,428,0
School Feeding,"152,069,536","97,040,929","55,028,607",63.8,428,0
Quality Improvement,"5,895,106","1,362,295","4,532,811",23.1,428,0
Infrastructure Development,"187,166,496",-,"187,166,496",-,428,0
Support to Pre-Primary Training,"13,793,509","9,552,030","4,241,479",69.3,428,0
"General Administration, Planning and Support
Services","6,211,314,702","2,910,745,715","3,300,568,987",46.9,428,0
General Administration Services,"664,759,553","181,313,324","483,446,229",27.3,428,0
General Administration - Economic planning,"115,776,615","51,746,793","64,029,822",44.7,428,0
Security Access Installation,"4,000,000","4,000,000",-,100.0,428,0
General Admin Planning & Support,"12,692,000","4,764,222","7,927,778",37.5,428,0
"General Administration, Planning and Support
Services-Public Ser","4,544,934,821","2,517,768,215","2,027,166,606",55.4,428,0
"General Administration, Planning and Support
Services-Administer","359,644,465","16,081,847","343,562,618",4.5,428,0
"General Administration, Planning and Support
Services- Office of","310,235,365","110,491,309","199,744,056",35.6,428,0
"General Administration, Planning and Support
Services- Liaison O","125,017,883","11,340,406","113,677,477",9.1,428,0
General Admin Planning & Support,"24,254,000","13,239,598","11,014,402",54.6,428,0
Covid-19 Emergency Response Fund,"50,000,000",-,"50,000,000",-,428,0
Governor’s Residence,"10,370,527","5,224,813","5,145,714",50.4,428,0
Construction of Governors residence,"1,996,836","1,352,585","644,251",67.7,428,0
"Documentation, communication policy and strat-
egy","2,662,450","1,398,300","1,264,150",52.5,428,0
Civic Education and Public Sensitization,"4,104,579","2,379,822","1,724,757",58.0,428,0
Production of County Newspaper and Newsletter,"1,606,662","94,106","1,512,556",5.9,428,0
Donor/ Investor engagement,"13,275,924","8,537,915","4,738,010",64.3,428,0
Public-Private Partnership Initiatives (PPPs),"1,248,200","992,360","255,840",79.5,428,0
Political and Intergovernmental Advisory Services,"2,042,124","618,500","1,423,624",30.3,428,0
Legal Advisory Services,"1,248,200","823,320","424,880",66.0,428,0
Security and cross border Advisory Services,"1,248,200","1,012,440","235,760",81.1,428,0
Oil And Gas Advisory Service,"1,248,200","1,248,200",-,100.0,428,0
Gender and Partnership Advisory Services,"1,248,200","1,173,060","75,140",94.0,428,0
Special Interest groups,"1,248,200","1,125,140","123,060",90.1,428,0
Climate Change advisory services,"1,248,200","747,055","501,146",59.9,428,0
,A,B,C=A-B,D=B/A*100,429,0
"Culture, Arts and Heritage advisory services","1,248,200","136,080","1,112,120",10.9,429,0
Security and Peace Building,"242,737,460","75,263,413","167,474,047",31.0,429,0
Community Cohesion and Resettlement,"20,260,751","11,789,580","8,471,171",58.2,429,0
"Operationalization of peace building structures
and institutions","65,679,345","30,298,294","35,381,051",46.1,429,0
Resettlement Infrastructural Programme,"118,664,912","4,945,080","113,719,832",4.2,429,0
Cross Border peace dividends programme,"38,132,452","28,230,459","9,901,993",74.0,429,0
"Government Communication and Media rela-
tions","45,689,093","17,012,452","28,676,641",37.2,429,0
"Acquiring & development of communication sys-
tems/equipment","10,255,407","7,222,848","3,032,559",70.4,429,0
Bills,"14,000,000",-,"14,000,000",-,429,0
Policies,"9,991,848","8,350,444","1,641,404",83.6,429,0
"Development and Implementation of ICT Policy
and Regulations","2,441,838","1,439,160","1,002,678",58.9,429,0
"Acquisition of Information Systems and Equip-
ment","9,000,000",-,"9,000,000",-,429,0
Revenue Collection Systems,"101,313,158","18,312,015","83,001,143",18.1,429,0
Feasibility Study on Revenue Base,"4,859,289","4,033,480","825,809",83.0,429,0
Awareness and Campaigns on Revenue.,"4,392,289","3,612,100","780,189",82.2,429,0
Motorbikes for Revenue Officers 30 No.,"11,738,160",-,"11,738,160",-,429,0
Strengthening Revenue Systems,"38,075,144","8,880,102","29,195,042",23.3,429,0
"Revenue Forecast and Revenue Budget Prepara-
tion","2,248,276","1,786,333","461,943",79.5,429,0
Completion of Lokiriama Revenue Centre,"40,000,000",-,"40,000,000",-,429,0
Accountability and Transparency,"164,224,040","53,372,580","110,851,460",32.5,429,0
Internal Audit,"5,267,250","5,194,530","72,720",98.6,429,0
Procurement systems,"3,203,370","3,203,370",-,100.0,429,0
IFMIS training,"5,014,225","4,483,825","530,400",89.4,429,0
Financial Reporting/Research and Development,"50,739,195","40,490,855","10,248,340",79.8,429,0
"Modern Fencing, Gate and Parking Yards for
County Treasury Office","100,000,000",-,"100,000,000",-,429,0
Social and Financial Security,"12,514,655","7,319,887","5,194,768",58.5,429,0
Assurance and Insurance of Govt. Assets,"2,367,783","847,329","1,520,454",35.8,429,0
Liability and Debt Management,"3,541,858","2,590,379","951,479",73.1,429,0
Turkana SACCO Seed Capital,"6,605,014","3,882,179","2,722,835",58.8,429,0
Planning and Policy formulation,"227,196,338","33,614,800","193,581,538",14.8,429,0
Economic Policy formulation and Dissemination,"20,043,937","3,121,400","16,922,537",15.6,429,0
CIDP review and Dissemination,"837,900","837,900",-,100.0,429,0
Budget preparation and Dissemination,"157,815,048","26,768,000","131,047,048",17.0,429,0
County Budget and Economic Forums,"41,335,165",-,"41,335,165",-,429,0
Public Participation and Access to Information,"5,160,388","2,156,700","3,003,688",41.8,429,0
Waste Management,"1,011,300","437,500","573,800",43.3,429,0
Sector Plans Devt,"992,600","293,300","699,300",29.5,429,0
Development coordination Programme,"5,786,010","1,473,176","4,312,834",25.5,429,0
Donor scan/Mapping,"1,989,398","813,556","1,175,842",40.9,429,0
Establishment of development committees,"1,700,043","219,620","1,480,423",12.9,429,0
,A,B,C=A-B,D=B/A*100,430,0
"Formulation and Development of TCPSB Board-
room ICT Infrastructure","1,044,019","200,000","844,019",19.2,430,0
Monitoring and Evaluation,"12,526,843","11,219,989","1,306,854",89.6,430,0
"Soft wares (E-ProMIS, GIS e.t.c)","7,341,354","6,034,500","1,306,854",82.2,430,0
"Field visits, data collection and Reporting","1,499,389","1,499,389",-,100.0,430,0
Training and Knowledge management,"2,230,800","2,230,800",-,100.0,430,0
Devolved Monitoring and Evaluation Committees,"1,455,300","1,455,300",-,100.0,430,0
Public Participation and Access to Information,"29,656,119","10,453,698","19,202,421",35.2,430,0
Construction of Citizen Resource Centre,"4,986,024","3,028,600","1,957,424",60.7,430,0
Web site Development,"8,370,674","4,075,278","4,295,396",48.7,430,0
Social Budgeting and Generation of SIR Reports,"2,492,453","1,072,800","1,419,653",43.0,430,0
Intergovernmental Relation,"11,860,000","1,455,790","10,404,210",12.3,430,0
"Strategy Development, Review, Support and Op-
erationalization","1,946,968","821,230","1,125,738",42.2,430,0
County Statistical Unit,"21,200,875","15,408,240","5,792,635",72.7,430,0
"Soft wares, databases and tools","15,400,900","11,114,650","4,286,250",72.2,430,0
Capacity Development,"1,883,725","831,300","1,052,425",44.1,430,0
Project Mgt Information System,"3,916,250","3,462,290","453,960",88.4,430,0
Service Delivery- ISO Certification,"12,765,582","2,839,241","9,926,341",22.2,430,0
Service Charter,"4,964,629","1,630,240","3,334,389",32.8,430,0
Development of County Filing Systems,"5,356,880","1,149,781","4,207,099",21.5,430,0
Procedure Manual and Training,"2,444,073","59,220","2,384,853",2.4,430,0
County Internship Programme,"23,356,717","12,898,098","10,458,619",55.2,430,0
County Internship Programme,"23,356,717","12,898,098","10,458,619",55.2,430,0
Operationalization of Decentralized Units,"71,880,740","37,665,790","34,214,950",52.4,430,0
Operationalization of Decentralized Units,"8,011,692","4,771,156","3,240,536",59.6,430,0
Decentralized County Policy,"37,677,930","14,842,970","22,834,960",39.4,430,0
Coordinated development,"8,953,118","5,188,750","3,764,368",58.0,430,0
Policy sensitization and dissemination,"17,238,000","12,862,914","4,375,086",74.6,430,0
"Mainstream Public Sector Integrity programme
& Accountability","3,485,962","2,214,354","1,271,608",63.5,430,0
"Mainstream Public Sector Integrity programme &
Accountability","720,720","439,500","281,220",61.0,430,0
"Public Evaluation on County Public Service Board
Performance &Cus","1,094,555","403,000","691,555",36.8,430,0
Human Resource Conference & Symposium,"914,785","818,903","95,882",89.5,430,0
Exit Meetings Per Department,"755,902","552,951","202,951",73.2,430,0
Disaster Risk Reduction,"6,388,524","4,592,707","1,795,817",71.9,430,0
"Turkana County Drought and Disaster Contin-
gency Fund (CDDCF)","1,282,158","852,530","429,628",66.5,430,0
Turkana Multi hazard/Risk,"848,640","636,480","212,160",75.0,430,0
Assessment and stake holder capacity mapping,"3,127,786","2,726,497","401,289",87.2,430,0
"Regular Assessments of Food, Flood and Conflict
Security","1,129,940","377,200","752,740",33.4,430,0
Human resource,"6,623,453","3,298,584","3,324,869",49.8,430,0
,A,B,C=A-B,D=B/A*100,431,0
Performance Appraisal,"1,550,500","526,466","1,024,034",34.0,431,0
Enhancing Leadership In County Public Service,"681,780","492,142","189,638",72.2,431,0
Review and Development of HR Policies,"669,986","338,641","331,345",50.5,431,0
"Human Resource Development/Career Progres-
sion","716,680","353,675","363,005",49.3,431,0
Performance Management Monitoring,"461,499","359,350","102,149",77.9,431,0
Development of Database Filing System,"555,022","197,443","357,579",35.6,431,0
"County Public Service Pre-Retirement Sensitiza-
tion","520,621","284,800","235,821",54.7,431,0
"Evaluation of Different Cadres of Employees(Pro-
motion, Re-Designation)","567,156","330,175","236,981",58.2,431,0
Quality management system programming,"2,965,689","1,788,800","1,176,889",60.3,431,0
"Quality Management Systems Development & Es-
tablishment","1,232,372","988,200","244,172",80.2,431,0
QMS Audit /Routine Inspection,"828,636","478,000","350,636",57.7,431,0
Documentation/Record Management For QMS,"904,681","322,600","582,081",35.7,431,0
Budgetary Supply,"96,753,246","43,805,180","52,948,066",45.3,431,0
"Budget Formulation, Co-ordination and Manage-
ment","67,327,813","33,803,839","33,523,974",50.2,431,0
Public Participation in Budgeting,"24,966,863","8,343,041","16,623,822",33.4,431,0
County Budget and Economic Forum,"4,458,570","1,658,300","2,800,270",37.2,431,0
Resource Mobilisation,"3,964,789","3,358,160","606,629",84.7,431,0
Resource Mobilisation,"3,964,789","3,358,160","606,629",84.7,431,0
Governors Press Service,"7,392,958","4,224,695","3,168,263",57.1,431,0
Governors Press support,"7,392,958","4,224,695","3,168,263",57.1,431,0
Governance and Public participation,"37,646,691","21,418,677","16,228,014",56.9,431,0
Civic education Programme,"1,060,800","326,200","734,600",30.8,431,0
Public Participation and access to information,"34,729,491","21,092,477","13,637,014",60.7,431,0
County Dialogue Forum,"1,060,800",-,"1,060,800",-,431,0
National & County Holidays,"2,431,411","1,712,180","719,231",70.4,431,0
Policies Design,"795,600",-,"795,600",-,431,0
Disaster risk management,"317,805,300","29,390,139","288,415,161",9.2,431,0
Disaster Preparedness Programmes,"1,326,000",-,"1,326,000",-,431,0
Disaster Mitigation Programmes,"1,326,000","750,080","575,920",56.6,431,0
"Stakeholders coordination and Support Pro-
gramme","1,326,000",-,"1,326,000",-,431,0
Humanitarian Relief Food Programme,"313,296,900","28,640,059","284,656,841",9.1,431,0
Disaster Risk Mgt,"530,400",-,"530,400",-,431,0
Inspectorate services,"27,975,596","735,650","27,239,946",2.6,431,0
"Establishment and Mainstreaming of the county
Inspectorate",-,-,-,-,431,0
Inspectorate Training Institute,"19,989,269",-,"19,989,269",-,431,0
Dispute Resolution,"1,356,325",-,"1,356,325",-,431,0
Capacity Building,"1,750,321","295,050","1,455,271",16.9,431,0
Inspectorate Services,"2,652,001","440,600","2,211,401",16.6,431,0
Inspectorate Services Equip,"2,227,680",-,"2,227,680",-,431,0
Human resource management,"19,962,133","3,603,446","16,358,687",18.1,431,0
Payroll and record management,"1,909,440","298,150","1,611,290",15.6,431,0
408,,,,,431,0
,A,B,C=A-B,D=B/A*100,432,0
Human Resource Development,"4,739,654","410,940","4,328,714",8.7,432,0
"GHRIS Leave & Performance Module Implemen-
tation","1,485,120","840,154","644,966",56.6,432,0
"Digitization and Automation of Human Resource
Registry","2,652,000","409,406","2,242,594",15.4,432,0
Mainstreaming Public Sector Integrity Programme,"4,137,120","974,976","3,162,144",23.6,432,0
County performance management,"1,432,080",-,"1,432,080",-,432,0
Public Service Week,"954,720","234,930","719,790",24.6,432,0
Records Mgt,"1,060,800","434,890","625,910",41.0,432,0
HRM,"1,591,199",-,"1,591,199",-,432,0
,"22,732,423","7,496,652","15,235,771",33.0,432,0
Govt Programming,"7,400,000","1,677,146","5,722,854",22.7,432,0
Community Engagement,"5,200,000","612,500","4,587,500",11.8,432,0
Govt Stakeholder Engagement,"5,420,000","3,951,420","1,468,580",72.9,432,0
Govt Transformation,"4,712,423","1,255,586","3,456,837",26.6,432,0
General Administration,"275,862,783","54,489,086","221,373,697",19.8,432,0
"General Administration, Planning and Support
Services","275,862,783","54,489,086","221,373,697",19.8,432,0
Tourism destination marketing and promotion,"6,364,800","102,420","6,262,380",1.6,432,0
"Tourism expos ,incentives, conferences and exhi-
bition program","530,400",-,"530,400",-,432,0
Community Based Tourism products,"1,485,120","102,420","1,382,700",6.9,432,0
"Tourism Market Research (Baseline Survey &
Mapping)","1,591,200",-,"1,591,200",-,432,0
"Media Campaign and Promotion of Tourism
Products and Programmes","2,758,080",-,"2,758,080",-,432,0
Tourism development and Promotion,-,-,-,-,432,0
Completion and Furnishing of Eco-Lodges,-,-,-,-,432,0
"Culture, arts, heritage development, promotion
and preservation","68,441,520","10,201,625","58,239,895",14.9,432,0
Ushanga Initiative,"13,871,920","3,138,000","10,733,920",22.6,432,0
Culture Promotion and Preservation,"26,748,160","522,000","26,226,160",2.0,432,0
Arts and Creativity Development,"1,166,880",-,"1,166,880",-,432,0
Heritage Promotion,"1,591,200","426,275","1,164,925",26.8,432,0
Annual tourism and cultural festival,"25,063,360","6,115,350","18,948,010",24.4,432,0
"Culture development and preservation infra-
structure","2,500,000",-,"2,500,000",-,432,0
"Equipment and Infrastructure Development at
Ekalees Centre","2,500,000",-,"2,500,000",-,432,0
"Forestry and wildlife management development
and management","17,238,003","2,778,940","14,459,063",16.1,432,0
Forestry Management and Conservation,"5,242,560","2,496,800","2,745,760",47.6,432,0
Community Wildlife Conservation,"3,912,160","200,000","3,712,160",5.1,432,0
Forest Nature-Based Development,"2,222,483",-,"2,222,483",-,432,0
Forestry Development Infrastructure,"4,300,000",-,"4,300,000",-,432,0
Forestry Protection,"818,240",-,"818,240",-,432,0
Prosopis Mgt,"742,560","82,140","660,420",11.1,432,0
,A,B,C=A-B,D=B/A*100,433,0
"Environmental Governance Compliance Con-
servation Protection & Mgt","17,429,200","134,400","17,294,800",0.8,433,0
Environmental Governance & Compliance,"3,621,600","134,400","3,487,200",3.7,433,0
Environmental Protection & Conservation,"4,344,480",-,"4,344,480",-,433,0
Plastic Collection Re-use Facility,"795,600",-,"795,600",-,433,0
Climate Change & Adaptation,"8,667,520",-,"8,667,520",-,433,0
"Mineral Resource Mapping Capacity Building &
Mgt","9,323,352","765,900","8,557,452",8.2,433,0
Mineral resource Mapping,"1,941,627",-,"1,941,627",-,433,0
Management of Mining & Quarrying activities,"1,916,531","765,900","1,150,631",40.0,433,0
"Capacity building in the exploitation of mineral
resources","2,983,594",-,"2,983,594",-,433,0
Artisanal mining equipment,"1,420,800",-,"1,420,800",-,433,0
Extractives Engagement Bills & Policies,"1,060,800",-,"1,060,800",-,433,0
Petroleum,"3,621,291",-,"3,621,291",-,433,0
Oil and Gas,"1,848,640",-,"1,848,640",-,433,0
"Establishment of Extractive Sector Regulations &
Strategies","1,772,651",-,"1,772,651",-,433,0
