Programme,"Sub- Programme
(","Approved Budget
Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,Sub- Programme,"Approved Budget
(Kshs)"
,,,"153,000","6,252,915",2.4,308,0,"0310025310 sp 10.2 Coopera-
tive Audit Services","6,405,915"
"0311005310 P.11 Tourism Pro-
motion and Marketing",,,"43,713,232","17,848,477",71.0,308,0,"0311015310 sp 11.1 Tourism
Development","61,561,709"
"0312005310 P.12 Trade devel-
opment and Market Services",,,"246,169,700","125,789,765",66.2,308,0,"0312015310 sp 12.1 Trade De-
velopment","371,959,465"
,,,"3,000,000","198,069,492",1.5,308,0,"0312025310 sp 12.2 Market
Services","201,069,492"
,,,"19,806,000","(6,213,046)",145.7,308,0,"0313025310 sp 13.2 Weights
& Measures Services","13,592,954"
,,,-,"26,398,349",0.0,308,0,"0313035310 sp 13.3 Trade Li-
censing Services","26,398,349"
,,,"12,171,200","20,824,461",36.9,308,0,"0313045310 sp 13.4 Betting &
Gaming Services","32,995,661"
,,,"475,645,492","548,216,572",46.5,308,0,"Total 5319000000
TRADE,COMMER-
CE,TOURISM & COOPER-
ATIVES","1,023,862,065"
"0701000 P1 General Adminis-
tration Planning and Support
Services",,,"154,961,591","432,637,673",26.4,308,0,"0701010 SP.1.1 General Ad-
ministration Planning and
Support Services","587,599,265"
"0710000 P 5: Public Service
Transformation",,,"773,397,522","52,919,758",93.6,308,0,"0710010 S.P.5.1 Human Re-
source Management","826,317,280"
,,,"13,280,524","229,005,322",5.5,308,0,"0710020 S.P.5.2 Human Re-
source Development","242,285,847"
"0723005310 P 23 Performance
Management and Public Ser-
vice Delivery",,,"1,882,000","10,017,963",15.8,308,0,"0723015310 sp 23.1 Perfor-
mance Contracting manage-
ment","11,899,963"
,,,"1,182,900","10,092,461",10.5,308,0,"0723025310 sp 23.2 Gover-
nance Monitoring and Eval-
uation","11,275,361"
,,,"1,025,200","3,497,828",22.7,308,0,"0723035310 sp 23.3 Quality
Management Systems and
ISO certification","4,523,028"
,,,"945,729,737","738,171,006",56.2,308,0,"Total 5320000000 PUBLIC
SERVICE MANAGEMENT","1,683,900,744"
"0106000 P 6 General Adminis-
tration Planning and Support
Services",,,"115,703,701","90,770,555",56.0,308,0,"0106010 SP.6.1 Administra-
tion, Planning & Support Ser-
vices","206,474,257"
"P;0119005310:Urban Agricul-
ture Promotion & Regulation",,,"530,000","78,585,611",0.7,308,0,"019015310: Crop Develop-
ment and Management","79,115,611"
,,,"459,600","30,765,271",1.5,308,0,"0119025310: Fisheries Devel-
opment and management","31,224,871"
,,,"706,600","25,674,683",2.7,308,0,"0119035310: Livestock Re-
sources management and de-
velopment","26,381,283"
0117005310 P.11:Aforestation,,,"234,800","14,813,226",1.6,309,0,"0117015310 sp 11.1 Forestry
Services","15,048,026"
"0118015310 Food Systems and
Surveillance",,,"1,128,400","14,860,764",7.1,309,0,"0118015310 sp18:1 Food Sys-
tems and Surveillance Ser-
vices","15,989,164"
,,,"119,447,501","274,157,361",30.3,309,0,"Total 5321000000 AGRI-
CULTURE, LIVESTOCK
DEVELOPMENT, FISHER-
IES & FORESTRY","393,604,863"
"1001005310 P1 General Ad-
ministration & Support Ser-
vices",,,"7,114,231","45,857,892",13.4,309,0,"1001015310 Sp1 General Ad-
ministration & Support Ser-
vices","52,972,124"
,,,"7,114,231","45,857,892",13.4,309,0,"Total 5323000000 ENVIRO-
MENT,WATER,ENERGY &
NATURAL RESOURCES","52,972,124"
"0214005310 P8:Ward Develop-
ment",,,"6,752,337","1,562,240,344",0.4,309,0,"0214015310 sp 8.1 Ward De-
velopment & Administration","1,568,992,681"
,,,"6,752,337","1,562,240,344",0.4,309,0,"Total 5325000000 WARD DE-
VELOPMENT FUND","1,568,992,681"
"0718005310 General Adminis-
trative Services",,,"342,899,000","(202,899,000)",244.9,309,0,"0718015310 Sp1 General Ad-
ministration & Support Ser-
vices","140,000,000"
,,,"342,899,000","(202,899,000)",244.9,309,0,"5326000000 EMERGENCY
FUND","140,000,000"
"0313015310 sp 13.1 Liquor Li-
censing & Regulation",,,"88,625,152","161,374,848",35.5,309,0,"0313015310 sp 13.1 Liquor Li-
censing & Regulation","250,000,000"
,,,"88,625,152","161,374,848",35.5,309,0,"Total 5327000000 LIQOUR
LICENSING BOARD","250,000,000"
Legislation & Representation,,,"2,792,422","6,403,728",30.4,309,0,Office of the Speaker,"9,196,150"
,,,"438,068,850","298,840,836",59.4,309,0,County Legislature,"736,909,687"
Oversight,,,"92,887,086","73,261,500",55.9,309,0,Committees Services,"166,148,587"
"General Administration and
Support Services",,,"13,350,174","11,341,031",54.1,309,0,"County Assembly Service
Board","24,691,205"
,,,"338,735,946","363,190,511",48.3,309,0,Office of the Clerk,"701,926,458"
,,,"885,834,478","753,037,608",54.1,309,0,Total COUNTY ASSEMBLY,"1,638,872,087"
,,,"7,096,809,458","13,041,301,122",35.2,309,0,"5328000100 Nairobi Metro-
politan Services","20,138,110,580"
,,,"7,096,809,458","13,041,301,122",35.2,309,0,"TOTAL NAIROBI METRO-
POLITAN SERVICES","20,138,110,580"
,,,"16,290,851,664","23,336,684,334",41.1,309,0,"Total Voted Expenditure ....
Kshs.","39,627,535,999"
