Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"0101004210 P1 General Admin-
istration Planning and Support
Services","0101014210 SP1 Ad-
ministration, Planning
and Support Services","129,742,626","31,032,429","98,710,197",23.9,374,0
,Subtotal,"129,742,626","31,032,429","98,710,197",23.9,374,0
"0102004210 P2 Land policy
Planning and Housing","0102014210 SP1 Land
Use Planning","6,021,006","1,907,590","4,113,416",31.7,374,0
,"0102034210 SP2 Land
Survey and Mapping","8,826,752","4,480,030","4,346,722",50.8,374,0
,"0102044210 SP3 Hous-
ing Management Ser-
vices","882,166","20,000","862,166",2.3,374,0
,Subtotal,"15,729,924","6,407,620","9,322,304",40.7,374,0
"0106004210 P3 Urban Centres
Administration","0106014210 SP1 Urban
Centre Management","144,670,091","29,010,575","115,659,516",20.1,374,0
,Subtotal,"144,670,091","29,010,575","115,659,516",20.1,374,0
"Department Roads, Transport and Public works",,,,,,374,0
"0201004210 P1 General Admin-
istration Planning and Support
Services","0201014210 SP1 Gen-
eral Administration
Planning and Support
Services","197,164,601","11,023,212","186,141,389",5.6,374,0
,"0201034210 SP2 Fire-
fighting Services","70,287,226","12,952,300","57,334,926",18.4,374,0
,"0201044210 SP3 De-
sign, Implementation
and Supervision of Pub-
lic Buildings","11,325,634","4,642,390","6,683,244",41.0,374,0
,Subtotal,"278,777,461","28,617,902","250,159,559",10.3,374,0
,"0202014210 SP1 Con-
struction, Rehabilita-
tion and Maintenance
of Roads and Bridges","179,649,542","57,443,905","122,205,637",32.0,374,0
,"0202024210 SP2 De-
sign, supervision and
rehabilitation of County
Buildings","10,354,650","4,781,592","5,573,058",46.2,375,0
,"0202034210 SP3 Street
Lights Management","46,039,954","6,659,920","39,380,034",14.5,375,0
,"0202044210 SP4 Pub-
lic Road Transport and
Parking","7,438,882","3,898,785","3,540,097",52.4,375,0
,Subtotal,"243,483,028","72,784,202","170,698,826",29.9,375,0
"Department Tourism, Trade, Enterprise Development and Cooperatives",,,,,,375,0
"0301004210 P1 General Admin-
istration Planning and Support
Services","0301014210 SP1 Gen-
eral Administration
Planning and Support
Services","25,937,923","2,605,215","23,332,708",10.0,375,0
,Subtotal,"25,937,923","2,605,215","23,332,708",10.0,375,0
"0302004210 P2 Cooperatives
Development and Management","0302014210 SP1 Gov-
ernance and Account-
ability","51,552,461","7,261,814","44,290,647",14.1,375,0
,Subtotal,"51,552,461","7,261,814","44,290,647",14.1,375,0
"0304004210 P4 Tourism Devel-
opment and Promotion","0304014210 SP1 Tour-
ism Promotion and
Marketing","292,980,616","215,713,614","77,267,002",73.6,375,0
,Subtotal,"292,980,616","215,713,614","77,267,002",73.6,375,0
"0305004210 P5 Trade Develop-
ment and Promotion","0305014210 SP1 Do-
mestic Trade Develop-
ment","26,420,775","5,401,520","21,019,255",20.4,375,0
,Subtotal,"26,420,775","5,401,520","21,019,255",20.4,375,0
"0306004210 P6 P1 General Ad-
ministration Planning and Sup-
port Services","0306014210 SP1 Gen-
eral Administration
Planning and Support
Services","28,644,226","16,112,992","12,531,234",56.3,375,0
,Subtotal,"28,644,226","16,112,992","12,531,234",56.3,375,0
"Department Culture, Social Services, Gender, Sports and Youth Affairs",,,,,,375,0
"0901004210 P1 General Admin-
istration Planning and Support
Services","0901014210 SP1 Gen-
eral Administration
Planning and Support
Services","82,515,085","28,440,589","54,074,496",34.5,375,0
,Subtotal,"82,515,085","28,440,589","54,074,496",34.5,375,0
"0902004210 P2 Culture and So-
cial Services Development","0902014210 SP1 Con-
servation of Heritage","978,000",-,"978,000",0.0,375,0
,"0902024210 SP2 Devel-
opment and Promotion
of Culture","7,932,448","3,531,817","4,400,631",44.5,375,0
,"0902034210 SP3 Social
Welfare and Gender","32,438,000","16,140,208","16,297,792",49.8,375,0
,"0902044210 SP4 Com-
munity Mobilization
and Development","6,206,880","296,738","5,910,142",4.8,375,0
,Subtotal,"47,555,328","19,968,763","27,586,565",42.0,375,0
"0903004210 P3 Promotion of
other Sports Activities","0903014210 SP1 Devel-
opment and Manage-
ment of Sports Facilities","18,325,000","1,201,500","17,123,500",6.6,376,0
,Subtotal,"18,325,000","1,201,500","17,123,500",6.6,376,0
"0503004210 P3 Sports Develop-
ment","0503034210 SP3 Sports
Development, Training
and Competition","49,070,000","15,963,240","33,106,760",32.5,376,0
,Subtotal,"49,070,000","15,963,240","33,106,760",32.5,376,0
"0904014210 P1 General Admin-
istration Planning and Support
Services","0904004210 SP1 Gen-
eral Administration
Planning and Support
Services","17,336,372","5,147,570","12,188,802",29.7,376,0
,Subtotal,"17,336,372","5,147,570","12,188,802",29.7,376,0
Grand Total,,"7,290,090,769","3,427,538,434","3,862,552,335",47.0,376,0
