Program,Description,"Final Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Housing & Urban
Development",County Housing Development,"204,264,142","65,828,128","138,436,014",32.2,398,0
,Housing Development,"10,801,780","598,246","10,203,534",5.5,398,0
,Urbanization,"193,462,362","65,229,882","128,232,480",33.7,398,0
,Urban Development,"43,500,000","24,989,314","18,510,686",57.5,398,0
,Hola Municipality,"43,500,000","24,989,314","18,510,686",57.5,398,0
"Trade & Tourism
Development","Promotion of Trade, Tourism and Coop-
erative Development","66,090,342","18,035,998","48,054,344",27.3,398,0
,Promotion of Trade,"43,995,171","12,758,719","31,236,452",29.0,398,0
,Promotion of Tourism,"11,277,102","2,811,921","8,465,181",24.9,398,0
,Promotion of Cooperative Development,"10,818,069","2,465,358","8,352,711",22.8,398,0
,Administration and Support Services,"1,003,654,825","625,968,370","377,686,455",62.4,398,0
,"Administration, planning & support Ser-
vices","1,003,654,825","625,968,370","377,686,455",62.4,398,0
"Health & Medical
Services",Curative and Rehabilitative,"403,071,235","247,733,262","155,337,973",61.5,398,0
,Medical Supplies,"156,599,895","115,990,201","40,609,694",74.1,398,0
,Medical Services,"46,968,340","34,240,061","12,728,279",72.9,398,0
,Ambulance Services,"67,503,000","67,503,000",-,100.0,398,0
,SP4 Curative Services,"132,000,000","30,000,000","102,000,000",22.7,398,0
,Preventive and Promotive,"25,173,900","15,211,420","9,962,480",60.4,398,0
,Preventive and Promotive,"14,353,500","7,488,766","6,864,734",52.2,398,0
,Licensing and Control of Undertaking,"5,820,400","4,460,279","1,360,121",76.6,398,0
,Mobile Clinics,"5,000,000","3,262,375","1,737,625",65.3,398,0
,"General Administration, Planning and
Support services","164,805,896","156,163,992","8,641,904",94.8,398,0
,"General operation, Planning and support
services","164,805,896","156,163,992","8,641,904",94.8,398,0
"Education, ICT &
Vocational Train-
ing","Quality and Standard Assurance in EYE
Centre","47,708,022","29,266,182","18,441,840",61.3,398,0
,ECDE Learning/Teaching Materials,"13,341,027","4,320,850","9,020,177",32.4,398,0
,ECDE Furniture and Equipment Support,"34,366,995","24,945,332","9,421,663",72.6,398,0
,"Vocational Training Centres and Adult
Education","54,120,788","46,322,044","7,798,744",85.6,398,0
,Quality and Standards Assurance,"6,358,292","3,706,965","2,651,327",58.3,398,0
,Provision of Modern Tools and Equipment,"18,087,602","12,941,032","5,146,570",71.6,398,0
,"Subsidised Youth Polytechnic Tuition Fund
(SYPT)","29,674,894","29,674,047",847,100.0,398,0
,"Administration, planning support ser-
vices","451,444,556","204,498,720","246,945,836",45.3,398,0
,Coordination and Supervisory Services,"451,444,556","204,498,720","246,945,836",45.3,398,0
,ICT Infrastructure,"33,000,000",-,"33,000,000",0.0,398,0
,Develop ICT infrastructure,"33,000,000",-,"33,000,000",0.0,398,0
,"Administration, planning support ser-
vices","2,189,740,828","1,066,173,811","1,123,567,017",48.7,398,0
,"Administration, planning support services","2,189,740,828","1,066,173,811","1,123,567,017",48.7,398,0
"Finance & Eco-
nomic Planning",Financial Management,"210,707,837","151,251,730","59,456,107",71.8,399,0
,Financial management,"5,609,349","4,964,120","645,229",88.5,399,0
,Supply Chain Managements,"21,800,000","17,115,260","4,684,740",78.5,399,0
,Own Source Revenue Collection,"45,700,000","21,518,114","24,181,886",47.1,399,0
,Budget and Economic Planning,"82,605,695","61,861,069","20,744,626",74.9,399,0
,Accounting & Finance,"22,660,000","22,660,000",-,100.0,399,0
,Internal Audit,"12,345,750","7,414,025","4,931,725",60.1,399,0
,Monitoring and Evaluation,"19,987,043","15,719,142","4,267,901",78.7,399,0
"Public Service
Administration","Board Administration, Planning and
Governance","63,543,920","25,397,697","38,146,223",40.0,399,0
,Board Operations & Governance,"63,543,920","25,397,697","38,146,223",40.0,399,0
,General administration,"17,433,700","7,779,928","9,653,772",44.6,399,0
,Ethics Governance and Compliance,"4,468,500","3,201,320","1,267,180",71.6,399,0
,"informationCommunication Technology
(ICT)","6,665,200","739,708","5,925,492",11.1,399,0
,"Human Resource Management & Develop-
ment","3,200,000","2,050,800","1,149,200",64.1,399,0
,Skills and Competence Development,"3,100,000","1,788,100","1,311,900",57.7,399,0
,Performance Management,"170,139,884","2,204,260","167,935,624",1.3,399,0
,Performance Management System,"5,200,000","1,463,360","3,736,640",28.1,399,0
,Human Resource Development,"164,939,884","740,900","164,198,984",0.5,399,0
,Administration,"122,093,500","49,153,300","72,940,200",40.3,399,0
,County Administration,"96,900,000","47,988,000","48,912,000",49.5,399,0
,County Enforcement,"25,193,500","1,165,300","24,028,200",4.6,399,0
,Public Participation,"10,000,000","2,784,600","7,215,400",27.9,399,0
,Citizen Participation,"10,000,000","2,784,600","7,215,400",27.9,399,0
,Leadership,"131,878,000","67,771,631","64,106,369",51.4,399,0
,"County Leadership & Coordination of
CDAs","38,500,000","23,358,485","15,141,515",60.7,399,0
,County Government Advisory Service,"64,878,000","31,251,358","33,626,642",48.2,399,0
,Coordination of Peace and Cohesion,"28,500,000","13,161,788","15,338,212",46.2,399,0
,"Administration, planning support ser-
vices","52,329,120","11,739,602","40,589,518",22.4,399,0
,"Administration, planning support services","52,329,120","11,739,602","40,589,518",22.4,399,0
,Natural Disaster mitigation programme,"147,665,375","135,777,675","11,887,700",92.0,399,0
,"Drought management (Preparedness, Re-
sponse and Recovery)","4,500,000","3,612,300","887,700",80.3,399,0
,"Emergency Relief (food, medicine, blan-
kets, cash grant)","143,165,375","132,165,375","11,000,000",92.3,399,0
,General administration,"37,350,000","2,743,750","34,606,250",7.4,399,0
"Gender & Social
services",Culture Promotion and Development,"26,300,000","1,138,050","25,161,950",4.3,399,0
,"Empowerment/Capacity Building of Cul-
tural Practitioners","11,050,000","1,605,700","9,444,300",14.5,399,0
,Research & Survey,"4,700,000","931,867","3,768,133",19.8,399,0
,Baseline Survey for OVC,"2,500,000","755,617","1,744,383",30.2,399,0
,"Community Awareness Creation on Child
Rights and Child Protection","1,400,000","176,250","1,223,750",12.6,399,0
,Enhanced Child Participation,"800,000",-,"800,000",0.0,399,0
,Empowerment,"13,020,000","799,700","12,220,300",6.1,399,0
,Women Empowerment,"1,600,000","488,700","1,111,300",30.5,399,0
,Gender and Leadership,"11,420,000","311,000","11,109,000",2.7,399,0
