Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kssh),Variance (Kshs.),Absorption (%),page_number,table_index
"Arts, Culture and Heritage","14,360,027","1,191,488","13,168,539",8.3,338,0
Social Development and Children Services,"14,360,027","1,191,488","13,168,539",8.3,338,0
Social services and Recreation,"17,933,336","5,960,000","11,973,336",33.2,338,0
Social Development and Children Services,"17,933,336","5,960,000","11,973,336",33.2,338,0
"Environment Protection, Energy, Water& Natural Resources","360,226,420","2,570,693","357,655,727",0.7,338,0
Environment Management and Protection,"360,226,420","2,570,693","357,655,727",0.7,338,0
,-,-,-,-,338,0
County Public Service Board,"77,013,566","75,480,875","1,532,691",98.0,338,0
,-,-,-,-,338,0
"General Administration, Planning and Support Services","77,013,566","75,480,875","1,532,691",98.0,338,0
Crop Production,"570,830,178","461,656,400","109,173,778",80.9,338,0
Crop Development and management,"570,830,178","461,656,400","109,173,778",80.9,338,0
,-,-,-,-,338,0
Livestock Resources management and development,-,-,-,-,338,0
Livestock Production,"133,067,276","90,314,599","42,752,677",67.9,338,0
,-,-,-,-,338,0
Livestock Resources management and development,"63,720,974","43,578,919","20,142,055",68.4,338,0
Crop Development and management,"69,346,302","46,735,680","22,610,622",67.4,339,0
Fisheries,"20,558,456",-,"20,558,456",-,339,0
,-,-,-,-,339,0
Fisheries development and management,"20,558,456",-,"20,558,456",-,339,0
Veterinary Services,"39,559,542","23,657,891","15,901,651",59.8,339,0
,-,-,-,-,339,0
Livestock Resources management and development,"39,559,542","23,657,891","15,901,651",59.8,339,0
Health- Medical Services,"3,886,131,922","2,083,987,553","1,802,144,369",53.6,339,0
"General Administration, Planning & Support Services","1,950,132,854","1,516,545,967","433,586,887",77.8,339,0
Preventive &Promotive Health Services,"1,935,999,068","567,441,586","1,368,557,482",29.3,339,0
Public Health,"347,824,451","118,519,199","229,305,252",34.1,339,0
Curative Health Services,"347,824,451","118,519,199","229,305,252",34.1,339,0
"Land, Housing & Survey","48,093,691","6,529,000","41,564,691",13.6,339,0
Urban Mobility and Transport,-,-,-,-,339,0
Crop Development and management,-,-,-,-,339,0
Land Policy and Planning,"48,093,691","6,529,000","41,564,691",13.6,339,0
Housing Development and Human Settlement,-,-,-,-,339,0
"General administration, planning and support services",-,-,-,-,339,0
Town Management,"354,836,878","107,615,818","247,221,060",30.3,339,0
Land Policy and Planning,-,-,-,-,339,0
Urban Mobility and Transport,"354,836,878","107,615,818","247,221,060",30.3,339,0
Physical Planning,"123,070,280","90,000,000","33,070,280",73.1,339,0
Housing Development and Human Settlement,"123,070,280","90,000,000","33,070,280",73.1,339,0
ICT & E-Government,-,-,-,-,339,0
,-,-,-,-,339,0
ICT Services,-,-,-,-,339,0
Tourism,"443,107,293","15,273,200","427,834,093",3.4,339,0
,-,-,-,-,339,0
Tourism Development and Promotion,"443,107,293","15,273,200","427,834,093",3.4,339,0
Wildlife,-,-,-,-,339,0
,-,-,-,-,339,0
General Administration and Support Services,-,-,-,-,339,0
Trade & Industry,-,-,-,-,339,0
Wildlife Conservation and Security,-,-,-,-,339,0
General Administration and Support Services,-,-,-,-,339,0
Cooperatives,-,-,-,-,339,0
General Administration and Support Services,-,-,-,-,339,0
,-,-,-,-,339,0
General Administration and Support Services,-,-,-,-,339,0
,"684,024,906","557,268,525","126,756,381",81.5,339,0
"General Administration, Planning and Support Services","511,944,906","400,268,525","111,676,381",78.2,339,0
Legislation and Representation,"172,080,000","157,000,000","15,080,000",91.2,339,0
,"363,912,872","93,239,026","270,673,846",25.6,339,0
