Programme,Sub-Programme (SP),Approved Estimates,col_3,"Actual Expenditure as of
30th June 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Education and
Vocation Training",Sub Total,"263,478,320","96,472,760","261,644,593","50,936,061",99.3,52.8,331,0
Department Medical of Services,,,,,,,,331,0
"0501003210
Programme 1:
Administration,
planning and sup-
port services","SP 1.1: Human resource
management and devel-
opment","940,933,101",-,"925,145,412",-,98.3,-,331,0
"3217000201 Pro-
gramme 2: Cura-
tive And Rehabili-
tative Services","SP 2.1: Primary health
services","134,594,688","170,574,316","127,975,922","62,989,225",95.1,36.9,331,0
"3217000301 Pro-
gramme 3 Preven-
tive and Promotive
Services","SP 4.1: Preventive and
Promotive Services","9,352,000","80,000,000","8,633,891","80,000,000",92.3,100.0,331,0
Medical Services,Sub Total,"1,084,879,789","250,574,316","1,061,755,225","142,989,225",97.9,57.1,331,0
"Department of Trade, Investment & Tourism",,,,,,,,331,0
"0301003210
Programme 1:
Administration,
planning and sup-
port Services","SP 1.1: Administration
Services","31,854,938",-,"31,275,205",-,98.2,-,331,0
"0302003210 Pro-
gramme 2: Tour-
ism Promotion","SP 2.1: Tourism mar-
keting and Promotion","21,056,246",-,"21,604,254",-,102.6,-,331,0
"0303003210 Pro-
gramme 3 Trade
Development",SP 3.1 Trade Promotion,"665,800","10,303,953","581,680","7,568,297",87.4,73.5,331,0
,"SP 3.3 Market develop-
ment",,"7,651,317",,"5,546,776",-,72.5,331,0
,SUM,"665,800","17,955,270","581,680","13,115,073",87.4,73.0,331,0
"0305023210
Programme5
Infrastructure and
Civil Works Total","SP 5.1 SME Develop-
ment",-,"448,407",-,-,-,-,331,0
,,Rec,Dev,Rec,Dev,Rec,Dev,332,0
,Sub Total,"53,576,984","18,403,677","53,461,139","13,115,073",99.8,71.3,332,0
Department County Public Service Board,,,,,,,,332,0
"0709003210
Programme 1:
Administration
Services","SP 1.2: Personnel
service","40,084,728",-,"38,588,624",-,96.3,-,332,0
"0710003210
Programme 10:
Human Resource
Management and
Development",SP 2.1: Headquarters,"9,270,596",-,"8,264,550",-,89.1,-,332,0
"County Public
Service Board",Sub Total,"49,355,324",-,"46,853,174",-,94.9,-,332,0
Department of Water Management and conservation,,,,,,,,332,0
"0105003210 Pro-
gramme 5: Water
Management,
Conservation and
Provision","SP 5.1 Administration
Services","21,115,236",-,"18,431,257",-,87.3,-,332,0
,"SP 5.2: Conservation
and Provision","20,000,500","237,031,737","19,998,186","103,097,971",100.0,43.5,332,0
"Water Managemet
and conservation",Sub Total,"41,115,736","237,031,737","38,429,443","103,097,971",93.5,43.5,332,0
"Department Youth, Gender, Culture, Sports and Social Services",,,,,,,,332,0
"0101003210
Programme 1:
Administration,
planning and sup-
port Services","Sub-programme 1.1:
Headquarters","19,595,252",-,"15,424,770",-,78.7,-,332,0
"Programme 2
Youth and Sports
Development","Sub-programme 2.1
Construction of Build-
ings",-,"3,000,000",-,-,-,-,332,0
,"Sub-programme 2.2:
Promotion of Sports",-,"13,997,999",-,"7,392,342",-,52.8,332,0
,"Sub-programme 2.3:
Youth Empowerment",-,"7,000,000","7,000,000","7,000,000",-,100.0,332,0
,SUM,-,"23,997,999","7,000,000","14,392,342",-,60.0,332,0
"0504003210 Pro-
gramme 3 Social
Services","Sub-programme 3.1:
Construction of Social
Hall",-,"12,034,912",-,"11,087,280",-,92.1,332,0
,"Sub-programme 3.2:
PWD Empowerment
Programme",-,"7,000,000",-,"7,000,000",-,100.0,332,0
,,Rec,Dev,Rec,Dev,Rec,Dev,333,0
,"Sub-programme 3.3:
Renovation of Social
Hall",-,"12,017,797",-,"4,959,371",-,41.3,333,0
,"Sub-programme 3.4:
Women Empowerment",-,"6,947,291",-,"6,947,291",-,100.0,333,0
,SUM,-,"38,000,000",-,"29,993,942",-,78.9,333,0
,Total,"19,595,252","61,997,999","22,424,770","44,386,284",114.4,71.6,333,0
Department of Sanitation and Environment,,,,,,,,333,0
"0501003210 Pro-
gramme 1: General
Administration,
Planning and Sup-
port Services","Sub-programme 1.1.
Headquarters","70,802,177",-,"67,889,640",-,95.9,-,333,0
,"Sub-Programme 1.2:
Public Health and
sanitation","26,257,081",-,"14,411,287",-,54.9,-,333,0
,SUM,"97,059,258",-,"82,300,927",-,84.8,-,333,0
"Programme 4:
Environmental
Health and sani-
tation","Sub-programme 2.1:
Public Health andLi-
cencing",-,"7,900,000",-,"6,226,031",-,78.8,333,0
,"Sub-Programme 2.2:
Waste Management",-,"3,600,000",-,"3,556,368",-,98.8,333,0
,SUM,-,"11,500,000",-,"9,782,399",-,85.1,333,0
,Sub Total,"97,059,258","11,500,000","82,300,927","9,782,399",84.8,85.1,333,0
Department of Fisheries Development,,,,,,,,333,0
"0709003210
Programme 1:
Administration,
planning and sup-
port services.","Sub-programme 1.1:
Headquarters","31,899,812",-,"28,209,330",-,88.4,-,333,0
"Programme 2:
Fisheries Develop-
ment Services","Sub-programme 2.1:
Fish farming",-,"25,000,000",-,"23,407,600",-,93.6,333,0
"Fisheries Devel-
opment",Total,"31,899,812","25,000,000","28,209,330","23,407,600",88.4,93.6,333,0
Department Budget and Economic Planning,,,,,,,,333,0
"Programme 1:
Administration
services","Sub-programme
1.1Headquarters","16,029,984",-,"15,494,111",-,96.7,-,333,0
"Programme 2: Eco-
nomic planning","Sub-programme 2.1
Budget and Economic
Planning","9,779,152",-,"7,210,167",-,73.7,-,333,0
,Sub Total,"25,809,136",-,"22,704,278",-,88.0,-,333,0
Department Infrastructure and Energy,,,,,,,,333,0
