Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"CP 11: Other
projects","CSP 11.1: Other
Development
Projects",-,"174,251,558",-,"157,037,946",-,90.1,86,0
,Sub Total,"274,935,865","1,101,744,545","270,732,251","532,507,718",98.5,48.3,86,0
"Department of Trade, Investment, Cooperatives and Industry",,,,,,,,86,0
"CP 12: General
Administration and
support services","CSP 12.1:
Administrative
support service","85,980,548",-,"85,165,583",-,99.1,-,86,0
,"CSP 13.2:
Market mod-
ernisation and
development",-,"196,109,112",-,"115,740,694",-,59.0,86,0
"CP 14: Fair Trade
practices","CSP 14.1:
Weights and-
measures.",-,"3,000,000",-,-,-,-,86,0
"CP 15: Cooperative
development","CSP 15.1: Busia
county cooper-
ative enterprise
development
fund",-,"8,000,000",-,-,-,-,86,0
"CP 16: Other
projects","CSP 16.1: Other
Development
projects",-,"17,245,880",-,"8,027,399",-,46.5,86,0
,Sub Total,"85,980,548","224,354,992","85,165,583","123,768,092",99.1,55.2,86,0
Department of Education Vocational Training,,,,,,,,86,0
"-CP 17: General
Administration and
support services","CSP 17.1:
Administrative
support service",-,-,-,-,-,-,86,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",87,0
,"CSP 18.2:
E.C.D.E Capi-
tation",-,"8,806,048",-,-,-,-,87,0
"CP 19: Technical/
vocational training
development","CSP 19.1:
Infrastructure
development",-,"17,229,850",-,-,-,-,87,0
"CP 20: Education
support","CSP 20.1: Edu-
cation support
scheme",-,"2,139,336",-,-,-,-,87,0
"CP 21: Other
projects","CSP 21.1: Other
Development
projects",-,"25,673,514",-,"20,691,401",-,80.6,87,0
,Sub Total,"622,835,677","53,848,748","617,836,897","20,691,401",99.2,38.4,87,0
"Department of Finance, ICT and Economic Planning",,,,,,,,87,0
"CP 22: General
Administration and
support services","CSP 22.1:
Administrative
support service","894,957,722",-,"891,699,246",-,99.6,-,87,0
"CP 23: Financial
management
control and
development","CSP 23.1: Reve-
nue generation
services",-,"60,397,425",-,-,-,-,87,0
-,"CSP 24.2: ICT
Support services",-,"8,361,500",-,"1,637,229",-,19.6,87,0
"CP 25: Other
projects","CSP 25.1: Other
Development
projects",-,"5,999,895",-,0.00,-,-,87,0
,Sub Total,"894,957,722","74,758,820","891,699,246","1,637,229",99.6,19.6,87,0
"Department of Sports, Culture and Social Services",,,,,,,,87,0
"CP 26: General
Administration and
support services","CSP 26.1:
Administrative
support service","116,240,890",-,"114,155,935",-,98.2,-,87,0
"CP 27: Social
services","CSP 27.1:
infrastructural
development",-,"10,606,837",-,-,-,-,87,0
"CP 28: Youth
Empowerment
and Development","CSP 28.1 Equip-
ping andOpera-
tionalization of
youth empower-
ment",-,"6,700,325",-,-,-,-,87,0
"CP 29: Promotion
and development
of sports","CSP 29.1:
Infrastructural
development",-,"5,000,000",-,-,-,-,87,0
,"CSP 29.2: sports
promotion",-,"11,474,200",-,"9,449,651",-,82.4,87,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",88,0
"CP 30: Child care
and Protection","CSP 30.1:
Rehabilitation
andcustody",-,"3,251,181",-,"981,776",-,30.2,88,0
"CP 33: Other
projects","CSP 33.1: Other
Development
projects",-,"24,758,353",-,"22,750,737",-,91.9,88,0
,Sub Total,"116,240,890","61,790,896","114,155,935","33,182,164",98.2,53.7,88,0
"Department of Transport, Public Works and Energy",,,,,,,,88,0
"CP 34: General
Administration and
support services","CSP 34.1:
Administrative
support service","201,093,214",-,"194,277,700",-,96.6,-,88,0
"CP 35: Development
and Maintenance
of roads","CSP 35.1: Rou-
tine mainte-
nance of roads",-,"78,763,123",-,"76,320,305",-,96.9,88,0
,"CSP 35.2:
Development of
Roads",-,"43,597,270",-,"19,785,516",-,45.4,88,0
"CP 37: Energy
Development","CSP 37.1 Energy
Services",-,"2,400,000",-,-,-,-,88,0
,"CSP 37.1: Solar
Energy Explo-
ration",-,"17,141,077",-,-,-,-,88,0
"CP 38: Alternative
Transport
Infrastructure
Development","CSP 38.1: Road
safety campaign",-,"637,345",-,-,-,-,88,0
"CP 39: Other
projects","CSP 39.1: Other
Development
projects",-,"223,105,803",-,"156,802,962",-,70.3,88,0
,Sub Total,"201,093,214","365,644,618","194,277,700","252,908,783",96.6,69.2,88,0
"Department of Public Service, Administration and gender",,,,,,,,88,0
"CP 40: General
Administrative and
support services","CSP 40.1:
Administrative
support services","501,566,256",-,"421,757,508",-,84.1,-,88,0
,Sub Total,"501,566,256",-,"421,757,508",-,84.1,-,88,0
"Department of Lands, Housing and Urban Development",,,,,,,,88,0
"-CP 41: General
Administrative and
support services","CSP 41.1:
Administrative
support services",-,-,-,-,-,-,88,0
"CP 42: County Land
Administration
and Planning","CSP 42.1: Land
Use Planning",-,"6,000,000",-,-,-,-,88,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",89,0
"CP 43: Housing
Development and
management","CSP 43.1: Hous-
ing Develop-
ment",-,"40,000,000",-,-,-,-,89,0
"-CP 44: Urban
Management and
Development
Control","CSP 44.1: Urban
management",-,"166,768,933",-,"61,168,186",-,36.7,89,0
,"CSP 44.2: Urban
Development",-,"49,788,935",-,"31,596,851",-,63.5,89,0
"CP 45: Other
Projects","CSP 45.1: Other
development
projects",-,"1,500,000",-,-,-,-,89,0
,Sub Total,"195,065,378","264,057,868","189,808,036","92,765,037",97.3,35.1,89,0
"Department of Water, Irrigation and Natural Resources",,,,,,,,89,0
"CP 46: General
Administrative and
support services","CSP 46.1:
Administrative
support services","197,004,987",-,-,-,94.5,-,89,0
"-CP 47: Water
supply services","CSP 47.1: Urban
water supply
andsewerage",-,"37,979,094",-,"5,032,444",-,13.3,89,0
,"CSP 47.2: Rural
water supply",-,"38,872,743",-,"14,872,807",-,38.3,89,0
"CP 48:
Environmental
management
and Protection","CSP 48.1
Environmental
management",-,"9,974,500",-,-,-,-,89,0
"CP 49: Smallholder
irrigation
anddrainage","CSP 49.1:
Irrigation
infrastructure
development",-,"7,000,000",-,"637,430",-,9.1,89,0
"CP 50: Forest
development and
management","CSP 50.1:
Rehabilitation
andrestoration
of degraded
landscape",-,"8,533,103",-,-,-,-,89,0
"CP 51: Climate
Change Fund","CSP 51.1: Fi-
nancing Local-
ly-Led Climate
Action Program
(FLLOCA) -
County contri-
bution",-,"55,000,000",-,"19,179,647",-,34.9,89,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",90,0
,"CSP 51.2: Fi-
nancing Local-
ly-Led Climate
Action Program
(FLLOCA)",-,"125,000,000",-,"2,897,951",-,2.3,90,0
"CP 52: Other
projects","CSP 52.1: Other
Development
projects",-,"117,716,410",-,"57,098,778",-,48.5,90,0
,Sub Total,"197,004,987","400,075,850","186,249,089","99,719,056",94.5,24.9,90,0
Department of Health and Sanitation,,,,,,,,90,0
"CP 53: General
Administration and
support services","CSP 53.1:
Administrative
support service","2,021,267,514",-,"1,911,096,100",-,94.5,-,90,0
"-CP 54: Curative
Health Services","CSP 54.1:
Infrastructure
development",-,"118,364,906",-,"40,059,854",-,33.8,90,0
,"CSP 54.2: Hos-
pital equipment",-,"38,515,654",-,-,-,-,90,0
"CP 55: Preventive
and Promotive
Health Services","CSP 55.1:
Infrastructure
development",-,"56,837,966",-,"1,815,011",-,3.2,90,0
,"CSP 55.2: Low-
er-level hospital
equipment",-,"24,044,650",-,-,-,-,90,0
,"CSP 55.4:
Health promo-
tion unit",-,"143,358,107",-,"17,945,129",-,12.5,90,0
"CP 56: Other
projects","CSP 56.1: Other
Development
projects",-,"15,581,676",-,"12,062,276",-,77.4,90,0
,Sub Total,"2,021,267,514","396,702,959","1,911,096,100","71,882,270",94.5,18.1,90,0
County Public Service Board,,,,,,,,90,0
"CP 57: General
Administration and
support services","CSP 57.1:
Administrative
support service","100,702,145",-,"99,791,944",-,99.1,-,90,0
,Sub Total,"100,702,145",-,"99,791,944",-,99.1,--,90,0
Governorship (Executive),,,,,,,,90,0
"CP 58: General
Administration and
support services","CSP 58.1:
Administrative
support service","481,759,255",-,"391,923,041",-,81.4,-,90,0
"CP 59: Disaster
Risk Management","CSP 59.1: Disas-
ter Preparedness",-,"20,550,000",-,"4,579,493",-,22.3,90,0
