Programme,Sub Programme,"Approved Estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 2.3 county
policing services","13,000,000",-,"1,361,955",-,10.5,-,474,0
,"SP 2.4 leadership
and governance","3,000,000",-,"125,000",-,4.2,-,474,0
"Programme 3
co-ordination and-
supervisory services","SP 3.1 organi-
sation of county
businesses","17,000,000",-,"15,989,483",-,94.1,-,474,0
,"SP 3.2 Special
programmes",-,-,-,-,-,-,474,0
,Sub Total,"325,662,968","282,667,114","196,652,217","195,596,425",60.4,69.2,474,0
office of County Attorney,,,,,,,,474,0
"Programme 1
Administration","SP 1.1 Adminis-
tration","13,918,750",-,"1,598,000",-,11.5,-,474,0
,"SP 1.2 Personnel
services","400,000",-,"381,784",-,95.4,-,474,0
"Programme 2 legal
services","SP 2.1 Legal
services","191,000,000",-,"121,315,467",-,63.5,-,474,0
"Programme 3 Advi-
sory services","SP 3.2 Advisory
services","2,581,250",-,"2,028,800",-,78.6,-,474,0
,Sub Total,"207,900,000",-,"125,324,051",,60.3,-,474,0
Department of Infrastructure,,,,,,,,474,0
"Programme 1
administration,
planning and sup-
port services","SP 1.1 Administra-
tion services","41,632,892",-,"3,400,837",-,8.2,-,474,0
,"SP 1.2 Personnel
services","142,476,936",-,"127,826,007",-,89.7,-,474,0
,"SP 1.3 financial
services",-,-,-,-,-,-,474,0
,"SP 2.1 Construc-
tion, rehabilitation
and Maintenance
of roads, drainage
andbridges","28,888,332","1,249,688,683","22,090,518","556,088,718",76.5,44.5,474,0
,"SP 2.2 Rehabilita-
tion and Mainte-
nance of transport
terminus","4,537,500",-,"2,955,900",-,65.1,-,474,0
,"SP 2.3 Con-
struction and
Maintenance of
non-residential
county buildings","10,783,750","3,000,000","5,304,115",-,49.2,-,474,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,475,0
,"SP 2.4 Installation,
rehabilitation and
Maintenance of
lighting facilities","144,422,000","5,000,000","1,408,540",-,1.0,-,475,0
"Programme 3 fire-
fighting anddisaster
management","SP 3.1 Firefighting
and Emergency
Services","8,405,867",-,"5,824,950",-,69.3,-,475,0
,"SP 3.2 Disaster
management",-,-,-,-,-,-,475,0
,Sub Total,"381,147,277","1,257,688,683","338,864,817","556,008,718",88.9,44.2,475,0
Department of Health Services,,,,,,,,475,0
"Programme 1
administration and
Planning","SP 1.1 Health in-
formation systems","17,485,667",-,"3,327,082",-,19.0,-,475,0
,"SP 1.2 governance
and leadership","491,925,865",-,"360,874,002",-,73.4,-,475,0
,"SP 1.3 Human
resource manage-
ment","3,929,490,192",-,"3,448,821,185",-,87.8,-,475,0
,"SP 1.4 Research
and development","2,500,000",-,"573,440",-,22.9,-,475,0
,"SP 1.5 Health
infrastructure and
development","10,833,333",-,"220,000",-,2.0,-,475,0
"Programme 2
health preventive
and Promotive
services","SP 2.1 Primary
Healthcare","1,270,605","621,955,766",-,"225,572,491",-,36.3,475,0
,"SP 2.2 Environ-
mental health and
sanitation","2,000,000",-,-,-,-,-,475,0
,"SP 2.3 human
resource","17,049,940",-,-,-,-,-,475,0
,"SP 2.4 Disease sur-
veillance and Emer-
gency response","1,897,550",-,"127,800",-,6.7,-,475,0
,"SP 2.5 Health
promotive","1,000,000",-,"471,600",-,47.2,-,475,0
