"Programme
Sub-Programme",col_1,Approved Estimates,col_3,Actual Expenditure as of 30th June 2023,col_5,Absorption Rate (%),col_7,page_number,table_index
"Education, Youth Affairs, Gender and Social Services",,,,,,,,583,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",584,0
,"Administra-
tion Services","251,315,362",-,"246,228,237.15",-,98.0,-,584,0
,ECD Programmes,"12,349,382","174,887,792","11,192,400","69,843,840.20",90.6,39.9,584,0
,"Youth Polytech-
nics and Youth
Trainings","5,243,584","33,216,989","3,673,629","29,693,532",70.1,89.4,584,0
,Sports,"16,563,609","71,072,246","14,263,900","31,949,909.65",86.1,45.0,584,0
,Social Resources,"24,162,927","54,503,058","17,029,900","35,356,769",70.5,64.9,584,0
,Sub Total,"309,634,864.00","333,680,085.00","292,388,066.15","166,844,050.85",94.4,50.0,584,0
"County Health Services
-",,,,,,,,584,0
,"General Admin-
istration and
Planning Services","1,490,768,146",-,"1,052,311,763.30",-,70.6,-,584,0
,"Curative Health-
care Services","204,908,249","334,301,757","199,951,298.85","89,348,136.60",97.6,26.7,584,0
,"Preventive,
Promotive
andRehabilitative
Health Services","83,755,896",-,"69,194,471",-,82.6,-,584,0
,"Facility Improve-
ment Fund","109,000,700",-,"56,327,054",-,51.7,-,584,0
,HIV Services,"25,219,688",-,"24,869,022",-,98.6,-,584,0
,TB Services,"76,446,751",-,"57,261,123",-,74.9,-,584,0
,Nutrition Services,"58,578,536",-,"607,267",-,1.0,-,584,0
,"Environmental
Health Services","50,158,116",-,"850,000",-,1.7,-,584,0
,Sub Total,"2,098,836,082.00","334,301,757.00","1,461,371,999.45","89,348,136.60",69.6,26.7,584,0
"Lands, Physical Planning, Urban Development andHousing",,,,,,,,584,0
,Physical Planning,"46,624,572","26,708,391","45,541,520","20,376,490",97.7,76.3,584,0
,"LandSurvey
and Mapping","15,773,991","41,917,306","11,638,067","34,401,767.95",73.8,82.1,584,0
,Housing,"27,080,269","3,556,811","25,806,712.10","2,253,601.60",95.3,63.4,584,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",585,0
,"General Ad-
ministration,
Planning and
Support Services","58,282,630","23,185,646","54,589,941.85","2,277,734.60",93.7,9.8,585,0
,Sub Total,"147,761,462.00","95,368,154.00","137,576,241.40","59,309,594.15",93.1,62.2,585,0
"Roads, Public Works, Energy andTransport",,,,,,,,585,0
,"General Admin-
istration Services","959,795",-,"134,000",-,14.0,-,585,0
,"Road Develop-
ment, main-
tenance and
Management","87,587,924","662,707,428","74,305,619.05","517,978,992.75",84.8,78.2,585,0
,"County Govern-
ment Building
Services","627,241",-,-,-,-,-,585,0
,Sub Total,"89,174,960.00","662,707,428.00","74,439,619.05","517,978,992.75",83.5,78.2,585,0
Enterprise andIndustrial Development,,,,,,,,585,0
,"General Admin-
istration and
Planning Services","130,371,895",-,"120,231,108.40",-,92.2,-,585,0
,"Trade Devel-
opment and-
Investment","3,751,705",-,"3,353,984.80",-,89.4,-,585,0
,"Promotion of
Fair- Trade
Practices","6,197,000",-,"3,855,494",-,62.2,-,585,0
,"Cooperative Ex-
tension Services","11,305,000",-,"9,595,438",-,84.9,-,585,0
,Market services,"8,894,400","305,808,902","6,862,474","80,500,234.95",77.2,26.3,585,0
,Sub Total,"160,520,000.00","305,808,902.00","143,898,499.00","80,500,234.95",89.6,26.3,585,0
"Tourism, Culture, Sports andArts",,,,,,,,585,0
,ICT,"7,595,000","17,380,187","5,364,372.95","12,386,844.40",70.6,71.3,585,0
,Tourism,-,"14,869,528",-,"7,699,916.90",-,51.8,585,0
,"General Ad-
ministration,
Planning and
Support Services","71,505,000",-,"63,701,989.20",-,89.1,-,585,0
