Programme,Sub- Programme,"Approved Estimates
(Kshs)","Actual Expenditure
as of 30th June 2023
(Kshs)",Variance,"Absorption
rate (%)",page_number,table_index
,"Cultural Develop-
ment andPromotion
Services","8,000,000","8,000,000",-,100.0,142,0
,Sub total,"8,000,000","8,000,000",-,100.0,142,0
"Social Development and
Empowerment Services","Gender and Women
Empowerment","2,000,000","2,000,000",-,100.0,142,0
,Youth Empowerment,"8,745,055","8,740,000","5,055",99.9,142,0
,"Disability Main-
streaming Services","1,000,000","1,000,000",-,100.0,142,0
,Sub total,"11,745,055","11,740,000","5,055",100.0,142,0
"Management and De-
velopment of Sports and
Sports Facilities","Sports Infrastructure
Development Services","122,874,174","102,241,196","20,632,978",83.2,143,0
,"Sports Management
and talent Develop-
ment","23,000,000","15,605,106","7,394,894",67.8,143,0
,Sub total,"145,874,174","117,846,302","28,027,872",80.8,143,0
,Grand Total,"220,059,599","191,376,768","28,682,831",87.0,143,0
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,143,0
"General Administration,
Planning and Support
Services","Human Resource and
Support Services","67,171,180","67,086,474","84,706",99.9,143,0
,"Roads and Transport
Services Operations","5,789,893","5,780,274","9,619",99.8,143,0
,Sub total,"72,961,073","72,866,748","94,325",99.9,143,0
"Public works and Main-
tenance services","Quality control an-
dEnforcement","479,954","400,000","79,954",-,143,0
,"Plant andMachinery
maintenance","204,931","189,210","15,721",92.3,143,0
,Sub total,"684,885","589,210","95,675",86.0,143,0
"Road Development and
Maintenance Services","Opening Grading
andGravelling","400,000,000","395,253,861","4,746,139",98.8,143,0
,Road Maintenance,"596,739,416","452,991,581","143,747,835",75.9,143,0
,Plant andMachinery,"5,000,000",,"5,000,000",-,143,0
,Sub total,"1,001,739,416","848,245,442","153,493,974",84.7,143,0
Transport Services,"construction
of Bus park",-,-,-,-,143,0
,Sub total,-,-,-,-,143,0
,Grand Total,"1,075,385,374","921,701,400","153,683,974",85.7,143,0
"Department of Blue Economy, Fisheries Mining andDigital Economy",,,,,,143,0
"Blue Economy and
Fisheries Resources and
Development Services","Capture Fisheries and
Development","6,000,000","5,906,939","93,061",98.4,143,0
,"Aquaculture Develop-
ment","5,278,225","4,000,000","1,278,225",75.8,143,0
,Sub total,"11,278,225","9,906,939","1,371,286",87.8,143,0
"ICT AndDigital
Economy Development
Services","ICT Infrastructure
Development","16,846,500","2,000,000","14,846,500",11.9,143,0
,E-Commerce Services,"10,200,000","1,450,536","8,749,464",14.2,143,0
,Sub total,"27,046,500","3,450,536","23,595,964",12.8,143,0
"General Administration,
Planning and Support
Services",Policy Development,"16,017,386","15,943,556","73,830",-,143,0
,"Personnel Remu-
neration andWelfare
Services","46,286,000","46,280,000","6,000",100.0,143,0
,Sub total,"62,303,386","62,223,556","79,830",99.9,143,0
,Grand Total,"100,628,111","75,581,031","25,047,080",75.1,143,0
"Department of Education, Human Capital Development and Vocational Training",,,,,,143,0
"General Administration
andQuality Assurance
Service","General administra-
tion Services","14,805,135","1,000,000","13,805,135",6.8,144,0
,"Quality Assurance
Services","868,167,476","867,452,956","714,520",99.9,144,0
,Sub total,"882,972,611","868,803,392","14,169,219",98.4,144,0
"EYE and Vocational
Training Services",EYE Services,"83,365,000","62,328,882","21,036,118",74.8,144,0
,"Vocational Training
Services","25,372,155","16,144,827","9,227,328",63.6,144,0
,Sub total,"108,737,155","78,473,709","30,263,446",72.2,144,0
ICT Services,Information Services,-,-,-,-,144,0
,"ICT Infrastructure
Development","2,300,000",-,"2,300,000",-,144,0
,Sub total,"2,300,000",-,"2,300,000",-,144,0
,Grand Total,"994,009,766","947,277,101","46,732,665",95.3,144,0
Department of Public Health and Medical Services,,,,,,144,0
"Policy planning
and administrative
support service","Policy, Planning and-
Monitoring Services","6,121,000","6,120,600",400,100.0,144,0
,"Administrative Sup-
port Services","2,124,092,337","2,123,891,428","200,909",100.0,144,0
,Sub total,"2,130,213,337","2,130,012,028","201,309",100.0,144,0
"Preventive and Promo-
tive health services","Community health
services","63,886,000","63,340,710","545,290",99.1,144,0
,"Disease control
services","250,000,000","249,890,124","109,876",100.0,144,0
,"Facility infrastructure
improvement services","25,198,704","24,710,867","487,837",,144,0
,Sub total,"339,084,704","337,941,701","1,143,003",99.7,144,0
"Curative and Rehabilita-
tive health services","Routine medical
health services","184,424,728","180,116,044","4,308,684",97.7,144,0
,"Medical emergency
response services","12,062,500","6,710,100","5,352,400",55.6,144,0
,"Facility infrastructure
improvement services","457,858,239","424,308,915","33,549,324",92.7,144,0
,Sub total,"654,345,467","611,135,059","43,210,408",93.4,144,0
"Research and develop-
ment service","Research
andsurveillance
services",-,-,-,-,144,0
,"Capacity development
services","3,000,000",-,"3,000,000",-,144,0
,Sub total,"3,000,000",-,"3,000,000",-,144,0
,Grand Total,"3,126,643,508","3,079,088,788","47,554,720",98.5,144,0
"Department of Lands, Housing, Urban Development and physical Planning",,,,,,144,0
"General Administration
Services","General administra-
tive support services","47,172,562","46,956,959","215,603",99.5,145,0
,"Operation and Main-
tenance Services","13,105,868","12,594,483","511,385",96.1,145,0
,"General Office Infra-
structure","1,540,377","558,046","982,331",36.2,145,0
,Sub total,"61,818,807","60,109,488","1,709,319",97.2,145,0
"Lands and physical
planning","County spatial plan-
ning","549,200","549,200",-,100.0,145,0
,"Symbio City Change
project","3,208,132",-,"3,208,132",-,145,0
,"Survey andDemarca-
tion of Markets",-,-,-,-,145,0
,LandBanking,-,-,-,-,145,0
,"Inventorization of
public",-,-,-,-,145,0
,"Preparation of Valua-
tion roll","3,691,000","3,691,000",-,100.0,145,0
,Sub total,"7,448,332","4,240,200","3,208,132",56.9,145,0
"Housing and Urban
Development","Housing improvement
services","950,000",-,"950,000",-,145,0
,"Smart Settlement
service AMBTC Pro-
motion services",-,-,-,-,145,0
,"Delineation andestab-
lishment of Urban
areas (Urban Institu-
tional Grants)",-,-,-,-,145,0
,"Slum Upgrading Pro-
gramme KISIP","152,245,356","92,574,505","59,670,851",60.8,145,0
,"Affordable housing
programme","24,445,560",-,"24,445,560",-,145,0
,"Urban lakefront plan-
ning and development","1,818,000",-,"1,818,000",-,145,0
,Sub total,"179,458,916","92,574,505","86,884,411",51.6,145,0
,,"248,726,055","156,924,193","91,801,862",63.1,145,0
"Department of Trade, Tourism, Industrialization, andEnterprise Development",,,,,,145,0
"Planning and adminis-
trative services","Administrative and
Support Services","168,834,653","168,830,215","4,438",100.0,145,0
,"Policy Development
andImplementation
Services","4,100,000","3,966,796","133,204",96.8,145,0
,Sub total,"172,934,653","172,797,011","137,642",99.9,145,0
"Trade, Cooperative
andEntrepreneurship
Development Service","Enterprise
Development Services",-,-,-,-,146,0
,"Cooperative Develop-
ment andPromotion
Services",-,-,-,-,146,0
,"Trade Infrastructure
Development Services","81,992,221","73,652,877","8,339,344",89.8,146,0
,Sub total,"81,992,221","73,652,877","8,339,344",89.8,146,0
"Tourism andIndustrial
Development Services","Value Chain Develop-
ment Services","135,985,763","83,439,823","52,545,940",61.4,146,0
,Tourism Development,"8,657,778",,"8,657,778",-,146,0
,Sub total,"144,643,541","83,439,823","61,203,718",57.7,146,0
,,"399,570,415","329,889,711","69,680,704",82.6,146,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,146,0
"General Administrative
services","Administrative Sup-
port Services","64,407,079","64,379,275","27,804",100.0,146,0
,"Policy and Planning
Services","60,282,410","60,193,904","88,506",99.9,146,0
,Sub total,"124,689,489","124,573,179","116,310",99.9,146,0
"Water Supply and man-
agement Services","Urban Water Supply
Services","7,955,456","7,955,456",-,100.0,146,0
,"Rural Water Supply
Services","99,725,484","94,168,168","5,557,316",94.4,146,0
,"Maintenance of Water
Supply Services","5,000,000","700,876","4,299,124",14.0,146,0
,Sub total,"112,680,940","102,824,500","9,856,440",91.3,146,0
Energy Services,"Electrical Power
Services","7,175,559","7,175,559",-,100.0,146,0
,Solar Power Services,"16,300,000","12,478,897","3,821,103",76.6,146,0
,"Low-cost Energy
Technological Promo-
tional Services",-,-,-,-,146,0
,,"23,475,559","19,654,456","3,821,103",83.7,146,0
"Environmental Protec-
tion and management
Services","Pollution and waste
Management services","11,300,000","9,315,668","1,984,332",82.4,146,0
,"Forestry Development
Services","13,924,441","12,630,450","1,293,991",90.7,146,0
,"Climate Change
Services","16,000,000","16,000,000",-,100.0,146,0
,Sub total,"41,224,441","37,946,118","3,278,323",92.0,146,0
Grand Total,,"302,070,429","284,998,253","17,072,176",94.3,146,0
Department of Finance and Economic Planning,,,,,,146,0
"General administration
and support services","Staff Remuneration
andWelfare Support
Services","445,371,905","445,307,971","63,934",100.0,147,0
,"General Logistics, Co-
ordination andAsset
Management Services","89,141,604","89,141,201",403,100.0,147,0
,"Devolution and Ser-
vice Delivery Support
Services","74,093,396","72,093,396","2,000,000",97.3,147,0
,Sub total,"608,606,905","606,542,568","2,064,337",99.7,147,0
"Planning, budgeting and
development coordina-
tion services","Economic planning
and development
services","10,443,600","10,423,600","20,000",99.8,147,0
,"Resource allocation
services","10,143,100","9,300,130.0","842,970",91.7,147,0
,"Public Participation
facilitation services","30,000,000","30,000,000.0",-,100.0,147,0
,Sub total,"50,586,700","49,723,730","862,970",98.3,147,0
"Strategy and Service
delivery management
services","Monitoring and
Evaluation services",-,-,-,-,147,0
,"Strategy and Service
delivery improvement
services",-,-,-,-,147,0
,Sub total,-,-,-,-,147,0
"Resource mobilisation
services","External Resources
Mobilization Services","11,080,000","10,500,000","580,000",94.8,147,0
,"Internal Revenue
Generation Services","11,150,858","10,599,982","550,876",95.1,147,0
,Sub total,"22,230,858","21,099,982","1,130,876",94.9,147,0
"Financial management
services","Accounting andFinan-
cial Reporting Services","22,000,000","21,964,200","35,800",99.8,147,0
,"Audit andAdvisory
Services","6,000,000","4,500,000","1,500,000",75.0,147,0
,"Emergency Manage-
ment Services","46,621,100","44,380,064","2,241,036",95.2,147,0
,Sub total,"74,621,100","70,844,264","3,776,836",94.9,147,0
,Grand Total,"756,045,563","748,210,544","7,835,019",99.0,147,0
Executive Office of the Governor,,,,,,147,0
"Public Service Adminis-
tration support services","Human resource
management and de-
velopment services","503,188,550","502,992,012","196,538",100.0,147,0
,"Planning andMonitor-
ing Services","2,000,000","1,590,125","409,875",79.5,147,0
,Legal Services,"5,000,000","5,000,000",-,100.0,147,0
,Sub total,"510,188,550","509,582,137","606,413",99.9,147,0
"Governance andcoordi-
nation services","Executive manage-
ment andliaison
services","181,982,096","181,792,185","189,911",99.9,148,0
,"Field coordination
and Administration
services","14,000,000","13,915,357","84,643",99.4,148,0
,Sub total,"195,982,096","195,707,542","274,554",99.9,148,0
"Strategy and Service
delivery improvement
services","Strategy andadvisory
services","10,000,000","7,528,200","2,471,800",75.3,148,0
,"Efficiency monitoring
services","10,000,000","9,045,216","954,784",90.5,148,0
,"Information andcom-
munication services","6,150,000","5,957,505","192,495",96.9,148,0
,"Disaster management
services",-,-,-,-,148,0
,"Compliance and man-
agement services",-,-,-,-,148,0
"Communication and
Public Engagement",Sub total,"26,150,000","22,530,921","3,619,079",86.2,148,0
,"Communication and-
Information Services","14,662,331","12,837,862","1,824,469",87.6,148,0
,"Public Participation
and
Stakeholder Manage-
ment services","2,000,000",,"2,000,000",-,148,0
,"Inter-governmental
Relations andLiaison
Services","5,000,000","4,981,250","18,750",99.6,148,0
,Sub total,"21,662,331","17,819,112","3,843,219",82.3,148,0
"Field Administration
and Devolution Support
Services","Field Administration
andCoordination
Services","45,248,669","42,850,125","2,398,544",94.7,148,0
,"Devolution Support
Services","2,000,000",,"2,000,000",,148,0
,"Disaster andHuman
Services","14,000,000","14,000,000",-,,148,0
,Sub total,"61,248,669","56,850,125","4,398,544",92.8,148,0
,,,,,,148,0
,Grand Total,"815,231,646","802,489,837","12,741,809",98.4,148,0
County Public Service Board,,,,,,148,0
"Policy, Planning and
Administration Services","Policy and Planning
Services","3,167,850","3,160,000","7,850",99.8,148,0
,"Administrative Sup-
port Services","64,013,752","63,999,849","13,903",100.0,148,0
,"Facility Improvement
& Capacity Strength-
ening Services",-,-,-,-,148,0
,Sub total,"67,181,602","67,159,849","21,753",100.0,148,0
"Personnel Sourcing and
management Services","Recruitment, Selection
andDeployment
Services","10,798,302","10,797,419",883,100.0,149,0
,"Human Resource
Advisory Services","3,665,000","3,665,000",-,100.0,149,0
,"Capacity Development
Services","1,014,924","1,000,000","14,924",98.5,149,0
,Sub total,"15,478,226","15,462,419","15,807",99.9,149,0
"Performance Manage-
ment Services","Performance Con-
tracting andAppraisal
Services","7,500,000","7,490,125","9,875",99.9,149,0
,"Performance En-
hancement Services","6,000,000","5,987,278","12,722",99.8,149,0
,Sub total,"13,500,000","13,477,403","22,597",99.8,149,0
,Grand Total,"96,159,828","96,099,671","60,157",99.9,149,0
County Assembly Service Board,,,,,,149,0
Legislative Services,"Members welfare
Support services","273,108,870","273,108,720",150,100.0,149,0
,"Legislative develop-
ment andapproval
services","245,045,286","225,240,824","19,804,462",91.9,149,0
,Sub total,"518,154,156","498,349,544","19,804,612",96.2,149,0
"Oversight andControl
Services","Capacity building
services","7,000,000","7,000,000",-,100.0,149,0
,"Report writing ser-
vices","22,000,000","22,000,000",-,100.0,149,0
,"Public participation
and Education services","11,000,000","11,000,000",-,100.0,149,0
,Sub total,"40,000,000","40,000,000",-,100.0,149,0
"Ward Representation
Services","Staff welfare support
services","66,628,836","66,628,836",-,100.0,149,0
,"Ward operations and
Maintenance","17,284,320","17,284,320",-,100.0,149,0
,Sub total,"83,913,156","83,913,156",-,100.0,149,0
"Policy, Planning and
administrative","Administrative sup-
port services","297,124,937","279,413,440","17,711,497",94.0,149,0
Support Services,"Financial Management
Services","176,430,938","176,430,938",-,100.0,149,0
,"Assembly Infrastruc-
ture Development
Services","82,254,927","48,574,881","33,680,046",59.1,149,0
,Sub total,"555,810,802","504,419,259","51,391,543",90.8,149,0
,Grand Total,"1,197,878,114","1,126,681,959","71,196,155",94.1,149,0
Homa Bay Municipal Board,,,,,,149,0
"Policy, Planning, Gen-
eral Administration and
Support Services","Policy and
Planning Services",-,-,-,-,149,0
,"Administration and
Support Services","27,969,896","26,975,938","993,958",96.4,149,0
,Sub total,"27,969,896","26,975,938","993,958",96.4,149,0
