Program,"Sub Pro-
gram",Description,Approved Estimates,col_4,"Actual Expenditure as of 30th
June 2023",col_6,Absorption Rate (%),col_8,page_number,table_index
701005079,,,"251,886,481","20,000,000","220,469,475",-,87.5,-,261,0
,701025060,"Development
and Manage-
ment of Coun-
ty Administra-
tive systems","251,886,481","20,000,000","220,469,475",-,87.5,-,261,0
704005079,,,"149,898,216",-,"122,841,521",-,82.0,-,261,0
,704025060,"Human Re-
source Re-
cruitment and
Development","149,898,216",-,"122,841,521",-,82.0,-,261,0
709005079,,,"6,716,640",-,"2,417,151",-,36.0,-,261,0
,709025060,"Public partici-
pation services","6,716,640",-,"2,417,151",-,36.0,-,261,0
711005079,,,"5,077,400",-,"56,358,729",-,"1,110.0",-,261,0
,711005060,"County Plan-
ning and De-
velopment Co
ordination
Services","5,077,400",-,"56,358,729",-,"1,110.0",-,261,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",262,0
,,Sub Total,"430,491,737","20,000,000","416,453,802",-,96.7,-,262,0
101005076,,,-,-,-,-,,-,262,0
5076-Kisumu - Department of Finance and Economic Planning,,,,,,,,,262,0
109005076,,,-,-,-,-,-,-,262,0
,109015060,"Urban plan-
ning and de-
velopment",-,-,-,-,-,-,262,0
201005076,,,"38,211,397",-,"24,342,790",-,63.7,-,262,0
,201015060,"General ad-
ministration &
planning","38,211,397",-,"24,342,790",-,63.7,-,262,0
203005076,,,"1,272,238,973","1,552,855,947","1,344,423,825","1,060,630,208",105.7,68.3,262,0
,203015060,"Administrative
services","1,272,238,973","1,552,855,947","1,344,423,825","1,060,630,208",105.7,68.3,262,0
305005076,,,"7,550,000",-,"6,077,045",-,80.5,-,262,0
,305015060,"Extension ser-
vices","7,550,000",-,"6,077,045",-,80.5,-,262,0
703005076,,,"6,731,200",-,"3,259,071",-,48.4,-,262,0
,703025060,"Internal Audit-
ing Services","6,731,200",-,"3,259,071",-,48.4,-,262,0
705005076,,,"204,045,330",-,"128,527,141",-,63.0,-,262,0
,705025060,"assets manage-
ment","17,928,640",-,"2,256,828",-,12.6,-,262,0
,705035060,"management
of public finan-
cial resources","12,627,750",-,"5,835,250",-,46.2,-,262,0
,705055060,"Budget For-
mulation &
Coordination
Services","98,082,171",-,"65,422,833",-,66.7,-,262,0
,705015060,"Revenue Mo-
bilization","75,406,769",-,"55,012,230",-,73.0,-,262,0
706005076,,,"45,120,041",-,"28,756,363",-,63.7,-,262,0
,706015060,"Policy Formu-
lation & Plan-
ning","31,522,611",-,"19,123,911",-,60.7,-,262,0
,706025060,"Monitoring &
Evaluation","13,597,430",-,"9,632,452",-,70.8,-,262,0
,,Sub Total,"1,573,896,941","1,552,855,947","1,535,386,235","1,060,630,208",97.6,68.3,262,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",263,0
704005075,,,"88,833,775",-,"70,590,790",-,79.5,-,263,0
5075-Kisumu-County Public Service Board,,,,,,,,,263,0
,704015060,"General Ad-
ministration
and Support
services","86,667,175",-,"48,822,057",-,56.3,-,263,0
,704045060,"Promotion of
Values and-
Principles","1,291,600",-,"484,200",-,37.5,-,263,0
,704025060,"Human Re-
source Re-
cruitment and
Development","875,000",-,"773,390",-,88.4,-,263,0
,,SubTotal,"88,833,775",-,"50,079,647",-,56.4,-,263,0
5072-Kisumu - City of Kisumu,,,,,,,,,263,0
108005072,,,"21,855,964",-,"21,855,957",-,100.0,-,263,0
,108015060,"Local Revenue
Mobilization","21,855,964",-,"21,855,957",-,100.0,-,263,0
109005072,,,"32,793,465",-,"32,793,458",-,100.0,-,263,0
,109015060,"Urban plan-
ning and de-
velopment","32,793,465",-,"32,793,458",-,100.0,-,263,0
401005072,,,"107,912,257",-,"107,912,244",-,100.0,-,263,0
,401045060,"Health promo-
tion service","45,290,823",-,"45,290,816",-,100.0,-,263,0
,401015060,"Environmen-
tal health and
sanitation","62,621,434",-,"62,621,428",-,100.0,-,263,0
501005072,,,"33,411,122",-,"33,411,116",-,100.0,-,263,0
,501015060,"Promotion of
early child-
hood educa-
tion.","33,411,122",-,"33,411,116",-,100.0,-,263,0
704005072,,,"262,438,766","118,288,564","89,564,183","30,499,061",34.1,25.8,263,0
,704015060,"General Ad-
ministration
and Support
services","262,438,766","118,288,564","89,564,183","30,499,061",34.1,25.8,263,0
,,Sub Total,"458,411,574","118,288,564","285,536,959","30,499,061",62.3,25.8,263,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",264,0
"5070-Kisumu - Department of Water, Environment and Natural Resources",,,,,,,,,264,0
101005070,,,"35,698,532",-,"26,584,420",-,74.5,-,264,0
,101045060,"Planning and
administration","35,698,532",-,"26,584,420",-,74.5,-,264,0
105005070,,,"23,025,884",-,"10,233,918",-,44.5,-,264,0
,105055060,"Management
of Stations","23,025,884",-,"10,233,918",-,44.5,-,264,0
205005070,,,"359,000",-,"9,000",-,2.5,-,264,0
,205035060,"C l i m a t e
Change","359,000",-,"9,000",-,2.5,-,264,0
206005070,,,"50,000",-,-,-,-,-,264,0
,206045060,"Mining Effi-
ciency","50,000",-,-,-,-,-,264,0
301005070,,,"5,268,322",-,"5,014,321",-,95.2,-,264,0
,301015060,"Infrastructure
Development","5,268,322",-,"5,014,321",-,95.2,-,264,0
902005070,,,"44,208,281","92,300,000","34,143,459","17,000,000",77.2,18.4,264,0
,902015060,"Sustainable
Access to safe
Water","305,455",-,"175,455",-,57.4,-,264,0
,902025060,"Water resourc-
es & Sewerage
services","43,902,826","92,300,000","33,968,004","17,000,000",77.4,18.4,264,0
904005070,,,"2,171,606",-,"900,000",-,41.4,-,264,0
,904035060,"Solid Waste
Management","1,191,750",-,"900,000",-,75.5,-,264,0
,904025060,"Environment
Conservation
Of Natural Re-
sources","979,856",-,-,-,-,-,264,0
906005070,,,"855,000",-,"775,000",-,90.6,-,264,0
,906015060,"Pollution Con-
trol","855,000",-,"775,000",-,90.6,-,264,0
,,Sub Total,"111,636,625","92,300,000","77,660,117","17,000,000",69.6,18.4,264,0
"5069-Kisumu - Department of Education, Gender, Culture and Sports",,,,,,,,,264,0
101005069,,,"383,986,409",-,"378,760,936",-,98.6,-,264,0
,101015060,"Planning and
Coordination
Services","383,986,409",-,"378,760,936",-,98.6,-,264,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",265,0
208005069,,,"4,772,397",-,"726,280",-,15.2,-,265,0
,208015060,ICT Services,"4,772,397",-,"726,280",-,15.2,-,265,0
502005069,,,"1,403,850",-,"837,650",-,59.7,-,265,0
,502015060,"Youth Poly-
technics Ser-
vices","1,403,850",-,"837,650",-,59.7,-,265,0
504005069,,,"946,850",-,"388,400",-,41.0,-,265,0
,504015060,"Gender & Dis-
ability Main-
streaming","946,850",-,"388,400",-,41.0,-,265,0
505005069,,,"209,132,300","62,749,894","194,601,111","12,379,089",93.1,19.7,265,0
,505015060,"Early Child
Education","209,132,300","62,749,894","194,601,111","12,379,089",93.1,19.7,265,0
517005069,,,"752,500","61,453,192","218,200","52,170,911",29.0,84.9,265,0
,517015060,"Youth Training
and Legislation","752,500","61,453,192","218,200","52,170,911",29.0,84.9,265,0
701005069,,,"90,000",-,-,-,-,-,265,0
,701065060,"Human Re-
source devel-
opment ser-
vices","90,000",-,-,-,-,-,265,0
,,Sub Total,"601,084,306","124,203,086","575,532,576","64,550,000",95.8,52.0,265,0
"5068-Kisumu - Department of Agriculture, Livestock andFisheries",,,,,,,,,265,0
101005068,,,"150,379,408","264,754,664","68,500,958","102,090,963",45.6,38.6,265,0
,101045060,"Planning and
administration","150,379,408","264,754,664","68,500,958","102,090,963",45.6,38.6,265,0
104005068,,,"36,400",-,"36,400",-,100.0,-,265,0
,104015060,"Promotion of
Soil andWater
Management","36,400",-,"36,400",-,100.0,-,265,0
105005068,,,"47,343,957","21,000,000","18,387,685","7,133,500",38.8,34.0,265,0
,105025060,"Promotion
of Crop pro-
duction Value
Chains",-,"7,000,000",-,-,,-,265,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",266,0
,105015060,"Management
of Agriculture
Advisory ser-
vices","4,790,013",-,"395,412",-,8.3,-,266,0
,105055060,"Management
of Stations","31,750,104",-,"17,372,437",-,54.7,-,266,0
,105035060,"Promotion of
Livestock Pro-
duction Value
Chains","10,803,840","14,000,000","619,836","7,133,500",5.7,51.0,266,0
106005068,,,"250,000",-,-,-,-,-,266,0
,106015060,"Agriculture
Credit Access","250,000",-,-,-,-,-,266,0
107005068,,,"2,000,000",-,-,-,-,-,266,0
,107025060,"Promotion val-
ue addition","2,000,000",-,-,-,-,-,266,0
203005068,,,-,-,"- 230,034",-,,-,266,0
,203015060,"Administrative
services",-,-,"- 230,034",-,,-,266,0
305005068,,,-,-,-,-,,-,266,0
701005068,,,"2,677,400",-,"80,599,057",-,"3,010.4",-,266,0
,701065060,"Human Re-
source devel-
opment ser-
vices","2,677,400",-,"80,599,057",-,"3,010.4",-,266,0
707005068,,,"90,000",-,-,-,-,-,266,0
,707015060,"Management
Information
System","90,000",-,-,-,-,-,266,0
,,Sub Total,"202,777,165","285,754,664","167,294,065","109,224,463",82.5,38.2,266,0
"5067-Kisumu - Department of Lands, Housing and Physical Planning",,,,,,,,,266,0
102005067,,,"362,500",-,"175,000",-,48.3,-,266,0
,102015060,County Survey,"362,500",-,"175,000",-,48.3,-,266,0
103005067,,,"1,492,500",-,"734,180",-,49.2,-,266,0
,103015060,"Physical plan-
ning services","640,000",-,"394,000",-,61.6,-,266,0
,103025060,"county hous-
ing manage-
ment","852,500",-,"340,180",-,39.9,-,266,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",267,0
109005067,,,"30,465,610",-,"2,061,242",-,6.8,-,267,0
,109015060,"Urban plan-
ning and de-
velopment","30,465,610",-,"2,061,242",-,6.8,-,267,0
201005067,,,"111,486,487","500,000,000","63,966,777",-,57.4,-,267,0
,201015060,"General ad-
ministration &
planning","111,486,487","500,000,000","63,966,777",-,57.4,-,267,0
304005067,,,"5,362,500","14,000,000","681,550",-,12.7,-,267,0
,304015060,"Administra-
tion planning","5,362,500","14,000,000","681,550",-,12.7,-,267,0
,,Sub Total,"149,169,597","514,000,000","82,692,415",-,55.4,-,267,0
201005065,,,"54,503,766","303,655,456","54,502,000","71,989,909",100.0,23.7,267,0
,201025060,"Road con-
struction and
Maintenance
services","54,503,766","303,655,456","54,502,000","71,989,909",100.0,23.7,267,0
207005065,,,"66,572,807",-,"27,816,788",-,41.8,-,267,0
,207015060,Public Works,"5,000,000",-,"2,476,934",-,49.5,-,267,0
,207045060,"Mechanial En-
gineering Ser-
vices","61,572,807",-,"25,339,854",-,41.2,-,267,0
304005065,,,"79,887,318",-,"61,054,636",-,76.4,-,267,0
,304015060,"Administra-
tion planning","79,887,318",-,"61,054,636",-,76.4,-,267,0
,,Sub Total,"200,963,891","303,655,456","143,373,424","71,989,909",71.3,23.7,267,0
"5064-Kisumu - Department of Tourism, Trade andHeritage",,,,,,,,,267,0
101005064,,,"39,671,390",-,"19,512,452",-,49.2,-,267,0
,101015060,"Planning and
Coordination
Services","39,671,390",-,"19,512,452",-,49.2,-,267,0
103005064,,,"8,000,500",-,"4,291,660",-,53.6,-,267,0
,103015060,"Physical plan-
ning services","8,000,500",-,"4,291,660",-,53.6,-,267,0
301005064,,,"150,000",-,-,-,,-,267,0
,301015060,"Infrastructure
Development","150,000",-,-,-,,-,267,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",268,0
303005064,,,"7,577,361",-,"3,684,011",-,48.6,-,268,0
,303045060,"Tourism Stan-
dards Devel-
opment","1,362,500",-,"799,500",-,58.7,-,268,0
,303035060,"Tourism Event
Management","1,552,361",-,"48,361",-,3.1,-,268,0
,303015060,"Tourism De-
velopment","4,662,500",-,"2,836,150",-,60.8,-,268,0
304005064,,,"14,669,076",-,"8,324,750",-,56.8,-,268,0
,304015060,"Administra-
tion planning","14,669,076",-,"8,324,750",-,56.8,-,268,0
502005064,,,"200,000","50,000,000","200,000","15,000,108",100.0,30.0,268,0
,502025060,"Youth Training
Facilities","200,000","50,000,000","200,000","15,000,108",100.0,30.0,268,0
504005064,,,"480,428",-,"285,018",-,59.3,-,268,0
,504025060,"Social Dev. Fa-
cilities","100,000",-,"100,000",-,100.0,-,268,0
,504015060,"Gender & Dis-
ability Main-
streaming","380,428",-,"185,018",-,48.6,-,268,0
506005064,,,"4,140,801",-,"4,101,400",-,99.1,-,268,0
,506015060,"Sports Man-
agement","4,013,000",-,"4,013,000",-,100.0,-,268,0
,506025060,"Talent Devel-
opment","127,801",-,"88,400",-,69.2,-,268,0
507005064,,,"9,140,526",-,"6,449,630",-,70.6,-,268,0
,507015060,"Sports Acad-
emy","9,140,526",-,"6,449,630",-,70.6,-,268,0
907005064,,,"565,000","9,000,000","525,600","2,999,892",93.0,33.3,268,0
,907025060,"Artistic Talent
Development","400,000","9,000,000","375,600","2,999,892",93.9,33.3,268,0
,907015060,"Culture and-
Heritage De-
velopment","165,000",-,"150,000",-,90.9,-,268,0
,,Sub Total,"84,595,082","59,000,000","47,374,521","18,000,000",56.0,30.5,268,0
5063-Kisumu - Department of Health,,,,,,,,,268,0
305005063,,,"378,500",-,"30,000",-,7.9,-,268,0
,305065060,"Policy devel-
opment","378,500",-,"30,000",-,7.9,-,268,0
401005063,,,"240,500",-,-,-,-,-,268,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",269,0
,401025060,"Community
health strategy","240,500",-,-,-,-,-,269,0
402005063,,,"6,750,000",-,"2,100,000",-,31.1,-,269,0
,402035060,"Reproductive
Health","6,750,000",-,"2,100,000",-,31.1,-,269,0
403005063,,,"2,925,372,330",-,"2,460,908,779",-,84.1,-,269,0
,403045060,"Human re-
source for
Health","2,831,055,761",-,"2,460,908,779",-,86.9,-,269,0
,403035060,"Governance
and leadership","94,316,569",-,"62,392,240",-,66.2,-,269,0
405005063,,,"236,574,134",-,"100,846,848",-,42.6,-,269,0
,405015060,"Health Promo-
tive Services","236,574,134",-,"100,846,848",-,42.6,-,269,0
407005063,,,"100,000,000","60,000,000","100,000,000","40,000,000",100.0,66.7,269,0
,407015060,"Jaramogi Og-
inga Odinga
Teaching and
Referal Hos-
pital","100,000,000","60,000,000","100,000,000","40,000,000",100.0,66.7,269,0
408005063,,,"60,560,000",-,"60,559,969",-,100.0,-,269,0
,408015060,"Kisumu Coun-
ty Referal Hos-
pital","60,560,000",-,"60,559,969",-,100.0,-,269,0
409005063,,,"65,000,000","120,100,000","47,148,853","25,000,000",72.5,20.8,269,0
,409015060,"County and
Sub-County
Hospital Ser-
vices","65,000,000","120,100,000","47,148,853","25,000,000",72.5,20.8,269,0
,,Sub Total,"3,394,875,464","180,100,000","2,637,895,197","65,000,000",77.7,36.1,269,0
5061-Kisumu - Department of Governance and Adminstration,,,,,,,,,269,0
206005061,,,"26,950,000",-,"19,237,225",-,71.4,-,269,0
,206055060,"Resource Mo-
bilizatio","26,950,000",-,"19,237,225",-,71.4,-,269,0
702005061,,,"7,615,420",-,"5,298,134",-,69.6,-,269,0
,702025060,"Inter-Govern-
ment Coor-
dination and
protocol","7,615,420",-,"5,298,134",-,69.6,-,269,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",270,0
703005061,,,"10,890,712",-,"9,032,228",-,82.9,-,270,0
,703015060,"Governor?s
Press Service
and Commu-
nication","10,890,712",-,"9,032,228",-,82.9,-,270,0
704005061,,,"249,803,153","45,000,000","189,074,642","25,000,000",75.7,55.6,270,0
,704015060,"General Ad-
ministration
and Support
services","249,803,153","45,000,000","189,074,642","25,000,000",75.7,55.6,270,0
706005061,,,"4,570,323",-,"2,661,183",-,58.2,-,270,0
,706025060,"Monitoring &
Evaluation","4,570,323",-,"2,661,183",-,58.2,-,270,0
,,Sub Total,"299,829,608","45,000,000","225,303,412","25,000,000",75.1,55.6,270,0
5061-Kisumu - County Assembly,,,,,,,,,270,0
203005060,,"Administra-
tion, Planning
and Support
Services","49,832,843","2,373,657","52,206,500","51,021,997",104.8,"2,149.5",270,0
,203035060,"Financial Ser-
vices","49,832,843","2,373,657","52,206,500","51,021,997",104.8,"2,149.5",270,0
208005060,,ICT Services,"9,743,520",-,"9,743,520","9,017,618",100.0,-,270,0
,208015060,ICT Services,"9,743,520",-,"9,743,520","9,017,618",100.0,-,270,0
701005060,,"General Ad-
ministration
and Planning
services","486,477,166","- 5,934,740","480,542,426","266,181,426",98.8,"- 4,485.1",270,0
,701035060,"General Ad-
ministration","351,305,639","- 10,967,680","340,337,959","266,181,426",96.9,"- 2,427.0",270,0
,701065060,"Human Re-
source devel-
opment ser-
vices","135,171,527","5,032,940","140,204,467",-,103.7,-,270,0
705005060,,"Public Finan-
cial Manage-
ment","9,601,640","- 300,000","9,301,640",-,96.9,-,270,0
,705055060,"Budget For-
mulation &
Coordination
Services","9,601,640","- 300,000","9,301,640",-,96.9,-,270,0
708005060,,"Legislation &
Oversight, ser-
vices","164,969,779","17,523,662","182,493,441",-,110.6,-,270,0
