Programme,Sub- Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Expen-
diture as of 30th
June 2023 (Kshs.)","Absorption
Rate (%)",page_number,table_index
,"SP. Marking of international/national
events","3,900,000",-,-,71,0
,SP. Annual devolution conference,"3,000,000",-,-,71,0
"Programme 2: Water
andSewerage Services
Management",SP Water Services Provision,"342,748,647","242,026,036",70.6,72,0
,"SP. Stakeholders engagement (water users
association)","4,800,000",-,-,72,0
,SP. Sub- County operations,"3,200,000",-,-,72,0
,SP. Routine Maintenance of water supplies,"2,400,000",-,-,72,0
,SP. Office operation and Maintenance,"87,378,695","69,344,301",79.4,72,0
"Programme 3: Integrated
Solid Waste Management",SP. Dumpsite Management,"12,850,705",-,-,72,0
,SP. Garbage collection and Transportation,"225,877,107","225,628,751",99.9,72,0
Sub Total,,"751,691,309","602,497,120",80.2,72,0
Education & Vocational,,,,,72,0
"Programme 1: Policy, Planning
andGeneral Administration",SP 1: Salaries andallowances,"1,021,542,129","1,001,786,401",98.1,72,0
,SP 2: Policy formulation,-,,,72,0
,SP3: Administration and support services,"44,656,647","43,073,397",96.5,72,0
"Programme 2: Early Childhood
Education Development",SP 5: Capacity building for ECDE teachers,"4,000,000",-,-,72,0
,SP6: Infrastructure development,"134,417,000","127,489,657",94.8,72,0
,SP7: Pending bills,"69,644,139","64,111,312.95",92.1,72,0
"Programme 3: Vocational
Education and Training",Sp1: Tuition support grant,"30,000,000",-,-,72,0
,Sp4: Quality assurance andstandards,"2,000,000",-,-,72,0
,SP5: Joint Vocational Training Graduation,"3,500,000",-,-,72,0
,SP6: Capacity building for VTC instructors,"3,500,000",-,-,72,0
,SP7: Monitoring and Evaluation,"3,000,000",-,-,72,0
"Programme 4: Education
Support Programme","SP1: Education support andbursary
scheme","524,000,000","524,000,000",100.0,72,0
Sub Total,,"1,840,259,915","1,760,460,768",95.7,72,0
Trade & Industrialization,,,,,72,0
"Market Infrastructure Devel-
opment",Market Infrastructure Development,"7,000,000",-,-,72,0
"Energy Development
and management",Energy Development and management,"168,746,000","75,309,433",44.6,72,0
Salaries andEmoluments,Salaries andEmoluments,"23,722,331","23,278,141",98.1,72,0
"General Administration,
Planning and Support Services","General Administration, Planning and
Support Services","41,039,855","38,015,555",92.6,72,0
CEF,CEF,"32,495,000",-,-,72,0
Supplier’s Credit,Supplier’s Credit,"15,870,671",-,-,72,0
Sub Total,,"288,873,857","136,603,129",47.3,72,0
Lands & Urban Planning,,,,,72,0
"Programme 1: General Admin-
istration, Planning and Support
services","SP 1: Institutional accountability, efficiency
andeffectiveness in service delivery","66,696,902","52,374,892",78.5,72,0
,"SP 2: Human resource development and
management","1,700,000",-,-,72,0
Total Expenditure of Programme 1,,"68,396,902","52,374,892",76.6,72,0
"Programme 2: LandResource
Survey/Mapping and
management",SP 1: Ward Based Projects,"45,707,653",-,-,73,0
Total Expenditure of Programme 2,,"45,707,653",-,-,73,0
"Programme 3: County Physical
Planning and Infrastructure","SP 1: Physical Planning and Urban Devel-
opment","10,027,709","10,121,324",100.9,73,0
Total Expenditure of Programme 3,,"10,027,709","10,121,324",100.9,73,0
Sub Total,,"124,132,264","62,496,216",50.3,73,0
Housing Department,,,,,73,0
"Programme 1 General Admin-
istration, Planning and Support
Services",SP 1: Salaries andEmoluments,"9,165,048","9,145,400",99.8,73,0
,SP 2: Administrative Services,"19,947,071","19,100,403",95.8,73,0
,SP 3: Research and Development,"4,927,455","4,500,000",91.3,73,0
,"SP 4: Human resource development and
management","1,000,000",-,-,73,0
Total Expenditure of Programme 1,,"35,039,574","32,745,802",93.5,73,0
"Programme 2 Housing
Development andHuman
Settlement",SP 1: Estate Management,"9,705,281","8,179,163.65",84.3,73,0
,SP 2: Housing Development,"163,349,791","30,000,000",18.4,73,0
Total Expenditure of Programme 2,,"173,055,072","38,179,164",22.1,73,0
Sub Total,,"208,094,646","70,924,966",34.1,73,0
Bungoma Municipality,,,,,73,0
"Programme I: Urban Economy,
General Administration, Plan-
ning and Support Services","SP 1.1: Human Resource Capacity Devel-
opment and management","11,760,120","11,760,120",100.0,73,0
,"SP 1.2: General Administration and
Support Services (Inclusive of personnel
emoluments)","17,673,030","15,592,613",88.2,73,0
,"SP 1.3: Planning andFinancial Manage-
ment","3,250,000","3,200,000",98.5,73,0
,"SP 1.4: Institutional Accountability, Lead-
ership, Efficiency andEffectiveness","4,500,000",-,-,73,0
Programme I Total,,"37,183,150","30,552,733",82.2,73,0
"Programme III: Urban
Infrastructure Development
and management",SP 3.1: Urban Transport and Infrastructure,"315,642,530","2,339,915",0.7,73,0
Programme III Total,,"315,642,530","2,339,915",0.7,73,0
Sub Total,,"352,825,680","32,892,648",9.3,73,0
Kimilili Municipality,,,,,73,0
"Programme 1: General Admin-
istration, Planning and Support
Services","SP1: General Adm Planning and Support
Services (Inclusive of salary)","25,136,612","17,976,249",71.5,73,0
,SP2: Administration andHR Services,"13,773,780","13,773,596",100.0,73,0
Total Expenditure of Programme 1,,"38,910,392","31,749,845",81.6,73,0
"Programme 2: Urban
Infrastructure Development
and management",Infrastructure. Housing and Public works,"567,006,389","1,194,559",0.2,74,0
Sub Total,,"605,916,781","32,944,404",5.4,74,0
Finance & Planning,,,,,74,0
"P 1: General Administration
Planning and Support Services","SB 1.1Administration services and support
services","1,167,065,287","1,110,191,211",95.1,74,0
,SB 1.2: Training,"25,914,330","25,913,903",100.0,74,0
"P 2: County Public
Financial Management",SB 2.1: Revenue mobilisation,"61,417,380","58,165,683",94.7,74,0
,SB 2.2: Treasury accounting services,"41,350,770","41,001,513",99.2,74,0
,SB 2.3: Audit services.,"21,463,730","20,507,513",95.5,74,0
,SB2.4: Supply chain management services,"21,070,215","20,643,367",98.0,74,0
,SB 2.5: Budgeting services,"96,805,085","96,229,192",99.4,74,0
,SB 2.6: Automation Services,"40,000,000","34,772,693",86.9,74,0
,SB 2.7: County Emergency Fund,"102,298,000","102,298,000",100.0,74,0
,"SB 2.8: Economic planning andcoordina-
tion services","27,499,966","27,355,064",99.5,74,0
,SB 2.9: Special coordination unit,"20,880,458","20,478,732",98.1,74,0
P 3: Monitoring and Evaluation,"SB 3.1: County Integrated Monitoring and
Evaluation Systems","16,819,109","15,882,331",94.4,74,0
Sub Total,,"1,642,584,330","1,573,439,203",95.8,74,0
Public Administration,,,,,74,0
Public Service Management and Administration,,,,,74,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","525,392,013","524,886,850",99.9,74,0
"Public Participation,
Civic Education and
Outreach Services","Public Participation, Civic Education and
Outreach Services","14,000,000",-,-,74,0
"Service Delivery and
Organisational Transformation","Service Delivery and Organisational
Transformation",-,-,-,74,0
Sub Total,,"539,392,013","524,886,850",97.3,74,0
"Office of the County Secretary, ICT and County Attorney",,,,,74,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","134,451,013","124,765,400",92.8,74,0
"Kenya Devolution
Support Programme",Kenya Devolution Support Programme,"52,805,780","22,523,757",42.7,74,0
"ICT andInformation
Management Services",ICT andInformation Management Services,"32,270,522","24,783,800",76.8,74,0
Total Expenditure for Vote,,"219,527,315","172,072,957",78.4,74,0
Sub Total,,"758,919,328","696,959,807",91.8,74,0
"Gender, Youth & Sports",,,,,74,0
"Programme 1: General Admin-
istration, Planning and Support
Services",SP 1. 2. Compensation to employees,"46,089,943","45,977,791",99.8,74,0
,1.8 General Administration,"84,892,715","78,055,025",91.9,74,0
"Programme 2: Cultural
Development and management",SP 2. 2. Promotion of communities’ culture,"8,600,000","8,600,000",100.0,75,0
,SP 2.3 Sports and Cultural Association,"7,500,000","7,500,000",100.0,75,0
"Programme 4.0 Sports Facility
Development and management",SP 4.1Development of sports facility,"178,268,504","134,292,365",75.3,75,0
"Programme 5.0 Sports Talent
Development and management","SP 5.1Sports and talent development
established","6,000,000",-,-,75,0
"Programme 6.0 Youth
Development and management",SP.6.1 Youth development services,"11,000,000",-,-,75,0
Sub Total,,"342,351,162","274,425,182",80.2,75,0
Public Service Board,,,,,75,0
"Programme 1: General Admin-
istration, Planning and Support
services",SP 1. 1 Administrative service,"35,375,761","31,212,085",88.2,75,0
Total Expenditure of Programme 1,,"35,375,761","31,212,085",88.2,75,0
"Programme 2: (Human Resource
Management and Development)",SP 2. 1 Human Resource Management,"8,390,850","6,713,126",80.0,75,0
Total Expenditure of Programme 2,,"8,390,850","6,713,126",80.0,75,0
"Programme 3:(Governors
and national Values)",SP 3. 1Quality Assurance,"4,760,856","4,760,856",100.0,75,0
,SP 3. 2 ethics governors and national,"5,518,738","5,518,738",100.0,75,0
Sub Total,,"10,279,594","10,279,594",100.0,75,0
"Programme 4: Service
Delivery and Organisational
Transformation",Construction of office block,"10,000,000","3,346,658",33.5,75,0
Total Expenditure of Programme 4,,"10,000,000","3,346,658",33.5,75,0
Sub Total,,"64,046,205","51,551,463",80.5,75,0
Governors & Deputy Governors,,,,,75,0
Office of H.E. the Governor,,,,,75,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","519,609,605","518,692,965",99.8,75,0
"County Executive
Committee Affairs",County Executive Committee Affairs,"25,021,324","25,021,324",100.0,75,0
"County Strategic and Service
Delivery Coordination","County Strategic and Service Delivery
Coordination","9,679,536","7,460,627",77.1,75,0
Sub Total,,"554,310,465","551,174,916",99.4,75,0
County Assembly,,,,,75,0
"General Administration and
Support Services","General Administration and Support
Services","955,118,257","955,113,950",100.0,75,0
Legislation services,Legislation services,"8,385,000","8,385,000",100.0,75,0
Oversight,Oversight,"42,904,402","42,904,392",100.0,75,0
"Representation and
Outreach services",Representation and Outreach services,"181,152,735","181,152,730",100.0,75,0
General Infrastructure,General Infrastructure,"106,793,185","68,711,338",64.3,75,0
Sub Total,,"1,294,353,579","1,256,267,410",97.1,75,0
Grand Total,,"14,824,738,617","12,012,951,123",81.0,75,0
