Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual expenditure as of 30th June
2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Sub Total,"104,837,667.00","110,315,602.00","95,446,919.00","44,865,592.00",91%,41%,284,0
3721-Kitui - County Treasury,,,,,,,,284,0
Accounts,704013710,"6,210,000.00",-,"6,205,498.00",-,100%,-,284,0
,712053710,"19,665,891.00",-,"19,430,519.00",-,99%,-,284,0
Budgetary Supplies,712013710,"54,713,395.00",-,"53,930,117.00",-,99%,-,284,0
Economic Affairs,710013710,"42,482,667.00",-,"43,439,536.00",-,102%,-,284,0
,710023710,"10,925,000.00",-,"10,986,882.00",-,101%,-,284,0
,712023710,"14,516,551.00",-,"14,462,548.00",-,100%,-,284,0
"General Adminis-
tration and Plan-
ning",701013710,"289,841,073.00","144,622,885.00","288,605,771.00","2,019,950.00",100%,1%,285,0
Internal Audit,712033710,"11,516,551.00",-,"11,508,725.00",-,100%,,285,0
,Sub Total,"449,871,128.00","144,622,885.00","448,569,596.00","2,019,950.00",100%,1%,285,0
3722-Kitui - County Public Service Board,,,,,,,,285,0
"General Adminis-
tration and Plan-
ning",701013710,"59,323,883.00",-,"57,021,122.00",-,96%,-,285,0
,713013710,"10,158,800.00",-,"9,477,107.00",-,93%,-,285,0
,713023710,"11,132,810.00",-,"8,966,970.00",-,81%,-,285,0
,714013710,"4,955,440.00",-,"4,793,162.00",-,97%,-,285,0
,Sub Total,"85,570,933.00",-,"80,258,361.00",-,94%,-,285,0
3723-Kitui - County Assembly,,,,-,,-,,285,0
"General Adminis-
tration and Plan-
ning",701013710,"294,780,749.00","229,058,553.00","261,868,930.00",-,89%,0%,285,0
"Legislative Depart-
ment",715013710,"1,006,038,317.00",,"767,825,806.00",-,76%,,285,0
,Sub Total,"1,300,819,066.00","229,058,553.00","1,029,694,736.00",-,79%,0%,285,0
3724-Kitui - Kitui Municipality,,,,,,,,285,0
"Environment, Cul-
ture, Recreation
and Community
Development",207013710,"21,881,687.00","16,200,000.00","22,003,112.00","14,183,234.00",101%,88%,285,0
"Planning, Devel-
opment Control,
Transport and In-
frastructure",201013710,"61,061,081.00","60,654,228.00","61,135,188.00","34,306,931.00",100%,57%,285,0
,207023710,"17,877,938.00",-,"17,316,774.00",-,97%,-,285,0
"Planning, Devel-
opment Control,
Transport and In-
frastructure - Head-
quarters",207013710,"9,500,000.00",-,"9,165,608.00",-,96%,-,285,0
,207033710,"5,300,000.00","1,800,000.00","5,197,928.00","61,929.00",98%,3%,285,0
,,,,,,,,285,0
,Sub Total,"115,620,706.00","78,654,228.00","114,818,610.00","48,552,094.00",99%,62%,285,0
3725-Kitui - Mwingi Town Administration,,,,,,,,285,0
"Environment, Cul-
ture, Recreation
and Community
Development",1001013710,"940,000.00","9,118,926.00","732,076.00","9,117,516.00",78%,100%,285,0
"General Adminis-
tration and Plan-
ning",109013710,"2,414,563.00","6,460,000.00","2,525,782.00","6,429,736.00",105%,100%,285,0
,201013710,"61,324,376.00",,"59,619,744.00",,97%,,285,0
,706013710,"1,045,108.00","4,499,957.00","922,033.00","4,472,872.00",88%,99%,286,0
"Planning, Devel-
opment Control,
Transport and In-
frastructure",207013710,"2,873,267.00",,"2,143,565.00",,75%,,286,0
,207023710,"1,431,697.00","22,221,391.00","1,372,762.00","21,859,539.00",96%,98%,286,0
