"Pro-
gramme",Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"Non-Commu-
nicable Disease
& Prevention
Control","35,152,682.00",-,"34,684,823",-,99,-,565,0
,"Maternal Health
Services","54,089,842.00",-,"53,463,834",-,99,-,565,0
,"Communicable
Disease Control","85,175,188.00",-,"84,127,424",-,99,-,565,0
,"Health Promo-
tive Services","122,476,185.00","14,000,000","121,966,660","5,978,400",100,43,565,0
"Curative
Health",,"696,599,113.00","44,804,001","653,535,909","19,867,245",94,44,565,0
,"County Refer-
ral Services","508,312,101.00","44,804,001","499,837,879","19,867,245",98,44,565,0
,"Free Primary
Healthcare","163,372,850.00",-,"129,600,561",-,79,-,565,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",566,0
,"Provision Of
Essential Health
Services In All
The Levels","24,914,162.00",-,"24,097,470",-,97,-,566,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"189,593,882.00","330,377,673","185,289,149","251,575,998",98,76,566,0
,"Health Standards
andQuality As-
surance Services","81,060,204.00",-,"79,891,140",-,99,-,566,0
,"Research And-
Development","8,519,002.00",-,"7,854,194",-,92,-,566,0
,"Health In-
frastructure
development","8,788,504.00",-,"8,286,636",-,94,-,566,0
,"Human Resourc-
es for health","71,238,943.00",-,"70,852,781",-,99,-,566,0
,"Health Policy,
Planning &
Financing","19,987,229.00","330,377,673","18,404,399","251,575,998",92,76,566,0
"Natural
Resources
Services",,-,-,-,-,-,-,566,0
,"Water Catchment
andProtection
Services",-,-,-,-,-,-,566,0
,Sub Total,"1,183,086,892.00","389,181,674","1,133,067,800","277,421,643",96,71,566,0
"4218-Samburu - Physical Planning, Housing and Urban Development",,,,,,,,566,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",567,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"95,389,061.00",-,"82,110,092",-,86,-,567,0
,"Administration,
Planning and
Support Services","95,389,061.00",-,"82,110,092",-,86,-,567,0
"LandPolicy
Planning
andHous-
ing",,"19,404,679.00","28,069,989","16,826,114","9,705,968",87,35,567,0
,"Housing man-
agement services","767,143.00",-,"452,852",-,59,-,567,0
,"GIS Data Base
creation",0,-,-,-,,-,567,0
,Spatial planning,"7,235,126.00",-,"5,792,457",-,80,-,567,0
,"Survey and
Mapping","11,402,410.00","28,069,989","10,580,805","9,705,968",93,35,567,0
"Urban
Centers
Adminis-
tration",,"31,733,278.00","95,694,559","29,797,974","61,183,559",94,64,567,0
,"Urban centre
management","31,733,278.00","95,694,559","29,797,974","61,183,559",94,64,567,0
,Sub Total,"146,527,018.00","123,764,548","128,734,180","70,889,527",88,57,567,0
"4219-Samburu - Public Works, County Roads andWater",,,,,,,,567,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,-,-,-,-,-,-,567,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",568,0
,"Administration,
Planning and
Support Services",-,-,-,-,-,-,568,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"68,006,024.00",-,"46,969,786",-,69,-,568,0
,"Administra-
tive services","53,077,548.00",-,"36,836,513",-,69,-,568,0
,"Design, im-
plementation
andsupervision of
public buildings","11,930,486.00",-,"7,523,600",-,63,-,568,0
,"Firefighting
services","2,997,990.00",-,"2,609,673",-,87,-,568,0
"Roads and
Public
Infrastruc-
ture Devel-
opment",,"48,233,895.00","256,518,424","33,024,618","220,851,488",68,86,568,0
,"Street lights
management","16,447,732.00",-,"9,571,049",-,58,-,568,0
,"Rehabilitation of
Roads, Drainage
andBridges","13,059,780.00",-,"9,005,394",-,69,-,568,0
,"Public Road
transport
andparking","7,853,125.00","256,518,424","7,461,876","220,851,488",95,86,568,0
,"Design, super-
vision andre-
habilitation of
County Buildings",-,-,"6,986,300",-,64,-,568,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",569,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,-,-,-,-,-,-,569,0
,Administration,-,-,-,-,-,-,569,0
"Environ-
mental
Manage-
ment and-
Protection",,-,-,-,-,-,-,569,0
,"Pollution con-
trol& monitoring",-,-,-,-,-,-,569,0
"Water and-
sanitation
infra-
structure",,-,-,-,-,-,-,569,0
,"Stormwater
management",-,-,-,-,-,-,569,0
,"Water andsani-
tation services",-,-,-,-,-,-,569,0
,Sub Total,"116,239,919.00","256,518,424","79,994,405","220,851,488",69,86,569,0
