Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",347,0
"Sub-pro-
gramme 2",Heritage & Culture,"1,082,320",-,"1,082,320",-,100.0,-,347,0
"Sub-pro-
gramme 3",Liquor Management,"775,970",-,"716,989",-,92.4,-,347,0
"Sub-pro-
gramme 4","Tourism Development
and Marketing","392,587","11,328,064","392,588","1,824,901",100.0,16.11,347,0
"Sub-pro-
gramme 5","Management of Recre-
ational Services","750,000","40,550,768","638,710","17,751,900",85.2,43.78,347,0
"Sub-pro-
gramme 6",Machawood,"2,116,115","183,335","2,116,115",-,100.0,-,347,0
"Sub-pro-
gramme 7","County Image Direc-
torate","1,120,000","183,335","1,115,250",-,99.6,-,347,0
"Sub-pro-
gramme 8",Youth Development,-,-,-,-,-,-,347,0
"Sub-pro-
gramme 9",Stadium Management,"1,449,953","55,793,457","1,449,951","37,509,980",100.0,67.23,347,0
"Sub-pro-
gramme 10",Youth Empowerment,"1,364,765","4,478,500","1,305,935","9,789,300",95.7,218.58,347,0
"Sub-pro-
gramme 11",Sports Promotion,"20,920,000","14,473,000","20,759,625",-,99.2,-,347,0
TOTAL,,"131,930,593","126,990,459","117,202,174","66,876,081",88.8,-,347,0
"Trade, Industrialization and Innovation",,,,,,,,347,0
"Sub-pro-
gramme 1","Headquarter Adminis-
tration Services","72,124,534",-,"70,285,391",-,97.5,-,347,0
"Sub-pro-
gramme 2",Trade Development,"1,322,640","91,989,207","1,158,600","1,357,436",87.6,1.48,347,0
"Sub-pro-
gramme 3","Business andEnter-
prise Development","1,566,765","30,000,000","1,494,565","4,350,386",95.4,14.50,347,0
"Sub-pro-
gramme 4","Industrialization and
Innovation",-,"55,971,700",-,-,-,-,347,0
"Sub-pro-
gramme 5","Investment Facilitation
and support","225,000",-,"225,000",-,100.0,-,347,0
"Sub-pro-
gramme 6",Hygiene and sanitation,"4,456,000",-,"3,859,900",-,86.6,-,347,0
"Sub-pro-
gramme 7",Legal Services,"67,597,199",-,"63,898,432",-,94.5,-,347,0
TOTAL,,"147,292,138","177,960,907","140,921,888","5,707,823",95.7,-,347,0
"Education, Skills Training, Social Welfare andcivic Empowerment",,,,,,,,347,0
"Sub-pro-
gramme 1","Head quarter Admin-
istrative services","425,661,358","76,674,798","416,083,529","3,678,200",97.7,4.80,347,0
"Sub-pro-
gramme 2",Basic Education,-,"13,150,000",-,"11,730,025",-,89.20,347,0
"Sub-pro-
gramme 3","Youth Development
Services","18,500,000","136,635,790","12,074,748","31,563,291",65.3,23.10,347,0
"Sub-pro-
gramme 4","Gender and Social Ser-
vices","10,000,000","10,000,000","99,000",-,1.0,-,347,0
TOTAL,,"454,161,358","236,460,588","428,257,277","46,971,516",94.3,-,347,0
"Energy, Lands, Housing and Urban Development",,,,,,,,347,0
"Sub-pro-
gramme 1","Head quarter Admin-
istrative services","54,201,942","3,380,352","52,218,059","2,943,853",96.3,87.09,347,0
