col_0,col_1,"Recurrent
(Kshs.)",col_3,"Development
(Kshs.)",col_5,"Total Budget
(Kshs.)",col_7,"Implementation
Status (%)",page_number,table_index
ECDE Management,"ECDE
Management","4,882,516","4,274,257","27,900,000","24,427,469","32,782,516","28,701,726",87.55,545,0
"Youth Training
andDevelopment","Youth
Polytechnics","1,000,000","957,649","9,300,000","8,736,282","10,300,000","9,693,931",94.12,545,0
"County Sports
Development","Search
andnurture
talents","3,746,922","3,483,130","3,800,000","3,796,400","7,546,922","7,279,530",96.46,545,0
,,"297,344,783","295,064,350","41,000,000","36,960,151","338,344,783","332,024,501",98.13,545,0
"Management
andCo-ordination
of county affairs","Administration,
planning
andsupport
services","128,863,962","128,267,952","20,000,000","1,123,180","148,863,962","129,391,132",86.92,545,0
,,"128,863,962","128,267,952","20,000,000","1,123,180","148,863,962","129,391,132",86.92,545,0
"Co-ordination of
County Functions
and Public Service
Management","Co-ordination
of County
Functions and
Public Service
Management","312,301,074","310,989,476","45,546,256","45,040,067","357,847,330","356,029,543",99.49,545,0
,"Community
sensitisation,
education
andpublic
participation","1,017,000","1,012,860",-,-,"1,017,000","1,012,860",99.59,545,0
,"ICT
Development","1,370,000","1,131,707",,,"1,370,000","1,131,707",82.61,545,0
,,"314,688,074","313,134,043","45,546,256","45,040,067","360,234,330","358,174,110",99.43,545,0
Executive services,"Administration
andpersonnel
services","698,708,827","576,861,977","250,229,574","110,866,278","948,938,401","687,728,255",72.47,545,0
"Name of the
Programme","Sub-
Programme","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments",,546,0
"Economic
Planning andPolicy
Formulation","Economic
Planning
andPolicy
Formulation","11,184,600","10,773,046",-,-,"11,184,600","10,773,046",96.32,546,0
"Public Finance
Management","Financial
Accounting","10,467,500","10,185,274",-,-,"10,467,500","10,185,274",97.30,546,0
,"Procurement
Compliance
andReporting","10,825,000","9,938,628",-,-,"10,825,000","9,938,628",91.81,546,0
,Internal Audit,"5,559,800","5,339,400",-,-,"5,559,800","5,339,400",96.04,546,0
"Revenue
Mobilisation","Revenue
Mobilisation","27,200,000","26,755,095",-,-,"27,200,000","26,755,095",98.36,546,0
"Economic
Planning andPolicy
Formulation","Monitoring and
Evaluation","2,900,000","2,699,710",-,-,"2,900,000","2,699,710",93.09,546,0
,,"766,845,727","642,553,130","250,229,574","110,866,278","1,017,075,301","753,419,408",74.08,546,0
"General
administration,
Policy Development
andimplementation","Administration
and Planning
services","611,338,387","631,043,140","50,000,000","995,384","661,338,387","632,038,524",95.57,546,0
Mortgage Services,"Administration
and Planning
services","151,375,000","102,370,384",-,-,"151,375,000","102,370,384",67.63,546,0
,,"762,713,387","733,413,524","50,000,000","995,384","812,713,387","734,408,908",90.37,546,0
"Human resources
Management","Administration
Planning and
Support Services","101,692,342","98,635,332","6,136,499","4,886,154","107,828,841","103,521,486",96.01,546,0
"Sanitation
management","Administrative
Support Services","7,074,414","6,511,785","56,000,000","53,390,029","63,074,414","59,901,814",94.97,546,0
,,"108,766,756","105,147,117","62,136,499","58,276,183","170,903,255","163,423,300",95.62,546,0
"General
Administration and
Planning services","Administration
andPersonnel
Services","39,828,187","39,405,775","8,000,000","7,891,800","47,828,187","47,297,575",98.89,546,0
,,"39,828,187","39,405,775","8,000,000","7,891,800","47,828,187","47,297,575",98.89,546,0
"General
Administration and
Planning services","Administration
andpersonnel
services","65,463,061","63,987,246",-,-,"65,463,061","63,987,246",97.75,546,0
Social development,"Administration
and Planning
services",-,-,"56,845,500","49,735,818","56,845,500","49,735,818",87.49,546,0
