Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual
Expenditure FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"General Administration,
Planning and
Support Service","General Administration
Services","2,344,326,326","2,085,837,201","258,489,125",89.0,672,0
,"General Administration
- Economic planning","34,733,408","27,792,175","6,941,233",80.0,672,0
"Government
Communication
andMedia Relations","Acquiring and development
of communication
systems/equipment","9,500,000","5,738,642","3,761,358",60.4,672,0
,Policies,"14,000,000","13,223,795","776,205",94.5,672,0
,"Development
andImplementation of ICT
Policy andRegulations","2,533,806","1,351,662","1,182,144",53.3,672,0
,,A,B,C=A-B,D=B/A*100,673,0
"Revenue Collection
Systems","Feasibility Study on
Revenue Base","2,100,775","898,960","1,201,815",42.8,673,0
,"Awareness andCampaigns
on Revenue.","8,974,000","4,093,817","4,880,183",45.6,673,0
,"Motorbikes for Revenue
Officers 30 No.","1,377,569","350,900","1,026,669",25.5,673,0
,"Strengthening
Revenue Systems","21,694,822","10,684,488","11,010,334",49.2,673,0
,"Revenue Forecast
and Revenue Budget
Preparation","7,683,726","1,724,466","5,959,260",22.4,673,0
,"Completion of Lokiriama
Revenue Centre","20,000,000",-,"20,000,000",-,673,0
"Accountability
andTransparency",Internal Audit,"52,100,000","13,208,170","38,891,830",25.4,673,0
,Procurement systems,"4,500,000","3,073,500","1,426,500",68.3,673,0
,IFMIS training,"5,058,150","2,445,646","2,612,504",48.4,673,0
,Civil Contingency Reserve,-,-,-,-,673,0
,"Financial Reporting/
Research andDevelopment","53,200,000","37,675,475","15,524,525",70.8,673,0
,"Economic Policy
Formulation
andDissemination","17,095,355","13,670,526","3,424,829",80.0,673,0
,"CIDP review
andDissemination","1,546,736","1,145,611","401,125",74.1,673,0
,"County Budget and
Economic Forums
andBudget Preparation","135,166,723","37,528,728","97,637,995",27.8,673,0
,Emergency Fund,"370,871,497","370,871,497",-,100.0,673,0
,,A,B,C=A-B,D=B/A*100,674,0
,Waste Management,"1,640,695","1,214,689","426,006",74.0,674,0
"Monitoring and
Evaluation","Soft wares (E-ProMIS,
GIS, e.t.c)","9,395,198","2,967,281","6,427,917",31.6,674,0
,"Field visits, data collection
andReporting","7,084,583","5,881,191","1,203,392",83.0,674,0
,"Training andKnowledge
management","6,108,968","4,757,898","1,351,070",77.9,674,0
,"Devolved Monitoring and
Evaluation Committees","3,049,014","950,510","2,098,504",31.2,674,0
County Statistical Unit,"Soft wares, databases
and tools","35,600,000","31,917,541","3,682,459",89.7,674,0
,Capacity Development,"3,026,422","1,828,728","1,197,694",60.4,674,0
,"Project Management
Information System","1,000,000","378,438","621,562",37.8,674,0
Budgetary Supply,"Budget Formulation,
Coordination and
Management","72,568,288","44,721,295","27,846,993",61.6,674,0
,"Public Participation
in Budgeting","42,070,000","37,223,262","4,846,738",88.5,674,0
,"County Budget and
Economic Forum","16,806,053","15,368,380","1,437,673",91.4,674,0
,"Accountability in
Resource Allocation","22,600,000","17,848,512","4,751,488",79.0,674,0
Resource Mobilisation,Resource Mobilisation,"5,017,378","1,811,600","3,205,778",36.1,674,0
,Subtotal,"3,345,446,758","2,810,387,304","535,059,454",84.0,674,0
"Water Services,
Environment
andMineral Resources",,,,,,674,0
,,A,B,C=A-B,D=B/A*100,675,0
"Turkana Water
Programme","General Administration,
Planning andsupport
services","2,000,000","1,993,042","6,958",99.7,675,0
,"Construction andDesilting
of Water Pans/
Rock Catchment","55,000,000","15,374,340","39,625,660",28.0,675,0
,"Rehabilitation of Water
Infrastructure","228,908,716","150,770,012","78,138,704",65.9,675,0
,"Drilling andEquipping
of Boreholes","434,999,963","262,069,543","172,930,420",60.2,675,0
,"Equipment of Quality
Analysis Laboratory","4,500,000",-,"4,500,000",-,675,0
,"Project Coordination
and Management","3,000,000","1,862,432","1,137,568",62.1,675,0
"Joint planning with
stakeholders","Technical planning
anddesign","99,177,290","98,835,236","342,054",99.7,675,0
"Irrigation andSchemes
Development Programme","Feasibility studies for
irrigation systems
development","3,300,000","2,797,880","502,120",84.8,675,0
"General Administration
andSupport","General Administration
andSupport","88,220,000","43,258,311","44,961,689",49.0,675,0
,Subtotal,"919,105,969","576,960,796","342,145,173",62.8,675,0
"Health andSanitation
Services",,,,,,675,0
"General Administration,
Planning andsupport
services","General Administration,
Planning andsupport
services","418,313,145","215,958,198","202,354,947",51.6,675,0
,Health Facilities,"484,003,789","164,097,502","319,906,287",33.9,675,0
,,A,B,C=A-B,D=B/A*100,676,0
"Support to Health
Programs","HIV andAIDS, including
community-based
HIV interventions","606,000","351,400","254,600",58.0,676,0
,TB andLeprosy,"300,000",-,"300,000",-,676,0
,Malaria,"500,000",-,"500,000",-,676,0
,"NTDs (neglected
tropical diseases)","500,000",-,"500,000",-,676,0
,Nutrition,"542,500",-,"542,500",-,676,0
,Reproductive health,"480,000",-,"480,000",-,676,0
,Disease surveillance,"750,000","300,700","449,300",40.1,676,0
,EPI/outreaches,"500,000","203,000","297,000",40.6,676,0
,Health promotion,"75,530,390","46,278,220","29,252,170",61.3,676,0
,"Environmental
health services","600,000","45,000","555,000",7.5,676,0
,"Emergency preparedness
anddisaster response","600,000",-,"600,000",-,676,0
,mainstreaming,"350,000",-,"350,000",-,676,0
,Community Health Services,"130,568,000","123,240,925","7,327,075",94.4,676,0
,,A,B,C=A-B,D=B/A*100,677,0
Laboratory Services,Laboratory Services,"700,000","291,200","408,800",41.6,677,0
,Blood Transfusion Services,"1,400,000","140,000","1,260,000",10.0,677,0
,Rehabilitative Services,"500,000","245,000","255,000",49.0,677,0
,"Referrals & Emergency
Services","24,000,000","10,557,475","13,442,525",44.0,677,0
,Radiology Services,"500,000",-,"500,000",-,677,0
,Dental Services,"500,000","241,500","258,500",48.3,677,0
,Clinical Services,"472,500",-,"472,500",-,677,0
,Nursing Services,"400,000",-,"400,000",-,677,0
,"Rural Health
Facility Support","47,698,888","46,762,800","936,088",98.0,677,0
,"Sub-county Health
Facilities Support","2,600,000",-,"2,600,000",-,677,0
,Turkana Level 6 Hospital,"18,000,000","5,328,760","12,671,240",29.6,677,0
,Medical Supplies,"365,408,000","328,103,925","37,304,075",89.8,677,0
,UHC Turkana,"12,600,000","6,113,800","6,486,200",48.5,677,0
,,A,B,C=A-B,D=B/A*100,678,0
"Health Information
and Management","Health Information
and Management","628,000",-,"628,000",-,678,0
,Quality Assurance,"448,000",-,"448,000",-,678,0
,Electronic Medical Records,"4,400,000","2,878,340","1,521,660",65.4,678,0
,"Monitoring and
Evaluation of Health","950,000","347,000","603,000",36.5,678,0
,Research andDevelopment,"200,000",-,"200,000",0.0,678,0
,"Policy and Planning
Services",-,-,-,-,678,0
,"Rehabilitation
andTreatment","1,700,000","1,297,800","402,200",76.3,678,0
,"Public Education
andAwareness","800,000",-,"800,000",0.0,678,0
,Liquor Licensing,"11,215,000","982,100","10,232,900",8.8,678,0
,"Training andCapacity
Building","600,000","282,800","317,200",47.1,678,0
,Subtotal,"1,609,864,212","954,047,445","655,816,767",59.3,678,0
"Trade, Gender and
Youth Affairs",,,,,,678,0
"Youth Affairs
Development","Youth Coordination
and Representation","5,700,000","3,566,974","2,133,026",62.6,678,0
,Youth Employment Scheme,"3,895,000","2,580,859","1,314,141",66.3,678,0
,Youth Rare skills,"4,105,000","2,768,370","1,336,630",67.4,678,0
,Youth and Women Fund,"186,343,940","186,293,940","50,000",100.0,678,0
,,A,B,C=A-B,D=B/A*100,679,0
"Modern Physical
Markets Infrastructure","Construction and
Development of Modern
Physical Market","8,172,570","7,696,402","476,168",94.2,679,0
,"Cooperative Marketing,
Value Addition, Surveys
andResearch","5,300,000","3,995,369","1,304,631",75.4,679,0
,"Cooperative Education,
Training, Exchange
andUshirika Day Celeb","6,550,000","5,095,467","1,454,533",77.8,679,0
,"Strengthening of Key
Dormant Cooperative
Societies","2,050,000","2,279,152","(229,152)",111.2,679,0
,"Formulation of
Cooperative Policy
andLegal Frame Work","2,800,000","1,885,038","914,962",67.3,679,0
,"Cooperative
Development Fund","47,326,825","47,326,825",-,100.0,679,0
"Cooperative Societies
Development & and
performance Improvement","Business Development
and Training Services","3,050,000","2,323,362","726,638",76.2,679,0
,Consumer rights education,"1,250,000","1,377,331","(127,331)",110.2,679,0
,"Industrial Development
and Investments","4,700,000","3,633,268","1,066,732",77.3,679,0
,Biashara Fund,"151,592,500","151,592,500","151,592,500",100.0,679,0
General Administration,General Administration,"156,118,233","96,314,915","59,803,318",61.7,679,0
,Subtotal,"588,954,068","518,729,772","221,816,796",88.1,679,0
"Education, Sports and
Social Protection",,,,,,679,0
,,A,B,C=A-B,D=B/A*100,680,0
"Social protection
programs/ Affirmative
Action","Construction of
PWDs multi-purpose
resource centre","22,782,535","18,090,580","4,691,955",79.4,680,0
,"Marginalised andMinority
groups support","31,520,000","14,328,545","17,191,455",45.5,680,0
,Child Rescue Centres,"39,572,923","5,339,802","34,233,121",13.5,680,0
,Child Care & Protection,"33,273,549","28,119,294","5,154,255",84.5,680,0
Sports andarts programme,Construction of sport Stadia,"59,426,763","28,229,905","31,196,858",47.5,680,0
General administration,General Administration,"26,337,042","19,515,545","6,821,497",74.1,680,0
,"Turkana Education and
Skill Development Fund","386,496,520","386,496,520",-,100.0,680,0
Vocational Training,"Youth Polytechnic
Infrastructure","60,600,000","32,900,840","27,699,160",54.3,680,0
,Training andDevelopment,"4,610,000","3,896,686","713,314",84.5,680,0
,Co-Curricular Activities,"3,501,017","2,609,241","891,776",74.5,680,0
,"Youth Polytechnics-
Conditional","12,709,894","12,709,894",-,100.0,680,0
Public Relations,Publicity,"1,220,000","604,000","616,000",49.5,680,0
,Research andSensitization,"1,708,000","892,000","816,000",52.2,680,0
,,A,B,C=A-B,D=B/A*100,681,0
"Early Childhood
Education",School Feeding,"148,787,478","141,448,116","7,339,362",95.1,681,0
,Quality Improvement,"6,614,000","5,039,000","1,575,000",76.2,681,0
,Infrastructure Development,"331,624,074","78,502,841","253,121,233",23.7,681,0
,"Support to Pre-
Primary Training","7,201,615","5,977,000","1,224,615",83.0,681,0
,Subtotal,"1,177,985,410","784,699,809","393,285,601",66.6,681,0
"Public Services,
Decentralized
Administration
andDisaster Management",,,,,,681,0
"Operationalisation of
Decentralised Units","Operationalisation of
Decentralised Units","10,761,200","10,313,769","447,431",95.8,681,0
,"Decentralised
County Policy","35,621,258","19,647,688","15,973,570",55.2,681,0
,Coordinated development,"11,600,000","11,310,615","289,385",97.5,681,0
,"Policy sensitisation
anddissemination","16,933,500","9,283,650","7,649,850",54.8,681,0
"Governance and
Public Participation",Civic education Programme,"1,564,400","964,200","600,200",61.6,681,0
,"Public Participation
andaccess to information","8,747,050","7,411,147","1,335,903",84.7,681,0
,County Dialogue Forum,"1,400,000","1,670,000","(270,000)",119.3,681,0
,"National & County
Holidays","1,655,500","1,461,562","193,938",88.3,681,0
,Policies Design,"805,500","1,102,900","(297,400)",136.9,681,0
,,A,B,C=A-B,D=B/A*100,682,0
Disaster risk management,"Disaster Preparedness
Programmes","2,000,000","1,386,860","613,140",69.3,682,0
,"Disaster Mitigation
Programmes","2,000,000","1,599,000","401,000",80.0,682,0
,"Stakeholders Coordination
and Support Programme","2,000,000","1,533,400","466,600",76.7,682,0
,"Humanitarian Relief
Food Programme","809,368,027","809,846,509","(478,482)",100.1,682,0
,Disaster Risk Mgt,"800,000","441,000","359,000",55.1,682,0
Inspectorate services,"Inspectorate Training
Institute","20,866,848",-,"20,866,848",0.0,682,0
,Dispute Resolution,"2,055,390","391,000","1,664,390",19.0,682,0
,Capacity Building,"2,230,664","1,502,800","727,864",67.4,682,0
,Inspectorate Services,"3,700,000","1,720,840","1,979,160",46.5,682,0
,Inspectorate Services Equip,"3,700,000","2,898,120","801,880",78.3,682,0
,"Payroll andrecord
management","1,500,000","591,660","908,340",39.4,682,0
,"Human Resource
Development","19,900,000","19,111,780","788,220",96.0,682,0
,"GHRIS Leave &
Performance Module
Implementation","2,200,000","1,837,761","362,239",83.5,682,0
,"Digitisation
andAutomation of Human
Resource Registry","3,800,000","2,875,040","924,960",75.7,682,0
,"Mainstreaming Public
Sector Integrity Programme","2,435,000","2,080,131","354,869",85.4,682,0
,,A,B,C=A-B,D=B/A*100,683,0
,"County performance
management","2,098,400","2,105,860","(7,460)",100.4,683,0
,Public Service Week,"1,489,000","1,452,691","36,309",97.6,683,0
,Records Mgt,"1,365,600","1,592,560","(226,960)",116.6,683,0
,HRM,"1,712,000","1,610,798","101,202",94.1,683,0
"General Administration,
Planning and Support
Services-Public Service",General Administration,"4,497,153,616","4,460,525,673","36,627,943",99.2,683,0
,Subtotal,"5,471,462,953","5,378,269,014","93,193,939",98.3,683,0
"Infrastructure, Transport
and Public Works",,,,,,683,0
"Develop andMaintain
Roads","Roads maintenance
levy fund (RMLF)","291,000,000","273,650,001","17,349,999",94.0,683,0
,Roads,"67,250,000","56,959,514","10,290,486",84.7,683,0
"Develop andmaintain staff
housing andpublic offices",Staff Housing,"77,779,529","25,869,934","51,909,595",33.3,683,0
"Develop andmaintain
other public works",Machinery,"30,000,000","14,080,100","15,919,900",46.9,683,0
,"Professional Capacity
Building",-,-,-,#DIV/0!,683,0
General Administration,General Administration,"140,883,737","92,544,368","48,339,369",65.7,683,0
,"General Administration-
Public works","29,328,720","22,849,083","6,479,637",77.9,683,0
,Sub Total,"636,241,986","485,953,000","150,288,986",76.4,683,0
"Agriculture, Pastoral
Economy andFisheries",,,,,,683,0
,,A,B,C=A-B,D=B/A*100,684,0
"Revival of Turkana
Fishermen Co-op. society",Spate Irrigation Technology,"274,413,482","118,119,150","156,294,332",43.0,684,0
,Rehabilitation,"800,000","306,500","493,500",38.3,684,0
,Soil & Water Conservation,"2,000,000","1,400,915","599,085",70.0,684,0
"Fish market
infrastructure/ fish
value addition","Fish market infrastructure/
fish value addition","1,800,000","1,400,000","400,000",77.8,684,0
,Fisheries livelihood support,"33,200,000","32,328,368","871,632",97.4,684,0
,Fisheries Extension Services,"2,300,000","1,323,400","976,600",57.5,684,0
,"Fisheries resource
management","6,287,443","5,600,000","687,443",89.1,684,0
,"Fish Farming
andAquaculture","50,700,000","18,797,757","31,902,243",37.1,684,0
"Sustainable management
of fisheries resources",Frame survey,"51,600,000","42,677,295","8,922,705",82.7,684,0
,Fish Stock assessment,"3,900,000","2,600,000","1,300,000",66.7,684,0
,"Monitoring, Control
andSurveillance","16,300,000","3,683,500","12,616,500",22.6,684,0
,"Resource monitoring
facilities","2,850,000","1,874,100","975,900",65.8,684,0
"Livestock breed
improvement","Establish livestock
Multiplication
andbreeding Centre.","63,500,000","50,577,980","12,922,020",79.7,684,0
,"Provision of Livestock
Extension services","3,600,000","3,184,160","415,840",88.4,684,0
,"Livestock multiplication
andbreeding centre","19,083,682","3,386,800","15,696,882",17.7,684,0
,,A,B,C=A-B,D=B/A*100,685,0
,Livestock Value Chain,"38,500,000","2,100,000","36,400,000",5.5,685,0
,Skills Development,"16,100,000","1,606,000","14,494,000",10.0,685,0
General Administration,General Administration,"56,100,000","22,279,973","33,820,027",39.7,685,0
,"General Administration
and Support Services-
Pastoral Economy and","107,508,501","107,508,501",-,100.0,685,0
Agriculture Programme,"Agri-nutrition/Urban
andperi-urban agriculture","7,800,000","752,600","7,047,400",9.6,685,0
,"Smart agriculture
practices (Innovations/
technologies to mitigate","14,000,000","3,325,496","10,674,504",23.8,685,0
,"Agricultural Sector
Development Support
Programme (ASDSP)","51,106,056","51,106,056",-,100.0,685,0
,Agricultural Mechanisation,"17,208,874","2,017,768","15,191,106",11.7,685,0
,Agric Market Access,"1,100,000","1,063,800","36,200",96.7,685,0
,"Agric Extension
andDevelopment","30,250,000","11,978,899","18,271,101",39.6,685,0
,Subsidy & Support,"3,600,000","2,999,000","601,000",83.3,685,0
,"Pest Control and
Management","4,700,000","4,298,900","401,100",91.5,685,0
,NARIGP,"239,269,811","182,224,519","57,045,292",76.2,685,0
,DRNKP,"242,000,000","148,890,978","93,109,022",61.5,685,0
,,"1,361,577,849","829,412,415","532,165,434",60.9,685,0
,,A,B,C=A-B,D=B/A*100,686,0
"Tourism, Culture and
Natural Resources",,,,,,686,0
"Establishment
andrehabilitation of
public utilities in Lodwar","Improvement of Moi
Garden Stadia","24,000,000","23,789,817","210,183",99.1,686,0
,"completion of
recreational park","13,000,000","4,989,320","8,010,680",38.4,686,0
,"setting up of dumping
site in Lodwar","8,000,000","7,938,350","61,650",99.2,686,0
General Administration,"General Administration,
Planning and
Support Services","23,620,000","17,523,530","6,096,470",74.2,686,0
"Tourism destination
marketing andpromotion","Tourism expos,
incentives, conferences
andexhibition programs","1,300,000","548,800","751,200",42.2,686,0
,"Community-Based
Tourism products","1,000,000","94,000","906,000",9.4,686,0
,"Tourism Market
Research (Baseline
Survey & Mapping)","24,300,000","9,910,870","14,389,130",40.8,686,0
,"Media Campaigns
andPromotion of Tourism
Products andProgrammes","800,000","621,920","178,080",77.7,686,0
"Culture, arts, heritage
development, promotion
andpreservation",Ushanga Initiative,"9,000,000","8,271,450","728,550",91.9,686,0
,"Culture Promotion
andPreservation","4,500,000","3,903,800","596,200",86.8,686,0
,"Annual tourism and
Cultural festival","69,500,000","38,844,771","30,655,229",55.9,686,0
"Culture development
andpreservation
infrastructure","Equipment and
Infrastructure Development
at Ekalees Centre","3,000,000","2,973,805","26,195",99.1,686,0
,,A,B,C=A-B,D=B/A*100,687,0
"Forestry andwildlife
management development
andmanagement","Forestry Management
and conservation","4,000,000","3,533,400","466,600",88.3,687,0
,"Community Wildlife
Conservation","1,500,000","603,600","896,400",40.2,687,0
,"Forest Nature-Based
Development","1,800,000","950,000","850,000",52.8,687,0
,"Forestry Development
Infrastructure","23,100,000","8,687,600","14,412,400",37.6,687,0
,Forestry Protection,"1,000,000","330,800","669,200",33.1,687,0
,Prosopis Management,"1,100,000","600,000","500,000",54.5,687,0
"Heritage Developement
Promotion & Preservation","Heritage Developement
Promotion & Preservation","1,000,000","221,750","778,250",22.2,687,0
,"Arts & Creativity
Development","900,000","490,100","409,900",54.5,687,0
"Environmental
Governance Compliance
Conservation
Protection & Mgt","Environmental Governance
& Compliance","1,900,000","1,086,132","813,868",57.2,687,0
,"Environmental Protection
& Conservation","1,300,000","738,825","561,175",56.8,687,0
,"Plastic Collection
Re-use Facility","720,287","410,167","310,120",56.9,687,0
,"Climate Change
& Adaptation","144,378,013","18,131,172","126,246,841",12.6,687,0
,Mineral Resource Mapping,"2,000,000","1,483,900","516,100",74.2,687,0
,"Management of Mining
& Quarrying activities","3,000,000","1,894,120","1,105,880",63.1,687,0
,"Capacity building in
the exploitation of
Mineral Resources","1,600,000","996,900","603,100",62.3,687,0
,,A,B,C=A-B,D=B/A*100,688,0
,"Extractives Engagement
Bills & Policies","2,000,000","659,500","1,340,500",33.0,688,0
Petroleum,Oil andGas,"1,400,000","904,200","495,800",64.6,688,0
,"Establishment of
Extractive Sector
Regulations & Strategies","2,200,000","1,311,794","888,206",59.6,688,0
"Energy Development
Programme","Renewable Energy
Development","2,480,000","1,630,380","849,620",65.7,688,0
"Turkana Agriculture
Programme","Organising field days,
show andexhibitions","15,512,656","5,998,500","9,514,156",38.7,688,0
"Turkana Rehabilitation
Programme","Artisanal Mining
Equipment","7,000,000",-,"7,000,000",0.0,688,0
,Sub Total,"401,910,956","170,073,273","231,837,683",42.3,688,0
"Lands, Energy,
Housing and Urban
Areas Management",,,,,,688,0
"Adjudication, registry
andsettlement","Delineation & adjudication
of community land","5,000,000","2,682,000","2,318,000",53.6,688,0
Spatial Planning,Spatial Planning,"79,300,000","35,363,602","43,936,398",44.6,688,0
"Formulation of
community landpolicy
andregulations",Urban Centre Management,"36,304,936","9,759,100","26,545,836",26.9,688,0
"Compulsory
landacquisition for
public utilities","Landacquisition for
public utilities","16,600,000","142,800","16,457,200",0.9,688,0
General Administration,"Lands General
Administration, Planning
and Support Services","27,300,000","19,053,120","8,246,880",69.8,688,0
LandGovernance,LandPolicies,"60,260,518","30,372,700","29,887,818",50.4,688,0
,Sub Total,"224,765,454","97,373,322","127,392,132",43.3,688,0
,,A,B,C=A-B,D=B/A*100,689,0
"Turkana County
Assembly",,,,,,689,0
Headquarters,"General Administration
Infrastructure
andDevelopment","168,000,000","72,935,935","151,087,496",43.4,689,0
,"Construction of
Speakers Residents","77,330,354","21,071,226","56,259,128",27.2,689,0
,"Construction of New
County Assembly","23,948,059","4,150,620","19,797,439",17.3,689,0
,"General Administration,
Planning and
Support Services","980,189,593","908,804,950","441,941,143",92.7,689,0
,Sub Total,"1,249,468,006","1,006,962,731","242,505,275",80.6,689,0
"Turkana County
Public Service Board",,,,,,689,0
"County Internship
Programme","County Internship
Programme","36,800,600","36,727,134","73,466",99.8,689,0
"Mainstream Public Sector
Integrity Programme
& Accountability","Mainstream Public Sector
Integrity Programme
& Accountability","1,000,000","875,000","125,000",87.5,689,0
,"Public Evaluation of
County Public Service
Board Performance","22,674,582","5,389,802","17,284,780",23.8,689,0
,"Human Resource
Conference & Symposium","4,300,000","4,111,466","188,534",95.6,689,0
,"Exit Meetings Per
Department","2,350,000","2,138,550","211,450",91.0,689,0
,"Assessment andstakeholder
capacity mapping","1,900,000","1,606,000","294,000",84.5,689,0
,,A,B,C=A-B,D=B/A*100,690,0
Human resource,Scheme of service,"1,600,000","1,522,500","77,500",95.2,690,0
,Performance Appraisal,"4,980,000","5,203,703","(223,703)",104.5,690,0
,"Enhancing Leadership in
County Public Service","1,570,900","1,344,900","226,000",85.6,690,0
,"Performance Management
Monitoring","985,430","498,000","487,430",50.5,690,0
,"County Public Service Pre-
Retirement Sensitization","1,198,760","698,060","500,700",58.2,690,0
,"Evaluation of Different
Cadres of Employees
(Promotion, Re-designation","1,297,654","790,000","507,654",60.9,690,0
"Quality Management
Systems","Quality Management
Systems Development
& Establishment","1,500,000","1,262,116","237,884",84.1,690,0
,"QMS Audit /Routine
Inspection","974,500","880,000","94,500",90.3,690,0
,"Documentation/Record
Management for QMS","2,014,680","2,014,680",-,100.0,690,0
"Development coordination
Programme",Donor scan/Mapping,"3,070,765","2,195,660","875,105",71.5,690,0
,"Establishment of
development committees","2,217,659","1,670,713","546,946",75.3,690,0
,"Training of the
development committees","5,242,352","4,971,906","270,446",94.8,690,0
,"Formulation and
Development of
TCPSB Boardroom
ICT Infrastructure","1,190,000","535,760","654,240",45.0,690,0
"General Administration
and Support Services",General Administration,"63,660,016","58,212,631","5,447,385",91.4,690,0
,Sub Total,"160,527,898","132,648,581","20,085,195",82.6,690,0
,,A,B,C=A-B,D=B/A*100,691,0
"Office of the County
Attorney",,,,,,691,0
"General Administration,
Planning and
Support Services","General Administration,
Planning and Support
Services- County At","17,305,600","15,193,830","7,452,800",87.8,691,0
Litigation,Litigation,"89,700,000","81,416,057","54,850,000",90.8,691,0
,"Govt Agreements
& Contracts","11,315,000","3,635,820","3,157,500",32.1,691,0
,Legal Audit & Compliance,"9,750,800","7,277,375","2,875,400",74.6,691,0
Legislation,Legislation,"10,912,214","8,054,980","3,456,107",73.8,691,0
,Policy & Legal Briefs,"8,224,000","7,725,800","2,112,000",93.9,691,0
Training of Legal Counsel,Training of Legal Counsel,"4,270,000","3,342,571","2,135,000",78.3,691,0
,Legal Training & Awareness,"4,225,702","2,123,600","2,112,851",50.3,691,0
,Sub Total,"155,703,316","128,770,033","78,151,658",82.7,691,0
"Lodwar Municipality
Board",,,,,,691,0
Municipal Services,"General Admin Planning
and Support Services","55,366,997","46,369,036","8,997,961",83.7,691,0
,Urban Development Grant,"80,044,225","77,444,208","2,600,017",96.8,691,0
,Municipal Planning,"9,722,565","5,113,307","4,609,258",52.6,691,0
,Municipal Services,"135,583,145","66,996,920","68,586,225",49.4,691,0
,Sub Total,"280,716,932","195,923,471","84,793,461",69.8,691,0
