"Programme
Code",Sub Programme,"Approved Budget
(Kshs.)","Actual Expenditure as
of 30th June 2023
(Kshs.)",Absorption (%),page_number,table_index
706003260,"General Administration, Planning, Internal
Audit & Support Services","4,627,598","1,284,500",28,600,0
,Revenue Management,"20,102,192","12,533,452",62,600,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","20,102,192","12,533,452",62,600,0
701003260,General Administration support services,-,-,-,600,0
,Procurement,"3,077,000","2,343,250",76,600,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","3,077,000","2,343,250",76,600,0
,Accounting Services,"9,025,875","6,645,475",74,600,0
701003260,General Administration support services,-,-,-,600,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","9,025,875","6,645,475",74,600,0
,Kenya Devolution Support Programme,-,-,-,600,0
706003260,"General Administration, Planning, Internal
Audit & Support Services",-,-,-,600,0
701003260,General Administration support services,-,-,-,600,0
,,"311,014,458","196,609,309",63,600,0
707003260,Treasury Development Programme,"212,388,851","183,882,200",87,600,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","98,625,607","12,727,110",13,600,0
,Headquarters,"96,454,430","91,335,340",95,600,0
104003260,Agricultural Development Programme,"20,500,000","18,939,531",92,600,0
101003260,"Administration Planning and Support
Services","5,954,430","5,203,080",87,600,0
105003260,Livestock andFisheries Development,"70,000,000","67,192,729",96,600,0
102003260,Development programme,-,-,-,600,0
,Livestock,"8,281,571","4,789,140",58,600,0
104003260,Agricultural Development Programme,-,-,-,600,0
101003260,"Administration Planning and Support
Services","6,581,571","4,089,140",62,600,0
105003260,Livestock andFisheries Development,"1,700,000","700,000",41,600,0
102003260,Development programme,-,-,-,600,0
,Fisheries,"475,881","249,232",52,600,0
105003260,Livestock andFisheries Development,-,-,-,600,0
101003260,"Administration Planning and Support
Services","475,881","249,232",52,600,0
102003260,Development programme,-,-,-,600,0
,Veterinary,"11,331,691","8,144,184",72,600,0
104003260,Agricultural Development Programme,-,-,-,601,0
101003260,"Administration Planning and Support
Services","5,731,691","4,546,375",79,601,0
105003260,Livestock andFisheries Development,"5,600,000","3,597,809",64,601,0
102003260,Development programme,-,-,-,601,0
,Agribusiness Project (EU Grant),"15,624,929",-,-,601,0
104003260,Agricultural Development Programme,-,-,-,601,0
102003260,Development programme,-,-,-,601,0
101003260,"Administration Planning and Support
Services",-,-,-,601,0
105003260,Livestock andFisheries Development,"15,624,929",-,-,601,0
,Kenya Climate Smart Agric Program,"313,757,537","272,833,148",87,601,0
104003260,Agricultural Development Programme,-,-,-,601,0
1.001E+09,"Water and Irrigation Development
Programme",-,-,-,601,0
105003260,Livestock andFisheries Development,"313,757,537","272,833,148",87,601,0
,Water,"34,421,715","24,121,715",70,601,0
105003260,Livestock andFisheries Development,"34,421,715","24,121,715",70,601,0
104003260,Agricultural Development Programme,-,-,-,601,0
,Headquarters,-,-,-,601,0
101003260,"Administration Planning and Support
Services",-,-,-,601,0
105003260,Livestock andFisheries Development,-,-,-,601,0
,Veterinary,-,-,-,601,0
101003260,"Administration Planning and Support
Services",-,-,-,601,0
105003260,Livestock andFisheries Development,-,-,-,601,0
,Fisheries,-,-,-,601,0
101003260,"Administration Planning and Support
Services",-,-,-,601,0
105003260,Livestock andFisheries Development,-,-,-,601,0
,Headquarters,"65,999,460","53,071,327",80,601,0
1.001E+09,"Water and Irrigation Development
Programme","58,200,000","45,410,768",78,601,0
1.002E+09,"General Administration, Support and
Support Services","7,799,460","7,660,559",98,601,0
,Water Services,-,-,-,601,0
1.001E+09,"Water and Irrigation Development
Programme",-,-,-,601,0
1.002E+09,"General Administration, Support and
Support Services",-,-,-,601,0
,Bulk Water Project,"10,000,000",-,-,602,0
1.001E+09,"Water and Irrigation Development
Programme","10,000,000",-,-,602,0
,Ambulance services,"971,396,430","586,272,687",60,602,0
1.001E+09,"Water and Irrigation Development
Programme","971,396,430","586,272,687",60,602,0
,Public Health andSanitation,"30,000,000","29,000,000",97,602,0
1.001E+09,"Water and Irrigation Development
Programme","30,000,000","29,000,000",97,602,0
,Promotion of primary healthcare,"500,000",-,-,602,0
1.002E+09,"General Administration, Support and
Support Services",-,-,-,602,0
1.001E+09,"Water and Irrigation Development
Programme","500,000",-,-,602,0
,Headquarters,"54,671,380","14,171,106",26,602,0
1.001E+09,"Water and Irrigation Development
Programme",-,-,-,602,0
501003260,"General Administration, Planning and
Support services","11,171,380","4,142,006",37,602,0
502003260,"Early Childhood Education and Youth
Training Development Programme","43,500,000","10,029,100",23,602,0
,Polytechnics,"21,389,410","1,137,950",5,602,0
502003260,"Early Childhood Education and Youth
Training Development Programme","20,000,000","900,000",5,602,0
501003260,"General Administration, Planning and
Support services","1,389,410","237,950",17,602,0
,Early Childhood Development,"981,344","467,924",48,602,0
501003260,"General Administration, Planning and
Support services","981,344","467,924",48,602,0
301003260,"General Administration and Support
Services Programme",-,-,-,602,0
502003260,"Early Childhood Education and Youth
Training Development Programme",-,-,-,602,0
,Library services,"270,400","175,800",65,602,0
501003260,"General Administration, Planning and
Support services","270,400","175,800",65,602,0
502003260,"Early Childhood Education and Youth
Training Development Programme",-,-,-,602,0
,Education Fund,"147,840,000","142,000,000",96,602,0
502003260,"Early Childhood Education and Youth
Training Development Programme",-,-,-,602,0
501003260,"General Administration, Planning and
Support services","147,840,000","142,000,000",96,603,0
,Energy,-,-,-,603,0
501003260,"General Administration, Planning and
Support services",-,-,-,603,0
502003260,"Early Childhood Education and Youth
Training Development Programme",-,-,-,603,0
,Headquarters,"140,020,028","118,619,684",85,603,0
704003260,"General Administration and Management
of County Affairs",-,-,-,603,0
706003260,"General Administration, Planning, Internal
Audit & Support Services",-,-,-,603,0
402003260,Health Development Programme,"74,437,875","68,407,008",92,603,0
401003260,Administration and Support Services,"65,582,153","50,212,676",77,603,0
,Wesu Hospital,"462,500","212,500",46,603,0
401003260,Administration and Support Services,"462,500","212,500",46,603,0
,Moi Referral Hospital,"1,725,100","30,000",2,603,0
401003260,Administration and Support Services,"1,725,100","30,000",2,603,0
,Mwatate Hospital,-,-,-,603,0
401003260,Administration and Support Services,-,-,-,603,0
,,-,-,-,603,0
401003260,Administration and Support Services,-,-,-,603,0
,,"37,500","37,500",100,603,0
401003260,Administration and Support Services,"37,500","37,500",100,603,0
,,-,-,-,603,0
401003260,Administration and Support Services,-,-,-,603,0
,,-,-,-,603,0
401003260,Administration and Support Services,-,-,-,603,0
,,"566,000","116,000",20,603,0
401003260,Administration and Support Services,"566,000","116,000",20,603,0
,,"750,000",-,-,603,0
401003260,Administration and Support Services,"750,000",-,-,603,0
,,"80,175,000","70,921,894",88,603,0
402003260,Health Development Programme,-,-,-,603,0
401003260,Administration and Support Services,"80,175,000","70,921,894",88,603,0
,Headquarters,"7,109,324","5,229,891",74,603,0
302003260,Trade Development programme.,"3,000,000","2,984,281",99,603,0
301003260,"General Administration and Support
Services Programme","4,109,324","2,245,610",55,603,0
,Trade,"549,000","414,200",75,603,0
301003260,"General Administration and Support
Services Programme","549,000","414,200",75,604,0
302003260,Trade Development programme.,-,-,-,604,0
,Sports,-,-,-,604,0
301003260,"General Administration and Support
Services Programme",-,-,-,604,0
302003260,Trade Development programme.,-,-,-,604,0
,Gender,-,-,-,604,0
302003260,Trade Development programme.,-,-,-,604,0
301003260,"General Administration and Support
Services Programme",-,-,-,604,0
,Cooperative,"886,700","504,540",57,604,0
301003260,"General Administration and Support
Services Programme","886,700","504,540",57,604,0
302003260,Trade Development programme.,-,-,-,604,0
,Youth Development,-,-,-,604,0
302003260,Trade Development programme.,-,-,-,604,0
301003260,"General Administration and Support
Services Programme",-,-,-,604,0
,Culture,-,-,-,604,0
302003260,Trade Development programme.,-,-,-,604,0
301003260,"General Administration and Support
Services Programme",-,-,-,604,0
,Markets,"1,486,255","1,260,985",85,604,0
301003260,"General Administration and Support
Services Programme","1,486,255","1,260,985",85,604,0
,,"200,000","189,600",95,604,0
301003260,"General Administration and Support
Services Programme","200,000","189,600",95,604,0
302003260,Trade Development programme.,-,-,0,604,0
,Weights andMeasures,"490,800","14,400",3,604,0
301003260,"General Administration and Support
Services Programme","490,800","14,400",3,604,0
,,-,-,-,604,0
302003260,Trade Development programme.,-,-,-,604,0
301003260,"General Administration and Support
Services Programme",-,-,-,604,0
,Liquor Control andLicensing Fund,"3,550,000","1,882,000",53,604,0
301003260,"General Administration and Support
Services Programme","3,550,000","1,882,000",53,604,0
,,"2,553,899","284,600",11,604,0
302003260,Trade Development programme.,"2,000,000",-,0,605,0
301003260,"General Administration and Support
Services Programme","553,899","284,600",51,605,0
,Headquarters,"18,417,844","15,917,844",86,605,0
703003260,"Decentralised Infrastructure Development
Programme","2,500,000",-,-,605,0
701003260,General Administration support services,"15,917,844","15,917,844",100,605,0
,Headquarters,"27,752,600","18,611,792",67,605,0
101003260,"Administration Planning and Support
Services","27,752,600","18,611,792",67,605,0
,ICT,-,-,-,605,0
101003260,"Administration Planning and Support
Services",-,-,-,605,0
103003260,Infrastructure Development programme,-,-,-,605,0
,Roads,"97,519,621","73,743,565",76,605,0
102003260,Development programme,"87,500,000","70,244,779",80,605,0
103003260,Infrastructure Development programme,-,-,-,605,0
101003260,"Administration Planning and Support
Services","10,019,621","3,498,786",35,605,0
,Housing,-,-,-,605,0
101003260,"Administration Planning and Support
Services",-,-,-,605,0
102003260,Development programme,-,-,-,605,0
103003260,Infrastructure Development programme,-,-,-,605,0
,Public Works,"6,284,138","3,222,880",51,605,0
101003260,"Administration Planning and Support
Services","4,484,138","3,222,880",72,605,0
103003260,Infrastructure Development programme,-,-,-,605,0
102003260,Development programme,"1,800,000",-,-,605,0
,Defunct Local Authorities,-,-,-,605,0
302003260,Trade Development programme.,-,-,-,605,0
103003260,Infrastructure Development programme,-,-,-,605,0
,Headquarters,"17,056,217","8,481,783",50,605,0
1.003E+09,Natural Resources Support Programme,-,-,-,605,0
301003260,"General Administration and Support
Services Programme",-,-,-,605,0
102003260,Development programme,"5,500,000","1,047,327",19,605,0
101003260,"Administration Planning and Support
Services","11,556,217","7,434,456",64,606,0
,Mwatate Municipal Administration,"19,300,000","10,571,576",55,606,0
101003260,"Administration Planning and Support
Services",-,-,-,606,0
102003260,Development programme,"19,300,000","10,571,576",55,606,0
1.003E+09,Natural Resources Support Programme,-,-,-,606,0
,,"6,949,436","4,564,780",66,606,0
101003260,"Administration Planning and Support
Services","1,949,432","564,780",29,606,0
1.003E+09,Natural Resources Support Programme,-,-,-,606,0
102003260,Development programme,"5,000,004","4,000,000",80,606,0
,,"9,776,200","9,776,200",100,606,0
101003260,"Administration Planning and Support
Services","9,776,200","9,776,200",100,606,0
102003260,Development programme,-,-,-,606,0
,Environment and Natural Resources,-,-,-,606,0
101003260,"Administration Planning and Support
Services",-,-,-,606,0
1.003E+09,Natural Resources Support Programme,-,-,-,606,0
,,"63,500,000","30,000,000",47,606,0
102003260,Development programme,"63,500,000","30,000,000",47,606,0
103003260,Infrastructure Development programme,-,-,-,606,0
301003260,"General Administration and Support
Services Programme",-,-,-,606,0
,Headquarters,"74,460,254","51,295,614",69,606,0
301003260,"General Administration and Support
Services Programme","65,164,640","42,000,000",64,606,0
1.003E+09,Natural Resources Support Programme,"9,295,614","9,295,614",100,606,0
1.002E+09,"General Administration, Support and
Support Services",-,-,-,606,0
,Grand Total,"7,193,658,663","6,135,581,608",85,606,0
