Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"General adminis-
tration, planning
& support ser-
vice-All Sectors",General administration,"55,600,000",-,"54,435,415",-,97.9,-,414,0
,Pending bills,"35,000,000",-,"35,000,000",-,100,-,414,0
,"Statistics, research, infor-
mation management and
Public relations","2,900,000",-,"2,700,000",-,93.1,-,414,0
,Law report and Reviews,"19,000,000",-,"18,906,822",-,99.5,-,414,0
"Strategy and
Service delivery",Finance,"50,000,000",-,"49,638,030",-,99.3,-,414,0
,Sub Total,"162,500,000",-,"160,680,267",-,98.9,-,414,0
Department of County Executive,,,,,,,,414,0
"County Executive
Administration","General Administration
& Citizenry","215,440,288","118,200,000","215,030,376","23,311,838",99.8,19.7,414,0
,"Lake Region Economic
Block","5,000,000",-,"4,999,509",-,100.0,-,414,0
,Council of Governors,"5,000,000",-,"4,997,962",-,100.0,-,414,0
,Liaison office - Nairobi,"12,000,000",-,"12,000,000",-,100.0,-,414,0
,Chief of Staff,"5,000,000",-,"5,000,000",-,100.0,-,414,0
,Protocol,"5,000,000",-,"4,998,655",-,100.0,-,414,0
,Security Services,"8,500,000",-,"8,498,720",-,100.0,-,414,0
,"Communication and-
Press","5,000,000",-,"4,999,600",-,100.0,-,414,0
,Political Advisor,"5,000,000",-,"4,998,890",-,100.0,-,414,0
,Economic Advisor,"5,000,000",-,"4,994,067",-,99.9,-,414,0
,Pending bills,"4,284,820","8,477,014","4,261,834",-,99.5,-,414,0
,"Special Programs andEx-
ternal Partnerships","34,950,000",-,"34,546,173",-,98.8,-,414,0
,"Monitoring, Evaluation","29,838,000",-,"27,178,844",-,91.1,-,414,0
"Governance
andExecutive
Management
(Dep Gov.)","General Administration
and Support Services
(Executive)","42,807,226",-,"41,880,765",-,97.8,-,414,0
,"Enhanced Management,
Coordination & Super-
vision.","20,500,774",-,"20,497,013",-,100.0,-,414,0
"Governance
andExecutive
management
(county sec))","Governance andExecu-
tive management (Coun-
ty Secretary)","43,004,494",-,"42,995,024",-,100.0,-,414,0
,Sub Total,"446,325,602","126,677,014","441,877,432","23,311,838",99.0,18.4,414,0
"Department of Education, Gender, Sports, Youth Development and Culture",,,,,,,,414,0
,External Funding,"36,463,544",-,"36,463,544",-,100.0,-,414,0
,"General administration,
planning & support ser-
vice-All Sectors","280,635,698",-,"279,483,398",-,99.6,-,414,0
,"Education Support Ser-
vices","112,027,813","81,972,187","111,997,495","77,830,594",100.0,94.9,414,0
,"Youth development an-
dempowerment services","108,799,158",-,"108,793,109",-,-,-,414,0
,,Rec,Dev,Rec,Dev,Rec,Dev,415,0
,ECDE centres,"3,972,187","74,000,000","2,860,594",-,72.0,-,415,0
,"Childcare support ser-
vices","4,971,942","23,133,081","1,950,001","6,998,500",39.2,30.3,415,0
,Pending Bills,"564,974",-,"364,974",-,64.6,-,415,0
Sports,"Gender andEquality Ser-
vices","10,500,000",-,"10,500,000",-,100.0,-,415,0
,Sports Development,"21,660,000",-,"18,454,866",-,85.2,-,415,0
,"General administration,
planning & support ser-
vice-All Sectors","6,000,000",-,"3,390,200",-,56.5,-,415,0
,"Culture Development
Promotion andArts","9,000,000",-,-,-,-,-,415,0
,"National Arts and Cul-
tural services",-,-,-,-,-,-,415,0
,Sub Total,"594,595,316","179,105,268","574,258,181","84,829,094",96.6,47.4,415,0
"Department of Environment, Natural Resource andDisaster Management",,,,,,,,415,0
"Solid Waste Man-
agement",Solid Waste Management,"25,300,000","1,000,000","14,840,550",-,58.7,-,415,0
External Funding,Donor Funds,"15,000,000",-,"15,000,000",-,100.0,-,415,0
"Disaster Manage-
ment Services","Disaster Management
Services","26,179,214","3,000,000","19,994,639","2,399,402",76.4,80.0,415,0
"General Admin-
istration Support
Services","General Administration
Support Services","74,870,016",-,"67,845,020",-,90.6,-,415,0
,Sub Total,"141,349,230","4,000,000","117,680,209","2,399,402",83.3,60.0,415,0
Department of Finance and Economic Planning,,,,,,,,415,0
"General Adminis-
tration",General Administration,"339,808,349",-,"339,808,349",-,100.0,-,415,0
,Accounting Services,"176,296,306",-,"174,378,675",-,98.9,-,415,0
"Financial man-
agement services",Pending bills,"20,099,519",-,"20,099,519",-,100.0,-,415,0
,Procurement Services,"17,392,570",-,"17,392,570",-,100.0,-,415,0
,Revenue,"36,953,148",-,"36,953,148",-,100.0,-,415,0
,Audit Services,"16,840,000",-,"16,840,000",-,100.0,-,415,0
"Economic policy
andcounty plan-
ning","Policy andPlans Devel-
opment","132,667,309",-,"132,661,705",-,100.0,-,415,0
,"General administration
planning and support
services","33,602,309","4,000,000","33,398,209","4,000,000",99.4,100.0,415,0
,Sub Total,"773,659,510","4,000,000","771,532,175","4,000,000",99.7,100.0,415,0
Department of Health-Medical services,,,,,,,,415,0
"Curative, Rehabil-
itative and Refer-
ral services",Hospital Services,"272,327,838",-,"249,092,733",-,91.5,-,415,0
"Donor support
services",Donor support services,-,"153,297,872",-,-,-,-,415,0
,,Rec,Dev,Rec,Dev,Rec,Dev,416,0
"General adminis-
tration, planning
& support ser-
vice-All Sectors",Pending bills,"147,990,816","20,152,374","51,475,862","20,152,374",34.8,100.0,416,0
,General administration,"1,349,019,449","88,184,000","1,308,936,502","67,796,903",97.0,76.9,416,0
"Essential Health
Products and-
Technologies","Essential Health Prod-
ucts andTechnologies","35,014,374",-,"33,414,174",-,95.4,-,416,0
"Preventive, pro-
motive Health
services andDis-
ease Control","Preventive, promotive
Health services andDis-
ease Control","22,212,400",-,"19,357,400",-,87.1,-,416,0
,Sub Total,"1,826,564,877","261,634,246","1,662,276,671","87,949,277",91.0,33.6,416,0
Department of Health - Public Health & Sanitation,,,,,,,,416,0
"Curative, rehabili-
tative and Referral
services","Essential Health Prod-
ucts andTechnologies","152,693,385",-,"91,062,986",-,59.6,-,416,0
"General adminis-
tration, planning
& support ser-
vice-All Sectors","General administration,
planning & support ser-
vice-All Sectors","183,568,268","103,491,938","138,326,444","34,672,269",75.4,33.5,416,0
"Donor support
services",Donor support services,"48,026,750","48,944,473","32,776,697",,68.2,-,416,0
,Pending bills,"19,939,848","24,645,124","17,419,641","17,310,649",87.4,70.2,416,0
"Preventive, pro-
motive Health
services andDis-
ease Control","Preventive, promotive
Health services andDis-
ease Control","43,408,541",-,"38,265,357",-,88.2,-,416,0
,Sub Total,"447,636,792","177,081,535","317,851,125","51,982,918",71.0,29.4,416,0
"Department of Lands, Housing and Physical Planning",,,,,,,,416,0
Lands,"General administration,
planning & support ser-
vice","59,838,797",-,"41,996,345",-,70.2,-,416,0
,"Land development ser-
vices",-,"59,049,142",-,"38,852,910",-,65.8,416,0
Physical Planning,"Physical planning ser-
vices","105,666,908",-,"85,343,756",,80.8,-,416,0
,"General administration,
planning & support ser-
vice",-,"290,271,236",-,"17,916,177",-,6.2,416,0
,Sub Total,"165,505,705","349,320,378","127,340,100","56,769,087",76.9,16.3,416,0
Department of Public Service Management,,,,,,,,416,0
"Public Service
Management","Human resources man-
agement and Develop-
ment","15,051,469",-,"15,051,469",-,100.0,-,416,0
,"Civic education and Pub-
lic participation","3,800,000",,"3,800,000",-,100.0,-,416,0
,"General administration
and support services
(PSM)","911,339,561","84,040,000","905,908,262","50,846,226",99.4,60.5,416,0
,"County security and-
compliance enforcement
services","1,840,000",-,"1,840,000",-,100.0,-,416,0
,,Rec,Dev,Rec,Dev,Rec,Dev,417,0
"Public Service
Board",Personnel management,"21,930,840",-,"21,580,718",-,98.4,-,417,0
,Pending bills,"1,455,950",-,"1,455,950",-,100.0,-,417,0
,"General administration
and support services
(PSM)","51,309,160",-,"50,856,539",-,99.1,-,417,0
"Information
Communication
Technology - ICT",ICT Infrastructure,-,"29,587,731",-,-,-,-,417,0
,Pending Bills,"13,609,235","649,878","13,509,135","649,878",99.3,100.0,417,0
,"General Administration
and Support Services
(ICT)","46,153,156",,"45,130,305",,97.8,-,417,0
,Sub Total,"1,066,489,371","114,277,609","1,059,132,378","51,496,104",99.3,45.1,417,0
"Department of Roads, Transport and Public Works",,,,,,,,417,0
Roads,"General administration,
planning","88,044,494",-,"70,442,838",-,80.0,-,417,0
,"Road Development,
Maintenance and Man-
agement(roads)","44,520,000","679,841,241","44,162,276","677,843,721",99.2,99.7,417,0
Transport,"Road Development,
Maintenance and Man-
agement. (transport)","80,000,000","180,000,000","78,296,493","180,000,000",97.9,100.0,417,0
Public Works,"General administration,
planning & support ser-
vice-All Sectors","11,300,000",-,"10,985,789",-,97.2,-,417,0
,"Transport Infrastructure
Development",-,"20,000,000",-,"20,000,000",-,100.0,417,0
,Sub Total,"223,864,494","879,841,241","203,887,396","877,843,720",91.1,99.8,417,0
Department of Trade Tourism andCooperative Development,,,,,,,,417,0
Trade,Trade development,"11,102,073","72,921,359","10,116,566","56,209,168",91.1,77.1,417,0
,"General administration,
planning & support ser-
vice-All Sectors","79,815,574","11,102,073","78,332,321","11,102,073",98.1,100.0,417,0
,"Cooperative Develop-
ment Services","1,400,000",,"1,400,000",-,100.0,-,417,0
,"Industrial andEnterprise
Development",-,"1,000,000",-,-,-,-,417,0
,"Alcoholic drinks and-
drug abuse control","2,500,000",-,"2,250,318",-,90.0,-,417,0
,Legal Metrology Services,"2,000,000",-,"1,699,621",-,85.0,-,417,0
Industrialisation,"Industrial development
andinvestment","20,000,000",-,-,-,-,-,417,0
Tourism,"Commerce and tourism
development",-,"4,000,000",-,-,-,-,417,0
,Sub Total,"116,817,647","89,023,432","93,798,826","67,311,242",80.3,75.6,417,0
Department of Water & Energy,,,,,,,,417,0
,General administration,"70,127,360","43,726,330","66,681,845",-,95.1,-,417,0
,Pending bills,"6,265,649","22,567,026","5,647,958","21,512,095",90.1,95.3,417,0
,"Urban Water Supply &
Mgt","88,747,316","167,454,925","84,803,401","43,857,183",95.6,26.2,417,0
