Programme & Sub-Program,col_1,"Approved Supl.
Budget No.2 FY
2022/2023 (Kshs)","Actual Expenditure
as of 30th June 2023
(Kshs)",Variances (Kshs),"Absorption
Rate (%)",page_number,table_index
,Development,"2,500,000","2,211,500","288,500",88.5,428,0
Youth Empowerment,Recurrent,"3,200,000","3,199,107",893,100.0,428,0
,Development,"7,500,000",-,"7,500,000",-,428,0
"Gender Affairs andDisabili-
ty Mainstreaming",Recurrent,"7,150,000","7,166,019","-16,019",100.2,428,0
,Development,"40,000,000","710,219","39,289,781",1.8,428,0
Sports Unit,Recurrent,"6,119,593","6,019,593","100,000",98.4,428,0
,Development,"440,000,000","31,210,888","408,789,112",7.1,428,0
Sports development,Recurrent,"1,500,000","1,778,793","-278,793",118.6,428,0
,Development,-,-,-,-,428,0
Cultural Affairs,Recurrent,-,-,-,-,428,0
-,,"10,000,000",0,"10,000,000",-,429,0
"Public Recreation andEnt-
ertainment",Recurrent,-,-,-,-,429,0
,Development,-,-,-,-,429,0
Total,,"623,366,425","146,682,243","476,684,182",23.5,429,0
"3020 Trade, Tourism & Investment",,,,,,429,0
Administration Unit,Recurrent,"344,845,715","371,808,349","-26,962,634",107.8,429,0
,Development,"5,734,000","3,289,422","2,444,578",57.4,429,0
Trade Development,Recurrent,"6,100,000","6,079,334","20,666",99.7,429,0
,Development,"120,217,561","4,992,451","115,225,110",4.2,429,0
Development of Tourism,Recurrent,"3,000,000","2,936,483","63,517",97.9,429,0
,Development,"10,556,936","10,297,967","258,969",97.5,429,0
"Investment Promotion and-
Products Headquarters",Recurrent,-,-,-,-,429,0
,Development,-,-,-,-,429,0
"Ease of Doing Busi-
ness-Headquarters",Recurrent,"3,315,082","3,301,470","13,612",99.6,429,0
,Development,"41,000,000","28,088,662","12,911,338",68.5,429,0
"Development of County In-
dustrial Parks",Recurrent,"2,800,000","2,788,086","11,914",99.6,429,0
,Development,"201,943,064","29,637,906","172,305,158",14.7,429,0
Total,,"739,512,358","463,220,129","276,292,229",62.6,429,0
"3021 Lands, Housing and Physical Planning",,,,,,429,0
Administration Unit,Recurrent,"140,566,503","253,195,013","-112,628,510",180.1,429,0
,Development,"239,576,556","5,818,819","233,757,737",2.4,429,0
Land Management Unit,Recurrent,"4,100,000","4,055,322","44,678",98.9,429,0
,Development,"2,000,000",-,"2,000,000",-,429,0
-Physical planning,Recurrent,0,-,-,-,429,0
,Development,"28,576,556","21,317,507","7,259,049",74.6,429,0
Housing Development Unit,Recurrent,"1,100,000","1,093,153","6,847",99.4,429,0
,Development,"1,000,000","440,495","559,505",44.0,429,0
Urban Renewal,Recurrent,"4,000,000","3,901,113","98,887",97.5,429,0
,Development,"9,423,444",-,"9,423,444",-,429,0
Total,,"430,343,059","289,821,422","140,521,637",67.3,429,0
"3022 TRANSPORT, INFRASTRUCTURE & PUBLIC WORKS",,,,,,429,0
Administration Unit,Recurrent,"459,816,629","532,632,328","-72,815,699",115.8,429,0
,Development,-,-,-,-,429,0
Road andTransport Unit,Recurrent,"6,000,000","5,948,016","51,984",99.1,429,0
,Development,"450,700,000","450,025,664","674,336",99.9,429,0
Works Unit,Recurrent,"6,950,000","6,897","6,943,103",0.1,429,0
,Development,"3,920,453","3,151,837","768,616",80.4,429,0
"Transport Planning, Man-
agement andSafety",Recurrent,"5,780,298","4,678,614","1,101,684",80.9,429,0
,Development,"7,000,000","491,379","6,508,621",7.0,429,0
Mechanical Services,Recurrent,"25,575,000","24,870,087","704,913",97.2,429,0
,Development,"8,800,000","1,401,793","7,398,207",15.9,429,0
"Safety, Risk Management
and Rescue Services",Recurrent,"1,700,000","1,697,616","2,384",99.9,429,0
,Development,"65,000,000","35,065,650","29,934,350",53.9,430,0
Total,,"1,041,242,380","1,059,969,882","-18,727,502",101.8,430,0
"3023 Agriculture, Fisheries, Livestock and Co-operatives",,,,,,430,0
"Administration Unit-Head-
quarters",Recurrent,"128,533,848","163,082,471","-34,548,623",126.9,430,0
,Development,"6,549,719",-,"6,549,719",-,430,0
Crop Management Unit,Recurrent,"5,000,000","4,829,646","170,354",96.6,430,0
,Development,"85,000,000","6,381,283","78,618,717",7.5,430,0
Livestock Unit,Recurrent,"2,300,000","2,232,799","67,201",97.1,430,0
,Development,"57,000,000",-,"57,000,000",-,430,0
"Fisheries Unit-Headquar-
ters",Recurrent,"20,000","18,914","1,086",94.6,430,0
,Development,"57,000,000","10,641,600","46,358,400",18.7,430,0
Veterinary Services,Recurrent,"50,000","44,666","5,334",89.3,430,0
,Development,"35,000,000","5,800,000","29,200,000",16.6,430,0
Co-operatives,Recurrent,"500,000","488,249","11,751",97.6,430,0
,Development,"12,000,000",-,"12,000,000",-,430,0
Total,,"388,953,567","193,519,629","195,433,938",49.8,430,0
3026 Devolution & Public Service Administration,,,,,,430,0
Administration,Recurrent,"2,259,872,610","842,027,472","1,417,845,138",37.3,430,0
,Development,"13,000,000","1,240,013","11,759,987",9.5,430,0
"Devolution and Public Ser-
vice Administration",Recurrent,"20,136,398","1,475,600","18,660,798",7.3,430,0
,Development,"500,000","284,483","215,517",56.9,430,0
"County Administration and
Decentralised Services",Recurrent,"33,972,796","6,210,275","27,762,521",18.3,430,0
,Development,"49,500,000","303,448","49,196,552",0.6,430,0
"Public Service Reforms and-
Delivery",Recurrent,"72,909,194","45,349,181","27,560,013",62.2,430,0
,Development,-,-,-,-,430,0
"Compliance andEnforce-
ment",Recurrent,"31,100,000","5,897,718","25,202,282",19.0,430,0
,Development,"27,000,000","2,734,366","24,265,634",10.1,430,0
Total,,"2,507,990,997","905,522,554","1,602,468,443",36.1,430,0
3012 County Assembly,,,,,,430,0
"General Administration and
Planning",Recurrent,"707,697,464","641,877,775","65,819,689",90.7,430,0
,Development,"30,000,000","19,603,062","10,396,938",65.3,430,0
"Legislation, Oversight and
Representation",Recurrent,"167,085,556","140,440,254","26,645,302",84.1,430,0
,Development,-,-,-,-,430,0
Total,,"904,783,020","801,921,091","102,861,929",88.6,430,0
Grand Total,,"14,000,000,000","12,538,797,198","1,461,202,802",89.6,430,0
