Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25
Rec Dev",col_3,"Actual Expenditure as of 31
December,2024",col_5,Absorption Rate (%),col_7,page_number,table_index,"Gross Approved Estimates FY
2024/25"
,Kalama Level 4,,"5,000,000","19,331,200",-,76,-,361,0,"25,500,000"
"Preventive
and Promotive
Services",Public Health,,"99,262,541","75,395,410","20,262,541",31,20,361,0,"240,203,470"
,Sub-Total,,"607,578,996","2,160,781,566","94,605,534",50,16,361,0,"4,347,640,010"
"WATER, IRRIGATION, ENVIRONMENT, CLIMATE CHANGE AND NATURAL RESOURCES",,,,,,,,361,0,
"Water Resources
Management","Water Resources Manage-
ment",,"201,393,207","46,401,021","36,412,290",45,18,361,0,"103,689,399"
"Development
and Promotion
of Irrigation","Development and Promo-
tion of Irrigation",,"9,561,724",-,-,-,-,361,0,-
"Sewerage System
and Sanitation
Management","Sewerage System and Sani-
tation Management",,"80,757,521","2,495,950",-,42,-,361,0,"5,940,000"
"General Admin-
istrative and Sup-
port Services","General Administrative
and Support Services",,-,"1,271,800",-,46,-,361,0,"2,750,000"
"Environment
and Natural
Resources","Environment and Natural
Resources",,"22,908,000","5,821,875","7,935,000",46,35,361,0,"12,736,938"
Climate Change,Climate Change,,"349,467,723","12,950,354","90,126,619",34,26,361,0,"38,484,159"
TOTAL,,,"664,088,175","68,941,000","134,473,909",42,20,361,0,"163,600,496"
"AGRICULTURE, FOOD SECURITY AND CO-OPERATIVE DEVELOPMENT",,,,,,,,361,0,
"Agriculture and
Food Security","General Administration
and support services",,"444,695,363","118,549,640","71,257,192",48,16,361,0,"246,320,763"
"Co-operative
Development","Co-operative Development
and Marketing",,"10,697,849","14,661,615",-,47,-,361,0,"30,915,596"
TOTAL,,,"455,393,212","133,211,255","71,257,192",48,16,361,0,"277,236,359"
,,,Dev,Rec,Dev,Rec,Dev,362,0,Rec
"FINANCE, ECONOMIC PLANNING AND REVENUE MANAGEMENT",,,,,,,,362,0,
"Resource mobil-
isation",Revenue Management,,"36,614,450","198,082,934","2,714,450",48,7,362,0,"410,303,059"
County Treasury,"Budget formulation,
Coordination and Imple-
mentation",,"42,941,650","30,204,079",-,48,-,362,0,"63,291,024"
,"Supply Chain Management
Section",,,"2,909,320",,27,-,362,0,"10,741,192"
,Accounts Services,,"554,917,949","76,559,144","459,982,254",38,83,362,0,"200,174,846"
,Audit Section,,"12,923,347","9,283,438",-,61,-,362,0,"15,112,288"
,"Human Resource Manage-
ment and Support Services",,,"89,759,579",-,37,-,362,0,"239,802,501"
"Economic Plan-
ning & External
Resource Mobili-
zation","Economic Planning and
Statistical Services",,"3,000,000","45,570,978",-,78,-,362,0,"58,251,914"
,Monitoring and Evaluation,,-,"7,316,105",-,46,-,362,0,"15,760,199"
,"External Resource Mobil-
isation",,-,"1,804,560",-,29,-,362,0,"6,216,166"
"Directorate
of Governors
Project Delivery
Unit","Directorate of Governors
Project Delivery Unit",,-,"12,896,005",-,44,-,362,0,"29,141,939"
ICT,"ICT General Administra-
tion and support services",,"64,995,254","21,954,317","4,962,091",46,8,362,0,"48,055,132"
,Public Communication,,"8,864,841","23,120,232",-,39,-,362,0,"59,980,860"
TOTAL,,,"724,257,491","519,460,691","467,658,795",45,65,362,0,"1,156,831,120"
"GENDER, YOUTH, SPORTS & SOCIAL WELFARE",,,,,,,,362,0,
Youth and Sports,Administrative Services,,,,,,,362,0,
,Stadium Management,,"168,941,334","48,488,164","9,797,321",62,6,362,0,"78,147,105"
"Gender and
Social Welfare",Administrative Services,,"17,752,529","2,194,937",-,4,-,362,0,"59,174,560"
,Special Programmes,,"95,000,000",,-,-,-,362,0,
,Digital Economy,,"25,000,000","399,995",-,6,-,362,0,"6,650,000"
TOTAL,,,"306,693,863","51,083,096","9,797,321",35,-,362,0,"143,971,665"
"TRADE, INDUSTRY, TOURISM AND INNOVATION",,,,,,,,362,0,
"Trade, Industry
and Innovation","Headquarters & Adminis-
trative Services",,,"9,336,867",,44,-,362,0,"21,462,140"
,"Trade and External
Relations",,"19,410,715","300,000","9,410,716",44,48,362,0,"689,166"
,"Small and Medium-sized
Enterprises",,"47,673,852","3,163,615","3,031,429",32,6,362,0,"9,857,576"
,"Industrialisation and
Innovation",,"191,555,385","10,343,216",-,43,-,362,0,"23,919,656"
,Investment Promotion,,-,"11,650,000",-,51,-,362,0,"23,019,152"
"Tourism Ad-
ministrative &
Support Services","Tourism Administrative &
Support Service",,-,"22,837,264",-,45,-,362,0,"50,619,360"
,Heritage & Culture,,-,"598,510",-,35,-,362,0,"1,700,000"
,Liquor Management,,-,"7,470,960",-,96,-,362,0,"7,809,818"
,"Tourism Development and
Marketing",,-,"4,079,900",-,48,-,362,0,"8,500,000"
,"Management of Recre-
ational Services",,"12,000,000","840,040",-,21,-,362,0,"4,000,000"
,Machawood,,"1,500,000","1,995,955",-,50,-,362,0,"4,000,000"
,County Image Directorate,,-,-,-,-,-,362,0,"1,000,000"
TOTAL,,,"272,139,952","72,616,327","12,442,145",46,5,362,0,"156,576,868"
EDUCATION,,,,,,,,362,0,
,,,Dev,Rec,Dev,Rec,Dev,363,0,Rec
"General Admin-
istration and
Support Service","Headquarter administra-
tive services",,"52,163,635","226,204,422","12,245,000",36,23,363,0,"634,870,229"
Basic Education,Basic Education,,,"294,796",,47,-,363,0,"623,191"
,Vocational Training,,"53,624,072","2,717,730","16,415,830",2,31,363,0,"127,078,900"
TOTAL,,,"105,787,707","229,216,948","28,660,830",30,27,363,0,"762,572,320"
"LANDS, HOUSING AND URBAN DEVEL-
OPMENT & ENERGY",,,,,,,,363,0,
"Lands and Physi-
cal Planning","Lands and Physical
Planning",,"21,169,005","39,200,272",-,62,-,363,0,"63,377,057"
"County Electrifi-
cation",County Electrification,,"118,306,546","12,043,487","55,857,146",45,47,363,0,"26,686,470"
"Housing and
Urban Develop-
ment","Housing and Urban Devel-
opment",,"980,000","53,545,152",-,39,-,363,0,"135,614,119"
,Machakos Municipality,,"185,225,140","2,509,575","2,014,150",32,1,363,0,"7,765,795"
,Mavoko Municipality,,"11,386,700","3,975,001","2,698,801",39,24,363,0,"10,200,000"
,"Kangundo Tala Munici-
pality",,"8,692,770","2,093,979","1,696,901",28,20,363,0,"7,560,000"
TOTAL,,,"345,760,161","113,367,466","62,266,998",45,18,363,0,"251,203,441"
DEVOLUTION,,,,,,,,363,0,
"Public Service
and Performance
Management","General Administration
and support services",,"2,400,200","193,494,288",-,31,-,363,0,"616,922,720"
,Performance Management,,-,"1,224,000",-,16,-,363,0,"7,500,000"
,"Training, Research and
Development",,-,"9,320,532",-,17,-,363,0,"54,176,614"
,"Human Resource Devel-
opment",,-,"5,750,178",-,36,-,363,0,"16,000,000"
"County Ad-
ministration &
Decentralised
Units","General Administration
and support services",,"30,047,111","159,446,126","14,383,751",44,48,363,0,"365,372,243"
"Public partici-
pation, citizen
engagement, and
customer care",Civic Engagement,,"11,000,000","2,386,901",-,32,-,363,0,"7,500,000"
,"Administration and
Co-ordination",,,"2,372,150",,41,-,363,0,"5,850,000"
,Solid Waste Management,,,"7,206,000",,48,-,363,0,"15,020,000"
"Inspectorate,
Firefighting
and Emergency
Services","Inspectorate Services and
Management",,"16,110,733","74,915,185",-,49,-,363,0,"154,206,459"
,Emergency Services,,-,"4,139,200",-,42,-,363,0,"9,800,000"
TOTAL,,,"59,558,044","460,254,560","14,383,751",37,24,363,0,"1,252,348,036"
OFFICE OF THE COUNTY ATTORNEY,,,,,,,-,363,0,
,Legal Services,,-,"41,081,710",-,47,-,363,0,"86,851,773"
Sub-Total,,,-,"41,081,710",-,47,-,363,0,"86,851,773"
COUNTY ASSEMBLY,,,,,,,-,363,0,
Programme 1,"Representation, Oversight
& Legislative",,"174,400,000","435,512,612",-,39,-,363,0,"1,114,313,264"
,Sub Total,,"174,400,000","435,512,612",-,44,25,363,0,"1,114,313,264"
Grand Total,,,"4,799,578,286","4,791,051,461","1,179,327,759",44,57,363,0,"10,825,820,350"
