Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure as of
31 December 2024 (Kshs.
Millions)",col_5,"Absorption Rate
()",col_7,col_8,page_number,table_index
human resource,0713023710 SP2.2,8.02,,,,0,0,,305,0
Governance and County Values,0714013710 SP3,5.67,10.00,,,0,0,,305,0
Total,,66.87,24.73,34.01,5.71,51,23,,305,0
County Assembly,,,,,,0,0,,305,0
"General administration, Plan-
ning and Support Services",0701013710 P1,356.22,,160.95,,45,0,,305,0
"legislative representation and
oversight",0705013710 P2,890.42,140.90,273.36,-,31,0,,305,0
,,"1,246.64",140.90,434.32,-,35,0,,305,0
Kitui Municipality,,,,,,0,0,,305,0
"General administration, Plan-
ning and Support Services",0201013710 P1,46.02,28.03,18.67,,41,0,,305,0
"Control and management of
Public Finance",0207023710 P.2,5.80,4.30,21.21,,366,0,,305,0
"Planning Development and
Contol, transport and infra-
structure",0207013710 P.3,4.44,43.50,1.48,,33,0,,305,0
"trade development and promo-
tion",0207033710 P.4,9.08,3.00,1.29,,14,0,,305,0
"environment, culture, Recre-
ation and Community Devel-
opment",0207013710 P.5,14.86,7.06,6.67,,45,0,,305,0
Total,,80.20,85.90,49.32,-,61,0,,305,0
Mwingi town Municipality,,-,,,,0,0,,305,0
"General administration, Plan-
ning and Support Services",0201013710 P1,47.09,5.00,20.11,,43,0,,305,0
Government Building,0109013710 P2,7.40,2.50,,,0,0,,305,0
Urban mobility and transport,0207013710 SP3.1,11.74,11.65,6.71,,57,0,,305,0
safety and emergency,0207023710 SP 3.2,0.78,,,,0,0,,305,0
urban Markets development,0207033710 SP3.3,0.30,2.50,,,0,0,,305,0
"environmental Policy Manage-
ment",1001013710 P4,1.47,7.74,0.19,,13,0,,305,0
Devolution Services,0706013710 P5,0.42,3.96,,,0,0,,305,0
Total,,69.20,33.35,27.02,-,39,0,,305,0
"3728-Office of the Deputy
Governor",,,,,,0,0,,305,0
"General administration and
planning",0701013710 P1,27.34,,6.75,,25,0,,305,0
,,Rec,Dev,Rec,Dev,Rec,Dev,,306,0
"wildlife conservation and
security",1003023710 SP. 2.1,25.97,2.03,,,0,0,,306,0
"Tourism development and
promotion",0305013710 SP2.2,35.53,1.50,40.00,,113,0,,306,0
"Tourism infrastructure Devel-
opment",0305033710 SP2.3,10.71,18.63,,,0,0,,306,0
"Performance Contracting, di-
saster and emergency Services",0205013710 SP3.1,46.03,,22.74,,49,0,,306,0
"disaster and Emergency Ser-
vices",0717013710 SP3.2,12.62,12.15,,,0,0,,306,0
Total,,158.20,34.30,69.49,-,44,0,,306,0
"3729-ministry of Water and
Irrigation",,,,,,0,0,,306,0
"General administration and
planning",0101013710 p1,96.87,,49.64,,51,0,,306,0
"Water resource Management
services",0101013710 SP2.1,13.60,329.73,19.45,68.74,143,21,,306,0
water Supply Infrastructure,0111013710 SP2.2,8.85,26.94,,,0,0,,306,0
"Irrigation Development and
Management",0111023710 SP2.3,7.59,102.48,10.05,,132,0,,306,0
"irrigation and Drainage infra-
structure",0104013710 P3,12.54,175.15,,,0,0,,306,0
