Programme,Sub-Programme,"Gross Approved
Estimates FY 2024/25
(Kshs.Million)",col_3,"Actual Expenditure as
of 31st December 2024
(Kshs.Million)",col_5,"Absorption
Rate ()",col_7,page_number,table_index
305003060,GENERAL ADMINISTRATION PLANNING AND SUPPORT SERVICES,,,,,,,320,0
,305013060 - Personnel Services,56.14,,47.65,,85,-,320,0
,305023060 - Administration Services,198.62,889.09,86.98,304.60,44,34,320,0
306003060,- MARKET INFRASTRUCTURE DEVELOPMENT,,,,,,,320,0
,306013060 - Rehabilitation of Existing Markets,1.45,,0.32,,22,-,320,0
,306023060 - Construction of New Markets,,-5.03,,0.00,-,-,320,0
307003060,INVESTMENT PROMOTION AND DEVELOPMENT,,,,,,,320,0
,307013060 - Investment Promotion Services,2.98,191.84,0.24,0.00,8,-,320,0
308003060,ICT INFRASTRUCTURAL DEVELOPMENT,,,,,,,320,0
,"308013060 - Local Area Network Installation/
ICT Support",3.99,-1.60,0.00,0.00,-,-,320,0
401003060,"PREVENTIVE, PROMOTIVE AND REHABILITATIVE HEALTH SERVICES",,,,,,,320,0
,401013060 - Community health strategy,5.93,,0.00,,-,-,320,0
,401053060 - Public health Hygiene,4.29,,0.45,,10,-,320,0
402003060,CURATIVE HEALTHCARE SERVICES,,,,,,,320,0
,402023060 - Operational Rural Health Facilities,1.94,-11.00,0.00,0.00,-,-,320,0
,402043060 - Medical Health Drugs,502.79,,88.65,,18,-,320,0
403003060,GENERAL ADMINISTRATION HEALTH RESEARCH AND PLANNING,,,,,,,320,0
,403013060 - General Administration,359.48,199.47,225.90,111.77,63,56,320,0
,403053060 - Personnel Services,822.46,,787.17,,96,-,320,0
405003060,MSAMBWENI HOSPITAL,,,,,,,320,0
,405013060 - Msambweni Hospital,42.00,17.18,0.00,0.00,-,-,320,0
406003060,KINANGO HOSPITAL,,,,,,,320,0
,406013060 - Kinango Hospital,17.50,28.51,0.00,0.00,-,-,320,0
407003060,KWALE HOSPITAL,,,,,,,320,0
,407013060 - Kwale Hospital,20.00,-4.22,0.16,0.00,1,-,320,0
408003060,TIWI RURAL HEALTH FACILITY,,,,,,,320,0
,408013060 - Tiwi Rural Health Facility,1.09,2.51,0.00,0.00,-,-,320,0
409003060,SAMBURU HOSPITAL,,,,,,,320,0
,409013060 - Samburu Hospital,12.50,20.70,0.00,0.00,-,-,320,0
410003060,LUNGA LUNGA HOSPITAL,,,,,,,320,0
,410013060 - Lunga Lunga Hospital,12.50,3.60,0.00,0.00,-,-,320,0
412003060,RURAL HEALTH FACILITIES,,,,,,,320,0
,412013060 - Rural Health Facilities,55.70,176.05,4.15,63.22,7,36,320,0
413003060,Diani Health Centre,,,,,,,320,0
,413013060 - Diani Health Centre,6.00,,0.00,,-,-,320,0
501003060,EARLY CHILDHOOD AND YOUTH TRAINING.,,,,,,,320,0
,501013060 - Early childhood and development,22.72,,0.50,,2,-,320,0
,501043060 - Infrastructure Development,,7.40,,0.00,-,-,320,0
502003060,GENERAL ADMINISTRATION PLANNING AND SUPPORT SERVICES,,,,,,,320,0
,"502013060 - Administration Planning and
support services",75.14,271.13,64.39,134.52,86,50,320,0
,502023060 - Personnel Services,295.05,,300.56,,102,-,320,0
503003060,YOUTH TRAINING AND DEVELOPMENT,,,,,,,320,0
,,Rec,Dev,Rec,Dev,Rec,Dev,321,0
,503013060 - Administration,4.35,,0.54,,12,-,321,0
,503023060 - Infrastructure Development,,-10.53,,0.00,-,-,321,0
504003060,SCHOLARSHIP AND BURSARY,,,,,,,321,0
,504013060 - Scholarship and Bursary,250.00,,220.00,,88,-,321,0
702003060,STRENGTHENING CITIZEN PARTICIPATION IN GOVERNANCE,,,,,,,321,0
,702013060 - County Coordination Services,3.52,,0.00,,-,-,321,0
703003060,MANAGEMENT OF PUBLIC FINANCIAL RESOURCES,,,,,,,321,0
,"703023060 - Budget formulation, coordination
and management",46.66,,25.41,,54,-,321,0
704003060,GENERAL ADMINISTRATION AND SUPPORT SERVICES,,,,,,,321,0
,704013060 - Audit Services,519.22,,281.92,,54,-,321,0
,704043060 - General Administration,857.04,255.94,309.81,0.00,36,-,321,0
705003065,,,,,,,,321,0
,"705013060 Oversight and legislation of county
affairs",187.50,70.04,8.54,,5,-,321,0
706003060,HUMAN RESOURCE CAPITAL PLANNING AND DEVELOPMENT,,,,,,,321,0
,706013060 - Human Resource Planning,22.83,7.50,1.12,0.00,5,-,321,0
,"706023060 - Transformation of service delivery
in the public service",2.50,,0.00,,-,-,321,0
,706043060 - Compensation to employees,15.09,,13.36,,89,-,321,0
,706053060 - Human Resource Planning,1.50,,0.00,,-,-,321,0
,706063060 - Staff Rationalization,0.50,,0.00,,-,-,321,0
707003060,PUBLIC SECTOR ADVISORY SERVICES,,,,,,,321,0
,"707033060 - Media and Communication
Services",3.08,,0.00,,-,-,321,0
708003060,COORDINATION OF COUNTY POLICY FORMULATION,,,,,,,321,0
,"708033060 - County compliance and enforce-
ment",2.15,,0.90,,42,-,321,0
710003060,"RESOURCE MOBILIZATION AND MAN-
AGEMENT",,,,,,,321,0
,710013060 - Revenue Collection Management,24.32,10.00,0.00,0.00,-,-,321,0
711003060,PUBLIC FINANCE MANAGEMENT,,,,,,,321,0
,"711013060 - Public Finance and Accounting
Services",7.95,,0.40,,5,-,321,0
,711023060 - Procurement Services,3.01,,0.36,,12,-,321,0
,711033060 - Risk Assurance Services,4.24,,1.14,,27,-,321,0
712003060,SUB COUNTY ADMINISTRATION,,,,,,,321,0
,712013060 - Sub-County Admin Msambweni,3.60,,1.90,,53,-,321,0
,712023060 - Sub County Admin Lunga Lunga,4.29,,1.45,,34,-,321,0
,712033060 - Sub County Admin Matuga,3.62,,1.20,,33,-,321,0
,712043060 - Sub County Admin Kinango,2.39,,1.12,,47,-,321,0
713003060,COMPLIANCE AND ENFORCEMENT,,,,,,,321,0
,"713013060 - County garbage and Cleaning
Services",3.10,,1.20,,39,-,321,0
714003060,,,,,,,,321,0
,"714013060 - General Administration Livestock
Development",3.02,,0.00,,-,-,321,0
903003060,COMMUNITY DEVELOPMENT AND SOCIAL SERVICES,,,,,,,321,0
,903013060 - Social services,-1.75,-14.00,0.00,0.00,-,-,321,0
,903023060 - Community development,2.61,-2.26,0.57,0.00,22,-,321,0
,"903033060 - Drug and substance abuse man-
agement",3.00,,1.90,,63,-,321,0
