Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure as of
31 December 2023 (Kshs.
Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Tourism promotion,5.00,,,,0,,637,0
,Industrial Development,5.00,,,-,0,,637,0
,Cooperative Development,10.10,,,-,0,,637,0
,Development,,130.00,,,,,637,0
,Grand Total,50.60,130.00,11.76,-,23,,637,0
Agriculture and Rural Development,,,,,,,,637,0
,,Rec,Dev,Rec,Dev,Rec,Dev,638,0
,"General Administration, Plan-
ning and Support Services",46.84,,12.50,-,27,,638,0
,Agricultural Development,73.71,,52.39,-,71,,638,0
,"Animal Husbandry, Livestock
Resource Management and
Development",10.07,,7.04,-,70,,638,0
,Disease Control,10.37,,5.04,,49,,638,0
,"Programme 5: Veterinary Ser-
vices",21.65,,10.39,-,48,,638,0
,Programme 6: Fisheries,4.06,,1.05,-,26,,638,0
,Development,-,381.91,-,,,,638,0
,Grand Total,166.70,381.91,88.41,-,53,,638,0
"Gender, Social Service and Youth Development",,,,,,,,638,0
,"Programme 1. General adminis-
tration, support and planning",37.34,,7.68,-,21,,638,0
,"Programme 2: Culture and art
development",10.40,-,,-,0,,638,0
,Programme 3: Child Protection.,16.10,-,,-,0,,638,0
,"Programme 4: Social Develop-
ment and Protection.",19.05,-,,-,0,,638,0
,"Programme 5:Sports Training
and Competitions",24.13,,,-,0,,638,0
,Development,,3.50,-,-,,,638,0
,Grand Total,107.02,3.50,7.68,-,7,,638,0
"Education, Vocational training and ECDE",,,,,,,,638,0
,"Programme 1: General Admin-
istration, Planning and support
services",25.00,,2.77,,11,,638,0
,"Programme 2: Early Childcare
Services",22.50,,,,0,,638,0
,"Programme 3. Vocational Train-
ing Services",9.77,-,,-,0,,638,0
,Development,,267.80,,,,,638,0
,Grand Total,57.27,267.80,2.77,-,5,,638,0
Health and Sanitation,,,,,,,,638,0
"Curative and Rehabil-
itative","General Administration, Plan-
ning and support services",949.77,,405.61,,43,,638,0
,Curative and Rehabilitative,408.25,,104.56,,26,,638,0
,Preventive and Promotive,177.98,,,-,0,,638,0
,Development,,196.70,,,,,638,0
,Grand Total,"1,536.00",196.70,510.17,-,33,,638,0
Special programmes,,,,,,,,638,0
,"General Administration, support
and planning",8.08,,,,0,,638,0
,"Drought management (Prepared-
ness, Response, Mitigation and
Recovery)",143.28,,71.71,,50,,638,0
,"Social protection and response to
other disasters",3.03,,,-,0,,638,0
,Development,,14.26,,,,,638,0
,,Rec,Dev,Rec,Dev,Rec,Dev,639,0
,Grand Total,154.40,14.26,71.71,-,46,,639,0
Roads and public works,,,,,,,,639,0
"County Roads Devel-
opment","General Administration and
Support Services",35.26,,9.14,,26,,639,0
,"County Housing Development
and Urbanisation",34.88,,,,0,,639,0
,Development,,885.11,,,,,639,0
,Grand Total,70.15,885.11,9.14,,13,,639,0
"Water, Environment and Natural Resources",,,,,,,,639,0
"General administra-
tion, planning support","General Administration, Policy
and Coordination",23.06,,8.10,,35,,639,0
,Water Services,11.00,,,,0,,639,0
,Energy,10.44,,,,0,,639,0
,Development,,353.01,,,,,639,0
,Grand Total,44.49,353.01,8.10,,18,,639,0
Public service and administration,,,,,,,,639,0
,"General Administration, support
and planning","1,253.10",391.90,391.90,,31,,639,0
,"Human Resource & Develop-
ment",138.90,-,,,,,639,0
,County Administration,81.33,-,,,,,639,0
,Citizen Participation,9.00,,,,,,639,0
,Development,,20.00,,,,,639,0
Grand Total,,"1,482.33",20.00,391.90,,26,,639,0
Lands and physical planning,,,,,,,,639,0
,"General Administration, Plan-
ning and support services",31.34,,11.19,,36,,639,0
,Land Policy and Planning,8.25,,,,,,639,0
,Development,,100.00,,,,,639,0
,Grand Total,39.59,100.00,11.19,-,28,,639,0
Hola Municipality,,,,,,,,639,0
,"General Administration and
Support Services",79.85,,10.83,,14,,639,0
,Sub-Total,79.85,,10.83,,14,,639,0
Environment & Climate Change,,,,,,,,639,0
,"General Administration and
Support Services",64.95,,6.35,,10,,639,0
,Development,,340.82,,,,,639,0
,Sub-Total,64.95,340.82,6.35,-,10,,639,0
Grand Total,,"5,669.16","3,640.34","1,830.58",266.43,32,7,639,0
