Programme,Sub-Programme,"Gross Approved Esti-
mates (Kshs.Million)",col_3,"Actual Expenditure as
of 31 December 2024
(Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Environmental Conservation,0.00,-,0.00,,∞,∞,187,0
,Sub-Total,3.60,2.00,0.48,-,13,-,187,0
Energy services,"General Administration & Sup-
port Services",4.00,-,0.27,,7,∞,187,0
,Green Energy Promotion,0.00,6.50,0.00,,∞,-,187,0
,Renewable Energy Technologies,0.00,-,0.00,-,∞,∞,187,0
,Sub-Total,4.00,6.50,0.27,-,7,-,187,0
,Total,83.67,305.94,19.15,28.03,23,9,187,0
HEALTH SERVICES,,,,,,,,187,0
"Health Curative
Services",Administration Support Services,-,,-,,-,∞,187,0
,Human Resource Management,652.62,,305.24,,47,∞,187,0
,Monitoring & Evaluation,2.40,,0.03,,1,∞,187,0
,Quality Assurance & Standards,2.47,,0.00,,-,∞,187,0
,"Curative and Rehabilitative
Health Services",43.11,6.00,1.00,-,2,∞,187,0
,Curative Infrastructure Support,0.00,32.00,,-,∞,-,187,0
,"Pharmaceutical & Pharmaceutical
Commodities",237.68,15.00,53.28,,22,-,187,0
,Sub-Total,938.28,53.00,359.55,-,38,-,187,0
