Programme,Sub- Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Payments of FY
2024-25 (Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"050501 Pre-Prima-
ry and Child Care
Services",0.00,44.95,0.00,18.17,,,261,0
"Technical and Vocational
Training","050301 Village Poly-
technique",2.04,0.00,0.07,0.00,3%,,261,0
Sub Total,,391.84,65.83,83.39,18.17,21%,28%,261,0
,,Rec,Dev,Rec,Dev,Rec,Dev,262,0
"Agriculture, Livestock and Fisheries",,,,,,,,262,0
"Livestock Resource Man-
agement and Development","010102 Livestock
Extension and Capacity
Building Services",0.31,0.00,0.02,0.00,8%,,262,0
,"010105 Livestock Pro-
duction Management",0.00,0.00,0.00,0.00,,,262,0
,"010106 Livestock
Disease Management &
Control",1.20,0.00,0.10,0.00,8%,,262,0
"Crop Development and
Management","010202 Agricultural
Extension Services",1.00,0.00,0.44,0.00,44%,,262,0
,"010203 Agribusiness
and Market Develop-
ment",0.10,0.00,0.03,0.00,32%,,262,0
,"010206 Land and Crop
Development",5.07,,0.00,0.00,0%,,262,0
,"010207 Food Security
Initiatives",0.40,0.00,0.15,0.00,37%,,262,0
"Kamweti Agricultural
Training Centre",Extension and Training,0.00,0.00,0.00,0.00,,,262,0
Fisheries Development,"010402 Aquaculture
Development",0.20,0.00,0.00,0.00,0%,,262,0
"Policy Strategy and Man-
agement of Agriculture","010801 Development
of Agricultural Policy",0.54,0.00,0.04,0.00,7%,,262,0
,"011001 General
Administration and
Planning",203.79,219.45,90.36,21.00,44%,10%,262,0
Sub Total,,212.61,219.45,91.15,21.00,43%,10%,262,0
Gender and Youth,,,,,,,,262,0
Culture,"090702 Social Welfare
Services",10.69,0.00,0.05,0.00,0%,,262,0
,"091201 Gender Ad-
ministration Services",30.82,0.00,8.69,0.00,28%,,262,0
,"091301 Gender and
Social Development",1.49,77.57,0.11,5.14,7%,7%,262,0
Youth,"090901 Youth Devel-
opment and Empower-
ment Services",0.67,0.00,0.26,0.00,38%,,262,0
Sub Total,,43.67,77.57,9.10,5.14,21%,7%,262,0
Sports Culture and Social Services,,,,,,,,262,0
Sports,"090701 General Ad-
ministration",12.72,0.00,5.82,0.00,46%,,262,0
,"090801 Development
of Sports and Sports
Facilities",0.00,44.38,0.00,19.63,,44%,262,0
,"091401 Management &
Development of Sports
and Sports Facilities",4.91,0.00,0.19,0.00,4%,,262,0
,"091601Control & Cam-
paign Against Drug &
Substance Abuse",14.55,0.00,7.25,0.00,50%,,262,0
,"091701 Preservation &
Promotion of Heritage
and Culture",0.25,0.00,0.01,0.00,3%,,262,0
,,Rec,Dev,Rec,Dev,Rec,Dev,263,0
Children Services,"091101 Child Commu-
nity Support Services",4.78,0.00,0.10,0.00,2%,,263,0
Sub Total,,37.21,44.38,13.37,19.63,36%,44%,263,0
Cooperative Development Trade and Tourism,,,,,,,,263,0
"Trade Development and
Investment","030401 General
Administration and
Planning",2.08,0.00,0.62,0.00,30%,,263,0
,"030103 Capacity
Buiding for Traders
and SMEs",0.98,0.00,0.07,0.00,7%,,263,0
,"030104 promotion, De-
velopment & Growth
of Trade",0.35,0.00,0.00,0.00,0%,,263,0
,"030105 Fair Trade
Practises and Consum-
er Protection",0.21,0.00,0.00,0.00,0%,,263,0
"Tourism Development and
Marketing","030302 Tourism Pro-
motion and Marketing",0.20,0.00,0.02,0.00,9%,,263,0
,"030304 International
Tourism Promotion
and Marketing",0.31,0.00,0.05,0.00,16%,,263,0
,"030305 Promotion of
Industrial Develop-
ment",6.27,0.00,0.30,0.00,5%,,263,0
,"030306 Provision of
Industrial Training",0.14,0.00,0.01,0.00,7%,,263,0
"Cooperative Development
and Marketing","030101 General
Administration &
Planning",36.87,407.35,11.10,63.83,30%,16%,263,0
,"030405 Cooperative
Advisory and Exten-
sion Services",0.30,0.00,0.02,0.00,5%,,263,0
,"030406 Cooperative
Education and Training",0.42,0.00,0.19,0.00,46%,,263,0
,"030407 Cooperative
Governance and Ac-
countability",0.16,0.00,0.00,0.00,0%,,263,0
Cooperative Audit Services,"030603 Inspections
and Investigations for
Cooperatives",0.07,0.00,0.00,0.00,0%,,263,0
Sub Total,,48.34,407.35,12.36,63.83,26%,16%,263,0
Environment and Natural Resources,,,,,,,,263,0
Water Supply Services,"090101 Water and
Irrigation",2.00,644.63,0.25,163.81,13%,25%,263,0
Energy Programme,090301 Energy Services,0.41,0.00,0.00,0.00,0%,,263,0
"Cleaning and Waste Man-
agement","090502 Environment
Management and
Protection",0.34,0.00,0.00,0.00,0%,,263,0
,"1003013960 Natural
Forests Conservation",0.34,0.00,0.00,0.00,0%,,263,0
"Environment Management
and Protection","100401 Environment
Management and
Protection",16.24,0.00,11.00,0.00,19%,,263,0
