Program,Sub Programme,Description,"Approved
Budget
(Kshs.)","Actual Expen-
diture
(Kshs.)","Absorption
(%)",page_number,table_index,col_6
3264001300,,,"210,000,000","83,227,972",40,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,620,0,
,707003260,"Treasury Development Pro-
gramme",-,-,-,620,0,
,701003260,"General Administration support
services","210,000,000","83,227,972",40,620,0,
3265000100,,Headquarters,"363,830,987","91,358,221",25,620,0,
,104003260,"Agricultural Development
Programme",-,-,0,620,0,
,106003260,Crop Development,"10,220,165","1,605,200",16,620,0,
,102003260,Development programme,-,-,0,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,0,621,0,
,101003260,"Administration Planning and
Support Services","353,610,822","89,753,021",25,621,0,
3265000200,,Livestock,"7,382,884","649,636",9,621,0,
,101003260,"Administration Planning and
Support Services",-,-,0,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,0,621,0,
,108003260,Livestock Production,"7,382,884","649,636",9,621,0,
,104003260,"Agricultural Development
Programme",-,-,0,621,0,
,102003260,Development programme,-,-,0,621,0,
3265000300,,Fisheries,"4,577,742","204,000",4,621,0,
,102003260,Development programme,-,-,0,621,0,
,101003260,"Administration Planning and
Support Services",-,-,0,621,0,
,111003260,Blue Economy Development,"4,577,742","204,000",4,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,0,621,0,
3265000400,,Veterinary,"5,666,901","649,150",11,621,0,
,101003260,"Administration Planning and
Support Services",-,-,-,621,0,
,104003260,"Agricultural Development
Programme",-,-,-,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,621,0,
,102003260,Development programme,-,-,0,621,0,
,110003260,Veterinary Services,"5,666,901","649,150",11,621,0,
3265000500,,"Agribusiness Project (EU
Grant)","30,018,919",-,-,621,0,
,101003260,"Administration Planning and
Support Services",-,-,-,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,621,0,
,106003260,Crop Development,"30,018,919",-,-,621,0,
,104003260,"Agricultural Development
Programme",-,-,-,621,0,
,102003260,Development programme,-,-,-,621,0,
3265000600,,"Kenya Climate Smart Agric
Program",-,-,-,621,0,
,104003260,"Agricultural Development
Programme",-,-,-,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,621,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,621,0,
3265000700,,Water,-,-,-,621,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,621,0,
,104003260,"Agricultural Development
Programme",-,-,-,622,0,
3265000800,,Cooperative Development,"1,617,500","349,999",22,622,0,
,304003260,Cooperatives development,"1,617,500","349,999",22,622,0,
3266000100,,Headquarters,-,"- 230,500",-,622,0,
,101003260,"Administration Planning and
Support Services",-,"- 230,500",-,622,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,622,0,
3266000300,,Veterinary,-,-,-,622,0,
,101003260,"Administration Planning and
Support Services",-,-,-,622,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,622,0,
3266000400,,Fisheries,-,-,-,622,0,
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,622,0,
,101003260,"Administration Planning and
Support Services",-,-,0,622,0,
3267000100,,Headquarters,"103,428,852","48,540,896",47,622,0,
,1002003260,"General Administration, Sup-
port and Support Services","103,428,852","48,540,896",47,622,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,0,622,0,
3267000200,,Water Services,"881,593,292","3,931,173",0,622,0,
,1002003260,"General Administration, Sup-
port and Support Services",-,-,0,622,0,
,1004003260,"Water Infrastructure Develop-
ment","873,943,292","2,446,582",0,622,0,
,1005003260,Sanitation services,"7,650,000","1,484,591",19,622,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,622,0,
3267000300,,Bulk Water Project,-,-,-,622,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,622,0,
3267000400,,Ambulance services,-,-,-,622,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,622,0,
3267000500,,Public Health and Sanitation,-,-,-,622,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,622,0,
3267000600,,"Promotion of primary health-
care","270,729,402","27,953,007",10,622,0,
,1006003260,Climate Change Adaptation,"268,929,402","27,393,103",10,622,0,
,1002003260,"General Administration, Sup-
port and Support Services",-,-,-,622,0,
,901003260,"General administration, Plan-
ning & support",-,-,-,622,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,622,0,
,1003003260,"Natural Resources Support
Programme","1,800,000","559,904",31,622,0,
3268000100,,Headquarters,"511,473,395","241,905,605",47,623,0,
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,0,623,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,623,0,
,501003260,"General Administration, Plan-
ning and Support services","511,473,395","241,905,605",47,623,0,
3268000200,,Polytechnics,"12,813,600","697,317",5,623,0,
,501003260,"General Administration, Plan-
ning and Support services",-,-,0,623,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,623,0,
,504003260,"Vocational Training Centres &
Homecrafts development","12,813,600","697,317",5,623,0,
3268000300,,Early Childhood Development,"54,340,000","6,014,291",11,623,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme","54,340,000","6,014,291",11,623,0,
,501003260,"General Administration, Plan-
ning and Support services",-,-,-,623,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,623,0,
3268000400,,Library services,"8,655,000","119,341",1,623,0,
,501003260,"General Administration, Plan-
ning and Support services",-,-,0,623,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,623,0,
,503003260,Library Services,"8,655,000","119,341",1,623,0,
3268000500,,Education Fund,"243,902,439","45,000,000",18,623,0,
,505003260,Education Fund,"243,902,439","45,000,000",18,623,0,
,501003260,"General Administration, Plan-
ning and Support services",-,-,-,623,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,623,0,
3268000600,,Energy,-,-,-,623,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,623,0,
,501003260,"General Administration, Plan-
ning and Support services",-,-,-,623,0,
3269000100,,Headquarters,"2,065,465,955","867,596,360",42,623,0,
,402003260,"Health Development Pro-
gramme",-,-,0,623,0,
,404003260,Preventive & Promotive services,"3,650,000","80,400",2,623,0,
,405003260,,"1,500,000","450,000",30,623,0,
,403003260,"Hospitals & Specialised Health
Services","182,100,000","15,750,623",9,623,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,623,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,624,0,
,401003260,"Administration and Support
Services","1,878,215,955","851,315,337",45,624,0,
3269000200,,Wesu Hospital,-,-,0,624,0,
,401003260,"Administration and Support
Services",-,-,0,624,0,
3269000300,,Moi Referral Hospital,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269000400,,Mwatate Hospital,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269000500,,,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269000600,,,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269000700,,,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269000800,,,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269000900,,,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269001000,,,-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269001100,,,-,-,-,624,0,
,402003260,"Health Development Pro-
gramme",-,-,-,624,0,
,401003260,"Administration and Support
Services",-,-,-,624,0,
3269001200,,"Health Improvement Financ-
ing","250,000,000","2,538,964",1,624,0,
,401003260,"Administration and Support
Services","250,000,000","2,538,964",1,624,0,
3270000100,,Headquarters,"45,976,129","12,385,324",27,624,0,
,302003260,Trade Development programme.,-,-,0,624,0,
,301003260,"General Administration and
Support Services Programme","45,976,129","12,385,324",27,624,0,
3270000200,,Trade,"32,609,770","1,980,497",6,624,0,
,302003260,Trade Development programme.,"32,609,770","2,293,830",7,624,0,
,301003260,"General Administration and
Support Services Programme",-,"- 313,333",-,624,0,
3270000300,,Sports,-,-,-,624,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,624,0,
,,,,,,624,0,590
,302003260,Trade Development programme.,-,-,-,625,0,
3270000400,,Gender,-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
3270000500,,Cooperative,-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
3270000600,,Youth Development,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
3270000700,,Culture,"2,500,000","180,000",7,625,0,
,905003260,Culture services,"2,500,000","180,000",7,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
3270000800,,Markets,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
3270000900,,,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
3270001100,,Weights and Measures,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
3270001200,,,-,-,-,625,0,
,302003260,Trade Development programme.,-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
3270001300,,"Liquor Control and Licensing
Fund",-,-,-,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,-,625,0,
3270001400,,,"695,084","50,000",7,625,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,625,0,
,303003260,Tourism Development,"695,084","50,000",7,625,0,
,302003260,Trade Development programme.,-,-,0,625,0,
3270001500,,Industrialisation,"250,404,000",-,0,625,0,
,305003260,Industrialisation,"250,404,000",-,0,625,0,
3271000100,,Headquarters,"70,041,205","14,599,010",21,625,0,
,715003260,"Human Resource Planning,
management & development","4,462,000","927,100",21,625,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,625,0,
,701003260,"General Administration support
services","65,579,205","13,671,910",21,626,0,
3272000100,,Headquarters,"91,552,551","29,252,691",32,626,0,
,204003260,"Disaster & firefighting Manage-
ment","1,000,000","283,333",28,626,0,
,201003260,"General Administrative, Plan-
ning & support services","62,832,551","23,907,508",38,626,0,
,101003260,"Administration Planning and
Support Services",-,-,0,626,0,
,203003260,"Public Works, Transport &
Housing","27,720,000","5,061,850",18,626,0,
3272000200,,ICT,-,-,0,626,0,
,103003260,"Infrastructure Development
programme",-,-,0,626,0,
,101003260,"Administration Planning and
Support Services",-,-,0,626,0,
3272000300,,Roads,"363,211,859","13,786,935",4,626,0,
,201003260,"General Administrative, Plan-
ning & support services","223,111,859",-,0,626,0,
,202003260,"Roads Infrastructure Develop-
ment","140,100,000","13,786,935",10,626,0,
,102003260,Development programme,-,-,0,626,0,
,103003260,"Infrastructure Development
programme",-,-,0,626,0,
,101003260,"Administration Planning and
Support Services",-,-,0,626,0,
3272000400,,Housing,"500,000","41,666",8,626,0,
,203003260,"Public Works, Transport &
Housing","500,000","41,666",8,626,0,
,101003260,"Administration Planning and
Support Services",-,-,0,626,0,
,102003260,Development programme,-,-,0,626,0,
,103003260,"Infrastructure Development
programme",-,-,0,626,0,
3272000500,,Public Works,"1,000,000","275,167",28,626,0,
,203003260,"Public Works, Transport &
Housing","1,000,000","275,167",28,626,0,
,103003260,"Infrastructure Development
programme",-,-,-,626,0,
,102003260,Development programme,-,-,-,626,0,
,101003260,"Administration Planning and
Support Services",-,-,-,626,0,
3272000600,,Defunct Local Authorities,-,-,-,626,0,
,302003260,Trade Development programme.,-,-,0,626,0,
,103003260,"Infrastructure Development
programme",-,-,0,626,0,
3273000100,,Headquarters,"55,600,244","16,727,085",30,626,0,
,101003260,"Administration Planning and
Support Services","49,100,244","16,727,085",34,626,0,
,102003260,Development programme,-,-,0,626,0,
,112003260,L& Planning Survey & Mapping,"6,500,000",-,0,626,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,627,0,
,1003003260,"Natural Resources Support
Programme",-,-,0,627,0,
3273000200,,"Mwatate Municipal Adminis-
tration","194,872,561","30,258,800",16,627,0,
,114003260,Urban Development,"190,626,011","30,000,000",16,627,0,
,102003260,Development programme,-,-,0,627,0,
,112003260,L& Planning Survey & Mapping,"4,246,550","258,800",6,627,0,
,1003003260,"Natural Resources Support
Programme",-,-,0,627,0,
,101003260,"Administration Planning and
Support Services",-,-,0,627,0,
3273000300,,,"3,060,000","508,000",17,627,0,
,1003003260,"Natural Resources Support
Programme",-,-,0,627,0,
,101003260,"Administration Planning and
Support Services",-,-,0,627,0,
,113003260,Mining,"3,060,000","508,000",17,627,0,
,102003260,Development programme,-,-,0,627,0,
3273000400,,,-,-,0,627,0,
,101003260,"Administration Planning and
Support Services",-,-,0,627,0,
,102003260,Development programme,-,-,0,627,0,
3273000500,,"Environment and Natural
Resources",-,-,0,627,0,
,1003003260,"Natural Resources Support
Programme",-,-,0,627,0,
,101003260,"Administration Planning and
Support Services",-,-,0,627,0,
3273000600,,,"64,363,289","872,300",1,627,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,627,0,
,114003260,Urban Development,"64,363,289","872,300",1,627,0,
,103003260,"Infrastructure Development
programme",-,-,0,627,0,
,102003260,Development programme,-,-,0,627,0,
3276000100,,Headquarters,"176,723,315",-,0,627,0,
,1003003260,"Natural Resources Support
Programme","51,973,315",-,0,627,0,
,301003260,"General Administration and
Support Services Programme","124,750,000",-,-,627,0,
,1002003260,"General Administration, Sup-
port and Support Services",-,-,-,627,0,
,,Grand Total,"8,421,501,980","2,373,994,324",28,627,0,
