Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure
as of 30 June 2024
(Kshs.Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index,col_8
,"Revenue Enhancement and Mon-
itoring",27.40,-,24.90,-,91,-,559,0,
,Supply Chain Management,10.98,-,3.19,-,29,-,559,0,
,"Internal Audit and Risk Manage-
ment",8.05,-,5.41,-,67,-,559,0,
,Internal Audit Committee,3.80,-,2.35,-,62,-,559,0,
,,Rec,Dev,Rec,Dev,Rec,,560,0,Dev
"Economic planning and
development","Economic Development Planning,
including KDSP",16.35,100.00,8.28,77.25,51,,560,0,77
,County Statistics and Data Bank,4.85,-,4.31,-,89,,560,0,-
,Monitoring and Evaluation,14.00,-,5.74,-,41,,560,0,-
,"Economic Modelling and Re-
search",2.50,-,1.85,-,74,,560,0,-
,County Budgeting,18.57,-,9.36,-,50,,560,0,-
,"Resource Mobilisation and Debt
Management",3.00,-,2.30,-,77,,560,0,-
"ICT and E-government
Services",ICT and E-government Services,11.90,8.70,6.63,-,56,,560,0,-
Sub Total,,544.29,118.70,474.68,77.25,87,,560,0,65
Health Services,,,,,,,,560,0,
"Preventive and Promotive
Services","Preventive and Promotive Ser-
vices",90.42,-,23.24,-,26,,560,0,-
Curative Services,Curative Services,84.65,-,31.71,-,38,,560,0,-
,"Health Improvement Financing
(FIF)",250.00,-,-,-,-,,560,0,-
,Universal health care and grants,34.40,-,9.23,-,27,,560,0,-
"General administration, plan-
ning and support services",Solid Waste and Cemeteries,25.10,-,3.27,-,13,,560,0,-
,Infrastructure and Equipment,0.22,239.50,,80.24,-,,560,0,34
Subtotal,,484.78,239.50,67.44,80.24,14,,560,0,34
"Education, Children, Gender Affairs, Culture & Social Services",,,,,,,,560,0,
Primary education,ECDE,27.39,42.67,4.55,0.82,17,,560,0,2
"Youth training and develop-
ment","revitalisation of youth polytech-
nics",63.30,14.15,2.85,-,5,,560,0,-
Culture and library services,"development and promotion of
culture",5.73,4.30,4.35,-,76,,560,0,-
,Library Services,2.92,4.50,2.14,-,73,,560,0,-
"Children, Gender and Social
Services",Social Services,54.03,-,10.31,-,19,,560,0,-
,children and Gender Affairs,10.30,-,1.68,-,16,,560,0,-
"General administration, plan-
ning and support services","Alcohol Drinks Control and Civic
Education",6.00,-,4.31,-,72,,560,0,-
Sub Total,,169.66,65.62,30.18,0.82,18,,560,0,1
"Tourism, Cooperative Development, Trade & Industrialization",,,,,,,,560,0,
"Trade development and
promotion",Financial and Trade Services,7.70,11.40,5.02,-,65,,560,0,-
,"Nyandarua County Trade Devel-
opment and Investment Authority
(NCTDIA)",5.80,-,2.55,-,44,,560,0,-
"Industrial development and
investment","Industrial and Enterprise Devel-
opment",5.60,403.00,4.32,25.00,77,,560,0,6
,Weights & Measures,4.30,-,3.06,,71,,560,0,-
"Cooperative development and
management","Cooperative Audit Extension
Services",2.37,-,1.14,-,48,,560,0,-
,Co-operative Development,10.32,-,3.33,-,32,,560,0,-
"Tourism development and
promotion","tourism infrastructure develop-
ment",19.40,11.80,8.38,-,43,,560,0,-
Sub Total,,55.48,426.20,27.80,25.00,50,,560,0,6
"Youth, Sports & Arts",,,,,,,,560,0,
Sports,Sports Development,31.86,13.60,12.49,-,39,,560,0,-
Youth Affairs,Youth Affairs,15.98,-,3.48,-,22,,560,0,-
,,,,,,,526,560,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,561,0,
Arts & Theater,Arts & Theater,7.80,1.50,2.79,-,36,-,561,0,
Sub Total,,55.63,15.10,18.77,-,34,-,561,0,
"Water, Environment, Climate Change & Natural Resources",,,,,,,,561,0,
"Water Resource Develop-
ment.","Water resource conservation and
protection, infrastructure and
flood control",19.85,146.44,8.62,8.78,43,6,561,0,
Environment,"Environmental support and man-
agement",4.88,0.70,3.13,-,64,-,561,0,
,Climate change resilience,5.24,227.69,1.92,-,37,-,561,0,
,natural resource,4.87,-,0.88,-,18,-,561,0,
"Irrigation and Drainage infra-
structure","promotion of irrigation and drain-
age development and management",0.50,4.00,0.19,-,37,-,561,0,
Sub Total,,35.34,378.83,14.74,8.78,42,2,561,0,
"Transport, Energy & Public Works",,,,,,,,561,0,
Road transport,"Transport (Including fuel level,
General Administration & Support
Services)",28.41,735.41,7.13,80.56,25,11,561,0,
,Public Works,6.39,200.30,3.26,30.78,51,15,561,0,
"Alternative energy technol-
ogies",alternative energy technologies,29.95,23.24,28.52,1.09,95,5,561,0,
"General administration, plan-
ning and support services","Emergency Response & Prepared-
ness",4.00,-,1.46,-,36,-,561,0,
Housing,Housing,3.03,3.00,1.87,-,62,-,561,0,
Sub Total,,71.78,961.95,42.24,112.43,59,12,561,0,
"Lands, Physical Planning & Urban Development",,,,,,,,561,0,
Land policy and planning,Physical Planning,7.98,-,2.63,-,33,-,561,0,
,Survey and Mapping,13.38,-,5.04,-,38,-,561,0,
,"Land Administration and Man-
agement",10.15,85.17,6.33,-,62,-,561,0,
Urban development,Urban development,2.43,244.46,0.40,2.47,17,1,561,0,
Sub Total,,33.93,329.63,14.41,2.47,43,1,561,0,
Municipalities,,,,,-,,-,561,0,
Municipalities,Ol’kalou municipality,31.35,9.37,5.45,-,17,-,561,0,
,Engineer Municipality,20.75,6.00,3.99,-,19,-,561,0,
,Mairo-Inya Municipality,19.04,6.80,4.64,-,24,-,561,0,
Sub Total,,71.14,22.17,14.08,-,20,-,561,0,
"Agriculture, Livestock & Fisheries",,,,,,,,561,0,
"Crop development and man-
agement",land and crop development,48.39,283.14,25.73,-,53,-,561,0,
"Livestock resources manage-
ment and development","livestock production and manage-
ment",23.18,137.21,2.32,-,10,-,561,0,
,Veterinary Services,20.60,0.80,4.57,-,22,-,561,0,
"Fisheries Development and
management","fisheries policy, strategy and
capacity building",2.29,1.50,0.58,-,25,-,561,0,
"General administration, plan-
ning and support services",Agricultural Support Institutions,10.00,-,10.00,-,100,-,561,0,
,"General Administration and Ex-
tension Services",8.28,-,3.62,-,44,-,561,0,
,Subsidised Artificial Insemination,31.55,-,7.65,,24,-,561,0,
Sub Total,,144.28,422.65,54.47,-,38,-,561,0,
