Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as
of 31 December, 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP: Infrastructure Develop-
ment",,98.15,,,,-,90,0
"Programme 4: Vocational Training and
Development",,8.50,40.00,0.98,-,12,-,90,0
,"SP: Administration Support
Services",8.50,,0.98,,12,,90,0
,SP: Tuition Support Initiative,Development,15.00,,,,-,90,0
,"SP: Infrastructure Develop-
ment",,25.00,,,,-,90,0
Sub Total,,"1,470.53",161.15,810.28,-,55,-,90,0
County Public Service Board,,,,,,,,90,0
"Programme 1: General Administration,
Planning and Support Services",,29.03,16.02,7.92,8.00,27,50,90,0
,SP: Administrative services,29.03,,7.92,,27,,90,0
,"SP: Infrastructure Develop-
ment",,16.02,,8.00,,50,90,0
"Programme 2: Human Resource Manage-
ment and Development",,15.10,-,7.79,-,52,,90,0
,SP: Personnel Remuneration,11.71,,6.81,,58,,90,0
,"SP: Human Resource Devel-
opment",3.39,,0.98,,29,,90,0
"Programme 3: Governance and National
Values",,5.78,-,-,-,-,,90,0
,SP: Quality Assurance,2.06,,,,-,,90,0
,"SP: Ethics Governors and
National",3.72,,,,-,,90,0
Sub Total,,49.91,16.02,15.71,8.00,32,50,90,0
"Trade, Energy and Industrialisation",,,,,,,,90,0
"Programme 1: General Administration,
Planning and Support Services",,88.61,-,30.49,-,34,,90,0
,"SP: Human Resource Develop-
ment and Management",23.42,,15.68,,67,,90,0
,"SP: Administrative, Planning
and Support Services",65.19,,14.81,,23,,90,0
,,Rec,Dev,Rec,Dev,Rec,Dev,91,0
"Programme
2: Trade and
Enterprise
Develop-
ment",,-,30.00,-,10.76,,36,91,0
,SP: Business Loan,,30.00,,10.76,,36,91,0
"Programme 3: Market Infrastructure Devel-
opment and Management",,-,153.38,-,40.00,,26,91,0
,SP 3.1. Market Infrastructure,,80.00,,40.00,,50,91,0
,SP 3.2. Ward Based Projects,,59.47,,,,-,91,0
,SP 3.3. Supplier Credit,,13.92,,,,-,91,0
"Programme 4: Energy Development and
Management",,-,65.03,-,-,,-,91,0
,SP: Energy Access,,20.03,,,,-,91,0
,REREC,,45.00,,,,-,91,0
"Programme 5: Industrial Investment and
Development",,-,80.00,-,40.00,,50,91,0
,SP: Industrial Development,,80.00,,40.00,,50,91,0
Sub Total,,88.61,328.42,30.49,90.76,34,28,91,0
Gender and Culture,,,,,,,,91,0
"Programme 1: General Administration,
Planning and Support Services",,68.62,-,43.51,-,63,,91,0
,"SP: Human Resource Develop-
ment and Management",51.29,,29.70,,58,,91,0
,"SP: Administrative, Planning
and Support Services",17.33,,13.81,,80,,91,0
"Programme 2: Cultural Development and
Management",,4.00,18.16,-,-,-,-,91,0
,"Communities Cultural Festi-
vals",2.00,,,,-,,91,0
,"Liquor and Licensing Enforce-
ment Exercise",2.00,,,,-,,91,0
,Infrastructure Development,,18.16,,,,-,91,0
"Programme 3: Gender Equality and Empow-
erment of Vulnerable Groups",,2.50,10.00,-,-,-,-,91,0
,"Gender and Disability Main-
streaming",2.50,,,,-,,91,0
,Women Empowerment Fund,,5.00,,,,-,91,0
,Disability Empowerment Fund,,5.00,,,,-,91,0
Sub Total,,75.12,28.16,43.51,-,58,-,91,0
Youth and Sports,,,,,,,,91,0
"Programme 1: General Administration,
Planning and Support Services",,23.01,-,8.39,-,37,,91,0
,"SP: Human Resource Develop-
ment and Management",13.15,,5.99,,46,,91,0
,"SP: Administrative, Planning
and Support Services",9.86,,2.40,,24,,91,0
"Programme 2: Sports Facility Development
and Management",,-,48.82,-,44.24,,91,91,0
,Infrastructure Development,,48.82,,44.24,,91,91,0
"Programme 3: Youth Talent Development
and Management",,-,-,-,-,,,91,0
,Youth Empowerment fund,,-,,,,,91,0
,,Rec,Dev,Rec,Dev,Rec,Dev,92,0
