Programme,Sub Programme,Approved Estimates (Kshs.),col_3,Expenditure (Kshs.),col_5,"Absorption
Rate(%)",col_7,page_number,table_index,col_8
,"SP 2.2 Social Inclusion
and Empowerment","38,902,800",0,"45,000",0,0.1,0.0,507,0,
"Programme 3
Management and
development of
sports, recre-
ation and sports
facilities","SP 3.1 Development
and Management of
Sports Infrastructure",0,"58,823,107",0,0,0.0,0.0,507,0,
,"SP 3.2 Promotion of
Sports Development
and Recreation","49,880,000",0,"10,384,8500",0,20.8,0.0,507,0,
"Programme 4:
Youth empower-
ment and partici-
pation","SP 4.1 youth empow-
erment and partici-
pation","6,988,194","6,000,000","250,200",0,3.6,0.0,507,0,
,Sub-Total,"242,044,164.81","218,476,631","60,180,187",0,24.9,0.0,507,0,
"DEPARTMENT OF WATER, ENVIRONMENT, CLIMATE, ENERGY &NATURAL RESOURCES",,,,,,,,507,0,
"Programme 1
Administration","SP 1.1 Administration
services","25,307,898",0,"1,422,626",0,5.6,0.0,507,0,
,"SP 1.2 Human re-
sources","247,900,174",0,"99,739,458",0,40.2,0.0,507,0,
,"SP 1.3 Finance ser-
vices","500,000",0,0,0,0.0,0.0,507,0,
"Programme 2
water and sewage
management","SP 2.1 Provision of
water","3,455,000","603,320,148","94,800",0,2.7,0.0,507,0,
,SP 2.2 sewerage,"625,000",0,0,0,0.0,0.0,507,0,
"Programme
3:Environment
management","SP 3.1 Pollution
control",0,0,0,0,0.0,0.0,507,0,
,"SP 3.2 Solid Waste
Management","4,177,500",0,0,0,0.0,0.0,507,0,
,SP 3.3 regulation,"1,000,000",0,0,0,0.0,0.0,507,0,
,SP 3.4:Natural,"1,000,000",0,0,0,0.0,0.0,507,0,
"Programme 4
County energy,
planning, regu-
lation, operation
and development","SP 4.1 County Energy
Development","5,000,000",0,"33,000",0,0.1,0.0,507,0,
,"SP 4.2 Climate change
resilience/forestry","22,627,615","230,707,177",0,0,0.0,0.0,507,0,
,Sub-Total,"311,593,187","834,027,325","101,289,884",0,39.8,0.0,507,0,
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,,,507,0,
"Programme 1
Administration,
planning and
support","SP 1.1 Administration
and Planning","108,072,339.40","48,965,736","28,752,327","5,460,350",26.6,11.2,507,0,
,"SP 1.2 Personnel
services","136,718,549",0,"49,628,118",0,36.3,0.0,507,0,
"Programme 2
management of
county affairs","SP 2.1 County Execu-
tive services","13,477,683.52",0,0,0,0.0,0.0,507,0,
,,Rec,Dev,Rec,Dev,Rec,,508,0,Dev
0.0,"SP 2.2 policy direction
and coordination","84,609,245",0,0,0,0.0,,508,0,0.0
,"SP 2.3 county policing
services","4,685,548",0,0,0,0.0,,508,0,0.0
,"SP 2.4 leadership and
governance","3,123,698",0,0,0,0.0,,508,0,0.0
"Programme 3
coordination
and supervisory
services","SP 3.1 organisation of
county businesses","21,427,738",0,0,0,0.0,,508,0,0.0
,"SP 3.2 Special pro-
grammes","7,809,246",0,0,0,0.0,,508,0,0.0
,Sub-Total,"379,924,046.92","48,965,736","78,380,445",0,20.6,,508,0,11.2
OFFICE OF THE COUNTY ATTORNEY,,,,,,,,508,0,
"Programme 1
Administration,
Planning and
Support services",SP 1.1 Administration,"15,395,000","3,000,000","778,945",0,5.1,,508,0,0.0
,"SP 1.2 Personnel
services","28,471,782",0,"9,373,064",0,32.9,,508,0,0.0
,"SP 1.3 financial
services","600,000",0,0,0,0.0,,508,0,0.0
"Programme 2Ad-
visory services","SP 2.1 Advisory legal
services","18,043,931",0,"50,000",0,27.7,,508,0,0.0
,SP 2.2 Legal matters,0,0,0,0,0.0,,508,0,0.0
,Sub-Total,"62,510,713","3,000,000","10,202,009",0,16.3,,508,0,0.0
DEPARTMENT OF INFRASTRUCTURE,,,,,,,,508,0,
"Programme 1
administration,
planning and
support services","SP 1.1 Administration
services","25,350,000",0,"1,507,500",0,5.9,,508,0,0.0
,"SP 1.2 Personnel
services","121,124,969",0,"57,080,746",0,47.1,,508,0,0.0
,"SP 1.3 financial
services",0,0,0,0,0.0,,508,0,0.0
"Programme 2
infrastructure,
development and
maintenance","SP 2.1 Construction,
rehabilitation and
maintenance of road
drainage and bridges","10,382,785","1,484,705,308",0,"79,987,056",0.0,,508,0,5.4
,"SP 2.2 Rehabilitation
and maintenance of
transport terminus","500,000",0,0,0,0.0,,508,0,0.0
,"SP 2.3 Maintenance &
rehabilitation of county
buildings","2,120,000","1,550,000",0,0,0.0,,508,0,0.0
,SP 2.4 Street lighting,"125,700,000","43,000,000","31,850,000",0,25.3,,508,0,0.0
,Sub-Total,"285,177,754","1,529,255,308","90,438,246","79,987,056",31.7,,508,0,5.2
DEPARTMENT OF HEALTH SERVICES,,,,,,,,508,0,
"Programme 1
administration
and planning","SP 1.1 Health informa-
tion systems","21,800,000",0,0,0,0.0,,508,0,0.0
,"SP 1.2 governance and
leadership","897,735,699",0,"60,122,865",0,6.7,,508,0,0.0
,"SP 1.3 Human re-
source management","4,033,026,658",0,"1,765,721,318",0,43.8,,508,0,0.0
,"SP 1.4 Research and
development","3,500,000",0,0,0,0.0,,508,0,0.0
,"SP 1.5 Health infra-
structure and develop-
ment","9,800,000",0,0,0,0.0,,508,0,0.0
,,,,,,,474,508,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,509,0,
"Programme 2
health preventive
and promotive
services","SP 2.1 Primary
Healthcare","823,325","270,824,391",0,0,0.0,0.0,509,0,
,"SP 2.2 environmental
health and sanitation","2,100,000",0,0,0,0.0,0.0,509,0,
,"SP 2.3 Human re-
source","225,039,940",0,0,0,0.0,0.0,509,0,
,"SP 2.4 Disease surveil-
lance and emergency
response","1,000,000",0,0,0,0.0,0.0,509,0,
,"SP 2.5 Health promo-
tive","1,000,000",0,0,0,0.0,0.0,509,0,
,"SP 2.6 HIV pro-
gramme","2,000,000",0,0,0,0.0,0.0,509,0,
