Programme,Sub-Programme,"Revised Gross Approved
Estimates (Kshs.Millions)",col_3,"Actual Expenditure
(Kshs.Millions)",col_5,Absorption Rate (%),col_7,page_number,table_index
,"Crop Production and Manage-
ment",13.28,14.50,3.77,-,28,0,588,0
"Crop Production
and Food Security",,60.33,229.80,51.23,-,85,0,588,0
,"Agricultural Extension Re-
search and Training",16.73,0.00,15.54,-,93,0,588,0
,,43.60,229.80,35.69,-,82,0,588,0
,Grand Total,213.89,659.25,159.51,67.40,75,10,588,0
,,,,,,,,588,0
"Water, Environ-
ment, Natural Re-
sources & Energy","Water, Environment, Natural
Resources & Energy",0.00,0.00,-,-,0,0,588,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,588,0
"Administration,
Planning and Sup-
port Services",,0.00,0.00,-,-,0,0,588,0
,Pollution control& monitoring,0.00,0.00,-,-,0,0,588,0
Administration,,37.24,0.00,12.43,-,33,0,588,0
,"Forests Conservation and
Management",37.24,0.00,12.43,-,33,0,589,0
"Forests Conserva-
tion and Manage-
ment",,27.75,220.00,2.72,109.24,10,50,589,0
,Pollution control& monitoring,3.99,0.00,0.79,-,20,0,589,0
,"Forests Conservation and
Management",23.76,220.00,1.93,109.24,8,50,589,0
"Control of soil
erosion",,12.11,0.00,2.55,-,21,0,589,0
,Mining Services,5.34,0.00,1.51,-,28,0,589,0
,"Water Catchment and Protec-
tion Services",3.28,0.00,0.52,-,16,0,589,0
,"Environmental Management
and Protection",3.48,0.00,0.52,-,15,0,589,0
"Water and sanita-
tion services",,102.47,112.50,63.83,60.11,62,53,589,0
,Stormwater management,90.20,0.00,60.74,,67,0,589,0
,Grand Total,12.26,112.50,3.09,60.11,25,53,589,0
,Grand Total,179.56,332.50,81.52,169.35,45,51,589,0
,,,,,,,,589,0
"Education and Vo-
cational Training","Education and Vocational
Training",0.00,0.00,-,-,0,0,589,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,589,0
"Administration,
Planning and Sup-
port Services",,0.00,0.00,-,-,0,0,589,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,589,0
"Bursary Manage-
ment Services",,214.62,0.00,32.38,-,15,0,589,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,589,0
,Education & Training Services,214.62,0.00,32.38,-,15,0,589,0
"Promotion of
Early Childhood
Education",,377.62,149.20,121.29,12.69,32,9,589,0
,"Promotion of youth empow-
erment",377.62,149.20,121.29,12.69,32,9,589,0
,"Management and devel-
opment of Sports & Sports
facilities",0.00,0.00,-,-,0,0,589,0
"Sports Develop-
ment, Training &
Competition",,0.00,0.00,-,-,0,0,589,0
,"Youth Training and Develop-
ment",0.00,0.00,-,-,0,0,589,0
"SP1 Revitalization
of Youth Polytech-
nics",,11.56,10.60,3.23,-,28,0,589,0
,"SP1 Revitalization of Youth
Polytechnics",11.56,10.60,3.23,-,28,0,589,0
,Grand Total,603.81,159.80,156.90,12.69,26,8,589,0
,,,,,,,,590,0
"Medical Services,
Public Health &
Sanitation","Medical Services, Public
Health & Sanitation",0.00,0.00,-,-,0,0,590,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,590,0
"Administration,
Planning and Sup-
port Services",,0.00,0.00,-,-,0,0,590,0
,"Preventive and Promotive
Health Services",0.00,0.00,-,-,0,0,590,0
"Non-communi-
cable disease &
prevention control",,310.86,148.70,133.91,15.58,43,10,590,0
,Maternal Health Services,30.48,0.00,11.83,-,39,0,590,0
,"Communicable Disease
Control",60.98,0.00,26.78,-,44,0,590,0
,Health Promotive Services,83.06,0.00,37.01,-,45,0,590,0
,Health curative Services,136.34,148.70,58.30,15.58,43,10,590,0
"County Referral
Services",,768.67,5.00,276.25,-,36,0,590,0
,Free Primary Healthcare,565.79,5.00,200.50,-,35,0,590,0
,"Provision of essential health
services in all levels",179.19,0.00,69.18,-,39,0,590,0
,"General Administration Plan-
ning and Support Services",23.68,0.00,6.57,-,28,0,590,0
"Health Standards
and Quality Assur-
ance Services",,271.79,0.00,91.99,-,34,0,590,0
,Research And Development,94.44,0.00,39.10,-,41,0,590,0
,"Health Infrastructure devel-
opment",5.43,0.00,-,-,0,0,590,0
,Human Resources for health,11.46,0.00,2.85,-,25,0,590,0
,"Health Policy, Planning &
Financing",137.19,0.00,42.79,-,31,0,590,0
,,24.48,0.00,7.26,-,30,0,590,0
"Water Catchment
and Protection
Services",,0.00,0.00,-,-,0,0,590,0
,,0.00,0.00,-,-,0,0,590,0
,Grand Total,"1,351.32",153.70,502.15,15.58,37,10,590,0
,,,,,,,,590,0
"Lands, Housing,
Physical Planning
& Urban Develop-
ment","Lands, Housing, Physical
Planning & Urban Develop-
ment",0.00,0.00,-,-,0,0,590,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,590,0
"Administration,
Planning and Sup-
port Services",,92.71,0.00,34.54,-,37,0,590,0
,Land Use Policy and Planning,92.71,0.00,34.54,-,37,0,590,0
"Housing manage-
ment services",,24.22,36.00,6.27,11.12,26,31,590,0
,GIS Data Base creation,4.46,0.00,0.49,-,11,0,591,0
,Spatial planning,0.00,0.00,-,-,0,0,591,0
,Survey And Mapping,5.40,0.00,1.59,-,30,0,591,0
,Urban Centers Administration,14.36,36.00,4.19,11.12,29,31,591,0
"Urban center
management",,87.32,136.38,19.43,10.00,22,7,591,0
,Urban Centers Administration,87.32,136.38,19.43,10.00,22,7,591,0
,Grand Total,204.25,172.38,60.24,21.12,29,12,591,0
,,,,,,,,591,0
"Roads, Transport
& Public Works","Roads, Transport & Public
Works",0.00,0.00,-,-,0,0,591,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,591,0
"Administration,
Planning and Sup-
port Services",,0.00,0.00,-,-,0,0,591,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,591,0
"Administrative
services",,73.86,0.00,42.92,-,58,0,591,0
,"Design, implementation and
supervision of public buildings",58.77,0.00,36.81,-,63,0,591,0
,Firefighting services,10.46,0.00,3.86,-,37,0,591,0
,"Infrastructure, Roads & Trans-
port Services",4.63,0.00,1.45,-,31,0,591,0
"Street lights man-
agement",,41.69,349.90,15.93,54.38,38,16,591,0
,"Rehabilitation of Roads, Drain-
age and Bridges",17.65,7.50,10.09,-,57,0,591,0
,"Public Road transport and
parking",11.36,0.00,2.02,-,18,0,591,0
,"Design, supervision and reha-
bilitation of County Buildings",4.91,342.40,1.55,54.38,32,16,591,0
,"General Administration Plan-
ning and Support Services",7.77,0.00,2.27,-,29,0,591,0
Administration,,0.00,0.00,-,-,0,0,591,0
,Land Use Policy and Planning,0.00,0.00,-,-,0,0,591,0
"Pollution control&
monitoring",,0.00,0.00,-,-,0,0,591,0
,"Conservation and Manage-
ment of Natural Ecosystems",0.00,0.00,-,-,0,0,591,0
"Stormwater man-
agement",,4.46,0.00,1.57,-,35,0,591,0
,Water and sanitation services,4.46,0.00,1.57,-,35,0,591,0
,,0.00,0.00,-,-,0,0,591,0
,Grand Total,120.02,349.90,60.41,54.38,50,16,591,0
,,,,,,,,591,0
"Tourism, Trade,
Enterprise
Development &
Cooperatives","Tourism, Trade, Enterprise
Development & Cooperatives",0.00,0.00,-,-,0,0,591,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,591,0
"General adminis-
tration",,54.39,0.00,40.78,-,75,0,592,0
,"Cooperatives Development
and Management",54.39,0.00,40.78,-,75,0,592,0
"SACCO members’
empowerment",,27.52,0.00,5.29,-,19,0,592,0
,"Enhance Marketing Cooper-
atives",0.00,0.00,-,-,0,0,592,0
,"Promote Commerce and
Enterprises",27.52,0.00,5.29,-,19,0,592,0
"Business Develop-
ment Services for
MSE’s",,48.01,0.00,18.63,-,39,0,592,0
,"Promotion of Tourism and
Marketing",45.61,0.00,18.25,-,40,0,592,0
,"Tourism and Infrastructure
Development",2.40,0.00,0.38,-,16,0,592,0
"Establish &
Management of
County Tourism
Information
Centre",,67.82,191.00,21.54,70.18,32,37,592,0
,"Tourism Traning & Capacity
Building",5.45,0.00,1.47,-,27,0,592,0
,"Trade Development and
Promotion",0.00,0.00,20.28,70.18,0,0,592,0
,Domestic trade development,62.37,191.00,-0.22,-,0,0,592,0
"Market develop-
ment and promo-
tion of fair trade
services",,19.06,0.00,4.54,-,24,0,592,0
,"General Administration Plan-
ning and Support Services",17.74,0.00,4.48,-,25,0,592,0
,"General Administration Plan-
ning and Support Services",1.32,0.00,0.06,-,5,0,592,0
"General Adminis-
tration Planning
and Support
Services",,17.45,29.00,5.52,-,32,0,592,0
,"General Administration Plan-
ning and Support Services",17.45,29.00,5.52,-,32,0,592,0
,Grand Total,234.24,220.00,96.30,70.18,41,32,592,0
,,,,,,,,592,0
"Culture, Social
Services, Gender,
Sports & Youth
Affairs","Culture, Social Services, Gen-
der, Sports & Youth Affairs",0.00,0.00,-,-,0,0,592,0
,Education & Training Services,0.00,0.00,-,-,0,0,592,0
"Promotion of
youth empower-
ment",,0.00,0.00,-,-,0,0,592,0
,"Management and devel-
opment of Sports & Sports
facilities",0.00,0.00,-,-,0,0,592,0
"Sports Develop-
ment, Training &
Competition",,83.90,25.70,37.95,-,45,0,593,0
,"Public Sector Advisory Ser-
vices",83.90,25.70,37.95,-,45,0,593,0
"Economic, Social
& Political Adviso-
ry Service",,4.89,0.00,1.42,-,29,0,593,0
,"General Administration Plan-
ning and Support Services",4.89,0.00,1.42,-,29,0,593,0
"General Adminis-
tration Planning
and Support
Services",,69.89,21.50,14.57,-,21,0,593,0
,"Community Mobilization and
Development",69.89,21.50,14.57,-,21,0,593,0
"Community
Mobilization and
Development",,25.95,0.00,4.66,3.00,18,0,593,0
,"Development and Promotion
of Culture",7.43,0.00,1.83,3.00,25,0,593,0
,Social Welfare and Gender,3.97,0.00,0.28,-,7,0,593,0
,Conservation of Heritage,13.50,0.00,2.52,-,19,0,593,0
,"Development and manage-
ment of sports facilities",1.05,0.00,0.03,-,3,0,593,0
"Development and
management of
sports facilities",,4.53,0.00,0.10,-,2,0,593,0
,"General Administration Plan-
ning and Support Services",4.53,0.00,0.10,-,2,0,593,0
"General Adminis-
tration Planning
and Support Ser-
vices (Sports)",,55.80,0.00,4.65,-,8,0,593,0
,"General Administration Plan-
ning and Support Services",55.80,0.00,4.65,-,8,0,593,0
,Grand Total,244.97,47.20,63.36,3.00,26,6,593,0
"Legislative and
Oversight",Representation,263.44,-,64.52,-,24,,593,0
,Legislative and Oversight,90.48,49.48,10.45,-,12,,593,0
,"County Assembly Adminis-
tration",258.03,-,35.03,-,14,,593,0
,Total,611.95,49.48,110.01,0.00,18,,593,0
Grand Total,,"5,068.47","2,207.72","1,674.26",420.84,33,19,593,0
