Programme,Sub-Programme,Gross Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31 De-
cember 2024",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
County Secretary,,,,,,,,378,0
"Leadership & coordina-
tion of departments","SP1. 1 Leadership
& coordination of
departments","464,245,270",,"62,752,829",,14,,378,0
,Sub Total,"464,245,270",-,"62,752,829",,14,,378,0
CPSB,,,,,,,,378,0
"Public Service Human
Resource Management
and Development.","SP2: Public Service
Human Resource
Management and
Development.","70,998,317",,"34,059,599",,48,,378,0
,Sub Total,"70,998,317",,"34,059,599",,48,,378,0
Finance & Socio-Economic Planning,,,,,,,,378,0
"General Administration
& Support Services","SP1: General adminis-
tration & planning","371,417,537","48,834,973","176,252,873",-,47,-,378,0
"Public financial man-
agement","Sub-Programme 2.1:
Financial Accounting
Services","11,907,568",-,"7,539,204",-,63,,378,0
,"Sub-Programme 2.2:
Budget formulation,
coordination and
management","43,150,000",-,"18,643,871",-,43,,378,0
,"Sub-Programme 2.3:
Internal audit services","7,300,000",-,"2,670,231",-,37,,378,0
,"Sub-Programme 2.4;
Resource mobilisation","39,338,022",-,"18,085,820",-,46,,378,0
,"Sub-Programme 2.5:
Supply Chain Man-
agement Services","2,850,000",-,"1,688,625",-,59,,378,0
,"Sub-Programme 2.6;
Economic planning","9,289,525",-,"4,553,586",-,49,,378,0
,"Sub-Programme
2.7; Monitoring &
Evaluation","7,100,000",-,"3,060,798",-,43,,378,0
,"Sub-Programme 2.8;
County Statistics","5,100,000",-,"2,103,657",-,41,,378,0
,"Sub-Programme
2.9: Enterprise Risk
Management","991,308",-,-,-,0,,378,0
,"Sub-Programme 2.10;
Assets Management","2,800,000",-,"756,646",-,27,,378,0
,Sub Total,"501,243,960","48,834,973","235,355,312",-,47,-,378,0
,,,,"235,355,312",-,,,378,0
"Devolution, Public participation, County Administration and Special Programmes",,,,,,,,378,0
"General Administration
& Planning","SP1: General Admin-
istration & Planning","244,563,390","37,500,000","118,306,760",,48,-,378,0
"Participatory Develop-
ment. & Civic Education","SP2: Participatory
Development. & Civic
Education","19,514,800",-,"9,110,316",,47,,378,0
,,Rec,Dev,Rec,Dev,Rec,Dev,379,0
"Research, Documen-
tation and Knowledge
Management","SP3: Research,
Documentation and
Knowledge Manage-
ment",-,-,-,,,,379,0
"Coordination of Service
Delivery and Enforce-
ment","SP4: Coordination of
Service Delivery and
Enforcement","29,811,534","941,225","15,706,380",,53,,379,0
"Disaster Risk Prepared-
ness and Mitigation","SP5: Disaster Risk
Preparedness and
Mitigation","10,988,336","300,000","3,242,514",,30,,379,0
"Alcoholic Drinks Con-
trol and Licencing","SP6: Alcoholic Drinks
Control and Licencing","3,972,000",-,"587,000",,15,,379,0
,Sub Total,"308,850,060","38,741,225","146,952,970",-,48,-,379,0
"Water, Sanitation and Irrigation",,,,,,,,379,0
"General administration
& planning","SP1: General Admin-
istration & Planning","98,952,701","10,652,500","51,594,107","1,892,980",52,18,379,0
"Water infrastructure
Development","SP 2.1: Water harvest-
ing and storage","3,840,000","196,985,876","1,540,000","5,400,900",40,3,379,0
,"SP2: Piped water sup-
ply infrastructure","3,680,000","197,983,312","1,540,000","3,020,400",42,2,379,0
,"SP.3: Groundwater
development","3,380,000","122,965,705","1,410,920","18,315,015",42,15,379,0
,Sub Total,"109,852,701","528,587,393","56,085,027","28,629,295",51,5,379,0
"Agriculture, Livestock, Fisheries And Cooperative Development",,,,,,,,379,0
"General administration
& planning","SP1: General Admin-
istration & Planning","236,994,981","184,526,856","114,974,076","8,143,336",49,4,379,0
"Land, Crop development
& productivity","SP 2: Land, Crop
development & pro-
ductivity","2,581,308","78,680,099","1,435,000","2,355,295",56,3,379,0
"Agribusiness and infor-
mation management","SP3; Agribusiness and
information manage-
ment","5,223,982","30,846,053","1,846,813",-,35,-,379,0
"Livestock Production,
Management and Devel-
opment","SP 4: Livestock Pro-
duction, Management
and Development","10,950,000","57,606,381","2,541,206","12,875,762",23,22,379,0
"Cooperative Develop-
ment","SP 5: Cooperative
Development","1,900,000","4,602,775","174,573",-,9,-,379,0
,Sub Total,"257,650,271","356,262,164","120,971,668","23,374,394",47,7,379,0
Makueni Fruit Development and Marketing Authority,,,,,,,,379,0
"General Administration
& Support Services","P1: General adminis-
tration & planning","35,555,220","46,499,364","7,926,417","4,994,474",22,11,379,0
,Sub Total,"35,555,220","46,499,364","7,926,417","4,994,474",22,11,379,0
County Assembly,,,,,,,,379,0
"Legislation and Repre-
sentation","SP1: Legislation and
Representation","906,121,976","79,345,015","490,339,364",-,49,-,379,0
,Sub Total,"906,121,976","79,345,015","490,339,364",-,49,-,379,0
Total County Budget,,"7,928,818,694","4,299,672,820","3,425,715,514","534,471,537",43,12,379,0
