Programme,Sub-Programme,"Revised Gross Approved Esti-
mates (Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
Sub Total,,"121,407,554","281,129,613","9,144,873","24,684,102",7.5,8.8,476,0
Public Service Administration,,,,,,,,476,0
"Human Resource
Development
Program","101064010 Human Re-
source Management and
Development",-,-,,,0.0,0.0,476,0
"Administration
and Support","706001410 General
Administration Planning
and Support Services","972,982,478",-,"427,252,077",,43.9,0.0,476,0
ICT Program,Automation,-,-,,,0.0,0.0,476,0
,"Acquisition Of ICT
Equipment",-,-,,,0.0,0.0,476,0
,"Connectivity For Head-
quarters and Devolved
Units (WAN/LAN)",-,-,,,0.0,0.0,476,0
"ICT and E-Gov-
ernment",ICT and E-Government,"24,100,000","40,000,000","3,894,100","30,000,000",16.2,75.0,476,0
Sub Total,,"997,082,478","40,000,000","431,146,177","30,000,000",43.2,75.0,476,0
Murang’a Municipality,,,,,,,,476,0
"Municipal Devel-
opment Program","10109410 Solid Waste
Management",-,-,,,0.0,0.0,476,0
,"101104010 Infrastructure
Development",-,-,,,0.0,0.0,476,0
,Urban Management,"1,950,000","45,371,824","630,000",,32.3,0.0,476,0
,"102074010 Urban Devel-
opment and Support",-,-,,,0.0,0.0,476,0
,"109024010 Other Munic-
ipalities",-,-,,,0.0,0.0,476,0
,"703014010 Revenue
Automation",-,-,,,0.0,0.0,476,0
,"706014010 General
Administration Planning
and Support Services","70,120,000",-,"14,283,679",,20.4,0.0,476,0
"Public Works
and Infrastruc-
ture Develop-
ment","Infrastructure Improve-
ment",-,-,,,0.0,0.0,476,0
Sub Total,,"72,070,000","45,371,824","14,913,679",-,20.7,0.0,476,0
Kenol Municipality,,,,,,,,476,0
"General Admin-
istration and
Planning","General Administration
and Planning","33,976,200",-,,,0.0,0.0,476,0
,"Infrastructure Improve-
ment",-,"5,000,000",,,0.0,0.0,476,0
,"Urban Development
Grant",-,"35,371,824",,,0.0,0.0,476,0
Sub Total,,"33,976,200","40,371,824",-,-,0.0,0.0,476,0
Kangari Municipality,,,,,,,,476,0
