Programme,Sub-Programme,"Revised Gross
Approved Estimates",col_3,Actual Expenditure,col_5,"Absorption
Rate (%)",col_7,col_8,page_number,table_index
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,,137,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services",3.82,10.19,1.23,0.40,32,-,,137,0
Water Service Delivery,Domestic water supply,15.30,40.77,4.93,1.60,32,-,,137,0
Irrigation Development,"Development of Irrigation
schemes",1.91,5.10,0.62,0.20,32,-,,137,0
Sanitation Services,Sanitation Services,1.91,5.10,0.62,0.20,32,-,,137,0
"Environmental Management
and Conservation","Environmental Management
and Conservation",1.91,5.10,0.62,0.20,32,-,,137,0
"Forestry and Landscapes
Conservation","Forestry and Landscapes Con-
servation",1.91,5.10,0.62,0.20,32,-,,137,0
"Climate Change Mitigation
and Adaptation","Climate Change Mitigation and
Adaptation",11.47,30.58,3.70,1.20,32,-,,137,0
Sub Total,,38.25,101.92,12.32,4.00,32,4,,137,0
HEALTH,,,,,,,,,137,0
Curative Health Services,Primary Health Care,916.80,84.46,563.04,12.68,61,-,,137,0
"Preventive and Promotive
Health Services","Health Promotion & Disease
Control",360.75,33.23,221.55,4.99,61,-,,137,0
"General Administration Plan-
ning and Support Services",General Administration services,290.63,26.77,178.49,4.02,61,-,,137,0
Sub Total,,"1,568.18",144.47,963.08,21.70,61,15,,137,0
EMBU LEVEL 5 HOSPITAL,,,,,,,,,137,0
Curative Health Services,Primary Healthcare,4.97,61.18,3.05,18.81,61,-,,137,0
"Preventive and Promotive
Health Services","Health Promotion and Disease
Control",1.36,16.81,0.84,5.17,61,-,,137,0
"General Administration Plan-
ning and Support Services",General Administration Services,1.00,12.29,0.61,3.78,61,-,,137,0
Sub Total,,7.33,90.28,4.50,27.76,61,31,,137,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,,,,137,0
103,,,,,,,,,137,0
,,(Kshs.Million),,(Kshs.Million),,,,,138,0
"General Administration Plan-
ning and Support Services",General Administration Services,5.58,106.61,1.05,7.98,19,-,,138,0
Roads Development,"Rural Roads Improvement and
Maintenance",14.89,284.29,2.81,21.29,19,-,,138,0
Public Works,Public Works,5.58,106.61,1.05,7.98,19,-,,138,0
"Renewable Energy Develop-
ment",Streetlights and Floodlights,7.45,142.15,1.40,10.64,19,-,,138,0
Transport and Logistics,Fleet management,3.72,71.07,0.70,5.32,19,-,,138,0
Sub Total,,37.23,710.73,7.02,53.21,19,7,,138,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,,138,0
"General Administration,
Planning and Support Ser-
vices","General Administration and
Support Services",39.43,19.46,14.96,1.60,38,-,,138,0
"Access and retention in
ECDE centres","Access and retention in ECDE
centres",157.72,77.84,59.83,6.40,38,-,,138,0
"Improve Quality And Rele-
vance Of ECDE Services","Improvement Quality And Rele-
vance of ECDE Services",39.43,19.46,14.96,1.60,38,-,,138,0
"Improve on Transition from
pre-primary to primary
school","Improve on Transition from
pre-primary to primary school",39.43,19.46,14.96,1.60,38,-,,138,0
"Increase access and retention
in Vocational training.","Increase access and retention in
Vocational training.",118.29,58.38,44.87,4.80,38,-,,138,0
Sub Total,,394.30,194.60,149.58,15.99,38,8,,138,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,,,,,138,0
"Youth Development and
Empowerment Services","Youth Development and Em-
powerment Services",30.07,20.17,9.75,4.25,32,-,,138,0
"Management and develop-
ment of Sports and Sport
facilities",Community Sports Programme,52.44,35.17,17.00,7.41,32,-,,138,0
"General Administration Plan-
ning and Support Services",General Administration services,17.63,11.82,5.72,2.49,32,-,,138,0
"Gender and Social Develop-
ment","Communication mobilisation
and development",8.55,5.73,2.77,1.21,32,-,,138,0
,Social Welfare Services,8.56,5.74,2.77,1.21,32,-,,138,0
,"Gender mainstreaming and
development",11.60,7.78,3.76,1.64,32,-,,138,0
Children Services,"Child Rehabilitation and Cus-
tody",3.30,2.21,1.07,0.47,32,-,,138,0
"Culture and Cultural Preser-
vation",Cultural Preservation,5.78,3.88,1.87,0.82,32,-,,138,0
Sub Total,,137.91,92.50,44.72,19.50,32,21,,138,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,,138,0
"General Administration and
Support Services","General Administration and
Support Services",5.46,9.75,2.19,0.54,40,-,,138,0
Physical Planning,SP1.1: Physical Planning,2.73,4.87,1.09,0.27,40,-,,138,0
Physical Planning,Survey and Spatial Planning,3.82,6.82,1.53,0.38,40,-,,138,0
Survey and Spatial Planning,Urban Development,5.46,9.75,2.19,0.54,40,-,,138,0
"Automation of land records
and operations",Automation,24.55,43.86,9.84,2.42,40,-,,138,0
Valuation and Rating,Valuation,2.73,4.87,1.09,0.27,40,-,,138,0
Mining,Mining,15.28,27.29,6.12,1.51,40,-,,138,0
Sub Total,,60.02,107.22,24.06,5.92,40,6,,138,0
