Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"Gender, Children,
Youth and People with
Disability","3,000,000",-,"1,572,600",-,52,-,709,0
"Admin-
istration,
Planning
and Support
Service",,"70,037,562",-,"6,982,185",-,10,-,709,0
,Administrative Service,"70,037,562",-,"6,982,185",-,10,-,709,0
1003004860,,"65,892,153","160,599,882","33,484,820","50,946,963",51,32,709,0
,"Water Supply Manage-
ment","55,278,411","160,599,882","28,709,520","50,946,963",52,32,709,0
,"Waste Water Manage-
ment","10,613,742",-,"4,775,300",-,45,-,709,0
1004004860,,"1,100,000","253,765,059",-,"131,674,119",-,52,709,0
,"Environmental Protec-
tion and Conservation","1,100,000","253,765,059",--,"131,674,119",-,52,709,0
1005004860,,"2,500,000","13,000,000","1,034,135",-,41,-,709,0
,"Natural Resources
management","2,500,000","13,000,000","1,034,135",-,41,-,709,0
,Grand Total,"4,369,795,429","2,101,601,765","2,090,131,332","274,348,185",48,13,709,0
