Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual
Expenditure
(Kshs)","Variance
(Kshs)","Absorp-
tion rate
(%)",page_number,table_index
,Road Maintenance Services,"396,974,496","82,338,452","314,636,044",20.7,167,0
,Subtotal,"821,974,496","325,720,275","496,254,221",39.6,167,0
"Transport Development
and Rehabilitation
Services",Water Transport Services,-,-,-,-,168,0
,"Bus park, Motorbike
and Taxi Infrastructure Services",-,-,-,-,168,0
,"Air Transport
Infrastructure
Development Services",-,-,-,-,168,0
,Subtotal,-,-,-,-,168,0
,Total,"1,047,359,686","398,903,479","648,456,207",38.1,168,0
"Department of Blue Economy, Fisheries Mining and Digital Economy",,,,,,168,0
"General Administration,
Planning and Support
Services",Policy Development Services,-,-,-,-,168,0
,"Personnel Remuneration and
Welfare Services","76,286,892","36,500,000","39,786,892",47.8,168,0
,Administrative Support Services,"14,611,925","2,394,175","12,217,750",16.4,168,0
,Subtotal,"90,898,817","38,894,175","52,004,642",42.8,168,0
"Blue Economy and
Fisheries Resources
Development Services","Capture Fisheries and Develop-
ment Services","4,500,000",-,"4,500,000",-,168,0
,"Aquaculture Development Ser-
vices","12,909,422",-,"12,909,422",-,168,0
,"Blue Economy Development
Services","51,281,739","4,123,395","47,158,344",8.0,168,0
,Subtotal,"68,691,161","4,123,395","14,691,122",6.0,168,0
"Mineral resources devel-
opment and marketing
services",Artisanal Mining Services,"7,000,000",-,"7,000,000",-,168,0
,Mineral Prospecting Services,"3,000,000",-,"3,000,000",-,168,0
,Subtotal,"10,000,000",-,"10,000,000",-,168,0
"ICT And Digital
Economy Development
Services","ICT Infrastructure Development
Services","15,000,000",-,"15,000,000",-,168,0
,"Digital Literacy and Skill Devel-
opment Services",-,-,-,-,168,0
,Subtotal,"15,000,000",-,"15,000,000",-,168,0
,Total,"184,589,978","43,017,570","141,572,408",23.3,168,0
"Department of Education, Human Capital Development and Vocational Training",,,,,,168,0
"General Administration
and Quality Assurance
Service",General administration Services,"19,265,068","8,177,448","11,087,620",42.4,168,0
,"Human Resources Management
services","984,173,791","448,000,000","536,173,791",45.5,168,0
,Quality Assurance Services,"8,408,000",-,"8,408,000",-,168,0
,StakeholderManagement Services,"920,000",-,"920,000",-,168,0
,Special Needs Education Services,"544,800",-,"544,800",-,168,0
,Subtotal,"1,013,311,659","456,177,448","557,134,211",45.0,168,0
"Early Years Education
(EYE) Services","EYE Teaching and learning
material","13,290,000",,"13,290,000",-,168,0
,"EYE Infrastructure Development
Services","50,000,000","13,601,585","36,398,415",27.2,168,0
,"EYE Feeding and Nutrition
Services",-,-,-,,168,0
,Subtotal,"63,290,000","13,601,585","49,688,415",21.5,168,0
"Human Capital Devel-
opment and Vocational
Training","VTC Training and Learning Mate-
rials Services","3,500,000",-,"3,500,000",-,169,0
,VTC Capitation Services,-,-,-,-,169,0
,Bursary and Scholarship Services,"215,000,000","94,000,000","121,000,000",43.7,169,0
,"Skills Development and Exhibi-
tion Shows Services","1,200,000",-,"1,200,000",-,169,0
,"VTC Infrastructure Development
Services","35,000,000",-,"35,000,000",-,169,0
,Subtotal,"254,700,000","94,000,000","160,700,000",36.9,169,0
,Total,"1,331,301,659","563,779,033","767,522,626",42.3,169,0
Department of Public Health and Medical Services,,,,,,169,0
"Policy planning and
administrative support
service","Policy, Planning and Monitoring
Services","17,140,000",,"17,140,000",-,169,0
,Administrative Support Services,"2,264,067,453","1,221,668,995","1,042,398,458",54.0,169,0
,Subtotal,"2,281,207,453","1,221,668,995","1,059,538,458",53.6,169,0
"Preventive and
promotive health
services",Community health services,"89,620,000","52,491,880","37,128,120",58.6,169,0
,Disease control services,"6,000,000",,"6,000,000",-,169,0
,"Facility Infrastructure improve-
ment services","145,000,000","34,119,331","110,880,669",23.5,169,0
,Subtotal,"240,620,000","86,611,211","154,008,789",36.0,169,0
"Curative and rehabilita-
tive health services",Routine medical health services,"110,890,936","41,510,735","69,380,201",37.4,169,0
,"Medical emergency response
services","4,000,000",,"4,000,000",-,169,0
,"Facility infrastructure improve-
ment services","275,000,000","153,709,812","121,290,188",55.9,169,0
,Subtotal,"389,890,936","195,220,547","194,670,389",50.1,169,0
"Research and develop-
ment service","Research and surveillance
services","2,000,000",,"2,000,000",-,169,0
,Capacity development services,"1,000,000",,"1,000,000",-,169,0
,Subtotal,"3,000,000",-,"3,000,000",-,169,0
,Total,"2,914,718,389","1,503,500,754","1,411,217,635",51.6,169,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,169,0
"General Administration
Services","General administrative support
services","69,308,719","33,536,640","35,772,079",48.4,169,0
,"Operation and Maintenance
Services","10,774,623",-,"10,774,623",-,169,0
,"General Office Infrastructure
Development Services","2,230,000",-,"2,230,000",,169,0
,Subtotal,"82,313,342","33,536,640","48,776,702",40.7,169,0
"Lands and Physical
Planning Services","County Development Planning
Services","10,500,000",-,"10,500,000",-,169,0
,"Land Valuation and Registration
Support Services","25,000,000",-,"25,000,000",-,169,0
,"County Land Acquisition and
Management Services","6,000,000",-,"6,000,000",-,169,0
,Subtotal,"41,500,000",-,"41,500,000",-,169,0
"Housing and Urban De-
velopment Services","Housing Infrastructure Develop-
ment Services","1,500,000",-,"1,500,000",-,169,0
,Settlements Upgrading Services,"1,029,020,992",-,"1,029,020,992",-,169,0
,"Urban Areas Establishment
Services",-,-,-,-,169,0
,Subtotal,"1,030,520,992",-,"1,030,520,992",-,169,0
,Total,"1,154,334,334","33,536,640","1,120,797,694",2.9,169,0
"Department of Trade, Industry, Tourism, Cooperative Development and Marketing",,,,,,170,0
"Trade, Cooperative and
Entrepreneurship Devel-
opment Services","Enterprise development and pro-
motion services","42,000,000",-,"42,000,000",-,170,0
,Cooperative development services,"10,000,000",-,"10,000,000",-,170,0
,"Trade infrastructure and develop-
ment services","109,204,927","68,364,277","40,840,650",62.6,170,0
,Subtotal,"161,204,927","68,364,277","92,840,650",42.4,170,0
"Tourism, Industrial and
Investment Promotion
Services","Value Chain Development
Services","36,000,000",-,"36,000,000",-,170,0
,Tourism promotion and marketing,"5,000,000",-,"5,000,000",-,170,0
,"Investment promotion and facil-
itation","3,000,000",-,"3,000,000",-,170,0
,Subtotal,"44,000,000",-,"44,000,000",-,170,0
"Policy, Planning and
Administrative services","Policy and plans development
services","1,000,000",-,"1,000,000",-,170,0
,"Remuneration and welfare support
services","152,867,754","70,000,000","82,867,754",45.8,170,0
,Administrative Support Services,"11,391,538","375,000","11,016,538",3.3,170,0
,Subtotal,"165,259,292","70,375,000","94,884,292",42.6,170,0
,Total,"370,464,219","138,739,277","231,724,942",37.5,170,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,170,0
"Water Supply and Man-
agement Services",Urban Water Supply Services,-,-,-,-,170,0
,Rural Water Supply Services,"152,500,000","2,594,752","149,905,248",1.7,170,0
,Industrial Water Supply Services,-,-,-,-,170,0
,"Maintenance of Water Supply
Services",-,-,-,-,170,0
,Subtotal,"152,500,000","2,594,752","149,905,248",1.7,170,0
Energy Services,Electrical Power Services,-,-,-,-,170,0
,Solar Power Services,"8,000,000",-,"8,000,000",-,170,0
,Renewable Energy Services,-,-,-,-,170,0
,Subtotal,"8,000,000",-,"8,000,000",-,170,0
"Irrigation Develop-
ment and Management
Services","Irrigation Infrastructure Develop-
ment and Rehabilitation Services",-,-,-,-,170,0
,"Small Holder Community Irriga-
tion Support Services",-,-,-,-,170,0
,Subtotal,-,-,-,-,170,0
"Environmental Man-
agement and Forestry
Development","Pollution and Waste Management
services","21,000,000",-,"21,000,000",-,170,0
,Forestry Development Services,-,-,-,-,170,0
,"Environmental Protection Ser-
vices",-,-,-,-,170,0
,Climate Change Services,-,-,-,-,170,0
,Subtotal,"21,000,000",-,"21,000,000",-,170,0
"Climate Change Man-
agement Services",Climate Change Governance,"11,000,000",-,"11,000,000",-,170,0
,"Climate Change Mitigation, Adap-
tation and Resilience Building","251,984,141","11,000,000","240,984,141",4.4,170,0
,"Climate Resilience Investment
Financing",-,-,-,-,170,0
,Subtotal,"262,984,141","11,000,000","251,984,141",4.2,170,0
"General Administrative
services",Administrative Support Services,"240,284,926","78,000,000","162,284,926",32.5,171,0
,Policy and Planning Services,-,-,-,-,171,0
,Debt Management Services,"17,000,000","7,800,000","9,200,000",45.9,171,0
,Subtotal,"257,284,926","85,800,000","171,484,926",33.3,171,0
,Grand Total,"701,769,067","203,200,096","498,568,971",29.0,171,0
"Governance and Administration, Communication and Devolution",,,,,,171,0
"Governance, Adminis-
tration and Devolution
Services",Governance and Administration,"339,495,656","163,289,385","176,206,271",48.1,171,0
,"Field Coordination and Adminis-
tration Services","29,400,000","18,198,243","11,201,757",61.9,171,0
,"Compliance and Enforcement
Services","10,634,000",-,"10,634,000",-,171,0
,Devolution Support Services,"37,500,000",-,"37,500,000",-,171,0
,Subtotal,"417,029,656","181,487,628","235,542,028",43.5,171,0
"Communication and
Public
Engagement",County Press Services,"12,120,000",-,"12,120,000",-,171,0
,Media Relations,"7,610,890",-,"7,610,890",-,171,0
,County Visibility And Branding,"7,520,000","1,860,754","5,659,246",24.7,171,0
,Subtotal,"27,250,890","1,860,754","25,390,136",6.8,171,0
"Stakeholder, Special
Projects and Disaster
Management",Special Projects Services,"10,320,000",-,"10,320,000",-,171,0
,"Public Participation Coordination
Services","3,600,000",-,"3,600,000",-,171,0
,"Disaster Prevention and Manage-
ment Services","4,800,000",-,"4,800,000",-,171,0
,Subtotal,"18,720,000",-,"18,720,000",-,171,0
,Total,"463,000,546","183,348,382","279,652,164",39.6,171,0
Executive Office of the Governor,,,,,,171,0
"Governance and coordi-
nation services","Executive management and liai-
son services","532,819,306","258,346,170","274,473,136",48.5,171,0
,"Field coordination and administra-
tion services","14,181,600",-,"14,181,600",-,171,0
,Subtotal,"547,000,906","258,346,170","288,654,736",47.2,171,0
,,,,,,171,0
"Strategy and service
delivery improvement
services",Strategy and advisory services,"40,210,555","17,824,733","22,385,822",44.3,171,0
,"Information and Communication
Services","4,050,000","2,000,000","2,050,000",49.4,171,0
,Subtotal,"44,260,555","19,824,733","24,435,822",44.8,171,0
"Public Service Adminis-
tration support services","Human resource management and
development services","19,906,980","1,300,000","18,606,980",6.5,171,0
,Legal Services,"20,978,330","2,593,095","18,385,235",12.4,171,0
,"Performance Management Ser-
vices",-,-,-,-,171,0
,Subtotal,"40,885,310","3,893,095","36,992,215",9.5,171,0
,Total,"632,146,771","282,063,998","350,082,773",44.6,171,0
Kendu Bay Municipal Board,,,,,,171,0
"Planning, Finance and
Administrative Support
Services",Policy and Planning Services,"1,057,052",-,"1,057,052",-,171,0
,"Personnel remuneration and
development services","3,803,640","800,000","3,003,640",21.0,171,0
,"Administration and Support
Services","5,009,582",-,"5,009,582",-,171,0
,Subtotal,"9,870,274","800,000","9,070,274",8.1,171,0
"Public Works and Infra-
structure Improvements
Services","Transport Infrastructure Improve-
ments",-,-,-,-,172,0
,"Public facilities improvement
services","3,000,000",-,"3,000,000",-,172,0
,"Environmental improvement
Services",-,,,,172,0
,Subtotal,"3,000,000",-,"3,000,000",-,172,0
"Housing and Urban De-
velopment Services","Environmental improvement
Services","3,500,000",-,"3,500,000",-,172,0
,Land Use Management,"1,500,000",-,"1,500,000",-,172,0
,Subtotal,"5,000,000",-,"5,000,000",-,172,0
,Total,"17,870,274","800,000","17,070,274",4.5,172,0
,,,,,,172,0
Mbita Municipal Board,,,,,,172,0
"Planning, Finance and
Administrative Support
Services",Policy and Planning Services,"3,803,640",-,"3,803,640",-,172,0
,"Personnel remuneration and
development services","3,731,949","800,000","2,931,949",21.4,172,0
,"Administration and Support
Services","2,334,685",-,"2,334,685",-,172,0
"Public Works and Infra-
structure Improvement
Services",Subtotal,"9,870,274","800,000","9,070,274",8.1,172,0
,"Transport Infrastructure Improve-
ments","3,000,000",-,"3,000,000",-,172,0
,"Public facilities improvement
services",-,-,-,-,172,0
,Subtotal,"3,000,000",-,"3,000,000",-,172,0
"Housing and Urban De-
velopment Services","Environmental Management
Services","5,000,000",-,"5,000,000",-,172,0
,Land Use Management,-,-,-,-,172,0
,Subtotal,"5,000,000",-,"5,000,000",-,172,0
,Total,"17,870,274","800,000","17,070,274",4.5,172,0
Ndhiwa Municipal Board,,,,,,172,0
"Planning, Finance and
Administrative Support
Services",Policy and Planning Services,"3,886,440",-,"3,886,440",-,172,0
,"Personnel remuneration and
development services","3,731,949","600,000","3,131,949",16.1,172,0
,"Administration and Support
Services","2,251,885",-,"2,251,885",-,172,0
,Subtotal,"9,870,274","600,000","9,270,274",6.1,172,0
"Public Works and Infra-
structure Improvement
Services","Transport Infrastructure Improve-
ments","3,000,000",-,"3,000,000",-,172,0
,"Public facilities improvement
services",-,-,-,-,172,0
,Subtotal,"3,000,000",-,"3,000,000",-,172,0
"Housing and Urban De-
velopment Services","Environmental Management
Services","5,000,000",-,"5,000,000",-,172,0
,Land Use Management,-,-,-,-,172,0
,Subtotal,"5,000,000",-,"5,000,000",-,172,0
,Total,"17,870,274","600,000","17,270,274",3.4,172,0
Oyugis Municipal Board,,,,,,172,0
"Planning, Finance and
Administrative Support
Services",Policy and Planning Services,"705,831",-,"705,831",-,172,0
,"Personnel remuneration and
development services","6,556,056","1,300,000","5,256,056",19.8,172,0
,"Administration and Support
Services","5,571,733",-,"5,571,733",-,172,0
