Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31
December, 2024",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
"Agribusiness
Development","Agribusiness Devel-
opment","3,841,984",-,"539,695",,14,-,438,0,
Pending Bills,Pending Bills,-,"729,500",-,"699,200",-,96,438,0,
,"Pending Bills -
2023/24FY","8,407,754","42,545,351","3,046,409",,36,-,438,0,
Donor Funds,Donor Funds,-,"594,424,164",,-,-,-,438,0,
,"Sub- Total- (Agri-
culture)","186,184,013","651,740,515","72,341,491","12,740,700",39,2,438,0,
"General
administration
& support
services","Administrative
services","6,250,562",-,"4,068,300",,65,-,438,0,
"Livestock ex-
tension & sup-
port services",Extension services,"8,250,000",-,"1,897,110",,23,-,438,0,
"Livestock
market devel-
opment","Market support
infrastructure",-,"2,000,000",,"1,697,328",-,85,438,0,
"Livestock
enterprise
development &
value addition","Livestock enterprise
development",-,"1,000,000",,-,-,-,438,0,
Donor Funds,Donor Funds,-,"14,323,680",,-,-,-,438,0,
"Livestock
breeds im-
provement","Livestock multiplica-
tion & upgrading",-,-,,"4,873,822",-,-,438,0,
"Livestock
Information
and Research
support and
Linkages","Livestock research
support and linkages",-,"10,400,000",,-,-,-,438,0,
"Livestock
climate change
adaptation &
mitigation","Livestock-focused
climate risk manage-
ment",-,"1,600,000",,-,-,-,438,0,
,"Sub- Total- (Live-
stock)","14,500,562","29,323,680","5,965,410","6,571,150",41,22,438,0,
"General ad-
ministration","Administrative
services","8,018,362",-,"2,367,998",,30,-,438,0,
"Livestock
disease & pest
control man-
agement","Disease & pest
control","1,000,000","4,000,000","100,000","2,089,920",10,52,438,0,
,Disease surveillance,-,"3,000,000",,-,-,-,438,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,439,0,
"Livestock
breeding &
livestock prod-
ucts improve-
ment","Breeds selection &
artificial insemina-
tion","1,000,000",-,-,,-,-,439,0,
"Veterinary
public health","Meat hygiene ser-
vices","250,000","1,000,000",-,-,-,-,439,0,
"Veterinary
extension &
clinical services",Extension services,"600,000",-,-,,-,-,439,0,
,"Sub- Total- (Veter-
inary)","10,868,362","20,000,000","2,467,998","2,089,920",23,10,439,0,
"General
administrative
services","Administrative
services","18,816,200",-,"4,530,705",,24,-,439,0,
Donor Funds,Donor Funds,-,"13,617,785",,-,-,-,439,0,
"Fisheries poli-
cy & planning","Policy & planning
services","1,000,000",-,"400,000",,40,-,439,0,
"Aquaculture
development","Aquaculture produc-
tion systems",-,"5,600,000",,-,-,-,439,0,
,"Fish breeding &
stockings services",-,"2,000,000",,-,-,-,439,0,
,"Fish feeds & feeding
services",-,"2,400,000",,-,-,-,439,0,
"Fish market-
ing & value
addition","Fish marketing
services",-,"4,300,000",,-,-,-,439,0,
,Licensing services,"300,000",-,-,,-,-,439,0,
"Lakefront
(capture)
fisheries
development &
management","Fisheries co-man-
agement services.","2,234,695",-,"50,000",,2,-,439,0,
"Extension sup-
ports services","Extension services &
support","1,635,000",-,"400,000",,25,-,439,0,
"Fish safety
& quality assur-
ance","Fish inspection
services","120,000",-,-,,-,-,439,0,
,"Residue monitoring
& control services","130,000",-,-,,-,-,439,0,
Blue Economy,"Fish Infrastructure
development",-,"4,000,000",,-,-,-,439,0,
,"Search & rescue
centre services",-,"4,700,000",,"3,733,760",-,79,439,0,
,"Sub- Total- (Fish-
eries)",-,"8,700,000",-,"3,733,760",-,43,439,0,
Sub- Total,,"235,788,832","725,681,980","86,155,604","25,135,530",37,4,439,0,
"Department of Education, Gender Inclusivity, Social Services, Youth and Sports",,,,,,,,439,0,
"General
Administration
& Support
Services","General adminis-
tration","266,481,840",-,"152,863,646",,57,-,439,0,
,"Quality assurance &
standard services","1,006,215",-,-,,-,-,439,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,440,0,
"Early Child-
hood Develop-
ment Educa-
tion Services","Quality assurance &
standard services","8,500,000",-,"500,000",,6,-,440,0,
,"ECDE co-curricu-
lum development","2,000,000",-,"1,990,000",,100,-,440,0,
,"School feeding pro-
gramme.","1,250,000",-,-,,-,-,440,0,
,"Community ECD
services",-,"43,048,701",,-,-,-,440,0,
"Education sup-
port services",Bursary/scholarship,"145,000,000",-,-,,-,-,440,0,
"Child Care
Services","Child protection
responsive services
& caregiving support
services","1,000,000",-,"200,000",,20,-,440,0,
"Youth de-
velopment &
empowerment","Technical, voca-
tional, education &
training","16,000,000","28,550,000",-,"1,999,998",-,7,440,0,
,"Youth empowerment
program","5,000,000",-,-,,-,-,440,0,
,"Youth enterprise
development","1,000,000",-,-,,-,-,440,0,
Pending Bills,"Pending Bills -
2023/24FY","12,235,192","73,445,308","399,500","5,844,416",3,8,440,0,
"Sports Devel-
opment","Sports Development
Services","12,000,000","12,000,000","2,995,000",-,25,-,440,0,
,"Talent development
Services","3,000,000",-,-,,-,-,440,0,
,"Ward Sports Activ-
ities (Community
Projects)","32,000,000",-,"26,101,000",,82,-,440,0,
,"Sub- Total- (Edu-
cation)","506,473,247","157,044,009","185,049,146","7,844,414",37,5,440,0,
"Gender
Development
& Equality
Services","Women Empower-
ment","8,500,000",-,"4,691,200",,55,-,440,0,
,"Gender-responsive
education support","11,250,000",-,"300,000",,3,-,440,0,
,"Adolescent Girls
& women, water,
sanitation, & hygiene
support services","3,300,000",-,"1,508,050",,46,-,440,0,
,"People with Disabil-
ity (PWDs) Empow-
erment","3,000,000",-,"875,500",,29,-,440,0,
,"Culture & heritage
conservation","10,950,000",-,-,,-,-,440,0,
,"Sub- Total- (Gender
Inclusivity)","37,000,000",-,"7,374,750",-,20,-,440,0,
Sub- Total,,"543,473,247","157,044,009","192,423,896","7,844,414",35,5,440,0,
Department of Medical Services,,,,,,,,440,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,441,0,
"Planning &
Administra-
tive Support
Services","Policy formulation,
planning, Monitoring
& Evaluation, Re-
search, & Learning.","3,800,000",-,-,,-,-,441,0,
,"Administration &
support services","37,300,317",-,"10,418,300",,28,-,441,0,
,"Human Resource
Management &
Development","1,231,553,329",-,"685,962,886",,56,-,441,0,
,"Infrastructure &
Health Facility Man-
agement",-,"92,000,000",,"73,368,354",-,80,441,0,
,"Health Financing
& Universal Health
Coverage (UHC)
coordination","12,460,000",-,"500,000",,4,-,441,0,
,"Standards & Quality
Assurance","1,000,000",-,"200,400",,20,-,441,0,
"Preventive
& Promotive
Health Services","Environmental
health services","1,200,000",-,-,,-,-,441,0,
,"Human Nutrition &
Dietetics services","1,700,000",-,-,,-,-,441,0,
,"HIV/AIDS manage-
ment","2,000,000",-,"252,000",,13,-,441,0,
,TB control,"1,200,000",-,-,,-,-,441,0,
,Malaria Control,"1,400,000",-,-,,-,-,441,0,
,"Non-Communicable
Diseases (NCDs","1,400,000",-,-,,-,-,441,0,
,"Disease surveillance/
Emergency prepared-
ness","950,000",-,-,,-,-,441,0,
,"Maternal & Re-
productive Health
services","3,160,000",-,"700,000",,22,-,441,0,
,"Neonatal, Child,
Adolescent & Youth
health services","1,800,000",-,-,,-,-,441,0,
,"Expanded Program
for Immunization
(Immunization","3,120,000",-,"400,000",,13,-,441,0,
,"Gender-based vio-
lence health services","1,200,000",-,"300,000",,25,-,441,0,
Donor Funds,Donor Funds,-,"124,723,404",,-,-,-,441,0,
Pending Bills,"Pending Bills -
2023/24FY","142,992,436","125,034,912","42,661,355","3,579,702",30,3,441,0,
"Curative,
Rehabilitative
& Referral
Services","Hospital-Level
Services",-,"5,000,000",,-,-,-,441,0,
,"Ambulance & Refer-
ral Services","3,200,000",-,"530,591",,17,-,441,0,
,"Health Products &
Technologies","53,190,996",-,"19,681,271",,37,-,441,0,
,"Diagnostic & Reha-
bilitation Services","7,580,000",-,"4,598,920",,61,-,441,0,
,"Health Services
Management Fund","136,000,000","4,000,000",-,-,-,-,441,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,442,0,
Sub- Total,,"1,648,207,078","350,758,316","766,205,723","76,948,056",47,22,442,0,
Department of Public Health & Sanitation,,,,,,,,442,0,
"Planning &
Administra-
tive Support
Services","Policy formulation,
planning, Monitoring
& evaluation, Re-
search, & learning.","14,669,591",-,"2,812,000",,19,-,442,0,
,"Administration &
support services","44,883,200",-,"14,708,451",,33,-,442,0,
,"Human Resource
Management &
Development","25,432,231",-,"8,185,951",,32,-,442,0,
,"Infrastructure &
Health Facility Man-
agement",-,"106,093,053",,"11,130,200",-,11,442,0,
,"Health Financing
& Universal Health
Coverage (UHC)
coordination","10,000,000",-,-,,-,-,442,0,
,"Standards & Quality
Assurance","550,000",-,-,,-,-,442,0,
,"Community health
infrastructure ser-
vices (CHVs)","30,915,754",-,"11,929,296",,39,-,442,0,
"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services","16,850,000",-,"621,400",,4,-,442,0,
,"HIV/AIDS manage-
ment","19,170,000",-,-,,-,-,442,0,
,TB control,"18,600,000",-,-,,-,-,442,0,
,Malaria Control,"14,228,000",-,"330,000",,2,-,442,0,
,"Non-Communicable
Diseases (NCDs","10,630,000",-,-,,-,-,442,0,
,"Disease surveillance/
Emergency prepared-
ness","11,950,000",-,-,,-,-,442,0,
,"Health promotion &
education","2,800,000",-,-,,-,-,442,0,
,"Maternal & Re-
productive Health
services","13,500,000",-,"500,000",,4,-,442,0,
,"Neonatal, Child,
Adolescent & Youth
health services","4,000,000",-,"450,000",,11,-,442,0,
,"Expanded Program
for Immunization
(Immunization)","12,270,000",-,-,,-,,442,0,
,"Gender-ased vio-
lence health services","900,000",-,"150,000",,17,-,442,0,
,"Neglected Tropical
Diseases services.","950,000",-,"100,000",,11,-,442,0,
,"Environmental
Health & Sanitation
Services","1,000,000",-,"200,000",,20,-,442,0,
,County co-funding,"12,000,000",-,-,,-,-,442,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,443,0,
"Curative,
Rehabilitative
& Referral
Services","Health Products &
Technologies","88,900,000",-,"30,694,509",,35,-,443,0,
,"Diagnostic & Reha-
bilitation Services","1,500,000",-,-,,-,-,443,0,
Donor Funds,DANIDA,"25,273,568",-,-,,-,-,443,0,
Pending Bills,"Pending Bills -
2023/24FY","62,609,020","24,939,715","16,370,470","6,193,683",26,25,443,0,
Sub- Total,,"443,581,364","131,032,768","87,052,077","17,323,883",20,13,443,0,
"Department of Environment, Natural Resources, Climate Change & Disaster Management",,,,,,,,443,0,
"General
administration
& support
services","General adminis-
tration","54,060,003",-,"29,717,758",,55,-,443,0,
"Mazingira
Youth Pro-
gramme","Mazingira Youth
Programme","42,200,000",-,"7,587,400",,18,-,443,0,
"Environment
Management &
Protection","Solid Waste Manage-
ment Services","17,011,000",-,"14,222,512",,84,-,443,0,
Donor Funds,Donor Funds,-,"592,933,186",,"331,427,479",-,56,443,0,
"Community
Projects",Community Projects,-,"1,000,000",,-,-,-,443,0,
"Climate
Change
Adaptation &
Mitigation",Climate Change,"16,500,000",-,"12,456,670",,76,-,443,0,
,"Climate Information
Services (CIS)","500,000",-,-,,-,-,443,0,
,"Climate Change
legal frameworks","4,500,000",,-,,-,-,443,0,
,"Establish Grievance
Redress Structures","10,700,000",,-,,-,-,443,0,
,"Strengthening Re-
source Management
Units (CFAs and
WRUAS)","5,000,000",,-,,-,-,443,0,
,"Climate Change
Awareness Cam-
paigns","4,500,000",,-,,-,-,443,0,
,"Climate Change
Governance","8,800,000",,-,,-,-,443,0,
,"Facilitation of
Climate change
Operations","1,320,000",,-,,-,-,443,0,
,"Monitoring and
Evaluation of FLLO-
CA Projects","5,900,000",,"1,529,320",,26,-,443,0,
,"FLLOCA PIU con-
sultative meetings","4,700,000",,-,,-,-,443,0,
,"Support climate
change learning
events and exhibi-
tions",-,,-,,-,-,443,0,
Pending Bills,Pending Bills,"45,380,782","1,999,800","13,020,370",,29,-,443,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,444,0,
"Natural
Resources
Management &
Forestry Devel-
opment","Forestry develop-
ment","5,300,000",-,"700,000",,13,-,444,0,
,"Natural Resources
Management & Con-
servation","3,200,000",-,"200,000",,6,-,444,0,
,"Artisanal mining &
quarry services","500,000",-,-,,-,-,444,0,
"Disaster Man-
agement and
Response","Disaster Manage-
ment","28,900,000",-,"6,579,500",,23,-,444,0,
,Fire Rescue Services,"2,800,000",-,"299,950",,11,-,444,0,
Sub- Total,,"261,771,785","595,932,986","86,313,480","331,427,479",33,56,444,0,
Department of Finance and Economic Planning,,,,,,,,444,0,
"General
administration
& support
services","Administrative
services","550,750,317",-,"121,947,752",,22,-,444,0,
"Finance &
Accounting
services.",Accounting services,"157,623,087",-,"116,005,546",,74,-,444,0,
,"Pending Bills -
2023/24FY","81,053,610","8,633,040","47,605,937",-,59,-,444,0,
,"Sub- Total- (Ac-
counting Services)","789,427,014","8,633,040","285,559,235",-,36,-,444,0,
"Resource
Mobilisation
services","Revenue mobilisa-
tion services","40,185,000",-,"14,860,917",,37,-,444,0,
,"Revenue Automa-
tion Services","34,000,000",-,-,,-,-,444,0,
,"Revenue board
services","17,115,000",-,-,,-,-,444,0,
Pending Bills,Pending Bills,"15,000,000",-,-,,-,-,444,0,
,"Sub- Total- (Reve-
nue)","106,300,000",-,"14,860,917",-,14,-,444,0,
"General
administration
& support
services","Administrative
services","7,520,000",-,"5,325,500",,71,-,444,0,
"Supply chain
management
services","Supply chain man-
agement Services","4,419,295","16,500,000","2,732,500","11,632,040",62,71,444,0,
,"Sub- Total- (Supply
Chain Management)","11,939,295","16,500,000","8,058,000","11,632,040",68,71,444,0,
Audit services,Audit services,"36,618,326",-,"26,569,910",,73,-,444,0,
,"Internal Audit Com-
mittee","4,600,000",-,-,,-,-,444,0,
,Sub- Total- (Audit),"41,218,326",-,"26,569,910",-,65,-,444,0,
"General
administration
& support
services","Administrative
services","42,156,562","3,000,000","19,378,105",-,46,-,444,0,
"Economic
Planning Ser-
vices","Policy plans & for-
mulation","18,000,000",-,"14,430,895",,80,-,444,0,
Pending Bills,Pending Bills,"3,500,000",-,-,,-,-,444,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,445,0,
"Budgeting
Services","Budget coordination
& management","63,496,061",-,"48,737,135",,77,-,445,0,
"County Statis-
tical Informa-
tion Services","County statistical
information system","8,500,000",-,"3,500,000",,41,-,445,0,
"County Budget
& Economic
Forum Services","County budget &
economic forum
services","7,000,000",-,"3,000,000",,43,-,445,0,
,"Sub- Total- (Eco-
nomic Planning)","142,652,623","3,000,000","89,046,135",-,62,-,445,0,
Sub- Total,,"1,091,537,258","28,133,040","424,094,197","11,632,040",39,41,445,0,
"Department of Lands, Physical Planning, Housing & Urban Development",,,,,,,,445,0,
"Administrative
Services","General administra-
tive services","73,773,465",-,"27,926,436",,38,-,445,0,
"Land, Rent &
Rates Services","Rents & rates ser-
vices",-,"15,000,000",,"5,754,598",-,38,445,0,
Pending Bills,"Pending Bills -
2023/24FY","13,929,250","25,308,575","179,000",,1,-,445,0,
"Land Survey
Services","Land Survey Ser-
vices",-,"5,000,000",,"4,300,000",-,86,445,0,
,Sub- Total- (Lands),"87,702,715","45,308,575","28,105,436","10,054,598",32,22,445,0,
"Administrative
services","General administra-
tive services","15,134,756",-,"5,636,648",,37,-,445,0,
"Physical Plan-
ning Services","Physical Plan-
ning Services
(Prep of Macalder
LPLUDP-2024-2034)","5,800,000",-,"2,237,550",,39,-,445,0,
,"Preparation of
Special Area Plan-
Phase I",-,"8,000,000",,-,-,-,445,0,
,"Preparation of town
plans",-,"10,000,000",,-,-,-,445,0,
,"Completion of GIS
lab",-,"4,000,000",,-,-,-,445,0,
,"Maintenance and
civil works",-,"4,000,000",,-,-,-,445,0,
,"Physical Planning
Services (Estab-
lishment of County
Physical and Land
Use Planning Con-
sultative Forum and
Liaison Committee)","1,308,000",-,"250,000",,19,-,445,0,
"Donor Fund-
ing",Donor Funding,-,"35,000,000",,-,-,-,445,0,
"Urban
Development
Services","Urban Development
Services","1,557,244",-,-,,-,-,445,0,
,"Sub- Total- (Physi-
cal Planning)","23,800,000","61,000,000","8,124,198",-,34,-,445,0,
Sub- Total,,"111,502,715","106,308,575","36,229,634","10,054,598",33,10,445,0,
Rongo Municipality,,,,,,,,445,0,
"Administrative
and Support
Services","Planning, Admin-
istration, & gover-
nance services","13,280,000",-,"3,789,994",,29,-,445,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,446,0,
,Board Activities,"6,720,000",-,"3,465,800",,52,-,446,0,
Pending Bills,"Pending Bills -
2023/24FY","1,619,949","3,999,271","1,418,999",-,88,-,446,0,
"Infrastructure
Development","Infrastructure devel-
opment",-,"22,800,729",,"4,516,634",-,20,446,0,
Sub- Total,,"21,619,949","26,800,000","8,674,793","4,516,634",40,17,446,0,
Kehancha Municipality,,,,,,,,446,0,
"Administrative
and Support
Services","Planning, Admin-
istration, & gover-
nance services","14,180,000",-,"4,863,000",,34,-,446,0,
,Board Activities,"6,720,000",-,-,,-,-,446,0,
Pending Bills,"Pending Bills -
2023/24FY","4,229,118","4,391,020",-,-,-,-,446,0,
"Infrastructure
Development","Infrastructure devel-
opment",-,"22,408,980",,"4,391,020",-,20,446,0,
Sub- Total,,"25,129,118","26,800,000","4,863,000","4,391,020",19,16,446,0,
Migori Municipality,,,,,,,,446,0,
"Administrative
and Support
Services","Planning, Admin-
istration, & gover-
nance services","13,280,000",-,"3,466,419",,26,-,446,0,
,Board Activities,"6,720,000",-,"3,281,500",,49,-,446,0,
Pending Bills,"Pending Bills -
2023/24","1,319,686",-,"179,690",,14,-,446,0,
"Infrastructure
Development","Infrastructure devel-
opment",-,"62,861,322",,"1,488,280",-,2,446,0,
Sub- Total,,"21,319,686","62,861,322","6,927,609","1,488,280",33,2,446,0,
Awendo Municipality,,,,,,,,446,0,
"Administrative
and Support
Services","Planning, Admin-
istration, & gover-
nance services","13,280,000",-,"1,966,455",,15,-,446,0,
,Board Activities,"6,720,000",-,"3,373,750",,50,-,446,0,
Pending Bills,"Pending Bills -
2023/24FY","2,002,986","10,598,845","1,029,939","10,598,844",51,100,446,0,
"Infrastructure
Development","Infrastructure devel-
opment",-,"24,800,000",,"2,495,044",-,10,446,0,
Sub- Total,,"22,002,986","35,398,845","6,370,144","13,093,888",29,37,446,0,
"Department of Roads, Transport, Public Works & Infrastructural Development",,,,,,,,446,0,
"General
administration
& support
services","Administrative
services","111,215,685",-,"36,504,800",,33,-,446,0,
"Road De-
velopment,
Maintenance &
Management","Community access
roads",-,"267,197,667",,"8,697,739",-,3,446,0,
,Major roads,-,"450,000,000",,-,-,-,446,0,
,"Bridges & culvert
services",-,"50,000,000",,"37,604,829",-,75,446,0,
,"Road Maintenance
Fuel Roads",-,"100,681,918",,-,-,-,446,0,
Pending Bills,"Pending Bills -
2023/24FY","11,061,260","53,902,666","10,028,420",-,91,-,446,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,447,0,
"Transport
Infrastructure
Management
Services","Transport manage-
ment services",-,"26,000,000",,-,-,-,447,0,
,Sub- Total- (Roads),"122,276,945","947,782,251","46,533,220","46,302,568",38,5,447,0,
"General
administration
& support
services","Administrative
services","17,779,182",-,"2,436,750",,14,-,447,0,
"Public works
services","Architectural Ser-
vices","2,240,000",-,"428,300",,19,-,447,0,
,"Quantity Surveyor’s
Services","1,660,000",-,"400,000",,24,-,447,0,
,"Mechanical & Elec-
trical Engineering
services","1,340,000",-,"200,000",,15,-,447,0,
,"Structural engineer-
ing services","1,916,000",-,"500,000",,26,-,447,0,
,"Mechanisation
service","720,000",-,-,,-,-,447,0,
,"Sub- Total- (Public
Works)","25,655,182",-,"3,965,050",-,16,-,447,0,
Sub- Total,,"147,932,127","947,782,251","50,498,270","46,302,568",34,5,447,0,
"Department of Trade, Tourism, Industry, Market & Cooperative Development",,,,,,,,447,0,
"Policy,
Planning &
administra-
tive support
services","Administrative
support services","87,604,394",-,"30,522,699",-,35,-,447,0,
"Trade
Promotion,
Development
& Support to
SMEs","Trade development
& promotion of SME
services","1,000,000",-,"500,000",-,50,-,447,0,
,"Trade infrastructure
development services",-,"52,132,976",,"21,417,033",-,41,447,0,
,"Trade regulation &
information manage-
ment systems","1,500,000",-,"300,000",-,20,-,447,0,
,Community projects,-,-,-,-,-,-,447,0,
