Programme,Sub-Programme,"Revised Gross Approved
Estimates (Kshs.Million",col_3,"Actual Expenditure
) (Kshs.Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index,"Revised Gross Approved
Estimates (Kshs.Million)","Actual Expenditure
(Kshs.Million)"
"Public Works and Infra-
structure",Roads,,769.08,,19.50,35,3,199,0,12.80,4.52
,Energy,,25.00,,-,47,-,199,0,7.59,3.54
,Fire Fighter,,-,,,-,-,199,0,6.20,-
,Transport,,-,,-,-,-,199,0,3.27,-
,Public Works,,150.00,,-,166,-,199,0,4.40,7.30
,Sub Total,,944.08,,19.50,46,2,199,0,198.61,90.43
"Department of Public Service, Administration and Citizen Participation",,,,,,,,199,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,29,-,199,0,967.01,279.21
"Public Service and Admin-
istration",County Administration,,-,,-,39,-,199,0,7.95,3.10
,County Inspectorate,,-,,-,39,-,199,0,5.71,2.21
"Human Resource Manage-
ment and Development",Human Resource,,-,,-,3,-,199,0,191.69,6.52
Citizen Participation,Citizen Participation,,-,,-,21,-,200,0,13.83,2.93
,Social Protection,,-,,-,56,-,200,0,3.09,1.72
,Disability Mainstreaming,,-,,-,-,-,200,0,22.08,-
,"Control of Alcohol and Sub-
stance Abuse",,-,,-,-,-,200,0,12.05,-
,County Organization,,-,,-,-,-,200,0,2.33,-
,Sub Total,,-,,-,24,-,200,0,"1,225.74",295.69
Department of County Treasury,,,,,,,,200,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,857.98,,352.75,45,41,200,0,834.83,373.04
Public Finance Management,"Budget Coordination and
Management",,-,,-,101,-,200,0,10.30,10.37
,Accounting Service,,-,,-,38,-,200,0,8.71,3.31
,Supply Chain Management,,-,,-,25,-,200,0,28.20,7.13
,Internal Audit,,-,,-,33,-,200,0,7.75,2.52
,"Revenue Collection/ Re-
source Mobilisation",,-,,-,42,-,200,0,14.53,6.03
"Economy Policy Coordina-
tion",Economic Planning,,-,,-,-,-,200,0,8.50,-
,Monitoring and Evaluation,,-,,-,-,-,200,0,10.23,-
,Sub Total,,857.98,,352.75,44,41,200,0,923.05,402.42
"Department of Lands, Physical Planning and Urban Development",,,,,,,,200,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,47,-,200,0,90.39,42.63
Land Policy and Planning,Physical Planning,,408.43,,-,41,-,200,0,5.81,2.38
,Lands Survey and Mapping,,-,,-,29,-,200,0,5.35,1.53
,Lands Administration,,-,,-,14,-,200,0,5.39,0.74
"Urban Development and
Management",Urban Development,,-,,-,4,-,200,0,46.18,1.60
,Housing,,-,,-,6,-,200,0,6.01,0.34
,Sub Total,,408.43,,-,31,-,200,0,159.12,49.22
County Assembly,,,,,,,,200,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,205.00,,68.21,23,33,200,0,632.54,148.30
"Legislation, Representation
and Oversight","Legislation, Representation
and Oversight",,-,,-,80,-,200,0,316.23,254.15
,Sub Total,,205.00,,68.21,42,33,200,0,948.77,402.44
"Department of Education, Youth and Sport",,,,,,,,200,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,32.00,,-,45,-,200,0,775.39,348.55
"Early Childhood Develop-
ment",Early Childhood,,99.70,,-,4,-,200,0,44.93,1.62
Technical and Vocational,"Technical and Vocational
Training",,-,,-,21,-,200,0,4.61,0.96
Youth and Sports,"Sport Training and Compe-
tition",,-,,-,20,-,200,0,35.49,7.05
,Sub Total,,131.70,,-,42,-,200,0,860.42,358.18
"Department of Gender, Co-
operative, Culture, Tourism
and Wildlife",,,,,,,,200,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,36,-,201,0,101.21,36.22
Gender Mainstreaming,Gender Mainstreaming,,-,,-,27,-,201,0,15.79,4.27
Arts and Culture,Cultural Heritage,,-,,-,-,-,201,0,6.18,-
,Cultural Activities,,-,,,-,-,201,0,3.70,-
Local Tourism and Wildlife,"Local Tourism Promotion
and Wildlife Management",,-,,-,29,-,201,0,57.51,16.58
Cooperative Development,Cooperative Development,,-,,-,28,-,201,0,14.70,4.07
,Sub Total,,-,,-,31,-,201,0,199.09,61.15
"Department of Agriculture, Livestock, Veterinary Service and Fisheries",,,,,,,,201,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,44,-,201,0,198.98,88.09
Crop Production,Crop Development,,-,,-,41,-,201,0,7.48,3.08
,"Agricultural Mechanization
Services",,-,,,-,-,201,0,7.22,-
,Agricultural Training Centre,,-,,-,3,-,201,0,5.55,0.18
,Plant Disease Control,,-,,-,-,-,201,0,3.85,-
,"Agri-Business and Market
Development",,-,,-,22,-,201,0,3.94,0.86
Irrigation,Irrigation Service,,-,,-,26,-,201,0,12.26,3.16
Livestock Resources,Animal Husbandry,,10.00,,-,26,-,201,0,7.28,1.89
,Livestock Market,,181.52,,5.00,-,3,201,0,0.43,-
,Veterinary Service,,-,,-,26,-,201,0,2.91,0.75
,Demostration Farm Kajiado,,,,,31,-,201,0,3.12,0.97
,Animal Disease Control,,17.00,,-,-,-,201,0,38.98,-
Fisheries,Fisheries,,33.74,,-,37,-,201,0,3.09,1.13
,Sub Total,,242.26,,5.00,34,2,201,0,295.07,100.11
"Department of Trade, Investment and Enterprise Development",,,,,,,,201,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,47,-,201,0,178.66,83.21
Trade Development,Trade Development,,512.00,,-,8,-,201,0,41.75,3.48
,Enterprise Development,,-,,-,-,-,201,0,1.75,-
"Cooperative Enterprise
Development",Cooperative Development,,-,,-,-,-,201,0,-,-
,Sub Total,,512.00,,-,39,-,201,0,222.16,86.70
Department of Kajiado Municipality,,,,,,,,201,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,46,-,201,0,59.48,27.34
Urban Infrastructure,Urban Infrastructure,,76.00,,-,-,-,201,0,4.54,-
"Environmental Management
and Public Health","Environmental Management
and Public Health",,-,,-,-,-,201,0,6.37,-
,Sub Total,,76.00,,-,39,-,201,0,70.40,27.34
Department of Ngong Municipality,,,,,,,,201,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,46,-,201,0,85.38,39.42
Urban Infrastructure,Urban Infrastructure,,225.00,,-,-,-,201,0,3.55,-
