Programme,Sub-Programme,"Approved Budget FY
2024/25 (Kshs.Million)",col_3,"Actual Payments First
Half FY 2024/25 (Kshs.
Million)",col_5,% Absorption,col_7,page_number,table_index
Mobility and Works,,,,,,,,491,0
"General Administration,
Planning, And Support
Services","General Administration,
Planning, And Support
Services","1,167.60",-,344.47,-,30,-,491,0
Works,"Road and stormwater
drainage",5.56,"1,449.95",-,187.14,-,13,491,0
,"Electrical engineering
services",4.06,100.00,-,-,-,-,491,0
,Building works services,3.80,8.00,-,-,-,-,491,0
Mobility,"Transportation AND
Traffic Management
Services",395.13,488.74,151.22,119.07,38,24,491,0
,"Mechanical Engineering
Services (Automotive
section)",1.02,134.35,-,-,-,-,491,0
Talent Skills Devt & Care,,,,,,,,491,0
"General administration,
planning, and support
services","General Administration
& Support Services","1,781.86",-,453.51,-,26,-,491,0
Education services,"Early Childhood Devel-
opment Centers",100.00,510.00,-,-,-,-,491,0
,"Technical and Vocational
Training",1.51,58.93,-,-,-,-,491,0
Social Services,"General Administration
& Support Services",178.95,-,97.10,-,54,-,491,0
,"Gender and Community
Empowerment",0.81,-,-,-,-,-,491,0
,"Social welfare and care
for the Aged",2.32,-,-,-,-,-,491,0
,"Rescue and Rehabilita-
tion of Children Services",21.83,55.00,-,-,-,-,491,0
"Youth, Talent & Sports","General Administration
& Support Services",13.52,-,7.41,-,55,-,491,0
,"Youth Empowerment and
Promotion",2.12,-,0.21,-,10,-,491,0
,Recreational Services,1.43,120.00,-,-,-,-,491,0
,"Development and pro-
motion of sports",6.30,825.50,1.28,122.67,20,15,491,0
,"Promotion of Library and
Information Services",0.71,5.00,-,-,-,-,491,0
Business & Hustler Opportunities,,,,,,,,491,0
"General Administration
Planning and Support
Services","Business & Hustler Op-
portunities Headquarters",522.94,-,288.23,-,55,-,491,0
Co-operative Development,"Co-operative Develop-
ment",6.50,-,-,-,-,-,491,0
"Co-operative Audit Ser-
vices",Co-operative Audit,4.06,-,-,-,-,-,491,0
