"Pro-
gramme",Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expen-
diture (Kshs.)",Absorption Rate (%,col_6,col_7,page_number,table_index
"Human
Capital
Manage-
ment and
Devel-
opment
Services","Human Resource Manage-
ment Services","13,000,000",-,"2,414,218",-,18.6,-,344,0
"Devolved
Units
Admin-
istration
Services","Devolved Units Adminis-
tration Services","13,600,000","55,000,000","1,136,091",-,8.4,-,344,0
"Civic
Education
and Public
Participa-
tion",Civic Education services,"4,500,000",-,-,-,-,-,344,0
"Public
Communi-
cation and
Records
Man-
agement
Services","Record management
programme","2,800,000",-,-,-,-,-,344,0
,Public Communications,"7,600,000",-,-,-,-,-,344,0
"Public Ser-
vice Board
services","Public Service Board
services","1,400,340",-,"205,000",-,14.6,-,345,0
"National
values and
principles
of gover-
nance","National values and prin-
ciples of governance","600,000",-,"100,000",-,16.7,-,345,0
"Informa-
tion and
records
manage-
ment","Records management
services","200,000",-,-,-,-,-,345,0
,Sub- Total,"714,438,274","55,000,000","139,190,020",-,19.5,-,345,0
"Agriculture, Livestock, Veterinary Services, Fisheries and Blue Economy",,,,,,,,345,0
"General
Adminis-
tration &
Support
Services","Administrative services
(Agriculture)","167,345,914",-,"26,989,717",-,16.1,-,345,0
,"Administrative services
(Livestock)","11,657,562",-,"2,400,000",-,20.6,-,345,0
,"Administrative ser-
vices(vet)","8,128,562",-,"775,000",-,9.5,-,345,0
,"Administrative ser-
vices(fisheries)","15,727,400",-,"2,417,000",-,15.4,-,345,0
"Agricultural
Policy &
Planning","Policies & Legal Frame-
work","1,967,000",-,"370,000",-,18.8,-,345,0
"Agricultural
Extension
services","Field extension services
and support","7,951,209",-,"1,358,000",-,17.1,-,345,0
"Agribusi-
ness Devel-
opment",Agribusiness Development,"2,227,904",-,-,-,-,-,345,0
"Donor
Funds",Donor Funds,-,"457,684,673",-,-,-,-,345,0
"Crop De-
velopment
and Man-
agement","Crop Development and
Management",-,"38,592,250",-,-,-,-,345,0
,Emerging crop enterprises,-,"3,540,000",-,-,-,-,345,0
"Cli-
mate-smart
agriculture","Sorghum & Millet pro-
motion",-,"1,950,000",-,-,-,-,345,0
"Livestock
extension
& support
services",Extension services,"4,366,000",-,"80,000",-,1.8,-,345,0
"Livestock
breed-
ing and
livestock
products
improve-
ment","Breeds selection and artifi-
cial insemination","2,224,800","11,235,000","150,000","1,575,000",6.7,14.0,345,0
"Livestock
market de-
velopment","Market support infrastruc-
ture",-,"700,000",-,-,-,-,345,0
"Livestock
Climate
Change
Adaptation
and Mitiga-
tion","Livestock-focused climate
risk management",-,"3,600,000",-,-,-,-,345,0
"Livestock
disease &
pest control
manage-
ment",Disease & pest control,-,"12,500,199",-,-,-,-,346,0
"Market
support
infrastruc-
ture","Market support infrastruc-
ture",-,"975,000",-,-,-,-,346,0
"Veterinary
public
health",Meat hygiene services,"915,000",-,"150,000",-,16.4,-,346,0
"Veterinary
extension
& clinical
services",Extension services,"600,000",-,"100,000",-,16.7,-,346,0
"Fisheries
policy &
planning",Policy & planning services,"1,500,000",-,"500,000",-,33.3,-,346,0
,Licensing services,"300,000",-,"50,000",-,16.7,-,346,0
"Lakefront
(capture)
fisheries de-
velopment
& manage-
ment","Fisheries co-management
services.","1,884,695",-,"710,000",-,37.7,-,346,0
"Extension
supports
services","Extension supports
services","1,602,800",-,"819,600",-,51.1,-,346,0
"Fisheries
& Blue
Economy",Fisheries & Blue Economy,-,"40,900,000",-,-,-,-,346,0
"Fish safety
& quality
assurance",Fish inspection services,"208,000",-,"50,000",-,-,-,346,0
,"Residue monitoring &
control services","328,000",-,"255,000",-,77.7,-,346,0
,Sub- Total,"228,934,846","571,677,122","37,174,317","1,575,000",16.2,0.3,346,0
"Department of Education, Gender inclusivity, Social services, Youth and Sports",,,,,,,,346,0
"General
Adminis-
tration &
Support
Services",General administration,"302,013,054",-,"56,059,492",-,18.6,-,346,0
,"Quality assurance & stan-
dard services","6,406,215",-,"1,374,000",-,21.4,-,346,0
"Early
Childhood
Devel-
opment
Education
Services","Quality assurance & stan-
dard services","19,000,000",-,-,-,-,-,346,0
,"ECDE co-curriculum
development","4,000,000",-,"949,400",-,23.7,-,346,0
,"School feeding pro-
gramme.","2,250,000",-,-,-,-,-,346,0
,Community ECD services,,"25,400,000",-,-,-,-,346,0
"Education
support
services",Bursary/scholarship,"146,000,000",-,"1,500,000",-,1.0,-,346,0
"Child Care
Services","Child protection respon-
sive services & caregiving
support service","4,000,000",-,"1,120,500",-,28.0,-,346,0
"Youth de-
velopment
& empow-
erment","Technical, vocational,
education & training","20,000,000","79,000,000",-,"16,805,086",-,-,347,0
,"Youth empowerment
program","12,000,000",-,"511,200",-,4.3,-,347,0
,"Youth enterprise develop-
ment","5,000,000",-,"1,300,000",-,26.0,-,347,0
"Sports De-
velopment","Sports Development
Services","29,000,000","10,000,000","600,000",-,2.1,-,347,0
"Gender De-
velopment
& Equality
Services",Women Empowerment,"5,570,000",-,"1,010,225",-,18.1,-,347,0
,"Gender responsive educa-
tion support","2,400,000",-,"466,650",-,19.4,-,347,0
,"Adolescent Girls & wom-
en water, sanitation, &
hygiene support services","1,800,000",-,-,-,-,-,347,0
,"People with Disability
(PWDs) Empowerment","4,500,000",-,"695,900",-,15.5,-,347,0
"Culture
Devel-
opment
Promotion
& Arts","Culture & heritage con-
servation","3,000,000",-,"235,052",-,7.8,-,347,0
,Sub- Total,"566,939,269","114,400,000","65,822,419","16,805,086",11.6,14.7,347,0
Department of Medical Services,,,,,,,,347,0
"Planning &
Admin-
istrative
Support
Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","18,890,000",-,"874,600",-,4.6,-,347,0
,"Administration & support
services","65,424,000",-,"8,118,000",-,12.4,-,347,0
,"Human Resource Manage-
ment & Development",-,-,"252,380,999",-,19.7,-,347,0
,"Infrastructure & Health
Facility Management","5,000,000","269,000,000",-,"4,896,673",-,1.8,347,0
,"Health Financing &
Universal Health Coverage
(UHC) coordination","4,340,000",-,"503,400",-,11.6,-,347,0
,"Standards & Quality
Assurance","1,800,000",-,"400,000",-,22.2,-,347,0
"Preventive
& Promo-
tive Health
Services","Environmental health
services","1,600,000",-,"250,000",-,15.6,-,347,0
,"Human Nutrition &
Dietetics services","3,700,000",-,"100,000",-,2.7,-,347,0
,HIV/AIDS management,"1,400,000",-,"200,000",-,14.3,-,347,0
,TB control,"1,700,000",-,-,-,-,-,347,0
,Malaria Control,"2,000,000",-,-,-,-,-,347,0
,"Non-Communicable
Diseases (NCDs","4,400,000","4,000,000",-,-,-,-,347,0
,"Disease surveillance/
Emergency preparedness","1,500,000",-,-,-,-,-,347,0
,"Maternal & Reproductive
Health services","5,660,000",-,-,-,-,-,347,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","2,700,000",-,-,-,-,-,347,0
,"Expanded Program for
Immunization (Immuni-
zation","1,800,000",-,-,-,-,-,347,0
,"Gender Based Violence
health services","1,200,000",-,-,-,-,-,347,0
"Curative,
Rehabil-
itative &
Referral
Services","Ambulance & Referral
Services","21,500,000",-,-,-,-,-,348,0
,Hospital Level Services,-,"10,000,000",-,-,-,-,348,0
,"Health Products & Tech-
nologies","146,340,996",-,"799,000",-,0.5,-,348,0
,"Diagnostic & rehabilita-
tion Services","28,000,000",-,-,-,-,-,348,0
,Sub- Total,"1,600,174,945","283,000,000","263,625,999","4,896,673",16.5,1.7,348,0
Department of Health Services & Sanitation,,,,,,,,348,0
"Planning &
Admin-
istrative
Support
Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","10,800,000",-,"1,450,000",-,13.4,-,348,0
,"Administration & support
services","27,693,818",-,"3,891,000",-,14.1,-,348,0
,"Human Resource Manage-
ment & Development","22,600,000",-,"400,000",-,1.8,-,348,0
,"Infrastructure & Health
Facility Management","30,694,473","162,700,000","600,000","6,745,785",2.0,4.1,348,0
,"Health Financing &
Universal Health Coverage
(UHC) coordination","26,300,000",-,"100,000",-,0.4,-,348,0
,"Standards & Quality
Assurance","550,000",-,"100,000",-,18.2,-,348,0
,"Community health infra-
structure services (CHVs)","33,508,754",-,"130,000",-,0.4,-,348,0
"Donor
Funds",DANIDA,"12,358,500",-,-,-,-,-,348,0
"Preventive
& Promo-
tive Health
Services","Human Nutrition &
Dietetics services","2,600,000",-,"140,000",-,5.4,-,348,0
,HIV/AIDS management,"11,970,000",-,"400,000",-,3.3,-,348,0
,TB control,"1,400,000",-,"400,000",-,28.6,-,348,0
,Malaria Control,"2,700,000",-,"280,000",-,10.4,-,348,0
,"Non-Communicable
Diseases (NCDs","600,000",-,"135,000",-,22.5,-,348,0
,"Disease surveillance/
Emergency preparedness","1,700,000",-,"400,000",-,23.5,-,348,0
,"Health promotion &
education","1,800,000",-,"443,000",-,24.6,-,348,0
,"Maternal & Reproductive
Health services","2,800,000",-,"695,000",-,24.8,-,348,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","1,400,000",-,"350,000",-,25.0,-,348,0
,"Expanded Program for
Immunization (Immuni-
zation)","3,400,000",-,"350,000",-,10.3,-,348,0
,"Gender Based Violence
health services","900,000",-,"225,000",-,25.0,-,348,0
,"Neglected Tropical Diseas-
es services.","1,050,000",-,"225,000",-,21.4,-,348,0
,"Environmental health
services","1,450,000",-,"369,000",-,25.4,-,348,0
"Curative,
Rehabil-
itative &
Referral
Services","Health Products & Tech-
nologies","87,400,000",-,"650,000",-,0.7,-,348,0
,"Diagnostic & Rehabilita-
tion Services","800,000",-,"195,000",-,24.4,-,348,0
,Sub- Total,"286,475,545","162,700,000","11,928,000","6,745,785",4.2,4.1,349,0
"Department of Environment, Natural Resources, Climate Change and Disaster Management",,,,,,,,349,0
"General
adminis-
tration &
support
services",General administration,"46,437,116",-,"9,989,047",-,21.5,-,349,0
"Environ-
ment Man-
agement &
Protection","Solid Waste Management
Services","21,267,000",-,"1,372,891",-,6.5,-,349,0
"Donor
Funds","Climate change response
strategy","200,000,000","200,000,000","12,000,000",-,6.0,-,349,0
"Climate
Change Ad-
aptation &
Mitigation","Climate change response
strategy","11,000,000","110,000,000","2,162,000",-,19.7,-,349,0
"Natural
Resources
Manage-
ment &
Forestry
Develop-
ment",Forestry development,"1,823,223",-,-,-,-,-,349,0
,"Artisanal mining & quarry
services","700,000",-,-,-,-,-,349,0
,Sub- Total,"281,227,339","310,000,000","25,523,938",-,9.1,-,349,0
Department of Finance & Economic Planning,,,,,,,,349,0
"General
adminis-
tration &
support
services","Administrative services(ac-
counting)","506,812,722",-,"42,982,248",-,8.5,-,349,0
,"Administrative services
(procurement)","13,520,000",-,"2,288,460",-,16.9,-,349,0
,"Administrative services
(Economic)","21,040,000","3,000,000","3,786,000",-,18.0,-,349,0
"Finance &
Accounting
services",Accounting services,"111,940,790",-,"14,463,355",-,12.9,-,349,0
"Resource
Mobil-
isation
services","Resource Mobilisation
services","44,500,000",-,"5,951,620",-,13.4,-,349,0
,Revenue board services,"9,500,000",-,0,-,-,-,349,0
"Supply
chain man-
agement
services","Supply chain management
services","5,040,000","7,000,000","1,232,515",-,24.5,-,349,0
"Audit
services",Audit services,"42,738,326",-,"10,909,900",-,25.5,-,349,0
"Economic
Planning
Services","Policy plans & formula-
tion","15,600,000",-,"3,580,000",-,22.9,-,349,0
"Budgeting
Services","Budget coordination &
management","67,662,304",-,"14,224,800",-,21.0,-,349,0
"County
Statistical
Infor-
mation
Services","County Statistical Infor-
mation Services","7,000,000",-,"1,420,000",-,20.3,-,349,0
"County
Budget &
Economic
Forum
Services","County Budget & Eco-
nomic Forum Services","10,000,000",-,"2,800,000",-,28.0,-,349,0
,Sub- Total,"855,354,142","10,000,000","103,638,897",-,12.1,-,350,0
"Department of Lands, Physical Planning, Housing and Urban Development",,,,,,,,350,0
"General ad-
ministrative
services","Administrative Ser-
vices(lands)","27,150,756","17,100,000","6,324,310",-,23.3,-,350,0
,"Administrative Services
(physical)","55,231,010","41,400,000","5,849,900",-,10.6,7.8,350,0
,"Administrative Services
(Rongo)","14,294,625","5,400,000","1,463,740",-,10.2,-,350,0
,"Administrative Services
(Kehancha)","14,294,624","5,400,000","683,800",-,4.8,-,350,0
,"Administrative Services
(Migori)","14,294,625","5,400,000","1,428,696",-,10.0,-,350,0
,"Administrative Ser-
vices(awendo)","14,294,625","5,400,000","1,699,912",-,11.9,-,350,0
"Physical
Planning
Services",Physical Planning Services,"8,000,000",-,"646,500",-,8.1,-,350,0
"Urban De-
velopment
Services","Urban Development
Services","6,957,244",-,-,-,-,-,350,0
,Sub- Total,"154,517,509","80,100,000","18,096,858","3,235,290",11.7,4.0,350,0
"Department of Roads, Transport, Public Works and Infrastructural Development",,,,,,,,350,0
"General
adminis-
tration &
support
services","Administrative ser-
vices(roads)","99,099,883",-,"11,985,035",-,12.1,-,350,0
,"Administrative ser-
vices(works)","12,244,251",-,"2,482,900",-,20.3,-,350,0
"Road De-
velopment,
Mainte-
nance &
Manage-
ment",Mechanisation service,"92,000,000",-,-,-,-,-,350,0
,Community access roads,-,"120,000,000",-,-,-,-,350,0
,Major roads,-,"350,000,000",-,-,-,16.1,350,0
,Bridges & culvert services,-,"50,000,000",-,-,-,-,350,0
"Transport
Infrastruc-
ture Man-
agement
Services","Transport management
services",-,"5,701,864",-,-,-,-,350,0
"Public
works
services",Architectural Services,"3,230,000",,"545,700",-,16.9,-,350,0
,"Building & construction
services.",,"20,000,000",,-,-,-,350,0
,"Quantity Surveyor’s
Services","1,260,000",-,"227,200",-,18.0,-,350,0
,"Mechanical & Electrical
Engineering services","3,180,000",-,"744,800",-,23.4,-,350,0
,"Structural engineering
services","1,716,000",-,"430,600",-,25.1,-,350,0
,Mechanisation service,"660,000",-,"100,700",-,15.3,-,350,0
,Sub- Total,"213,390,134","545,701,864","16,516,935","56,451,228",7.7,10.3,350,0
"Department of Trade, Tourism, Industry, Market & Cooperative Development",,,,,,,,350,0
"Policy,
Planning &
administra-
tive support
services","Administrative support
services(trade)","84,092,968",-,"14,860,845",-,17.7,-,350,0
,"Administrative support
services(industrialization)","4,029,099",-,"833,592",-,20.7,-,350,0
,"Administrative support
services(tourism)","4,969,104",-,"450,000",-,9.1,-,350,0
,"Administrative support
services(cooperative)","4,984,262",-,"1,000,000",,20.1,-,350,0
"Trade
Promotion,
Develop-
ment &
Support to
SMEs","Trade development & pro-
motion of SME services","34,000,000",-,-,-,-,-,351,0
,"Trade regulation &
information management
systems","6,179,760",-,"1,131,184",-,18.3,-,351,0
,"Trade infrastructure devel-
opment services",-,"34,626,000",-,"1,208,720",-,3.5,351,0
,Community projects,-,"22,000,000",-,-,-,-,351,0
"Legal
metrology
services",Legal metrology services,"1,660,000",-,"404,000",-,24.3,-,351,0
"Industrial
develop-
ment &
investment
services","Industrial & enterprise
development","3,224,553","500,000,000","185,000",-,5.7,-,351,0
,"Investment promotion
services.","804,553",-,"94,900",-,11.8,-,351,0
"Tourism
Research &
Develop-
ment","Tourism product devel-
opment","1,940,000",-,"205,000",-,10.6,-,351,0
,"Tourism promotion, in-
vestment & marketing","2,149,106","8,625,061","411,000",-,19.1,-,351,0
"Co-opera-
tive Policy,
Research
Advisory","Co-operative Policy, Re-
search Advisory","2,185,788",-,"576,000",-,26.4,-,351,0
"Co-opera-
tive Devel-
opment &
Promotion
Services","Co-operative Devel-
opment & Promotion
Services","7,381,044","2,000,000","1,725,500",-,23.4,-,351,0
"Co-opera-
tive Audit",Co-operative Audit,"1,154,004",-,"225,000",-,19.5,-,351,0
"Co-opera-
tive Gov-
ernance,
Oversight
and Com-
pliance","Co-operative Governance,
Oversight and Compliance","1,309,104",-,"323,750",-,24.7,-,351,0
,Sub- Total,"160,063,345","567,251,061","22,425,771","1,208,720",14.0,0.2,351,0
County Assembly Entity,,,,,,,,351,0
"County
Assembly","General administration,
planning & support ser-
vice-All Sectors","720,296,812",-,"185,648,144",-,25.8,-,351,0
,"Oversight Management
services",-,-,-,-,-,-,351,0
,"Governance and Executive
Management",-,-,-,-,-,-,351,0
,Legislative services,-,-,-,-,-,-,351,0
"Office of
the Clerk","General administration,
planning & support ser-
vice-All Sectors",-,"50,000,000",-,-,-,-,351,0
,"General administration,
planning & support ser-
vice-All Sectors",-,-,-,-,-,-,351,0
