Programme,Sub-Programme,Approved Estimates,"Actual Expenditure
as of 30th September
2023","Absorption
Rate (%)",page_number,table_index
,SP 2 -(Land Policy and Physical Planning),"28,500,000.00","4,278,000.00",15.0,588,0
,SP 3-(Housing Development),"1,612,000.00","437,450.00",27.1,588,0
,SP 4-(Urban Development),"2,528,800.00","346,500.00",13.7,588,0
,SP 5-(Kapenguria Municipality),"6,291,200.00","1,120,000.00",17.8,588,0
,SP 6-(Ward specific),"7,150,000.00","359,300.00",5.0,588,0
"Programme 10 - WATER, ENVIRONMENT AND NATURAL
RESOURCES",,"248,934,865.00","19,198,944.00",7.7,588,0
,"SP 1 - (General Administration, Planning
and Support Services)","72,617,585.00","16,272,944.00",22.4,588,0
,SP 2 -(Water Supply Services),"34,006,000.00","2,584,000.00",7.6,588,0
,"SP 3 -(Environment & Natural Resource
Development)","42,481,280.00","342,000.00",0.8,588,0
,SP 4 -(Ward Specific),"99,830,000.00",-,-,588,0
"Programme 11 - YOUTH, SPORTS, TOURISM, GENDER AND
SOCIAL SERVICES.",,"189,240,674.00","17,269,936.45",9.1,588,0
,"SP 1 - (General Administration, Planning
and Support Services)","56,332,483.00","10,041,736.45",17.8,588,0
,SP 2-(Tourism Development),"4,387,200.00","1,076,000.00",24.5,588,0
,"SP 3-(Gender,Youths and sports
Development)","32,514,273.00","5,652,200.00",17.4,588,0
,SP 4(Culture and Social Development),"3,039,718.00","500,000.00",16.4,588,0
,SP 5-(Ward Specific),"92,967,000.00",-,-,588,0
"Programme 12 - COUNTY PUBLIC SERVICE, ICT AND
DECENTRALISED UNITS",,"451,402,806.00","34,217,929.95",7.6,588,0
,"SP 1 - (General Administration, Planning
and Support Services)","376,411,880.00","30,717,429.95",8.2,588,0
,SP 2-(Human Resource),"8,036,000.00","399,000.00",5.0,588,0
,SP 3-(Legal Services),"11,320,000.00",-,-,588,0
