Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"Capacity Building to
Co-operative Societies","1,000,000",-,"200,000",-,20,-,291,0
,"Promotion of Co-op-
erative Marketing and
Value Chain","1,000,000","25,000,000",-,-,-,-,291,0
,"Co-operative Financial
Services","1,500,000",-,-,-,-,-,291,0
,"Promotion and Growth
of Co-operative Soci-
eties","1,250,000","2,425,498","25,000",-,2,-,291,0
,"Co-operative Audit
Support Services","1,550,000",-,-,-,-,-,291,0
,,Rec,Dev,Rec,Dev,Rec,Dev,292,0
TOTAL,,"379,572,812","830,637,014","21,179,495",-,6,-,292,0
"FINANCE, ECONOMIC PLANNING AND REVENUE MANAGEMENT",,,,,,,,292,0
"Resource mobiliza-
tion",Revenue Management,"410,987,592","122,750,745","61,512,353",-,15,-,292,0
County Treasury,"Budget formulation,
Coordination and
Implementation","42,363,780","93,931,500","558,300",-,1,-,292,0
,"Supply Chain Manage-
ment Section","11,926,490",-,-,-,-,-,292,0
,Accounts Services,"42,760,407","180,000,000","15,175,100",-,35,-,292,0
,Audit Section,"9,720,000","15,500,000",-,-,-,-,292,0
,"Human Resource Man-
agement and Support
Services","297,973,124",-,"3,571,507",-,1,-,292,0
"Economic Planning
& External Resource
Mobilization","Economic Planning and
Statistical Services","39,804,068","3,000,000","6,193,756",-,16,-,292,0
,"Monitoring and Eval-
uation","9,450,248",-,"123,900",-,1,-,292,0
,"External Resource
Mobilization","19,449,126",-,"586,000",-,3,-,292,0
"Directorate of Gover-
nors Project Delivery
Unit","Directorate of Gover-
nors Project Delivery
Unit","44,850,000",-,-,-,-,-,292,0
ICT,"ICT General Admin-
istration and support
services","46,300,361","59,794,177","250,000",-,1,-,292,0
,ICT Infrastructure,"6,143,554",-,-,-,-,-,292,0
,"Closed Circuit Tele-
vision","1,525,000",-,-,-,-,-,292,0
TOTAL,,"983,253,750","474,976,422","87,970,916",-,9,-,292,0
"GENDER, YOUTH, SPORTS & SOCIAL WELFARE",,,,,,,,292,0
Youth and Sports,Administrative Services,"71,296,383",-,"2,087,000",-,3,-,292,0
,Stadium Management,,"31,000,000",,-,,,292,0
,Sports,,"10,000,000",,-,-,-,292,0
,Youth Empowerment,,"20,000,000",,-,-,-,292,0
"Gender and Social
Welfare",Administrative Services,"53,343,386","131,655,003","1,673,800",-,3,-,292,0
TOTAL,,"124,639,769","192,655,003","3,760,800",-,3,-,292,0
"TRADE, INDUSTRY, TOURISM AND INNOVATION",,,,,,,,292,0
"Trade, Industry and
Innovation","Headquarters & Ad-
ministrative Services","44,797,449","8,000,000","7,536,077",-,17,-,292,0
,Trade Development,"2,715,433","39,298,083","550,000",-,20,-,292,0
,International Trade,,"2,000,000",,-,-,-,292,0
,"Business and Enterprise
Development","10,000,000","12,581,663",-,-,-,-,292,0
,"Industrialization and
Innovation","46,736,010","391,084,984","200,000",-,-,-,292,0
,"Investment Facilitation
and Support","10,000,000",,-,-,-,-,292,0
,,Rec,Dev,Rec,Dev,Rec,Dev,293,0
"Tourism Adminis-
trative & Support
Services","Tourism Administrative
& Support Service","58,147,873","8,164,002","8,412,078",-,14,-,293,0
,Heritage & Culture,"999,722","2,450,000",-,-,-,-,293,0
,Liquor Management,"701,270","1,500,000","300,000",-,43,-,293,0
,"Tourism Development
and Marketing","887,350",,-,-,-,-,293,0
,"Management of Recre-
ational Services","1,299,502","21,000,000","400,000",-,31,-,293,0
,Machawood,"998,308","22,500,000",-,-,-,-,293,0
,"County Image Direc-
torate","1,001,198","200,000",-,-,-,-,293,0
TOTAL,,"178,284,115","508,778,732","17,398,155",-,10,-,293,0
EDUCATION,,,,,,,,293,0
"General Adminis-
tration and Support
Service","Headquarter Adminis-
trative services","536,929,693","35,000,000","29,976,756",-,6,-,293,0
Basic Education,Basic Education,"9,856,678","90,000,000",-,-,-,-,293,0
,"Youth Development
Services",,"47,729,112",-,-,-,-,293,0
TOTAL,,"546,786,371","172,729,112","29,976,756",-,5,-,293,0
"LANDS, HOUSING AND URBAN DEVELOPMENT & ENERGY",,,,,,,,293,0
"Lands and Physical
Planning","Lands and Physical
Planning","62,346,321","42,755,550","12,828,198",-,21,-,293,0
"County Electrifica-
tion",County Electrification,"28,076,213","75,000,000","2,018,000",-,7,-,293,0
"Housing and Urban
Development","Housing and Urban
Development","98,643,736","1,400,000","1,426,700",-,1,-,293,0
,Machakos Municipality,"17,000,000","11,200,000","1,500,000",-,9,-,293,0
,Mavoko Municipality,"19,000,000","11,200,000","2,000,000",-,11,-,293,0
,"Kangundo Tala Munic-
ipality","15,700,000","26,200,000","1,500,000",-,10,-,293,0
TOTAL,,"240,766,270","167,755,550","21,272,898",-,9,-,293,0
DEVOLUTION,,,,,,,,293,0
"Public Service
Administration and
Support Services","General Administration
and support services","298,357,385","2,000,000","56,155,191",-,19,-,293,0
,"Performance Manage-
ment","2,500,000",,"238,200",-,10,-,293,0
,"Training, Research and
Development","47,841,500",,-,-,-,-,293,0
"County Administra-
tion & Decentralized
Units","County Administration
& Decentralized Units","372,609,131",,"40,034,518",-,11,-,293,0
,Civic Engagement,"2,750,000",,"90,100",-,3,-,293,0
,"Administration and
Coordination","7,250,000",,-,-,-,-,293,0
,"Solid Waste Manage-
ment","3,500,000","2,205,000",-,-,-,-,293,0
