Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 30th
September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
support services","64,789,376",-,"14,322,541",-,22.1,-,558,0
,Sub-Total,"64,789,376",-,"14,322,541",-,22.1,-,558,0
County Assembly,,,,,,,,558,0
"General Admin-
istration, Plan-
ning and Support
Services","General Adminis-
tration, Planning
and Support
Services","796,524,510","50,000,000","151,625,783",-,19.0,-,558,0
,Sub-Total,"796,524,510","50,000,000","151,625,783",-,-,-,558,0
Economic Planning,,,,,,,,558,0
"County Planning
Services",Budget services,"77,081,187",-,"16,255,070",-,21.1,-,558,0
,Planning Services,"26,860,330",-,"11,903,300",-,44.3,-,558,0
,Sub-Total,"103,941,517",-,"28,158,370",-,27.1,-,558,0
Administration and Devolution,,,,,,,,558,0
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
support services","118,402,734",-,"21,953,297",-,18.5,-,558,0
"Public Service
Management","Service Delivery
Centers",-,"81,539,110",-,"67,586,870",-,82.9,558,0
,Sub-Total,"118,402,734","81,539,110","21,953,297","67,586,870",18.5,82.9,558,0
Youth and Sports Development,,,,,,,,558,0
"Youth Empow-
erment and
Development","Youth Develop-
ment","87,073,876",-,"13,523,500",-,15.5,-,558,0
"Community
Development
Services","Ward Develop-
ment Services",-,"96,500,000",-,-,-,-,558,0
"Sports Develop-
ment",Sports Activities,"19,151,673",-,"8,936,480",-,46.7,-,558,0
"Management and
Development of
Sports and Sports
Facilities",Sports facilities,-,"29,000,000",-,"29,000,000",-,100.0,558,0
"Youth Empow-
erment and
Development","Youth Empower-
ment","2,100,279","33,627,339","277,000",-,13.2,-,558,0
,Sub-Total,"108,325,828","159,127,339","22,736,980","29,000,000",21.0,18.2,558,0
,,Rec,Dev,Rec,Dev,Rec,Dev,559,0
Co-operatives and Enterprise Development,,,,,,,,559,0
"Co-operative
Development
Services","Co-operative
Development and
Management","40,177,998",-,"6,006,737",-,15.0,-,559,0
,"Co-operatives
Development
Services",-,"6,000,000",-,-,-,-,559,0
"Community
Development
Services","Ward Develop-
ment Services",-,"20,000,000",-,-,-,-,559,0
"Co-operative
Development
Services","Co-operative
Credit",-,"53,963,589",-,"4,479,440",-,8.3,559,0
,Sub-Total,"40,177,998","79,963,589","6,006,737","4,479,440",15.0,5.6,559,0
Livestock Development and Fisheries,,,,,,,,559,0
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
support services","148,860,593",-,"5,461,590",-,3.7,-,559,0
"Community
Development
Services","Ward Develop-
ment Services",-,"54,700,000",-,"6,433,745",-,11.8,559,0
Fish Production,"Fish Farming
Technologies",-,"5,200,000",-,-,-,-,559,0
"Fisheries De-
velopment and
Management","Value addition
and marketing",-,"4,000,000",-,-,-,-,559,0
"Livestock Devel-
opment","Livestock Devel-
opment Services",,"26,977,213",-,-,-,-,559,0
,Sub-Total,"148,860,593","90,877,213","5,461,590","6,433,745",3.7,7.1,559,0
Promotive and Preventive Health,,,,,,,,559,0
"Administration
and Support
Services","0504014310 Ad-
ministration and
Support Services","20,070,000",-,"1,016,915",-,5.1,-,559,0
"Curative and
Rehabilitative
Services",Health Services,-,"58,592,204",-,-,-,-,559,0
,Sub-Total,"20,070,000","58,592,204","1,016,915",-,5.1,-,559,0
"Energy, Environment, Climate Change and Natural Resources",,,,,,,,559,0
"Administration
and Support
Services","Administration
and Support
Services","9,180,000",-,"1,043,000",-,11.4,-,559,0
"Community
Development
Services","Ward Develop-
ment Services",-,"71,200,000",-,"70,200",-,0.1,559,0
Energy services,Energy Services,-,"25,440,008",-,"465,000",-,1.8,559,0
"Environmental
Conservation
and Management","Environmental
Conservation
Services",-,"39,001,000",-,"3,989,700",-,10.2,559,0
,"Afforestation,
Re-Afforestation
and Agroforestry",-,"25,000,000",-,-,-,-,559,0
,Sub-Total,"9,180,000","160,641,008","1,043,000","4,524,900",11.4,12.2,559,0
,,Rec,Dev,Rec,Dev,Rec,Dev,560,0
Eldoret Municipality,,,,,,,,560,0
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
support services","105,851,567",-,"5,939,418",-,5.6,-,560,0
"Road Infrastruc-
ture Develop-
ment","Roads Infrastruc-
ture Services",-,"128,551,260",-,"65,761,727",-,51.2,560,0
,Sub-Total,"105,851,567","128,551,260","5,939,418","65,761,727",5.6,51.2,560,0
"Partnership, Liaison and Linkages",,,,,,,,560,0
"Partnerships,
Liaisons and
Linkages","Partnership, liai-
sons and Linkages","59,450,000",-,"32,634,325",-,54.9,-,560,0
,Sub-Total,"59,450,000",-,"32,634,325",-,54.9,-,560,0
"Gender, Social Protection and Culture",,,,,,,,560,0
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
support services","13,770,000",-,"5,069,600",-,36.8,-,560,0
"0Community
Development
Services","Ward Develop-
ment Services",-,"13,200,000",-,-,-,-,560,0
"Culture and
Heritage","Culture and Her-
itage Services","15,300,000","3,110,252","3,759,000",-,24.6,-,560,0
"Social Develop-
ment Services","Gender Main-
streaming","2,700,000",-,"450,000",-,16.7,-,560,0
,Social Services,,"18,000,000",-,"1,852,045",-,10.3,560,0
,"Social Protection
& Safety Nets","4,500,000","5,000,000","121,630",-,2.7,-,560,0
,Sub-Total,"36,270,000","39,310,252","9,400,230","1,852,045",25.9,4.7,560,0
Housing and Urban Development,,,,,,,,560,0
"Administration
and Support
Services","Administration
and Support
Services","37,329,246",-,"6,600,545",-,17.7,-,560,0
"Housing Devel-
opment Services","Housing Devel-
opment Services","55,322,222","199,698,769",-,"12,461,290",-,-,560,0
"Urban Develop-
ment & Manage-
ment Services","Urban Devel-
opment and
Management
Services","2,938,502","16,700,324","1,560,100","4,287,730",-,25.7,560,0
,Sub-Total,"95,589,970","216,399,093","8,160,645","16,749,020",8.5,7.7,560,0
Lands and Physical Planning,,,,,,,,560,0
"Land Man-
agement and
Administration","Land Man-
agement and
Administration
Services","56,473,755",-,-,-,-,-,560,0
"Community
Development
Services","Ward Develop-
ment Services",-,"87,900,000",-,-,-,-,560,0
"Physical Planning
Services","Physical Planning
Services",-,"30,000,000",-,-,-,-,560,0
