col_0,Program,Sub-Program,"Approved Estimates FY 2023/24
(Kshs.)",col_4,Actual payments (Kshs),col_6,"Absorption Rate
(% )",col_8,page_number,table_index
,,"Boroughs, Sub County
Administration","1,124,914,947","400,000,000","180,787,578",-,16.1,-,383,0
,Coordination of executive services,,,,,,,,383,0
,,County Executive,"289,589,837",-,"30,338,436",,10.5,-,383,0
,,"Reforms and Perfor-
mance Contracting","12,984,171",-,-,-,-,-,383,0
,,"Monitoring & Evalu-
ation","8,197,171",-,-,-,-,-,383,0
,,"Executive Management
Office","166,906,726",-,-,-,-,-,383,0
,,"Executive Communi-
cation","30,494,686",-,-,-,-,-,383,0
,"Performance Management and Pub-
lic Service Delivery",,,,,,,,383,0
,,"Inter-Governmental
Relations Headquarters","22,836,895",-,-,-,-,-,383,0
,,"Donor Coordination
and Stakeholders En-
gagement","87,564,522",-,-,-,-,-,383,0
,Security and Safety Management,,,,,,,,383,0
,,Inspectorate,"1,883,318,724","105,000,000","289,301,409",-,15.4,-,383,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,384,0
,,Investigative Services,"66,921,747",-,"6,648,563",-,9.9,-,384,0
,Disaster Management Coordination,,,,,,,,384,0
,,"Fire & Disaster Man-
agement","288,083,045","120,000,000","39,849,649",,13.8,-,384,0
,,Ambulance Services,"4,805,989",-,-,-,-,-,384,0
,,"Disaster Risk Reduc-
tion","2,093,913","45,000,000",-,-,-,-,384,0
,Internal Audit,,,,,,,,384,0
,,Audit,"96,641,013","5,000,000","7,935,754",-,8.2,-,384,0
"BOROUGHS AND PUBLIC ADMINIS-
TRATION",,,"4,437,245,194","1,186,000,000","606,135,536",-,13.7,-,384,0
,Management of legal affairs,,,,,,,,384,0
,,Legal services,"252,622,287","15,000,000","13,417,986",-,5.3,-,384,0
COUNTY ATTORNEY,,,"252,622,287","15,000,000","13,417,986",-,5.3,-,384,0
,General Administration Planning and Support Services,,,,,,,,384,0
,,ICT Headquarters,"98,443,659",-,"12,743,138",,12.9%,-,384,0
,Digital Economy and Start-Ups,,,,,,,,384,0
,,Digital Economy,"18,745,000",-,-,-,-,-,384,0
,,"E-Learning Headquar-
ters","11,000,000",-,-,-,-,-,384,0
,,Startups,"10,275,000",-,-,-,-,-,384,0
,Smart Nairobi,,,,,,,,384,0
,,Smart Nairobi,"40,000,000","200,000,000",-,-,-,-,384,0
,ICT Infrastructure Connectivity,,,,,,,,384,0
,,"Information Security
Headquarters","6,715,000",-,-,-,-,-,384,0
,,Infrastructure,"43,585,000",-,-,-,-,-,384,0
"INNOVATION AND DIGITAL ECON-
OMY",,,"228,763,659","200,000,000","12,743,138",-,5.6,-,384,0
,Public Health,,,,,,,,384,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,385,0
,,"HIV/AIDS prevention
and control unit","1,000,000",-,-,-,-,-,385,0
,,TB control unit,"900,000",-,-,-,-,-,385,0
,,"Malaria control &
Other Communicable
Diseases unit","900,000",-,-,-,-,-,385,0
,,"Environmental Public
Health","10,000,000",-,-,-,-,-,385,0
,,"Health Policy and
Regulations","10,000,000","45,000,000",-,-,-,-,385,0
,,Coroner Services,"15,000,000","69,000,000",-,-,-,-,385,0
,,"Nairobi County Public
Health Emergency
Response","7,200,000","73,000,000",-,,-,-,385,0
,Health Facilities,,,,,,,,385,0
,,"Mbagathi District
Hospital","5,000,000","100,000,000",-,-,-,-,385,0
,,"Pumwani Maternity
Hospital","6,800,000","70,000,000",-,-,-,-,385,0
,,Mama Lucy Hospital,"6,000,000","190,000,000",-,-,-,-,385,0
,,"Mama Margaret Uhuru
Kenyatta Hospital","5,000,000",,-,-,-,-,385,0
,,Mutuini Hospital,"2,200,000","42,000,000",-,-,-,-,385,0
,,"Health planning and
financing","31,165,000","77,000,000",-,-,-,-,385,0
,,"Health centers &
dispensaries","72,228,250","433,000,000",-,-,-,-,385,0
,,"Pumwani Nursing
School","5,655,000","30,000,000",-,-,-,-,385,0
,,Health Commodities,"400,000,000",-,-,-,-,-,385,0
,Medical Services,,,,,,,,385,0
,,Primary Health Care,"22,635,000",-,-,-,-,-,385,0
,,"Nairobi Medical
Insurance","50,000,000",-,-,-,-,-,385,0
,,"Reproductive Health,
Maternal Health (RM-
NCAH)","7,765,000",-,-,-,-,-,385,0
,,Clinical Services,"5,700,000",-,-,-,-,-,385,0
,,"Non-communicable
diseases","4,900,000",-,-,-,-,-,385,0
,,Health Research,"4,000,000",-,-,-,-,-,385,0
,"Wellness, Nutrition",,,,,,-,,385,0
,,"Nutrition Program
Promotion","12,250,000",-,-,-,-,-,385,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,386,0
,,Wellness,"9,000,000",-,-,-,-,-,386,0
,"General administration, planning
and support services",,,,,,,,386,0
,,"Health, Wellness &
Nutrition Headquarters","6,376,005,086",,"1,081,521,657",-,17.0,-,386,0
HEALTH WELLNESS & NUTRITION,,,"7,071,303,336","1,129,000,000","1,081,521,657",-,15.3,-,386,0
,"General Administration and support
services",,,,,,,,386,0
,,"Built Environment and
Planning Headquarters","367,120,278",-,"58,853,679",-,16.0,-,386,0
,Urban Development & Planning,,,,,,,,386,0
,,"Urban Planning Com-
pliance & Enforcement","26,000,000","45,000,000",-,-,-,-,386,0
,"Land management and Property
Management",,,,,,,,386,0
,,"Land Survey, GIS and
Mapping","26,000,000",-,-,-,-,-,386,0
,"Housing Development and Build-
ing Services",,,,,,,,386,0
,,"Urban Renewal and
Housing HQ","20,000,000","580,000,000",-,-,-,-,386,0
,,"Building Services De-
partment","10,000,000",-,-,-,-,-,386,0
"BUILT ENVIRONMENT & URBAN
PLANNING",,,"449,120,278","625,000,000","58,853,679",-,13.1,-,386,0
,"General Administration, Planning
And Support Services",,,,,,,,386,0
,,"Mobility and Works
Headquarters","914,660,962",-,"125,639,205",-,13.7,-,386,0
,Works,,,,,,,,386,0
,,Roads,"15,200,000","2,269,184,460",-,-,-,-,386,0
,,Electrical,"6,000,000","400,000,000",-,-,-,-,386,0
,,Building Works,"3,160,000","8,000,000",-,-,-,-,386,0
,Mobility,,,,,,,,386,0
,,Transport,"154,700,000","488,735,000","50,384,620",,32.6,-,386,0
,,Garage/Transportation,"7,000,000","134,350,000",,,-,-,386,0
MOBILITY AND WORKS,,,"1,100,720,962","3,300,269,460","176,023,825",-,16.0,-,386,0
,Education services,,,,,,,,386,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,387,0
,,"Education Headquar-
ters","1,752,420,205",,"140,370,618",-,8.0,-,387,0
,,"Early Childhood Devel-
opment Centers","100,000,000","130,950,000",-,-,-,-,387,0
,,Vocational Training,"5,500,000","38,933,024",-,-,-,-,387,0
,,Advisory,"400,000",-,-,-,-,-,387,0
,Social Services,,,,,,,,387,0
,,"Social Services Head-
quarters","122,348,766",-,"29,943,051",,24.5,-,387,0
,,"Community Develop-
ment","2,750,000",-,-,-,-,-,387,0
,,Family Welfare,"6,050,000",-,-,-,-,-,387,0
,,Children Services,"5,000,000","10,000,000",-,-,-,-,387,0
,,"Control of Drugs and
Pornography","3,950,000",-,-,-,-,-,387,0
,"Youth, Talent & Sports",,,,,,,,387,0
,,"Youth, Talent & Sport","47,185,185",-,"1,146,153",-,2.4,-,387,0
,,Youth Affairs,"6,000,000",-,-,-,-,-,387,0
,,Recreation Services,"4,000,000","100,000,000",-,-,-,-,387,0
,,Sports,"28,000,000","545,000,000",-,-,-,-,387,0
,,Library Services,"2,000,000","4,500,000",-,-,-,-,387,0
TALENT SKILLS DEVT & CARE,,,"2,085,604,156","829,383,024","171,459,822",-,8.2,-,387,0
,"General Administration Planning
and
Support Services",,,,,,,,387,0
,,"Business & Hustler
Opportunities Head-
quarters","472,498,302",-,"92,527,245",-,19.6,-,387,0
,"Co-operative Development and
Audit
Services",,,,,,,,387,0
,,"Co-operative Develop-
ment","18,500,000",-,-,-,-,-,387,0
,,Co-operative Audit,"11,500,000",-,-,-,-,-,387,0
,"Trade development and Market
Services",,,,,,,,387,0
,,"Markets Department
Headquarters","15,000,000","991,000,000",-,-,-,-,387,0
,,"Weights & Measures
Services","6,000,000","30,000,000",-,-,-,-,387,0
,,Trade Licensing,"9,000,000","35,000,000",-,-,-,-,387,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,388,0
,,"Trade Development
Department","15,000,000","260,000,000",-,-,-,-,388,0
,Business & hustler opportunities,,,,,,,,388,0
,,"Micro, Small and
Medium Enterprises
Development","40,000,000","100,000,000",-,-,-,-,388,0
,,"Betting & Gaming
Department","25,000,000","29,000,000",-,-,-,-,388,0
"TRADE, COMMERCE, TOURISM &
COOPERATIVES",,,"612,498,302","1,445,000,000","92,527,245",-,15.1,-,388,0
,"Public Participation, Citizen Engage-
ment & Customer Service",,,,,,,,388,0
,,"Inclusivity Public
Participation & Citizen
Engagement Head-
quarters","99,455,565","40,000,000","6,791,147",-,6.8,-,388,0
,,"Public Communica-
tions","33,000,000",-,-,-,-,-,388,0
,,"Public participation &
Citizen Engagement","34,945,000",-,-,-,-,-,388,0
,,Customer Care Services,"32,555,000",-,-,-,-,-,388,0
,City Culture Arts & Tourism,,,,,,,,388,0
,,"City Culture, Arts and
Tourism","130,000,000",-,-,-,-,-,388,0
,School Feeding,,,,,,,,388,0
,,School Feeding,"1,223,750,000","500,000,000",-,-,-,-,388,0
,Gender and Inclusivity,,,,,,,,388,0
,,"Gender Mainstreaming
& PLDWD","100,000,000","20,000,000",-,-,-,-,388,0
"INCLUSIVITY PUBLIC PARTICIPA-
TION, & CITIZEN ENGAGEMENT",,,"1,653,705,565","560,000,000","6,791,147",-,0.4,-,388,0
,Nairobi Revenue Authority,,"450,000,000","100,000,000",-,-,-,-,388,0
NAIROBI REVENUE AUTHORITY,,,"450,000,000","100,000,000",-,-,-,-,388,0
,Liquor Licensing Board,,"220,571,299","70,000,000","65,945,885",,-,-,388,0
LIQUOR LICENSING BOARD,,,"220,571,299","70,000,000","65,945,885",-,29.9,-,388,0
,"Legislation, Oversight and Repre-
sentation",,"2,024,000,000","1,215,000,000","434,801,441",-,-,-,388,0
COUNTY ASSEMBLY,,,"2,024,000,000","1,215,000,000","434,801,441",-,21.5,-,388,0
Total.,,,"28,315,598,651","14,014,652,484","3,446,774,022",-,12.2,-,388,0
