Programme,Sub Programme,2023/24 Approved Estimates,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Sub Total,"162,528,815","495,850,000","13,545,202",-,8.3,-,302,0
"ICT, Education and Internship",,,,,,,,302,0
"Programme 1: General
administration & plan-
ning","SP1. 1 General admin-
istration & planning","404,339,420",-,"55,085,813",-,13.6,,302,0
"Programme 2: Early
childhood development
education","SP2.1: Early Child-
hood Development
Education","9,090,129","130,900,000","325,680",-,3.6,-,302,0
"Programme 3: Technical
training & non-formal
education","SP3.3: Technical
training & non-formal
education","5,493,000","59,700,000","200,000",-,3.6,-,302,0
"Programme 4: Support
to Education and
Library Services","SP4.1: Support to
Education and Library
Services","132,298,250","1,000,000","7,255,600",-,5.5,-,302,0
"Programme 5: ICT In-
frastructure & Systems
Development","SP5.1: ICT Infra-
structure & Systems
Development","19,898,000","35,000,000",-,-,-,-,302,0
"Programme 6: Intern-
ship, Mentorship and
Volunteerism","SP6.1: Internship,
Mentorship and Volun-
teerism","798,250","15,000,000",-,-,-,-,302,0
,Sub Total,"571,917,049","241,600,000","62,867,093",-,11,-,302,0
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",303,0
"Trade, Industry & Cooperatives",,,,,,,,303,0
"Programme 1: General
administration & plan-
ning","SP1. 1 General admin-
istration & planning","96,860,232",-,"10,573,088",-,10.9,,303,0
"Programme 2: Trade
development & pro-
motion","SP2.1; Trade develop-
ment & promotion","5,800,000","92,500,000",-,-,-,-,303,0
"P3; Industrial develop-
ment and promotion","SP3. 1 Industrial devel-
opment and promotion","750,000","100,000,000",-,-,-,-,303,0
"Programme 4: Tourism
development & pro-
motion","SP4. 1 Tourism devel-
opment & promotion","830,000","7,500,000",-,-,-,-,303,0
"Programme 5: Culture,
Art and the Music
Promotion","SP5. 1 Culture, Art and
the Music promotion","17,450,000",-,-,-,-,-,303,0
,Sub Total,"121,690,232","200,000,000","10,573,088",-,8.7,-,303,0
"Department of Gender, Children, Youth, Sports, and Social Services",,,,,,,,303,0
"Programme 1: General
administration & plan-
ning","P1: General adminis-
tration & planning","53,782,189",-,"6,572,551",-,-,-,303,0
"Programme 2: Gender
and Social Development","P2: Gender and Social
Development","11,051,972","48,400,000","158,200",-,-,-,303,0
"Programme 3; Sports
development",P3; Sports development,"750,000","66,147,204",-,-,-,-,303,0
"Programme 4; Youth
empowerment","P4; Youth empower-
ment","1,800,000","25,700,000",-,-,-,-,303,0
,Sub Total,"67,384,161","140,247,204","6,730,751",-,10.0,-,303,0
County Attorney,,,,,,,,303,0
"SP1. 1 General Admin-
istration & Support
Services","P1: General adminis-
tration & planning","34,023,507",-,"3,588,364",,10.5,-,303,0
,Sub Total,"34,023,507",-,"3,588,364",,10.5,-,303,0
Governorship,,,,,,,,303,0
"SP1. 1 General Admin-
istration & Support
Services","P1: General adminis-
tration & planning","213,565,945",-,"28,165,872",-,13.2,-,303,0
,Sub Total,"213,565,945",-,"28,165,872",-,13.2,,303,0
County Secretary,,,,,,,,303,0
"Programme 1. Leader-
ship & coordination of
departments","SP1. 1 Leadership &
coordination of de-
partments","591,147,009",-,"88,502,591",-,15.0,-,303,0
,Sub Total,"591,147,009",-,"88,502,591",-,15.0,-,303,0
CPSB,,,,,,,,303,0
"Programme 1: Public
Service Human Re-
source Management and
Development.","SP2: Public Service
Human Resource
Management and
Development.","75,513,647",-,"5,734,387",-,7.6,-,303,0
,Sub Total,"75,513,647",-,"5,734,387",-,7.6,-,303,0
"Finance, Planning, Budget and Revenue",,,,,,,,303,0
"SP1. 1 General Admin-
istration & Support
Services","SP1: General adminis-
tration & planning","411,079,138","20,000,000","134,226,827",-,32.7,-,303,0
"Programme 2: Public
Financial Management","SP2: Public financial
management","129,519,897",-,"8,793,833",-,6.8,-,303,0
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",304,0
,Sub Total,"540,599,035","20,000,000","143,020,660",-,26.5,-,304,0
"Devolution, Public participation, County Administration and Special Programmes",,,,,,,,304,0
"Programme 1: General
Administration &
Planning","SP1: General Adminis-
tration & Planning","245,949,685","21,837,927","36,621,113",-,14.9,-,304,0
"Programme 2: Partici-
patory Development &
Civic Education","SP2: Participatory
Development. & civic
education","13,457,797",-,-,-,-,-,304,0
"Programme 3: Research,
Documentation and
Knowledge Manage-
ment","SP3: Research, Docu-
mentation and Knowl-
edge Management","4,500,000",-,-,-,-,-,304,0
"Programme 4: Coordi-
nation of Service Deliv-
ery and Enforcement","SP4: Coordination of
Service Delivery and
Enforcement","30,120,000",-,-,-,-,-,304,0
"Programme 5: Disaster
Risk Preparedness and
Mitigation","SP5: Disaster Risk
Preparedness and
Mitigation","10,460,000",-,-,-,-,-,304,0
"Programme 6: Alcoholic
Drinks Control and
Licencing","SP6: Alcoholic Drinks
Control and Licencing","6,400,000",-,-,-,-,-,304,0
,Sub Total,"310,887,482","21,837,927","36,621,113",-,11.8,-,304,0
Water and Sanitation,,,,,,,,304,0
"Programme 1: General
administration & plan-
ning","SP1: General Adminis-
tration & Planning","80,704,325","9,700,000","9,787,120",-,12.1,-,304,0
"Programme 2: Water
Infrastructure Devel-
opment","SP 2.1: Water harvest-
ing and storage","8,282,000","173,200,000",-,-,-,-,304,0
,"SP2: Piped water sup-
ply infrastructure","3,970,000","243,100,000","850,570",-,21.4,-,304,0
,"SP.3: Groundwater
development","9,230,000","64,800,000",-,-,-,-,304,0
,Sub Total,"102,186,325","490,800,000","10,637,690",-,10.4,-,304,0
"Agriculture, Irrigation, Livestock, Fisheries and Cooperative",,,,,,,,304,0
"Programme 1: General
administration & plan-
ning","SP1: General Adminis-
tration & Planning","50,888,160","756,390,356","32,502,653",-,63.9,-,304,0
"Programme 2: Land,
Crop development &
productivity","SP 2: Land, Crop
development & pro-
ductivity","80,934,606","69,500,000",-,-,-,-,304,0
"P3; Agribusiness and in-
formation management","SP3; Agribusiness and
information manage-
ment","32,992,265","80,000,000",-,-,-,-,304,0
"Programme 4: Livestock
Production, Manage-
ment and Development","SP 4: Livestock Pro-
duction, Management
and Development","125,789,620","22,500,000",-,-,-,-,304,0
"Programme 5: Coopera-
tive Development","SP 5: Cooperative
Development","19,967,638","8,500,000",-,-,-,-,304,0
,Sub Total,"310,572,289","936,890,356","32,502,653",-,10.5,-,304,0
County Assembly,,,,,,,,304,0
"Programme 1: Legisla-
tion and Representation","SP1: Legislation and
Representation","882,052,960","46,000,000","136,425,240",-,15.5,-,304,0
,Sub Total,"882,052,960","46,000,000","136,425,240",-,15.5,-,304,0
Total County Budget,,"7,342,391,532","3,225,898,248","1,096,183,506","1,318,140",14.9,-,304,0
