Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Department of Roads, Transport, Public Works and Energy",,,,,,,,158,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","123,805,838",-,"19,049,303",-,15.4,-,158,0
"Public Works and
Infrastructure",Roads,"10,500,000","168,500,000","2,738,520",-,26.1,-,158,0
,Energy,"9,982,500","12,000,000","2,777,750",-,27.8,-,158,0
,Fire Fighter,"5,900,000",-,"1,156,000",-,19.6,-,158,0
,,Rec,Dev,Rec,Dev,Rec,Dev,159,0
,Transport,"14,348,000",-,"3,341,976",-,23.3,-,159,0
,Public Works,"7,814,183",-,"849,792",-,10.9,-,159,0
,Sub Total,"172,350,521","180,500,000","29,913,341",-,17.4,-,159,0
"Department of Public Service, Administration and Citizen Participation",,,,,,,,159,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","504,618,020",-,"86,872,941",-,17.2,-,159,0
"Public Service and
Administration","County Adminis-
tration","12,434,557",-,"1,271,350",-,10.2,-,159,0
,"County Inspec-
torate","6,515,500",-,"971,600",-,14.9,-,159,0
"Human Resource
Management and
Development",Human Resource,"253,149,400",-,"38,708,050",-,15.3,-,159,0
Citizen Participation,"Citizen Participa-
tion","13,172,624",-,"1,207,600",-,9.2,-,159,0
,Social Protection,"13,000,000",-,"344,400",-,2.6,-,159,0
,"Disability Main-
streaming","3,500,500",-,-,-,-,-,159,0
,"Control of Alcohol
and Substance
Abuse","12,506,000",-,-,-,-,-,159,0
,"County Organi-
zation","3,000,000",-,"56,000",-,1.9,-,159,0
,Sub Total,"821,896,601",-,"129,431,941",-,15.7,-,159,0
Department of County Treasury,,,,,,,,159,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","548,170,019","1,395,961,075","75,310,075","153,131,756",13.7,11.0,159,0
,"Information, Com-
munication and
Technologies","22,010,000","5,000,000","4,204,002",-,19.1,-,159,0
"Public Finance Man-
agement","Budget Coordina-
tion and Manage-
ment","11,500,000",-,"1,303,664",-,11.3,-,159,0
,Accounting Service,"10,210,000",-,"986,000",-,9.7,-,159,0
,"Supply Chain Man-
agement","28,490,000",-,"2,261,960",-,7.9,-,159,0
,Internal Audit,"7,600,000",-,"1,519,900",-,20.0,-,159,0
,"Revenue Collec-
tion/ Resource
Mobilisation","13,433,094","30,000,000","1,663,000",-,12.4,-,159,0
"Economy Policy
Coordination",Economic Planning,"8,300,000",-,"430,500",-,5.2,-,159,0
,"Monitoring and
Evaluation","8,321,000",-,"996,900",-,12.0,-,159,0
,Sub Total,"658,034,113","1,430,961,075","88,676,001","153,131,756",13.5,10.7,159,0
"Department of Lands, Physical Planning and Urban Development",,,,,,,,159,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","96,317,286",-,"23,704,709",-,24.6,-,159,0
,,Rec,Dev,Rec,Dev,Rec,Dev,160,0
"Land Policy and
Planning",Physical Planning,"9,484,700",-,"1,388,800",-,14.6,-,160,0
,"Lands Survey and
Mapping","5,570,000",-,"1,373,200",-,24.7,-,160,0
,"Lands Administra-
tion","6,170,000",-,"376,000",-,6.1,-,160,0
"Urban Development
and Management","Urban Develop-
ment","17,776,900",-,"929,500",-,5.2,-,160,0
,Housing,"6,150,000",-,"1,295,000",-,21.1,-,160,0
,Sub Total,"141,468,886",-,"29,067,209",-,20.5,-,160,0
County Assembly,,,,,,,,160,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","505,518,310","233,000,000","78,119,196",-,15.5,-,160,0
"Legislation, Represen-
tation and Oversight","Legislation, Rep-
resentation and
Oversight","361,347,408",-,"80,111,158",-,22.2,-,160,0
,Sub Total,"866,865,718","233,000,000","158,230,354",-,18.3,-,160,0
"Department of Education, Youth and Sport",,,,,,,,160,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","506,365,886",-,"139,061,139",-,27.5,-,160,0
"Early Childhood
Development",Early Childhood,"214,150,000","131,000,000","2,240,600",-,1.0,-,160,0
"Technical and Voca-
tional","Technical and Voca-
tional Training","4,520,880","20,000,000","642,500",-,14.2,-,160,0
Youth and Sports,"Sport Training and
Competition","12,764,150",-,"765,400",-,6.0,-,160,0
,Sub Total,"737,800,916","151,000,000","142,709,639",-,19.3,-,160,0
"Department of Gender, Cooperative, Culture, Tourism and Wildlife",,,,,,,,160,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","108,370,915",-,"17,468,241",-,16.1,-,160,0
"Gender Mainstream-
ing","Gender Main-
streaming","22,345,284",-,"518,000",-,2.3,-,160,0
Arts and Culture,Cultural Heritage,"10,421,373",-,"1,108,800",-,10.6,-,160,0
,Cultural Activities,"15,049,365",-,"1,074,085",,7.1,-,160,0
"Local Tourism and
Wildlife","Local Tourism
Promotion and
Wildlife Manage-
ment","4,259,150",-,-,-,-,-,160,0
"Cooperative Devel-
opment","Cooperative Devel-
opment","21,115,436",-,"1,109,500",-,5.3,-,160,0
,Sub Total,"181,561,523",-,"21,278,626",-,11.7,-,160,0
"Department of Agriculture, Livestock, Veterinary Service and Fisheries",,,,,,,,160,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","185,460,479",-,"24,440,818",-,13.2,-,160,0
Crop Production,Crop Development,"6,968,118","386,941,296","577,500",,8.3,-,160,0
,"Agricultural Mecha-
nization Services","7,354,234",-,"1,306,200",-,17.8,-,160,0
,,Rec,Dev,Rec,Dev,Rec,Dev,161,0
,"Agricultural Train-
ing Centre","2,173,607",-,-,-,-,-,161,0
,"Plant Disease
Control","2,722,912",-,-,-,-,-,161,0
,"Agri-Business and
Market Develop-
ment","2,722,911",-,-,-,-,-,161,0
Irrigation,Irrigation Service,"10,230,339",-,"284,900",-,2.8,-,161,0
Livestock Resources,Animal Husbandry,"7,212,134","3,000,000","721,700",-,10.0,-,161,0
,Livestock Market,"704,960","133,839,340",,-,-,-,161,0
,Veterinary Service,"3,568,839",-,"504,000",-,14.1,-,161,0
,"Animal Disease
Control","49,558,914",-,"7,723,396",-,15.6,-,161,0
Fisheries,Fisheries,"7,250,690","10,509,642","1,766,420",-,24.4,-,161,0
,Sub Total,"285,928,137","534,290,278","37,324,934",-,13.1,-,161,0
"Department of Trade, Investment and Enterprise Development",,,,,,,,161,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","148,192,085",-,"23,701,888",-,16.0,-,161,0
Trade Development,Trade Development,"47,962,535","540,000,000","8,423,400",-,17.6,-,161,0
,"Enterprise Devel-
opment","1,749,902",-,"410,200",-,23.4,-,161,0
"Cooperative Enter-
prise Development","Cooperative Devel-
opment",-,-,-,-,-,-,161,0
,Sub Total,"197,904,522","540,000,000","32,535,488",-,16.4,-,161,0
"Department of Kaji-
ado Municipality",,,,,,,,161,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","46,615,226",-,"10,823,111",-,23.2,-,161,0
Urban Infrastructure,"Urban Infrastruc-
ture","2,384,000","135,000,000","195,600",-,8.2,-,161,0
"Environmental Man-
agement and Public
Health","Environmental
Management and
Public Health","8,255,667",-,"80,000",-,1.0,-,161,0
,Sub Total,"57,254,893","135,000,000","11,098,711",-,19.4,-,161,0
Department of Ngong Municipality,,,,,,,,161,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","76,716,430",-,"14,425,856",-,18.8,-,161,0
Urban Infrastructure,"Urban Infrastruc-
ture","3,480,000","215,000,000","250,000",-,7.2,-,161,0
"Environmental Man-
agement and Public
Health","Environmental
Management and
Public Health","9,466,667",-,"250,000",-,2.6,-,161,0
,Sub Total,"89,663,097","215,000,000","14,925,856",-,16.6,-,161,0
County Attorney,,,,,,,,161,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","160,630,578",-,"7,321,670",-,4.6,-,161,0
