Programme,"Recurrent Esti-
mates 2023/24","Development Es-
timates 2023/25","Total Budget
estimates","Recurrent
Expenditure as of
30th September,
2023","Development
Expenditure
as 30th Sep-
tember 2024",Total Expenditure,"s
Variance","% Ab-
orption
of the
Budget",page_number,table_index,Variance,"% Ab-
sorption
of the
Budget"
"SP 1. 1 Health Admin-
istrative and support
services","126,916,175",,"126,916,175","3,259,900",,"3,259,900",,,62,0,"123,656,275",2.6
"SP 1. 2. Leadership and
Governance.","34,500,000",,"34,500,000",-,-,-,,,62,0,"34,500,000",-
SP 1. 3 Health Policy,"4,000,000",,"4,000,000",-,-,-,,,62,0,"4,000,000",-
"SP 1. 6 Human resource
management","2,667,072,520",,"2,667,072,520","610,185,748",,"610,185,748",,,62,0,"2,056,886,772",22.9
"SP 1. 7 Infrastructural
development",,"431,786,440","431,786,440",-,-,-,,,62,0,"431,786,440",-
"Programme 2: Preventive
and Promotive","528,950,623","14,226,438","543,177,061",-,-,-,,,62,0,"543,177,061",-
"SP 2.1 Communicable
and Non-communicable
Disease Control","20,000,000",,"20,000,000",-,-,-,,,62,0,"20,000,000",-
"SP 2.2 Community
Health Strategy","5,600,000",,"5,600,000",-,-,-,,,62,0,"5,600,000",-
"SP 2.3 Health promo-
tion","3,000,000",,"3,000,000",-,-,-,,,62,0,"3,000,000",-
"SP 2.6 Reproductive,
Maternal, Newborn,
Child, and Adolescent
Health.","15,000,000",,"15,000,000",-,-,-,,,62,0,"15,000,000",-
"SP 2.7 public health and
sanitation","8,000,916","14,226,438","22,227,354",-,-,-,,,62,0,"22,227,354",-
"Specialized materials and
supplies","477,349,707",,"477,349,707",-,-,-,,,62,0,"477,349,707",-
"Programme 3: Curative
Health Services","136,949,177",-,"136,949,177","28,015,305",-,"28,015,305",,,62,0,"108,933,872",20.5
"SP3. 1 Routine medical
service.","95,171,405",,"95,171,405",-,-,-,,,62,0,"95,171,405",-
"Grants; DANIDA/
UNICEF","41,777,772",,"41,777,772","28,015,305",-,"28,015,305",,,62,0,"13,762,467",67.1
Sub Total,"3,498,388,495","446,012,878","3,944,401,373","641,460,953",-,"641,460,953",,,62,0,"3,302,940,420",16.3
Roads & Public Works,,,,,,,,,62,0,,
"Programme 1: Gen-
eral Administration,
Planning, and Support
Services","130,714,030",-,"130,714,030","27,409,367",-,"27,409,367",,,62,0,"103,304,663",21.0
"SP1.1: Capacity Devel-
opment and Motivation","83,090,095",,"83,090,095","2,297,400",,"2,297,400",,,62,0,"80,792,695",2.8
"SP1.3: Administration
Services","32,897,215",,"32,897,215","25,111,967",,"25,111,967",,,62,0,"7,785,248",76.3
"SP1.4: Financial
Services, Planning and
Stewardship","14,726,720",,"14,726,720",-,-,-,,,62,0,"14,726,720",-
"Programme 2: Transport
Infrastructure Develop-
ment and Management",-,"1,261,637,320","1,261,637,320",-,-,-,,,62,0,"1,261,637,320",-
"SP2.1: Construction
of Roads Bridges and
Drainage Works",-,"1,089,137,320","1,089,137,320",-,-,-,,,62,0,"1,089,137,320",-
"SP2.2: Maintenance of
Roads",-,"172,500,000","172,500,000",-,-,-,,,62,0,"172,500,000",-
"Programme 3: Building
Standards and Quality
Assurance",-,"4,275,000","4,275,000",-,-,-,,,62,0,"4,275,000",-
"SP3.1: Building Stan-
dards and Research",-,"4,275,000","4,275,000",-,-,-,,,62,0,"4,275,000",-
Sub Total,"130,714,030","1,265,912,320","1,396,626,350","27,409,367",-,"27,409,367",,,62,0,"1,369,216,983",2.0
Education and Vocational Training,,,,,,,,,63,0,,
"Programme 1: General
Administration Planning
and Support Services","1,193,820,732","4,731,000","1,198,551,732","302,282,120",-,"302,282,120",,,63,0,"896,269,612",25.2
"SP 1: Salaries and
allowances","1,177,797,695",-,"1,177,797,695","300,645,120",-,"300,645,120",,,63,0,"877,152,575",25.5
SP 2: Policy formulation,"4,182,861","4,731,000","8,913,861",-,-,-,,,63,0,"8,913,861",-
"SP3: Administration and
support services","11,840,176",-,"11,840,176","1,637,000",-,"1,637,000",,,63,0,"10,203,176",13.8
"Programme 2: Early
Childhood Development
Education","17,000,000","5,000,000","22,000,000",-,-,-,,,63,0,"22,000,000",-
"Sp1: Quality Assurance
and Standards","2,000,000",-,"2,000,000",-,-,-,,,63,0,"2,000,000",-
Sp2: Curriculum,"2,000,000",-,"2,000,000",-,-,-,,,63,0,"2,000,000",-
Sp3: learning materials,"5,000,000",-,"5,000,000",-,-,-,,,63,0,"5,000,000",-
"SP5: Monitoring and
evaluation","3,000,000",-,"3,000,000",-,-,-,,,63,0,"3,000,000",-
"SP6: Infrastructure
development","5,000,000","5,000,000","10,000,000",-,-,-,,,63,0,"10,000,000",-
"Programme 3: Education
Support Programme","462,080","356,602,000","357,064,080",-,-,-,,,63,0,"357,064,080",-
"Sp1: Education support
and bursary scheme",-,"160,000,000","160,000,000",-,-,-,,,63,0,"160,000,000",-
VTC Capitation,"462,080","71,982,000","72,444,080",-,-,-,,,63,0,"72,444,080",-
"Sp: School Feeding
Programme",-,"30,000,000","30,000,000",-,-,-,,,63,0,"30,000,000",-
Ward Based Projects,-,"94,620,000","94,620,000",-,-,-,,,63,0,"94,620,000",-
"Programme 4: VTC
General Administration
Planning and Policy
Formulation","9,156,528",-,"9,156,528",-,-,-,,,63,0,"9,156,528",-
SP 2: Policy formulation,"2,211,128",-,"2,211,128",-,-,-,,,63,0,"2,211,128",-
"SP3: Administration and
support services","6,945,400",,"6,945,400",-,-,-,,,63,0,"6,945,400",-
"Programme 5: Training
and Skill Development",-,"42,000,000","42,000,000",-,-,-,,,63,0,"42,000,000",-
"Sp1: Tuition support
grant",-,"20,000,000","20,000,000",-,-,-,,,63,0,"20,000,000",-
"Sp2: Tools and equip-
ment for VTC",-,"14,000,000","14,000,000",-,-,-,,,63,0,"14,000,000",-
"Sp4: Quality assurance
and standards",-,"2,000,000","2,000,000",-,-,-,,,63,0,"2,000,000",-
"SP6: Capacity building
for VTC instructors",-,"3,000,000","3,000,000",-,-,-,,,63,0,"3,000,000",-
"SP7: Monitoring and
Evaluation",-,"3,000,000","3,000,000",-,-,-,,,63,0,"3,000,000",-
Sub Total,"1,220,439,340","408,333,000","1,628,772,340","302,282,120",-,"302,282,120",,,63,0,"1,326,490,220",18.6
Finance & Economic Planning,,,,,,,,,63,0,,
"Programme 1: Gen-
eral Administration,
Planning and Support
Services","816,125,299","32,950,000","849,075,299","173,731,431",-,"173,731,431",,,63,0,"675,343,868",20.5
SP 1.1: Personnel costs,"418,953,350",-,"418,953,350","134,842,843",-,"134,842,843",,,63,0,"284,110,507",32.2
"SP 1.2: Administration
Services","194,896,303","27,550,000","222,446,303","38,888,589",-,"38,888,589",,,63,0,"183,557,715",17.5
"SP 1.3: Employer
Contribution for Staff
Pension","202,275,646",-,"202,275,646",-,-,-,,,63,0,"202,275,646",-
"SP 1.5: Infrastructural
Development; Project
Supervision",-,"5,400,000","5,400,000",-,-,-,,,63,0,"5,400,000",-
"Programme 2: County
Planning Management","87,475,271",-,"87,475,271","7,618,255",-,"7,618,255",,,63,0,"79,857,016",8.7
"SP 2.1: Economic Policy
and County Planning
Services","21,595,966",-,"21,595,966","4,142,625",-,"4,142,625",,,64,0,"17,453,341",19.2
SP 2.2: Budgeting,"42,257,695",-,"42,257,695","3,475,630",-,"3,475,630",,,64,0,"38,782,065",8.2
"SP 2.3: Monitoring and
Evaluation","13,621,610",-,"13,621,610",-,-,-,,,64,0,"13,621,610",-
"SP 2.4: Resource Mobili-
zation Strategies","5,000,000",-,"5,000,000",-,-,-,,,64,0,"5,000,000",-
"SP 2.5: Enforcement of
Revenue Collection","5,000,000",-,"5,000,000",-,-,-,,,64,0,"5,000,000",-
"Programme 3: County
Financial Service Man-
agement","100,264,226",-,"100,264,226","13,096,980",-,"13,096,980",,,64,0,"87,167,246",13.1
"SP 3.1: Revenue Mobi-
lization","39,279,040",-,"39,279,040","6,820,600",-,"6,820,600",,,64,0,"32,458,440",17.4
"SP3.2: Accounting
Services","20,319,230",-,"20,319,230","6,276,380",-,"6,276,380",,,64,0,"14,042,850",30.9
SP 3.3: Audit Services,"17,547,721",-,"17,547,721",-,-,-,,,64,0,"17,547,721",-
"SP 3.4: Supply Chain
Services","18,118,235",-,"18,118,235",-,-,-,,,64,0,"18,118,235",-
"SP 3.5: Asset Manage-
ment","5,000,000",-,"5,000,000",-,-,-,,,64,0,"5,000,000",-
"Programme 4: Service
Delivery and Organiza-
tional Transformation","55,703,083","171,205,528","226,908,611","864,400",-,"864,400",,,64,0,"226,044,211",0.4
"SP 4.1: Service Delivery
Unit","5,000,000",-,"5,000,000",-,-,-,,,64,0,"5,000,000",-
"SP 4.3: Investment
Initiative","5,000,000",-,"5,000,000",-,-,-,,,64,0,"5,000,000",-
"SP 4.4: Special Coordi-
nation Unit","13,703,083",-,"13,703,083",-,-,-,,,64,0,"13,703,083",-
"SP 4.5: Maintenance
of computer, software
and networks - Revenue
System","12,000,000",-,"12,000,000",-,-,-,,,64,0,"12,000,000",-
"SP 4.8: System Enhance-
ment","20,000,000",-,"20,000,000","864,400",,"864,400",,,64,0,"19,135,600",4.3
SP 4.9: Emergency Fund,-,"100,000,000","100,000,000",-,-,-,,,64,0,"100,000,000",-
ICT,-,"33,250,000","33,250,000",-,-,-,,,64,0,"33,250,000",-
"Health Management
System",-,"37,955,528","37,955,528",-,-,-,,,64,0,"37,955,528",-
Sub Total,"1,059,567,879","204,155,528","1,263,723,407","195,311,066",-,"195,311,066",,,64,0,"1,068,412,341",15.5
Trade and Industrialization,,,,,,,,,64,0,,
"Programme 1: General
Administration and
Support Services","29,269,945",-,"29,269,945","7,548,398",-,"7,548,398",,,64,0,"21,721,547",25.8
"SP 1. Human Resource
Development and
Management","22,613,621",-,"22,613,621","6,814,998",-,"6,814,998",,,64,0,"15,798,623",30.1
"SP 2. Planning and
Support Services","2,368,673",-,"2,368,673",-,-,-,,,64,0,"2,368,673",-
"SP 3. Administrative
Services","4,287,651",-,"4,287,651","733,400",-,"733,400",,,64,0,"3,554,251",17.1
"Programme 2: Trade and
Enterprise Development",-,"115,679,933","115,679,933",-,-,-,,,64,0,"115,679,933",-
SP 2. 1. Business Loan,-,"115,679,933","115,679,933",-,-,-,,,64,0,"115,679,933",-
"Programme 3: Market
Infrastructure Develop-
ment and Management",-,"96,062,500","96,062,500",-,-,-,,,64,0,"96,062,500",-
"SP 3.1. Market Infra-
structure",-,"43,500,000","43,500,000",-,-,-,,,64,0,"43,500,000",-
"SP 3.2. Ward Based
Projects",-,"48,336,000","48,336,000",-,-,-,,,64,0,"48,336,000",-
Project Supervision,-,"4,226,500","4,226,500",-,-,-,,,64,0,"4,226,500",-
Sub Total,"29,269,945","211,742,433","241,012,378","7,548,398",-,"7,548,398",,,65,0,"233,463,980",3.1
Energy,,,,,,,,,65,0,,
"Programme 1: General
Administration and
Support Services","14,751,401",-,"14,751,401",-,-,-,,,65,0,"14,751,401",-
"SP 1. Human Resource
Development and
Management","4,219,452",-,"4,219,452",-,-,-,,,65,0,"4,219,452",-
"SP 2. Planning and
Support Services","4,087,361",-,"4,087,361",-,-,-,,,65,0,"4,087,361",-
"SP 3. Administrative
Services","6,444,588",-,"6,444,588",-,-,-,,,65,0,"6,444,588",-
"Programme 2: Energy
Development and
Management",-,"101,000,000","101,000,000",-,-,-,,,65,0,"101,000,000",-
SP 2. 1. Energy Access,-,"10,050,000","10,050,000",-,-,-,,,65,0,"10,050,000",-
Project Supervision,-,"950,000","950,000",-,-,-,,,65,0,"950,000",-
REREC,-,"90,000,000","90,000,000",-,-,-,,,65,0,"90,000,000",-
Sub Total,"14,751,401","101,000,000","115,751,401",-,-,-,,,65,0,"115,751,401",-
Industry,,,,,,,,,65,0,,
"Programme 1: General
Administration and
Support Services","8,977,520",-,"8,977,520",-,-,-,,,65,0,"8,977,520",-
"SP 1. Human Resource
Development and
Management","1,885,920",-,"1,885,920",-,-,-,,,65,0,"1,885,920",-
"SP 2. Planning and
Support Services","2,643,200",-,"2,643,200",-,-,-,,,65,0,"2,643,200",-
"SP 3. Administrative
Services","4,448,400",-,"4,448,400",-,-,-,,,65,0,"4,448,400",-
"Programme 2: Industrial
Investment and Devel-
opment",-,"200,000,000","200,000,000",-,-,-,,,65,0,"200,000,000",-
"SP 2. 1. Industrial
Development",-,"200,000,000","200,000,000",-,-,-,,,65,0,"200,000,000",-
Total,"8,977,520","200,000,000","208,977,520",-,-,-,,,65,0,"208,977,520",-
Sub Total,"52,998,866","512,742,433","565,741,299","7,548,398",-,"7,548,398",,,65,0,"558,192,901",1.3
"Lands, Urban and Physical Planning",,,,,,,,,65,0,,
"Programme 1: Gen-
eral Administration,
Planning and Support
Services","52,265,191",-,"52,265,191","6,569,715",-,"6,569,715",,,65,0,"45,695,476",12.6
"Human resource man-
agement","27,975,396",-,"27,975,396","6,142,115",-,"6,142,115",,,65,0,"21,833,281",22.0
"Administrative and
support services","12,129,145",-,"12,129,145","427,600",-,"427,600",,,65,0,"11,701,545",3.5
Capacity Building,"610,200",-,"610,200",-,-,-,,,65,0,"610,200",-
Land Registration,"5,000,000",-,"5,000,000",-,-,-,,,65,0,"5,000,000",-
"Planning and Financial
Management","1,641,250",-,"1,641,250",-,-,-,,,65,0,"1,641,250",-
"Policy and legal frame-
work","4,909,200",-,"4,909,200",-,-,-,,,65,0,"4,909,200",-
"Programme 2: Land
Development and
Management",-,"31,203,900","31,203,900",-,-,-,,,65,0,"31,203,900",-
"SP 3: Physical and Land
Use Plans",-,"7,637,625","7,637,625",-,-,-,,,65,0,"7,637,625",-
Project Supervision,-,"3,414,875","3,414,875",-,-,-,,,65,0,"3,414,875",-
Ward Based Projects,-,"20,151,400","20,151,400",-,-,-,,,65,0,"20,151,400",-
Sub Total,"52,265,191","31,203,900","83,469,091","6,569,715",-,"6,569,715",,,65,0,"76,899,376",7.9
Housing,,,,,,,,,65,0,,
"Programme 1 Gen-
eral Administration,
Planning and Support
Services","17,329,600",-,"17,329,600","3,008,317",-,"3,008,317",,,66,0,"14,321,283",17.4
"SP 1: Salaries and
Emoluments","9,586,560",-,"9,586,560","2,651,117",-,"2,651,117",,,66,0,"6,935,443",27.7
"SP 2: Administrative
Services","5,285,415",-,"5,285,415","357,200",-,"357,200",,,66,0,"4,928,215",6.8
"SP 4: Planning and
Financial Management","1,184,125",-,"1,184,125",-,-,-,,,66,0,"1,184,125",-
"SP 5: Policy and Legal
Framework","1,273,500",,"1,273,500",-,-,-,,,66,0,"1,273,500",-
"Programme 2 Housing
development and man-
agement",-,"130,000,000","130,000,000",-,-,-,,,66,0,"130,000,000",-
"SP 2: Housing Infra-
structural Development",-,"130,000,000","130,000,000",-,-,-,,,66,0,"130,000,000",-
Sub Total,"17,329,600","130,000,000","147,329,600","3,008,317",-,"3,008,317",,,66,0,"144,321,283",2.0
Bungoma Municipality,,,,,,,,,66,0,,
"Programme I: Gen-
eral Administration,
Planning and Support
services","28,745,800",-,"28,745,800","4,895,180",-,"4,895,180",,,66,0,"23,850,620",17.0
"SP 1.1: Salaries and
Personnel Emoluments","14,408,833",-,"14,408,833","3,607,580",-,"3,607,580",,,66,0,"10,801,253",25.0
"SP 1.2: Human Resource
Capacity Development
and Management","3,857,300",-,"3,857,300",-,-,-,,,66,0,"3,857,300",-
"SP 1.3: General Admin-
istration and Support
Services","4,656,667",-,"4,656,667","1,287,600",,"1,287,600",,,66,0,"3,369,067",27.7
"SP 1.4: Planning and
Financial Management","2,820,000",-,"2,820,000",-,-,-,,,66,0,"2,820,000",-
"SP 1.5: Institutional
Accountability, Lead-
ership, Efficiency and
Effectiveness","3,003,000",-,"3,003,000",-,-,-,,,66,0,"3,003,000",-
"Programme III: Urban
Infrastructure Develop-
ment and Management",-,"90,500,000","90,500,000",-,-,-,,,66,0,"90,500,000",-
"SP 3.2: Urban Transport
and Infrastructure
Development",-,"90,500,000","90,500,000",-,-,-,,,66,0,"90,500,000",-
"Programme IV: Urban
Environment and Social
Services",-,"15,200,000","15,200,000",-,-,-,,,66,0,"15,200,000",-
"SP 4.2: Urban Waste
Management and Sanita-
tion Services",-,"11,000,000","11,000,000",-,-,-,,,66,0,"11,000,000",-
"SP 4.3: Urban greening
and environment
protection",-,"4,200,000","4,200,000",-,-,-,,,66,0,"4,200,000",-
Sub Programme Total,-,"81,812,000","81,812,000",-,-,-,,,66,0,"81,812,000",-
Ward Based Projects,-,"68,400,000","68,400,000",-,-,-,,,66,0,"68,400,000",-
"Pre-feasibility, Feasibility
and Appraisal Studies",-,"1,500,000","1,500,000",-,-,-,,,66,0,"1,500,000",-
Project Supervision,-,"9,412,000","9,412,000",-,-,-,,,66,0,"9,412,000",-
Research,-,"2,500,000","2,500,000",-,-,-,,,66,0,"2,500,000",-
Sub Total,"28,745,800","187,512,000","216,257,800","4,895,180",-,"4,895,180",,,66,0,"211,362,620",2.3
Kimilili Municipality,,,,,,,,,66,0,,
"Programme 1: Urban
Governance","39,439,632",-,"39,439,632","4,697,493",-,"4,697,493",,,66,0,"34,742,139",11.9
"SP1: General Adminis-
trative planning and sup-
port services (Inclusive
of salary)","25,888,464",,"25,888,464","1,332,348",,"1,332,348",,,66,0,"24,556,116",5.1
SP2: Human resource,"13,551,168",,"13,551,168","3,365,145",,"3,365,145",,,67,0,"10,186,023",24.8
"Programme 2: Urban
Infrastructure Develop-
ment and Management",-,"112,000,000","112,000,000",-,-,-,,,67,0,"112,000,000",-
"Infrastructure. Housing
and public works",-,"112,000,000","112,000,000",-,-,-,,,67,0,"112,000,000",-
Sub Total,"39,439,632","112,000,000","151,439,632","4,697,493",-,"4,697,493",,,67,0,"146,742,139",3.1
County Public Service Board,,,,,,,,,67,0,,
"Programme I: Gen-
eral Administration,
Planning and Support
Services","20,736,188","30,000,000","50,736,188","3,055,209",-,"3,055,209",,,67,0,"47,680,979",6.0
"SP 1. 1 Administrative
service","20,736,188",,"20,736,188","3,055,209",-,"3,055,209",,,67,0,"17,680,979",14.7
"SP1.2 Construction 1
Building Administrative
Block",-,"30,000,000","30,000,000",-,-,-,,,67,0,"30,000,000",-
"Programme 2: Human
Resource Management
and Development","8,068,400",-,"8,068,400","2,461,130",-,"2,461,130",,,67,0,"5,607,270",30.5
"SP 2. 1 Human Resource
Management","8,068,400",-,"8,068,400","2,461,130",,"2,461,130",,,67,0,"5,607,270",30.5
"Programme 3: Gov-
ernance and National
Values","15,836,900",-,"15,836,900",-,-,-,,,67,0,"15,836,900",-
"SP 3. 1Quality Assur-
ance","5,120,330",-,"5,120,330",-,-,-,,,67,0,"5,120,330",-
"SP 3. 2 Ethics Governors
and National","10,716,570",-,"10,716,570",-,-,-,,,67,0,"10,716,570",-
Sub Total,"44,641,488","30,000,000","74,641,488","5,516,339",-,"5,516,339",,,67,0,"69,125,149",7.4
Public Service Management and Administration,,,,,,,,,67,0,,
"Programme 1: Gen-
eral Administration,
Planning and Support
Services","713,572,422","50,000,000","763,572,422","123,883,291",-,"123,883,291",,,67,0,"639,689,131",16.2
Sp1.1: Salaries,"394,636,934",-,"394,636,934","115,842,241",,"115,842,241",,,67,0,"278,794,693",29.4
Sp1.2: Utilities,"5,700,000",-,"5,700,000",-,-,-,,,67,0,"5,700,000",-
Sp1.3: Maintenance,"1,730,000",-,"1,730,000",-,-,-,,,67,0,"1,730,000",-
Sp1.4: Operations,"41,326,038",-,"41,326,038","8,041,050",,"8,041,050",,,67,0,"33,284,988",19.5
"Sp1.5: Contracted
security and cleaning
services","67,179,450",-,"67,179,450",-,-,-,,,67,0,"67,179,450",-
"Sp1.6: Purchase of
uniforms","4,000,000",-,"4,000,000",-,-,-,,,67,0,"4,000,000",-
Sp1.7: Medical insurance,"180,000,000",-,"180,000,000",-,-,-,,,67,0,"180,000,000",-
Sp1.9: National holidays,"10,000,000",-,"10,000,000",-,-,-,,,67,0,"10,000,000",-
"Infrastructure Devel-
opment",-,"50,000,000","50,000,000",-,-,-,,,67,0,"50,000,000",-
Sp1.10: Devolved units,"9,000,000",-,"9,000,000",-,-,-,,,67,0,"9,000,000",-
"Programme 2: Public
Participation, Civic
Education and Outreach
Services","8,000,000",-,"8,000,000",-,-,-,,,67,0,"8,000,000",-
"Sp2.1: Public Partici-
pation","4,000,000",-,"4,000,000",-,-,-,,,67,0,"4,000,000",-
Sp2.2: Civic education,"4,000,000",-,"4,000,000",-,-,-,,,67,0,"4,000,000",-
"Programme 3: Service
delivery and organiza-
tional transformation","10,000,000",-,"10,000,000",-,-,-,,,67,0,"10,000,000",-
"Sp3.1Service Delivery
and Organizational
Transformation","10,000,000",-,"10,000,000",-,-,-,,,67,0,"10,000,000",-
Sub Total,"731,572,422","50,000,000","781,572,422","123,883,291",-,"123,883,291",,,67,0,"657,689,131",15.9
Office of the County Secretary and County Attorney,,,,,,,,,67,0,,
"Programme 1: General
Administration, Plan-
ning and Support Ser-
vices (County Secretary)","13,800,000",-,"13,800,000","815,000",-,"815,000",,,68,0,"12,985,000",5.9
Payroll cleaning,"2,000,000",-,"2,000,000",-,-,-,,,68,0,"2,000,000",-
"Staff and workplace
surveys","2,000,000",-,"2,000,000",-,-,-,,,68,0,"2,000,000",-
Records management,"5,000,000",-,"5,000,000",-,-,-,,,68,0,"5,000,000",-
"Utilities and mainte-
nance","1,300,000",-,"1,300,000",-,-,-,,,68,0,"1,300,000",-
Operation,"3,500,000",-,"3,500,000","815,000",,"815,000",,,68,0,"2,685,000",23.3
"Programme 3: General
Administration, Plan-
ning and Support Ser-
vices County Attorney","12,000,000",-,"12,000,000",-,-,-,,,68,0,"12,000,000",-
Sp3.1: utilities,"500,000",-,"500,000",-,-,-,,,68,0,"500,000",-
Sp3.2: Maintenance,"300,000",-,"300,000",-,-,-,,,68,0,"300,000",-
Sp3.3: Operations,"5,200,000",-,"5,200,000",-,-,-,,,68,0,"5,200,000",-
Sp3.4: Legal fees,"6,000,000",-,"6,000,000",-,-,-,,,68,0,"6,000,000",-
Total,"25,800,000",-,"25,800,000","815,000",-,"815,000",,,68,0,"24,985,000",3.2
Sub Total,"757,372,422","50,000,000","807,372,422","124,698,291",-,"124,698,291",,,68,0,"682,674,131",15.4
Gender and Culture,,,,,,,,,68,0,,
"Programme 1: 1
General Administration,
planning and Support
Services","43,521,159","300,000","43,821,159","8,118,202",-,"8,118,202",,,68,0,"35,702,957",18.5
"Compensation to
Employees","28,972,440",-,"28,972,440","8,118,202",,"8,118,202",,,68,0,"20,854,238",28.0
Planning and Budgeting,"2,500,000",-,"2,500,000",-,-,-,,,68,0,"2,500,000",-
"Utility for office oper-
ations","500,000",-,"500,000",-,-,-,,,68,0,"500,000",-
"Administrative service
management (boards
and Committees, travel
costs, catering services,
others)","11,548,719","300,000","11,848,719",-,-,-,,,68,0,"11,848,719",-
"Programme 2 Cultural
Development and
Management","21,147,000","22,568,791","43,715,791","16,514,100",-,"16,514,100",,,68,0,"27,201,691",37.8
