Programme,"Approved Estimates
(Kshs.)",col_2,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_4,Absorption Rate (%),col_6,page_number,table_index
TOTAL,"607,690,225","182,855,100","352,409,539",-,57.99,-,256,0
Water Services,,,,,,,256,0
"Construction &
maintenance of water
pipeline supply sys-
tems-1001023060",-,"99,558,238",-,-,-,-,256,0
"1001033060-Development
of Borehole water supply
system",-,"98,083,913",-,-,-,-,256,0
"1001043060-Develop-
ment/Construction of sur-
face water supply systems",-,"95,360,450",-,-,-,-,256,0
"1001063060-Community
Water Project",-,"10,000,000",-,-,-,-,256,0
"1002013060-Personnel
Services","22,546,266",-,"11,171,464",-,49.55,-,256,0
"1002023060-Administra-
tion Services","25,549,582","306,500,000","14,697,107","220,003,130",57.52,71.78,256,0
TOTALS,"48,095,848","609,502,600","25,868,571","220,003,130",53.79,36.10,256,0
Roads and Public Works,,,,,,,256,0
"Personnel Services
305013060","34,621,341",-,"13,521,461",-,39.06,-,256,0
"Administration Planning
support service 305023060","26,619,078",-,"6,738,583",-,25.31,-,256,0
"Rehabilitation of Roads
Drainage & Bridges
202013060",-,"265,903,061",-,-,-,-,256,0
"Installation of street Light-
ing Facilities 203013060",-,"31,887,500",-,-,-,-,256,0
TOTALS,"61,240,419","297,790,561","20,260,044",-,33.08,-,256,0
3072 Tourism and ICT,,,,,,,256,0
"Tourism Promotion
{0304013060}","2,441,375","9,500,000","289,573",-,11.86,-,256,0
"Personnel services
{0305013060}","13,750,308",-,"6,156,549",-,44.77,-,256,0
"Administration services
{0305023060}","9,471,896",-,"732,870",-,7.74,-,256,0
,Rec,Dev,Rec,Dev,Rec,Dev,257,0
"Local area network instal-
lation and ICT support
{0308013060}","3,130,467","4,000,000","419,500",-,13.40,-,257,0
TOTALS,"28,794,045","13,500,000","7,598,491",-,26.39,-,257,0
3073 County Public Service Board,,,,,,,257,0
"Human Resource Planning
(706013060)","36,676,056",-,"11,112,720",-,30.30,-,257,0
TOTAL,"36,676,056",-,"11,112,720",-,30.30,-,257,0
"3074 Public Service and
Administration",,,,,,-,257,0
"704043060 General Ad-
ministration","14,056,800","17,500,000","9,208,817",-,65.51,-,257,0
704013060 Audit Services,"111,515,821",-,"53,546,500",-,48.02,-,257,0
"708033060 County com-
pliance and enforcement","4,270,100",-,-,-,-,-,257,0
"712013060 Sub County
Admin Msambweni","3,508,000",-,-,-,-,-,257,0
"712023060 Sub County
Admin Lunga Lunga","4,020,800",-,-,-,-,-,257,0
"712033060 Sub County
Admin Matuga","4,338,500",-,-,-,-,-,257,0
"712043060 Sub County
Admin Kinango","5,055,800",-,-,-,-,-,257,0
"713013060 County Gar-
bage and Cleaning Services","2,650,000",-,"365,213",-,13.78,-,257,0
"714013060 General
Administration Livestock
Development","4,375,000",-,"93,600",-,2.14,-,257,0
,"153,790,821","17,500,000","63,214,131",-,41.10,-,257,0
3075 Kwale Municipality,,,,,,,257,0
"General administration
and Support services
(0102053060)","3,669,958","10,000,000","8,500",-,0.23,-,257,0
"Personnel Services
(0102063060)","7,901,088",-,-,-,-,-,257,0
"Kwale municipality
(111013060)",-,"13,250,000","241,600",-,-,-,257,0
TOTAL,"11,571,046","23,250,000","250,100",-,2.16,-,257,0
3076 Diani Municipality,,,,,,,257,0
"General administration
and Support services
(0102053060)","2,500,000",-,-,-,-,-,257,0
"Personnel Services
(0102063060)","8,184,906",-,-,-,-,-,257,0
"Kwale Municipality
(111013060)",-,"22,000,000","64,000",-,-,-,257,0
,Rec,Dev,Rec,Dev,Rec,Dev,258,0
TOTAL,"10,684,906","22,000,000","64,000",-,0.60,-,258,0
Office of the County Attorney,,,,,,,258,0
"County Law Office Devel-
opment","24,100,800",-,"789,980",-,3.28,-,258,0
Legislative Drafting,"1,255,000",-,-,-,-,-,258,0
Dispute Resolution,"2,726,000",-,-,-,-,-,258,0
Administration services,"5,434,250",-,-,-,-,-,258,0
TOTAL,"33,516,050",-,"789,980",-,2.36,-,258,0
Lunga Lunga Municipality,,,,,,,258,0
"General administration
and Support services
(0102053060)",-,"17,500,000",-,-,-,-,258,0
"Audit services
(07040163060)","750,000",-,-,-,-,-,258,0
"General Administration
(07040463060)","1,500,000",-,-,-,-,-,258,0
"Physical development plans
(0104013060)",-,"7,500,000",-,-,-,-,258,0
TOTAL,"2,250,000","25,000,000",-,-,-,-,258,0
Kinango Municipality,,,,,,,258,0
"General administration
and Support services
(0102053060)",-,"17,500,000",-,-,-,-,258,0
"Audit services
(07040163060)","750,000",-,-,-,-,-,258,0
"General Administration
(07040463060)","1,500,000",-,-,-,-,-,258,0
"Physical development plans
(0104013060)",-,"7,500,000",-,-,-,-,258,0
TOTAL,"2,250,000","25,000,000",-,-,-,-,258,0
Promotive & Preventive Health Services,,,,,,,258,0
"401033060 TB/HIV/
Malaria","3,202,500",-,-,-,-,-,258,0
"401043060 Neglected
tropical diseases","500,000",-,-,-,-,-,258,0
"401063060 Healthcare
Waste Management","2,400,000",-,-,-,-,-,258,0
"401013060 Community
health strategy","800,000",-,-,-,-,-,258,0
"401053060 Public health
Hygiene","2,919,829",-,-,-,-,-,258,0
"401073060 Epidemics
Control","500,000",-,-,-,-,-,258,0
"408013060 Tiwi Rural
Health Facility","4,037,000","5,000,000",-,-,-,-,258,0
