Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023 (Kshs)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"CSP 4.1 Environment and
Natural Resources Manage-
ment","1,100,000","30,000,000",-,-,-,-,120,0
,"CSP 4.2 climate change and
adaptation","12,600,000","80,000,000",-,-,-,-,120,0
,"CSP 4.3 Energy Develop-
ment","1,205,000",-,-,-,-,-,120,0
,Sub-Total,"210,804,386","60,000,000","45,013,375",,21.4,-,120,0
"Department of County Affairs, Public Ser-
vice and Intergovernmental Relation",,"522,570,671",-,"133,400,000",-,26,-,120,0
Programme 1: CP 1 Executive Services,,"225,020,000",-,"33,000,000",-,14.7,-,120,0
,Governor’s Office,"188,900,000",,"20,000,000",,10.6,-,120,0
,Deputy Governor’s Office,"36,120,000",-,"13,000,000",,36.0,-,120,0
Programme 2: CSP2 County Secretary,,"297,550,671",-,"100,400,000",-,33.7,-,120,0
,"CSP 2.1 Street Lighting
Headquarters","63,156,215",-,"24,000,000",-,38.0,-,120,0
,"CSP 2.2Operations &
Sub-County Administration","104,810,000",-,"40,400,000",-,38.5,-,120,0
,"CSP 2.3 Intergovernmental
&public participation","18,812,430",-,"6,500,000",-,34.6,-,120,0
,CSP 2.4 County Attorney,"17,000,000",-,"5,000,000",-,29.4,-,120,0
,CSP 2.5 HR Department,"76,991,478",-,"15,500,000",-,20.1,-,120,0
,CSP 2.6 Donor coordination,"16,780,548",-,"9,000,000",-,53.6,-,120,0
,Sub-Total,"522,570,671",-,"133,400,000",-,25.5,-,120,0
Department of County Public Service Board,,"34,072,000",-,-,-,39.4,-,120,0
"Programme 1: CP1: Administration and
Support Services",,"34,072,000",-,"13,426,079",-,39.4,-,120,0
,"CSP 1.1 Administrative and
Support Services","34,072,000",-,"13,426,079",-,39.4,-,120,0
