Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th Sep-
tember 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"403023710-preventive
and promotive health
services","870,626,918.00","24,669,500.00","422,072,002.00",-,48.5,-,241,0
,"403033710-preventive
and promotive health
services","1,133,900.00",,"512,000.00",-,45.2,-,241,0
,"404013710-maternal
and child health","981,436.00",,"252,000.00",-,25.7,-,241,0
,"404023710-maternal
and child health","58,037,336.00",,"23,369,600.00",-,40.3,-,241,0
,"404033710-maternal
and child health","90,004,170.00",,"17,508,793.00",-,19.5,-,241,0
,Sub-Total,"3,409,340,010.00","209,607,384.00","1,113,164,548.00",-,32.7,-,241,0
County Public Service Board,,,,,,,,241,0
"Adminis-
tration & Plan-
ning","701013710-general
administration","46,297,236.00","15,000,000.00","1,556,413.00",-,3.4,-,241,0
headquarters,"713013710-human
resource management
and development","5,066,300.00",,"978,406.00",-,19.3,-,241,0
,"713023710-human
resource management
and development","5,797,796.00",,"1,061,432.00",-,18.3,-,241,0
,"714013710-gover-
nance and county
values","3,340,800.00",,"521,300.00",-,15.6,-,241,0
,Sub-Total,"60,502,132.00","15,000,000.00","4,117,551.00",-,6.8,-,241,0
County Assembly,,,,,,,,241,0
"Adminis-
tration & Plan-
ning","701013710-general
administration","314,866,878.00",,"61,226,276.00",-,19.4,-,241,0
"legislative
department","715013710-legislation
representation and
oversight","534,320,947.00",,"158,250,190.00",-,29.6,-,241,0
,Sub-Total,"909,689,957.00",,"223,594,017.00","909,689,957.00",24.6,-,241,0
Kitui Municipality,,,,,,,,241,0
,,Rec,Dev,Rec,Dev,Rec,Dev,242,0
"environment&
community
dev","207013710-gener-
al administration
planning and support
services","15,684,000.00","20,261,712.00","2,757,119.00",-,17.6,-,242,0
finance,"207023710-gener-
al administration
planning and support
services","5,111,184.00",,"1,507,869.00",-,29.5,-,242,0
"Adminis-
tration & Plan-
ning","201013710-gener-
al administration
planning and support
services","45,187,700.00","3,000,000.00","5,011,858.00",-,11.1,-,242,0
"Transport &
Infrastructure","207013710-trade
development and
promotion","8,286,000.00","54,500,000.00","1,398,400.00",-,16.9,-,242,0
"Trade and
industrializa-
tion","207033710-road
transport","3,480,000.00","12,499,999.00","629,431.00",-,18.1,-,242,0
,Sub-Total,"77,748,884.00","90,261,711.00","11,304,677.00",-,14.5,-,242,0
Mwingi town municipality,,,,,,,,242,0
"Adminis-
tration & Plan-
ning","109013710-govern-
ment buildings","4,206,946.00","3,500,000.00","91,575.00",-,2.2,-,242,0
,"201013710-gener-
al administration
planning and support
services","38,221,896.00","3,500,000.00","4,737,506.00",-,12.4,-,242,0
,"706013710-devolu-
tion services","433,866.00","1,900,000.00","24,360.00",-,5.6,-,242,0
"Transport &
Infrastructure","207013710-urban and
metropolitan devel-
opment","9,067,428.00","8,500,000.00","117,600.00",,1.3,-,242,0
,"207023710-urban and
metropolitan devel-
opment","556,916.00",,"11,905.00",-,2.1,-,242,0
,"207033710-urban and
metropolitan devel-
opment","142,158.00","7,200,000.00",-,-,-,-,242,0
,"1001013710-envi-
ronmental policy
management","698,900.00","13,500,000.00",-,-,-,-,242,0
