Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Curative and Rehabilitee
Health","Health Products
and Technol-
ogies Sup-
port-0401014510","40,000,000","169,250,000","13,186,318","66,165,645",33.0,39.1,268,0
,"Health Infrastruc-
ture Development",-,"150,000,000",-,-,-,-,268,0
,"Emergency Referral
and Rehabilitative
Service","239,423,000","393,185,500","80,337,191","53,719,633",33.6,13.7,268,0
"General Administration
and Planning Services","Administration,
Project Planning
and Implementa-
tion Services","10,000,000",-,"2,000,000",-,20.0,-,268,0
,"Human Resource
Development","25,000,000",-,"10,316,530",-,41.3,-,268,0
,"Standards and
Quality Assurance","10,000,000",-,"3,754,100",-,37.5,-,268,0
,"Health Leadership
and Governance","5,832,080",-,"1,081,480",-,18.5,-,268,0
,"Health Policy, Gov-
ernance, Planning
and Financing -","2,000,000",-,"980,750",-,49.0,-,268,0
,"Health Informa-
tion Standards and
Quality Assurance","2,000,000",-,-,-,-,-,268,0
,,Rec,Dev,Rec,Dev,Rec,Dev,269,0
"PREVENTIVE HEALTH
SERVICES","Community Health
Strategy, Advocacy
and Surveillance","12,000,000",-,-,-,-,-,269,0
,"Family Planning,
Maternal, and
Child Health
Services","2,000,000",-,"475,900",-,23.8,-,269,0
,"Non -Non-Com-
municable Diseases
Control and Pre-
vention","2,000,000",-,"434,700",-,21.7,-,269,0
,"Public Health
Promotion and
Nutrition Services","9,350,000",-,"3,194,300",-,34.2,-,269,0
,"Social Health Insur-
ance Scheme","6,000,000",-,-,-,-,-,269,0
,"TB/HIV/Aids
Prevention and
Control","14,000,000",-,"445,200",-,3.2,-,269,0
Sub Total,,"379,605,080","712,435,500","116,206,469","119,885,278",30.6,16.8,269,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,269,0
Headquarters,"SP1Headquarter
Administration
Services","10,800,000","10,500,000","3,296,076",-,30.5,-,269,0
,"SP3 Agriculture
Sector Extension
Management","1,933,282","94,870,868","1,933,282","8,870,868",100.0,9.4,269,0
Livestock Production,"SP2 Livestock
Resource Develop-
ment and Manage-
ment","121,389,340","11,000,000","409,800",-,0.3,-,269,0
Veterinary Services,"SP5 Animal Health
and Disease Man-
agement","1,800,000","10,500,000","334,100",-,18.6,-,269,0
Fisheries Production,"SP1 Fisheries
Development and
Management","1,500,000","5,000,000","416,000",-,27.7,-,269,0
"Crop Production & Hor-
ticulture","SP2 Land and
Crop Productivity
Enhancement and
Management","3,800,000","2,400,000","1,632,400",-,43.0,-,269,0
,"SP4 Strategic Food
Security Service","66,899,161",-,"10,119,997",-,15.1,-,269,0
,"SP4 Climate
Change Adaptation
& Mitigation","1,800,000","20,990,000","836,495",-,46.5,-,269,0
Sub Total,,"209,921,783","155,260,868","18,978,150","8,870,868",9.0,5.7,269,0
"LANDS, INFRASTRUCTURE, HOUSING AND URBAN DEVELOPMENT",,,,,,,,269,0
"General Administration
and Planning Services","SP1 Administration
Services","6,619,610",-,"893,142",-,13.5,-,269,0
,,Rec,Dev,Rec,Dev,Rec,Dev,270,0
"Physical Planning and
Survey","SP1-Survey and
Planning services","5,000,000","9,000,000","629,860",-,12.6,-,270,0
,"SP2-Land manage-
ment services",-,"5,000,000",-,-,-,-,270,0
,"SP3- Strategic proj-
ect monitoring and
intervention",-,"2,000,000",-,-,-,-,270,0
,"SP4-policy man-
agement, public
mobilisation and
participation",-,"6,500,000",-,-,-,-,270,0
"Land and Housing Man-
agement","SP2 Housing Policy
Development","1,000,000","20,000,000","50,000",-,5.0,-,270,0
"Public Works Service
Delivery Improvement","SP4 County Build-
ing Construction
Standard","1,000,000","2,500,000","249,450",-,24.9,-,270,0
"Roads Network Improve-
ment Housing and Urban
Development","SP1 Road Network
improvement","2,000,000","265,300,000","449,100","23,500,000",22.5,8.9,270,0
,"SP3- Road network
maintenance",-,"10,000,000",-,-,-,-,270,0
,"SP4 Heavy Equip-
ment Maintenance",-,"10,000,000",-,-,-,-,270,0
,"SP5- Mechanisation
Services",-,"30,000,000",-,-,-,-,270,0
,"SP Urban Develop-
ment-",-,"15,000,000",-,-,-,-,270,0
"Renewable /Green Energy
Services","SP1 County renew-
able/green energy
services-","22,000,000","10,000,000","5,115,221",-,23.3,-,270,0
Sub Total,,"37,619,610","385,300,000","7,386,773","23,500,000",19.6,6.1,270,0
EDUCATION AND LIBRARY SERVICES,,,,,,,,270,0
"Administration and plan-
ning services","Administration
Services",-,"4,110,000",-,-,-,-,270,0
,Headquarter Service,"3,000,000",-,"1,000,000",-,33.3,-,270,0
,Personnel services,"2,000,000",-,"816,700",-,40.8,-,270,0
"Early childhood de-
velopment (ECD) and
childcare facilities","Education Empow-
erment","75,000,000",-,-,-,-,-,270,0
,"ECDE Infrastruc-
ture Improvement",-,"39,800,000",-,-,-,-,270,0
,"ECDE Teacher
Services","2,000,000",-,"874,200",-,43.7,-,270,0
"Youth, Polytechnics,
Vocational Training","Vocational Educa-
tion and Training","20,000,000","20,000,000","1,469,200",-,7.3,-,270,0
Total,,"102,000,000","63,910,000","4,160,100",-,4.1,-,270,0
"TRADE, TOURISM AND COOPERATIVE DEVELOPMENT",,,,,,,,270,0
"Administration, planning
and support services","SP1 Administration
Service","4,350,000",-,"775,000",-,17.8,-,270,0
,"SP2 Personnel
Services","1,800,000",-,"413,600",-,23.0,-,270,0
,SP3 Policy Services,"3,450,000",-,"1,070,800",-,31.0,-,270,0
,,Rec,Dev,Rec,Dev,Rec,Dev,271,0
"Co-operative Develop-
ment","SP3 Research and
Development","2,300,000",,"234,000",-,10.2,-,271,0
,"SP2 Co-operative
Revolving fund",-,"6,500,000",-,-,-,-,271,0
Trade and Investment,"SP1 Market Infra-
structure Develop-
ment",-,"14,000,000",-,-,-,-,271,0
,"SP5 Industrial
Development and
Investment Promo-
tion","6,500,000","350,000,000","1,160,700",-,17.9,-,271,0
,"Informal Sector
Development",-,"1,500,000",-,-,-,-,271,0
"Tourism Development
and Promotion","SP1 Tourism
Promotion and
Marketing","1,600,000",-,"167,000",-,10.4,-,271,0
,"SP2 Tourism Infra-
structural Develop-
ment",-,"3,800,000",-,-,-,-,271,0
Sub Total,,"20,000,000","375,800,000","3,821,100",-,19.1,0.0,271,0
"GENDER, CULTURE AND SOCIAL SERVICES",,,,,,,,271,0
"Administration and
planning services","Use of goods and
services","3,900,000","2,200,000","1,292,624",-,33.1,-,271,0
CEDC,"Children’s insti-
tutions support
program (CEDC)","3,400,000","3,500,000","100,000",-,2.9,-,271,0
"Culture and Social
Services","Cultural events
promotion services","2,100,000",-,"1,699,000",,80.9,-,271,0
,"Social services infra-
structure",-,"1,500,000",-,-,,-,271,0
Sports,"Talent identification
programme","8,000,000",-,"2,589,800",,32.4,-,271,0
,"Youth mainstream-
ing initiative",-,"500,000",-,-,-,-,271,0
,"Sports promotion
services","2,500,000",-,"711,700",,28.5,-,271,0
,"Sports Facility
Improvement","100,000","7,500,000",-,-,-,-,271,0
,"Cultural events
promotion services","3,000,000",-,-,,-,-,271,0
Sub Total,,"23,000,000","15,200,000","6,393,124",-,27.8,-,271,0
"WATER, ENVIRONMENT, NATURAL RESOURCES AND CLIMATE CHANGE",,,,,,,,271,0
Water Development,"Rural water supply
and sanitation",-,"15,300,000",-,-,-,-,271,0
"General administration
and support services","Administrative and
Planning Services","16,500,000","1,000,000","5,561,268",,33.7,-,271,0
,"Motor vehicle
maintenance and
fuel provision","4,500,000",-,"841,890",-,18.7,-,271,0
,,Rec,Dev,Rec,Dev,Rec,Dev,272,0
"Environment and Natural
Resources","Solid Waste Man-
agement",,"21,300,000",-,"11,200",-,0.1,272,0
,"Human-Wildlife
Conflict Prevention",-,"500,000",-,-,-,-,272,0
,"Natural Resources
Management",-,-,-,-,-,-,272,0
,"Climate Change
Adaptation &
Mitigation",-,"61,500,000",-,"10,428,140",-,17.0,272,0
,"Integrated land
rehabilitation",-,"500,000",,,-,-,272,0
Sub Total,,"21,000,000","100,100,000","6,403,158","10,439,340",30.5,10.4,272,0
NANYUKI MUNICIPALITY,,,,,,,,272,0
Administration Services,"SP1 Administration
Services","1,000,000",-,-,-,-,-,272,0
"Roads Network Improve-
ment Housing and Urban
Development","SP1-Road Network
improvement",-,"1,000,000",-,-,-,-,272,0
Sub Total,,"1,000,000","1,000,000",-,-,-,-,272,0
RUMURUTI MUNICIPALITY,,,,,,,,272,0
"P3-0103004510-General
Administration and Plan-
ning Services","SP1 Administration
Services","2,500,000",-,-,-,-,-,272,0
"P15 Roads Network Im-
provement Housing and
Urban Development","SP1-Road Network
improvement",-,"5,000,000",-,-,-,-,272,0
Sub Total,,"2,500,000","5,000,000",-,-,-,-,272,0
COUNTY ASSEMBLY,,,,,,,,272,0
"General administration
support services","Compensation of
employees/MCAs","226,209,653",-,"48,517,357",-,21.4,-,272,0
,"Other recurrent
expenditure","93,275,776",-,"1,548,706",-,1.7,-,272,0
,"County Assembly
Staff Car & Mort-
gage Scheme","20,000,000",-,"10,000,000",-,50.0,-,272,0
Legislative and oversight,"Other recurrent
expenditure","222,823,620",-,"39,362,722",-,17.7,-,272,0
,Training,"3,000,000",-,"531,320",-,17.7,-,272,0
,Public participation,"500,000",-,"150,000",-,30.0,-,272,0
"County Assembly infra-
structure services","Refurbishment of
Non -Non-Residen-
tial Building-",-,"28,000,000",-,-,-,-,272,0
,"Refurbishment of
Residential Build-
ings",-,"2,000,000",-,-,-,-,272,0
Sub Total,,"565,809,049","30,000,000","100,110,105",-,17.7,0.0,272,0
Grand Total,,"4,871,926,649","2,374,750,868","916,369,783","235,865,289",38.6,9.9,272,0
