Programme,Sub-Programme,Approved Estimates,col_3,"Actual expenditure as of 30th
September 2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"Transport and
Infrastructure",General Administration,"35,700,173",-,"408,800",-,-,-,41,0
,"Urban Infrastructure Develop-
ment",-,"50,578,960.00",-,-,-,-,41,0
,"Rural Infrastructure Develop-
ment",-,"67,200,000.00",-,-,-,-,41,0
,"New and maintenance of roads
County-wide",-,"431,424,045.00",-,-,-,-,41,0
,Installation of Floodlights,-,"12,080,641.00",-,-,-,-,41,0
,"Complete Construction of Pub-
lic Works Office Block",-,"23,000,000.00",-,-,-,-,41,0
,Construction of Foot Bridges,-,"47,509,057.00",-,-,-,-,41,0
,Culverts and Bridges,-,"17,100,000.00",-,-,-,-,41,0
"Industry, Com-
merce, Tourism,
Cooperatives
and Enterprise
Development",General Administration,"18,448,989",-,"209,300",-,-,-,41,0
,"Co-operative services Develop-
ment",-,"82,234,780.00",-,-,-,-,41,0
,"Tourism Development & Mar-
keting",-,"46,320,101.25",-,-,-,-,41,0
,"Infrastructure and Trade Devel-
opment",-,"17,500,000.00",-,-,-,-,41,0
,"Industrial Development and
Investment services",-,"359,000,000.00",-,-,-,-,41,0
"Trade Devel-
opment and
Management
Services",General administration,-,-,-,-,-,-,41,0
,Trade Development,-,"2,000,000.00",-,-,-,-,41,0
Education,"General Administration, Plan-
ning and support services","84,490,000",-,"1,059,700",-,-,-,41,0
"Early Childhood
Development",Infrastructure development,-,"173,906,666.00",-,-,-,-,41,0
,,Rec,Dev,Rec,Dev,Rec,Dev,42,0
"Early Childhood
Development
Education","Curriculum Development and
Equipment",-,"2,500,000.00",-,-,-,-,42,0
"Vocational
Training devel-
opment",Infrastructure Development,-,"58,344,527.00",-,-,1,-,42,0
"Vocational
Training devel-
opment","Bursary and Scholarship Pro-
gramme",-,"29,400,000.00",-,-,-,-,42,0
"County Health
Services",General Administration,"398,631,775",,"55,880,840",-,-,-,42,0
"Curative and
Rehabilitative
Services",Infrastructure development,-,"321,342,202.00",-,-,-,-,42,0
"Preventive and
Promotive
Health Services",Infrastructure development,-,"271,642,611.40",-,-,-,-,42,0
,Health/preventive services,-,-,-,-,14,-,42,0
,Medical Drugs,-,-,-,-,-,-,42,0
"Promotion of
primary health-
care",General administration,-,-,-,-,-,-,42,0
"Lands and
Urban Develop-
ment",General administration,"10,003,832",-,"1,300,684",-,-,-,42,0
"Land use
planning and
Information
management","Land Policy and Planning
Services",-,"5,500,000.00",-,-,-,-,42,0
"Land use
planning and
Information
management",Land Survey Services,-,"11,100,000.00",-,-,-,-,42,0
"Eldama Ravine
Town- Urban
Development",Infrastructure development,"5,154,129","18,853,000.00",-,-,13,-,42,0
"Kabarnet
Municipality
Services",Infrastructure development,"6,759,157","23,500,000.00",-,-,-,-,42,0
"Housing De-
velopment and
Management",Housing development,-,"1,200,000.00",-,-,-,-,42,0
"Land use
planning and
Information
management",Land Adjudication Services,-,"17,500,000.00",-,-,-,-,42,0
"Land use
planning and
Information
management","Land adjudication and demar-
cation",-,"1,500,000.00",-,-,-,-,42,0
"Land use
planning and
Information
management","Land Policy and Planning
Services",-,"25,237,350.00",-,-,-,-,42,0
"General Ad-
ministration,
Planning and
Support Services",Infrastructure Development,-,"6,000,000.00",-,-,-,-,42,0
,,Rec,Dev,Rec,Dev,Rec,Dev,43,0
"Kabarnet
Municipality
Services",Sanitation & waste management,-,"8,500,000.00",-,-,-,-,43,0
,"Urban Safety and Disaster Con-
trol Services",-,"2,000,000.00",-,-,-,-,43,0
,Infrastructure development,-,"15,100,000.00",-,-,-,-,43,0
,"Urban Infrastructure develop-
ment and management",-,-,-,-,-,-,43,0
"Agricultural
Services","General Administration and
Planning","30,779,781",-,-,-,-,-,43,0
"Livestock
resources man-
agement and
development",Livestock upgrading,-,"149,789,340.00",-,-,-,-,43,0
"Milk Processing
Plant-Eldama
Ravine","Completion of Milk Processing
Plant",-,"46,000,000.00",-,-,-,-,43,0
"Kabartonjo Milk
Cooling Plant","Construction of Ossen Milk
Cooling Plant",-,"3,500,000.00",-,-,-,-,43,0
"Livestock Sales
yards","Maintenance of Livestock Sale
Yards- Emining, Loruk and
Loitip",-,"1,500,000.00",-,-,-,-,43,0
"Slaughterhouses
Maintenance","Maintenance of slaughterhouses
and slabs",-,"1,000,000.00",-,-,-,-,43,0
"Maoi Slaughter
House",Slaughterhouses and slabs:,-,"10,000,000.00",-,-,-,-,43,0
"Loruk Slaughter
House","Completion of Loruk Slaughter
House",-,"3,000,000.00",-,-,-,-,43,0
"Barwessa
Slaughter House","Completion of Barwessa Slaugh-
ter House",-,"3,000,000.00",-,-,-,-,43,0
"Ngentalel
Slaughter House","Completion of Ngentalel Slaugh-
ter House",-,"4,000,000.00",-,-,-,-,43,0
"Cattle Dips and
Animal Vaccina-
tions",Dips and Vaccines,-,"18,000,000.00",-,-,-,-,43,0
Bee Keeping,Beehives,-,"9,000,000.00",-,-,-,-,43,0
"Hay stores,
purchase of pas-
ture seeds and
Climate change","Hay stores, purchase of pasture
seeds and Climate change",-,"10,000,000.00",-,-,-,-,43,0
"Support to ATC
Services",Support to ATC Services,-,"7,000,000.00",-,-,-,-,43,0
"Agricultural
Machinery",Purchase of Tractor,-,"4,500,000.00",-,-,-,-,43,0
"Conditional
Grants for
provision of
Fertilizer subsidy
Programme","Conditional Grants for provision
of Fertilizer subsidy Programme",-,"75,977,677.00",-,-,-,-,43,0
"IDA World
Bank (KCSAP)",IDA World Bank (KCSAP),-,"90,000,000.00",-,-,-,-,43,0
"Matching funds
to IDA. World
Bank (KCSAP)","Matching funds to IDA. World
Bank (KCSAP)",-,"1,200,000.00",-,-,-,-,43,0
"SWEDEN:
Agricultural
Sector Develop-
ment Support
Programme
(ASDSP) II","SWEDEN: Agricultural Sector
Development Support Pro-
gramme (ASDSP) II",-,"1,733,647.00",-,-,-,-,43,0
,,Rec,Dev,Rec,Dev,Rec,Dev,44,0
"World Bank
Emergency
Locusts Project","World Bank Emergency Locusts
Project",-,"126,616,043.61",-,-,-,-,44,0
"Certified pasture
and maize","Provision of pastures and maize
seeds",-,"4,000,000.00",-,-,-,-,44,0
"Purchase of
Mangoes,
Macadamia and
Coffee Seedlings","Purchase of Mangoes, Macada-
mia and Coffee Seedlings for
Mochongoi",-,"19,900,000.00",-,-,-,-,44,0
"Cattle Dips and
Animal Vaccina-
tions",Renovations of Cattle Dips,-,"41,046,396.00",-,-,-,-,44,0
"Cooperative
stores","Construction of Cooperative
stores",-,"21,746,057.00",-,-,-,-,44,0
Motor Boats,Purchase of motorboats,-,"12,300,000.00",-,-,-,-,44,0
"Culture, Youth
and Gender",General Administration,"33,592,453",-,"1,398,520",-,-,-,44,0
"Social Services
and Safety nets",Affirmative Action Initiatives,-,"28,952,631.00",-,-,-,-,44,0
"Social Services
and Safety nets",Infrastructure Development,-,"8,097,229.00",-,-,-,-,44,0
"Cultural and
Creative Arts
Development",Infrastructural development,-,"4,500,000.00",-,-,-,-,44,0
"Gender devel-
opment and
management",Gender Initiatives,-,"1,000,000.00",-,-,-,-,44,0
"Youth Devel-
opment and
Management",Infrastructure Development,-,"11,000,000.00",-,-,-,-,44,0
"Sports Devel-
opment and
Management",Infrastructural development,-,"26,988,728.00",-,-,-,-,44,0
"Culture and
Creative Arts
Development",Cultural Promotion Initiative,-,"3,100,000.00",-,-,-,-,44,0
"Culture and
Creative Arts
Development","Infrastructural development-so-
cial Halls",-,"13,950,419.00",-,-,-,-,44,0
"Gender devel-
opment and
management","Gender Initiatives-Women Em-
powerment",-,"3,600,000.00",-,-,-,-,44,0
"Youth Devel-
opment and
Management","Youth Initiatives- Youth Empow-
erment",-,"7,900,000.00",-,-,-,-,44,0
"Youth Devel-
opment and
Management","Infrastructural develop-
ment-Playing Grounds",-,"8,573,985.00",-,-,-,-,44,0
"Water Manage-
ment Services",General Administration,"62,655,512.00",-,"15,000,000",-,-,-,44,0
"Water resource
development
and supplies
management","Water resource management and
storage",-,"994,914,244.00",-,-,-,-,44,0
"Irrigation
infrastructure
development",Irrigation Infrastructure,-,"26,100,000.00",-,-,-,-,44,0
,,Rec,Dev,Rec,Dev,Rec,Dev,45,0
"Environment
Administration
and Planning",Planning and Administration,"18,754,819",-,"382,600",-,-,-,45,0
"Environmental
Conservation
and Manage-
ment","Environmental conservation and
protection",-,"11,300,000.00",-,-,-,-,45,0
"Natural Resourc-
es Conservation,
Exploitation and
Management","Forestry and Wildlife Conserva-
tion and Management",-,"3,500,000.00",-,-,-,-,45,0
"Environmental
conservation and
management",Solid Waste management,-,"9,350,400.00",-,-,-,-,45,0
"Environmental
Conservation
and Manage-
ment","Environmental conservation and
protection",-,"14,024,900.00",-,-,-,-,45,0
"Natural Resourc-
es Conservation,
Exploitation and
Management","Forestry and Wildlife Conserva-
tion and Management",-,"1,300,000.00",-,-,-,-,45,0
"Climate Change
Fund Projects","Water resource/ pasture develop-
ment and supplies management",-,"71,988,914.00",-,-,-,-,45,0
,Protection of rivers and streams,-,-,-,-,-,-,45,0
"County Public
Service Board",Administration and Planning,"17,922,030.00",-,"1,089,200",-,-,-,45,0
Grand Total,,"5,095,542,257","4,450,052,447","721,189,049","21,947,207",-,-,45,0
