Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual
Expenditure
as of 30th Sep-
tember 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,Child Rescue Centres,"10,000,000",-,"10,000,000",-,543,0
,Child Care and Protection,"27,226,348",-,"27,226,348",-,543,0
Sports and arts programme,Construction of sports Stadia,"14,450,000","3,206,000","11,244,000",22.2,543,0
General administration,General Administration,"26,337,042",-,"26,337,042",-,543,0
,"Turkana Education and Skill Develop-
ment Fund","534,219,180",-,"534,219,180",-,543,0
,,A,B,C=A-B,D=B/A*100,544,0
Vocational Training,Youth Polytechnic Infrastructure,"60,600,000",-,"60,600,000",-,544,0
,Training and Development,"4,610,000",-,"4,610,000",-,544,0
,Co-Curricular Activities,"3,501,017",-,"3,501,017",-,544,0
,Youth Polytechnics- Conditional,"12,714,291",-,"12,714,291",-,544,0
Public Relations,Publicity,"1,220,000",-,"1,220,000",-,544,0
,Research and Sensitization,"1,708,000",-,"1,708,000",-,544,0
Early Childhood Education,School Feeding,"105,000,000",-,"105,000,000",-,544,0
,Quality Improvement,"6,614,000",-,"6,614,000",-,544,0
,Infrastructure Development,"283,522,678",-,"283,522,678",-,544,0
,Support to Pre-Primary Training,"7,201,615",-,"7,201,615",-,544,0
,Sub total,"1,153,523,408","3,206,000","1,150,317,408",0.3,544,0
"Public Services, Decentralized Administration & Disaster Management",,,,,,544,0
"Operationalisation of De-
centralised Units","Operationalisation of Decentralised
Units","10,761,200",-,"10,761,200",-,544,0
,Decentralised County Policy,"35,621,258",-,"35,621,258",-,544,0
,Coordinated development,"11,600,000",-,"11,600,000",-,544,0
,Policy sensitisation and dissemination,"16,933,500",-,"16,933,500",-,544,0
"Governance and Public
Participation",Civic education Programme,"1,564,400",-,"1,564,400",-,544,0
,"Public Participation and access to
information","8,747,050",-,"8,747,050",-,544,0
,County Dialogue Forum,"1,400,000",-,"1,400,000",-,544,0
,National and County Holidays,"1,655,500",-,"1,655,500",-,544,0
,Policies Design,"805,500",-,"805,500",-,544,0
Disaster risk management,Disaster Preparedness Programmes,"2,000,000",-,"2,000,000",-,544,0
,Disaster Mitigation Programmes,"2,000,000",-,"2,000,000",-,544,0
,"Stakeholders Coordination and Support
Programme","563,892,100",-,"563,892,100",-,544,0
,Disaster Risk Management,"800,000",-,"800,000",-,544,0
Inspectorate services,Inspectorate Training Institute,"20,866,848",-,"20,866,848",-,544,0
,Dispute Resolution,"2,055,390",-,"2,055,390",-,544,0
,Capacity Building,"2,230,664",-,"2,230,664",-,544,0
,Inspectorate Services,"3,700,000",-,"3,700,000",-,544,0
,Inspectorate Services Equip,"3,700,000",-,"3,700,000",-,544,0
"Human resource manage-
ment",Payroll and record management,"1,500,000",-,"1,500,000",-,544,0
,Human Resource Development,"19,900,000",-,"19,900,000",-,544,0
,"GHRIS Leave and Performance Module
Implementation","2,200,000",-,"2,200,000",-,544,0
,"Digitisation and Automation of Human
Resource Registry","3,800,000",-,"3,800,000",-,544,0
,"Mainstreaming Public Sector Integrity
Programme","2,435,000",-,"2,435,000",-,544,0
,County performance management,"2,098,400",-,"2,098,400",-,544,0
,Public Service Week,"1,489,000",-,"1,489,000",-,544,0
,Records Management,"1,365,600",-,"1,365,600",-,544,0
,HRM,"1,712,000",-,"1,712,000",-,544,0
"General Administration,
Planning and Support
Services-Public Service",General Administration,"4,567,673,255","808,941,037","3,758,732,218",17.7,544,0
,Sub total,"5,294,506,665","808,941,037","4,485,565,628",15.3,544,0
,,A,B,C=A-B,D=B/A*100,545,0
"Infrastructure, Transport and Public Works",,,,,,545,0
"Develop and Maintain
Roads",Roads Maintenance Levy Fund (RMLF),"105,632,247",-,"105,632,247",-,545,0
,Designing and Construction of Roads,"162,212,408",-,"162,212,408",-,545,0
"Develop and maintain staff
housing and public offices",Staff Housing,"33,300,000",-,"33,300,000",-,545,0
,Professional Capacity Building,-,-,-,-,545,0
General Administration,General Administration,"104,205,307",-,"104,205,307",-,545,0
,General Administration- Public works,"29,328,720",-,"29,328,720",-,545,0
,Sub Total,"434,678,682",-,"434,678,682",-,545,0
"Agriculture, Pastoral Economy and Fisheries",,,,,,545,0
"Revival of Turkana Fisher-
men Co-op. society",Spate Irrigation Technology,"274,413,482",-,"274,413,482",-,545,0
,Rehabilitation,"800,000",-,"800,000",-,545,0
,Soil and Water Conservation,"2,000,000",-,"2,000,000",-,545,0
"Fish market infrastructure/
fish value addition","Fish market infrastructure/ fish value
addition","1,800,000",-,"1,800,000",-,545,0
,Fisheries livelihood support,"33,200,000",-,"33,200,000",-,545,0
,Fisheries Extension Services,"2,300,000",-,"2,300,000",-,545,0
,Fisheries resource management,"6,287,443",-,"6,287,443",-,545,0
,Fish Farming and Aquaculture,"50,700,000",-,"50,700,000",-,545,0
"Sustainable management of
fisheries resources",Frame survey,"51,600,000",-,"51,600,000",-,545,0
,Fish Stock assessment,"3,900,000",-,"3,900,000",-,545,0
,"Monitoring, Control and Surveillance","16,300,000",-,"16,300,000",-,545,0
,Resource monitoring facilities,"2,850,000",-,"2,850,000",-,545,0
"Livestock breed improve-
ment","Establish livestock Multiplication and
breeding Centre.","63,500,000",-,"63,500,000",-,545,0
,"Provision of Livestock Extension
services","3,600,000",-,"3,600,000",-,545,0
,"Livestock multiplication and breeding
centre","19,083,682",-,"19,083,682",-,545,0
,Livestock Value Chain,"23,800,000",-,"23,800,000",-,545,0
,Skills Development,"16,100,000",-,"16,100,000",-,545,0
General Administration,General Administration,"14,400,000","5,819,200","8,580,800",40.4,545,0
,"General Administration and Support
Services- Pastoral Economy and","113,497,111",-,"113,497,111",-,545,0
Agriculture Programme,"Agri-nutrition/Urban and peri-urban
agriculture","7,800,000",-,"7,800,000",-,545,0
,"Smart agriculture practices (Innova-
tions/technologies to mitigate","14,000,000",-,"14,000,000",-,545,0
,"Agricultural Sector Development Sup-
port Programme (ASDSP)","51,106,056",-,"51,106,056",-,545,0
,Agricultural Mechanisation,"17,208,874",-,"17,208,874",-,545,0
,Agric Market Access,"1,100,000",-,"1,100,000",-,545,0
,Agric Extension and Development,"30,250,000",-,"30,250,000",-,545,0
,Subsidy and Support,"3,600,000",-,"3,600,000",-,545,0
,Pest Control and Management,"4,700,000",-,"4,700,000",-,545,0
,NARIGP,"150,000,000",-,"150,000,000",-,545,0
,DRNKP/KFW,"612,590,978",-,"612,590,978",-,545,0
,Sub-Total,"1,592,487,626","5,819,200","1,586,668,426",0.4,545,0
,,A,B,C=A-B,D=B/A*100,546,0
"Tourism, Culture and Natural Resources",,,,,,546,0
General Administration,"General Administration, Planning and
Support Services","21,984,779","3,814,320","18,170,459",17.3,546,0
"Tourism destination market-
ing and promotion","Tourism expos, incentives, conferences
and exhibition programs","1,300,000",-,"1,300,000",-,546,0
,Community-Based Tourism products,"1,000,000",-,"1,000,000",-,546,0
,"Tourism Market Research (Baseline
Survey & Mapping)","1,000,000",-,"1,000,000",-,546,0
,"Media Campaigns and Promotion of
Tourism Products and Programmes","800,000",-,"800,000",-,546,0
"Culture, Arts, Heritage
Development, Promotion
and Preservation",Ushanga Initiative,"52,900,000",-,"52,900,000",-,546,0
,Culture Promotion and Preservation,"3,000,000",-,"3,000,000",-,546,0
"Culture development and
preservation infrastructure","Equipment and Infrastructure Develop-
ment at Ekalees Centre","3,000,000",-,"3,000,000",-,546,0
"Forestry and wildlife man-
agement development and
management",Forestry Management and Conservation,"4,000,000",-,"4,000,000",-,546,0
,Community Wildlife Conservation,"1,000,000",-,"1,000,000",-,546,0
,Forest Nature-Based Development,"1,800,000",-,"1,800,000",-,546,0
,Forestry Development Infrastructure,"2,300,000",-,"2,300,000",-,546,0
,Forestry Protection,"1,000,000",-,"1,000,000",-,546,0
,Prosopis management,"1,000,000",-,"1,000,000",-,546,0
"Heritage Development Pro-
motion and Preservation","Heritage Development Promotion and
Preservation","1,000,000",-,"1,000,000",-,546,0
,Arts and Creativity Development,"900,000",-,"900,000",-,546,0
"Environmental Governance
Compliance Conservation
Protection and Management","Environmental Governance and Com-
pliance","1,000,000",-,"1,000,000",-,546,0
,"Environmental Protection and Conser-
vation","1,300,000",-,"1,300,000",-,546,0
,FLLoCA,"279,500,000",-,"279,500,000",-,546,0
,Climate Change and Adaptation,"1,500,000",-,"1,500,000",-,546,0
"Mineral Resource Map-
ping Capacity Building and
Management",Mineral Resource Mapping,"2,000,000",-,"2,000,000",-,546,0
,"Management of Mining and Quarrying
activities","3,000,000",-,"3,000,000",-,546,0
,"Capacity building in the exploitation of
Mineral Resources","1,600,000",-,"1,600,000",-,546,0
,"Extractives Engagement Bills and
Policies","2,000,000",-,"2,000,000",-,546,0
Petroleum,Oil and Gas,"1,400,000",-,"1,400,000",-,546,0
,"Establishment of Extractive Sector
Regulations and Strategies","2,200,000",-,"2,200,000",-,546,0
"Energy Development Pro-
gramme",Renewable Energy Development,"2,480,000",-,"2,480,000",-,546,0
,Sub Total,"395,964,779","3,814,320","392,150,459",1.0,546,0
"Lands, Energy, Housing and Urban Areas Management",,,,,,546,0
"Adjudication, registry and
settlement","Delineation and adjudication of com-
munity land","15,000,000",-,"15,000,000",-,546,0
Spatial Planning,Spatial Planning,"79,300,000",-,"79,300,000",-,546,0
"Formulation of community
land policy and regulations",Urban Centre Management,"46,304,936",-,"46,304,936",-,546,0
"Compulsory land acquisition
for public utilities",Land acquisition for public utilities,"26,600,000",-,"26,600,000",-,546,0
General Administration,"Lands General Administration, Plan-
ning and Support Services","40,411,612",-,"40,411,612",-,546,0
,,A,B,C=A-B,D=B/A*100,547,0
Land Governance,Land Policies,"60,260,518",-,"60,260,518",-,547,0
,Sub Total,"267,877,066",-,"267,877,066",-,547,0
Turkana County Assembly,,,,,,547,0
Headquarters,"General Administration Infrastructure
and Development","28,000,000",-,"28,000,000",-,547,0
,"General Administration, Planning and
Support Services","966,834,859","180,179,090","786,655,769",18.6,547,0
,Sub Total,"994,834,859","180,179,090","814,655,769",18.1,547,0
Turkana County Public Service Board,,,,,,547,0
"County Internship Pro-
gramme",County Internship Programme,"36,800,600",-,"36,800,600",-,547,0
"Mainstream Public Sector
Integrity Programme and
Accountability","Mainstream Public Sector Integrity
Programme and Accountability","1,000,000",-,"1,000,000",-,547,0
,"Public Evaluation on County Public
Service Board Performance","22,674,582",-,"22,674,582",-,547,0
,"Human Resource Conference and
Symposium","4,300,000",-,"4,300,000",-,547,0
,Exit Meetings Per Department,"2,350,000",-,"2,350,000",-,547,0
,"Assessment and stakeholder capacity
mapping","1,900,000",-,"1,900,000",-,547,0
Human resource,Scheme of service,"5,600,000",-,"5,600,000",-,547,0
,Performance Appraisal,"9,980,000",-,"9,980,000",-,547,0
,"Enhancing Leadership in County Public
Service","1,570,900",-,"1,570,900",-,547,0
,Performance Management Monitoring,"985,430",-,"985,430",-,547,0
,"County Public Service Pre-Retirement
Sensitization","1,198,760",-,"1,198,760",-,547,0
,"Evaluation of Different Cadres of Em-
ployees (Promotion, Re-Designate)","4,297,654",-,"4,297,654",-,547,0
"Quality Management
Systems","Quality Management Systems Develop-
ment & Establishment","3,500,000",-,"3,500,000",-,547,0
,QMS Audit /Routine Inspection,"974,500",-,"974,500",-,547,0
,"Documentation/Record Management
For QMS","2,014,680",-,"2,014,680",-,547,0
"Development coordination
Programme",Donor scan/Mapping,"3,070,765",-,"3,070,765",-,547,0
,"Establishment of development com-
mittees","2,217,659",-,"2,217,659",-,547,0
,Training of the development committees,"5,242,352",-,"5,242,352",-,547,0
,"Formulation and Development of
TCPSB Boardroom ICT Infrastructure","1,190,000",-,"1,190,000",-,547,0
"General Administration and
Support Services",General Administration,"66,604,286",-,"66,604,286",-,547,0
,Sub Total,"177,472,168",-,"99,147,106",-,547,0
Office of the County Attorney,,,,,,547,0
"General Administration,
Planning and Support
Services","General Administration, Planning and
Support Services- County At","386,924,678","982,200","7,452,800",0.3,547,0
Litigation,Litigation,"35,888,345",-,"54,850,000",-,547,0
,Govt Agreements and Contracts,"3,450,000",-,"3,157,500",-,547,0
,Legal Audit and Compliance,"4,650,000",-,"2,875,400",-,547,0
Legislation,Legislation,"10,912,214",-,"3,456,107",-,547,0
,Policy and Legal Briefs,"8,224,000",-,"2,112,000",-,547,0
